feature_set,n_features,model,algorithm,n_neighbors,calibration,Delta,chi,chi_err
30,30,KNN,auto,1,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,1,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,1,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,1,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,1,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,1,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,1,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,1,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,1,uncalibrated,-0.112,0.0,0.0
30,30,KNN,auto,1,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,1,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,3,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,3,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,3,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,3,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,3,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,3,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,3,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,3,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,3,uncalibrated,-0.112,0.0,0.0
30,30,KNN,auto,3,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,3,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,5,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,5,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,5,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,5,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,5,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,5,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,5,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,5,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,5,uncalibrated,-0.112,0.0,0.0
30,30,KNN,auto,5,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,5,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,7,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,7,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,7,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,7,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,7,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,7,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,7,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,7,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,7,uncalibrated,-0.112,0.0,0.0
30,30,KNN,auto,7,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,7,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,9,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,9,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,9,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,9,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,9,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,9,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,9,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,9,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,9,uncalibrated,-0.112,0.0,0.0
30,30,KNN,auto,9,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,9,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,11,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,11,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,11,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,11,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,11,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,11,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,11,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,11,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,11,uncalibrated,-0.112,0.0,0.0
30,30,KNN,auto,11,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,11,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,13,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,13,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,13,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,13,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,13,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,13,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,13,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,13,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,13,uncalibrated,-0.112,0.0,0.0
30,30,KNN,auto,13,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,13,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,15,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,15,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,15,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,15,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,15,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,15,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,15,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,15,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,15,uncalibrated,-0.112,0.0,0.0
30,30,KNN,auto,15,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,15,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,17,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,17,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,17,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,17,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,17,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,17,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,17,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,17,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,17,uncalibrated,-0.112,0.0,0.0
30,30,KNN,auto,17,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,17,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,19,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,19,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,19,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,19,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,19,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,19,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,19,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,19,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,19,uncalibrated,-0.112,0.0,0.0
30,30,KNN,auto,19,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,19,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,21,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,21,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,21,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,21,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,21,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,21,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,21,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,21,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,21,uncalibrated,-0.112,0.0,0.0
30,30,KNN,auto,21,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,21,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,23,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,23,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,23,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,23,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,23,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,23,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,23,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,23,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,23,uncalibrated,-0.112,0.0,0.0
30,30,KNN,auto,23,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,23,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,25,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,25,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,25,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,25,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,25,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,25,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,25,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,25,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,25,uncalibrated,-0.112,0.0,0.0
30,30,KNN,auto,25,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,25,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,27,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,27,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,27,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,27,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,27,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,27,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,27,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,27,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,27,uncalibrated,-0.112,0.0,0.0
30,30,KNN,auto,27,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,27,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,29,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,29,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,29,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,29,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,29,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,29,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,29,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,29,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,29,uncalibrated,-0.112,2.086071301916947e-05,2.086071301917101e-05
30,30,KNN,auto,29,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,29,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,31,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,31,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,31,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,31,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,31,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,31,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,31,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,31,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,31,uncalibrated,-0.112,7.302334921590666e-05,7.302334921591177e-05
30,30,KNN,auto,31,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,31,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,33,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,33,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,33,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,33,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,33,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,33,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,33,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,33,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,33,uncalibrated,-0.112,0.00014499057561258318,0.00014499057561258533
30,30,KNN,auto,33,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,33,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,35,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,35,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,35,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,35,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,35,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,35,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,35,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,35,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,35,uncalibrated,-0.112,0.00022914428929464065,0.0002291442892946652
30,30,KNN,auto,35,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,35,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,37,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,37,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,37,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,37,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,37,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,37,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,37,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,37,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,37,uncalibrated,-0.112,0.0003203772762805152,0.0003203772762805481
30,30,KNN,auto,37,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,37,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,39,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,39,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,39,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,39,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,39,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,39,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,39,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,39,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,39,uncalibrated,-0.112,0.0004152392816360306,0.0004152392816360429
30,30,KNN,auto,39,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,39,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,41,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,41,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,41,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,41,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,41,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,41,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,41,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,41,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,41,uncalibrated,-0.112,0.0005113915067263558,0.0005113915067263637
30,30,KNN,auto,41,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,41,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.112,0.0006092856550809866,0.0006068883840500435
30,30,KNN,auto,43,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.112,0.0007220274915002495,0.0007003841239515631
30,30,KNN,auto,45,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.112,0.0008588833397491661,0.0007931228231929427
30,30,KNN,auto,47,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.112,0.0009989439809455053,0.0008860691669018868
30,30,KNN,auto,49,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.112,0.001032716748502023,0.0010277817941506155
