feature_set,n_features,model,algorithm,n_neighbors,calibration,train_acc,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
30,30,KNN,auto,1,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.962,0.693,1.459,0.0128,0.0122,0.00033,5.139
30,30,KNN,auto,3,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.782,0.441,0.932,0.0078,0.0077,0.00015,4.17
30,30,KNN,auto,5,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.659,0.439,0.929,0.0086,0.0077,0.00015,4.044
30,30,KNN,auto,7,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.836,0.495,1.111,0.0095,0.0106,0.00018,4.462
30,30,KNN,auto,9,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.584,0.478,1.0,0.0082,0.0079,0.00016,4.079
30,30,KNN,auto,11,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.602,0.418,0.892,0.0073,0.0074,0.0002,3.927
30,30,KNN,auto,13,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.41,0.417,0.892,0.0081,0.0082,0.00027,3.736
30,30,KNN,auto,15,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.572,0.474,0.992,0.0082,0.0079,0.00015,4.055
30,30,KNN,auto,17,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.418,0.399,0.845,0.0081,0.0077,0.00021,3.678
30,30,KNN,auto,19,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.928,0.42,0.893,0.0083,0.0075,0.00013,4.257
30,30,KNN,auto,21,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.95,0.468,0.95,0.0073,0.0075,0.00014,4.384
30,30,KNN,auto,23,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.832,0.47,0.981,0.0082,0.0079,0.00015,4.3
30,30,KNN,auto,25,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.717,0.465,0.981,0.0083,0.0081,0.00015,4.179
30,30,KNN,auto,27,uncalibrated,1.0,-0.115,0.0,-0.128,11,2.477,0.416,0.888,0.0084,0.0074,0.00013,3.797
30,30,KNN,auto,29,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.802,0.417,0.939,0.0074,0.0073,0.00014,4.173
30,30,KNN,auto,31,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.672,0.425,0.952,0.0083,0.0082,0.00023,4.066
30,30,KNN,auto,33,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.718,0.467,1.048,0.0081,0.0079,0.00014,4.249
30,30,KNN,auto,35,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.479,0.462,1.042,0.008,0.0079,0.00017,3.998
30,30,KNN,auto,37,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.756,0.459,1.03,0.0079,0.0079,0.00014,4.261
30,30,KNN,auto,39,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.596,0.46,1.029,0.0082,0.0079,0.00014,4.101
30,30,KNN,auto,41,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.794,0.462,1.054,0.0081,0.0079,0.00015,4.326
30,30,KNN,auto,43,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.827,0.455,0.971,0.0075,0.0075,0.00016,4.269
30,30,KNN,auto,45,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.8,0.459,1.034,0.0093,0.0086,0.00024,4.312
30,30,KNN,auto,47,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.87,0.476,1.036,0.0082,0.0079,0.00016,4.398
30,30,KNN,auto,49,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.616,0.457,1.046,0.0086,0.0084,0.00015,4.136
30,30,KNN,auto,51,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.54,0.417,0.971,0.0079,0.0075,0.00014,3.945
30,30,KNN,auto,61,uncalibrated,1.0,-0.115,0.0,-0.112,11,2.492,0.459,1.067,0.0081,0.0079,0.00015,4.034
30,30,KNN,auto,81,uncalibrated,1.0,-0.1149996015936255,3.9856510214123625e-07,-0.112,11,2.772,0.463,1.114,0.008,0.0078,0.00016,4.365
30,30,KNN,auto,101,uncalibrated,1.0,-0.11499864076117375,1.3610863564441017e-06,-0.112,11,2.903,0.424,1.0,0.0073,0.007,0.00014,4.342
