feature_set,n_features,model,calibration,Delta,chi,chi_err
30,30,Logistic Regression,calibrated,-0.128,6.79986288048868E-08,4.92840251066534E-09
30,30,Logistic Regression,calibrated,-0.126,1.34308699452632E-07,1.38126928996746E-08
30,30,Logistic Regression,calibrated,-0.124,2.58427007813213E-07,4.70429694090469E-08
30,30,Logistic Regression,calibrated,-0.122,6.96248020125008E-07,7.76238414487571E-08
30,30,Logistic Regression,calibrated,-0.12,1.3758615082059E-06,3.25951688746513E-07
30,30,Logistic Regression,calibrated,-0.118,3.04960463515508E-06,4.85779372175935E-07
30,30,Logistic Regression,calibrated,-0.116,6.26037884393444E-06,1.56213214640203E-06
30,30,Logistic Regression,calibrated,-0.114,1.92704862680548E-05,1.04145627916694E-05
30,30,Logistic Regression,calibrated,-0.112,8.02107111240401E-05,7.20870970295616E-05
30,30,Logistic Regression,calibrated,-0.11,9.86528448594234E-06,3.89612602213024E-06
30,30,Logistic Regression,calibrated,-0.108,5.98565715006786E-06,2.60115261961847E-06
30,30,Logistic Regression,uncalibrated,-0.128,4.10959498042509E-08,9.69395536453801E-09
30,30,Logistic Regression,uncalibrated,-0.126,1.59765654091289E-07,4.2042959164191E-08
30,30,Logistic Regression,uncalibrated,-0.124,4.12964876813175E-07,1.58741928932857E-07
30,30,Logistic Regression,uncalibrated,-0.122,2.08333579317842E-06,3.73392098291839E-07
30,30,Logistic Regression,uncalibrated,-0.12,7.28889161283749E-06,3.57699068109576E-06
30,30,Logistic Regression,uncalibrated,-0.118,1.86322105484067E-05,4.27607414252942E-06
30,30,Logistic Regression,uncalibrated,-0.116,4.24395884494129E-05,1.77312924627579E-05
30,30,Logistic Regression,uncalibrated,-0.114,3.95623203250454E-10,3.16822592309416E-10
30,30,Logistic Regression,uncalibrated,-0.112,6.13162727243197E-09,6.06881268091474E-09
30,30,Logistic Regression,uncalibrated,-0.11,6.46319020420119E-11,3.19011403206174E-11
30,30,Logistic Regression,uncalibrated,-0.108,4.01016961775632E-11,2.36608017733774E-11
30,30,Logistic Regression C = 0.00175,calibrated,-0.128,1.06510904065085E-07,1.41577391386253E-08
30,30,Logistic Regression C = 0.00175,calibrated,-0.126,3.12923672782263E-07,6.67326658596421E-08
30,30,Logistic Regression C = 0.00175,calibrated,-0.124,5.82401448778342E-07,1.67511503841984E-07
30,30,Logistic Regression C = 0.00175,calibrated,-0.122,1.56208706115113E-06,2.18446878887807E-07
30,30,Logistic Regression C = 0.00175,calibrated,-0.12,3.64237770928817E-06,1.3151805148957E-06
30,30,Logistic Regression C = 0.00175,calibrated,-0.118,8.82848874124232E-06,1.77720920510836E-06
30,30,Logistic Regression C = 0.00175,calibrated,-0.116,1.76076355804196E-05,6.62675487423546E-06
30,30,Logistic Regression C = 0.00175,calibrated,-0.114,5.78132713996206E-05,2.9175472265922E-05
30,30,Logistic Regression C = 0.00175,calibrated,-0.112,0.000232309771490148,0.000213349579025274
30,30,Logistic Regression C = 0.00175,calibrated,-0.11,2.52120366689077E-05,9.60393072239274E-06
30,30,Logistic Regression C = 0.00175,calibrated,-0.108,1.65759790948768E-05,6.45689525649444E-06
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.128,1.40150569534077E-05,7.2117065751212E-07
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.126,2.27702618698382E-05,1.65433907361682E-06
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.124,3.34248546696919E-05,3.77878825142218E-06
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.122,5.66645380673034E-05,4.55116132191164E-06
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.12,8.4302545887922E-05,1.26299174644505E-05
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.118,0.000154027875187932,1.75422224374463E-05
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.116,0.000180158783824048,2.95426408152816E-05
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.114,0.000953253011965762,0.000264202243511864
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.112,0.00159254676756263,0.00099901780441354
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.11,0.000689570134543332,0.000158282786251762
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.108,0.000573362922682454,0.000136779489432972
30,30,kNN,calibrated,-0.128,-8.97338455429101E-30,6.84030679802587E-46
30,30,kNN,calibrated,-0.126,-8.97338455429101E-30,6.84030679802587E-46
30,30,kNN,calibrated,-0.124,-4.26485220472316E-30,5.49567379848825E-46
30,30,kNN,calibrated,-0.122,-3.20481549674643E-30,4.10792025080343E-46
30,30,kNN,calibrated,-0.12,1.10933564726587E-31,6.30036688948E-46
30,30,kNN,calibrated,-0.118,-7.67932806147494E-30,3.86747904352163E-46
30,30,kNN,calibrated,-0.116,-3.20481549674643E-30,4.10792025080343E-46
30,30,kNN,calibrated,-0.114,-4.69031842046662E-36,1.47650785236116E-52
30,30,kNN,calibrated,-0.112,1.48201544635024E-06,1.48198682196527E-06
30,30,kNN,calibrated,-0.11,-1.75154655898012E-36,7.38253926180581E-53
30,30,kNN,calibrated,-0.108,-1.75154655898012E-36,7.38253926180581E-53
30,30,kNN,uncalibrated,-0.128,0,0
30,30,kNN,uncalibrated,-0.126,0,0
30,30,kNN,uncalibrated,-0.124,0,0
30,30,kNN,uncalibrated,-0.122,0,0
30,30,kNN,uncalibrated,-0.12,0,0
30,30,kNN,uncalibrated,-0.118,0,0
30,30,kNN,uncalibrated,-0.116,0,0
30,30,kNN,uncalibrated,-0.114,0,0
30,30,kNN,uncalibrated,-0.112,0,0
30,30,kNN,uncalibrated,-0.11,0,0
30,30,kNN,uncalibrated,-0.108,0,0
30,30,SVM (RBF),calibrated,-0.128,6.11811911339058E-09,1.40366555081915E-10
30,30,SVM (RBF),calibrated,-0.126,9.2543666590872E-09,5.33410023218599E-10
30,30,SVM (RBF),calibrated,-0.124,1.47290392038021E-08,1.90344426525062E-09
30,30,SVM (RBF),calibrated,-0.122,4.4647623612572E-08,4.53728339910255E-09
30,30,SVM (RBF),calibrated,-0.12,9.34088210381391E-08,2.10511933669823E-08
30,30,SVM (RBF),calibrated,-0.118,1.36734686625971E-07,2.35262920604016E-08
30,30,SVM (RBF),calibrated,-0.116,1.66564864570059E-07,4.39113766284057E-08
30,30,SVM (RBF),calibrated,-0.114,1.64744174448239E-05,9.67739844686407E-06
30,30,SVM (RBF),calibrated,-0.112,0.000189226358561992,0.000178426589892414
30,30,SVM (RBF),calibrated,-0.11,1.11584038783586E-05,4.81662706226622E-06
30,30,SVM (RBF),calibrated,-0.108,4.35069496527415E-06,1.93831545909909E-06
30,30,SVM (RBF),uncalibrated,-0.128,6.22815763812676E-05,9.20121954941635E-07
30,30,SVM (RBF),uncalibrated,-0.126,6.62024623402351E-05,1.91770370002906E-06
30,30,SVM (RBF),uncalibrated,-0.124,7.89097835211371E-05,4.54504766346322E-06
