feature_set,n_features,model,calibration,Delta,mean,mean_err
30,30,Logistic Regression,calibrated,-0.128,0.999739069831074,8.82285923439589E-06
30,30,Logistic Regression,calibrated,-0.126,0.999660318374927,1.46184602503412E-05
30,30,Logistic Regression,calibrated,-0.124,0.999519485266238,2.38656093808231E-05
30,30,Logistic Regression,calibrated,-0.122,0.999258258305519,4.29531212181589E-05
30,30,Logistic Regression,calibrated,-0.12,0.998984578000375,8.05028909713703E-05
30,30,Logistic Regression,calibrated,-0.118,0.998475068837421,0.000164847185173787
30,30,Logistic Regression,calibrated,-0.116,0.997877964978876,0.000202108407884232
30,30,Logistic Regression,calibrated,-0.114,0.00157216876566967,0.000486669997057829
30,30,Logistic Regression,calibrated,-0.112,0.00236041793975323,0.00132503955728255
30,30,Logistic Regression,calibrated,-0.11,0.00117302009273654,0.000258176381634832
30,30,Logistic Regression,calibrated,-0.108,0.000923377810124951,0.000207780590229006
30,30,Logistic Regression,uncalibrated,-0.128,0.999920597037452,4.42855611096174E-06
30,30,Logistic Regression,uncalibrated,-0.126,0.999861988297119,9.96009412314033E-06
30,30,Logistic Regression,uncalibrated,-0.124,0.999758443055577,2.20918662780512E-05
30,30,Logistic Regression,uncalibrated,-0.122,0.999490360470347,4.6400836028164E-05
30,30,Logistic Regression,uncalibrated,-0.12,0.999139925811658,0.00012574261249717
30,30,Logistic Regression,uncalibrated,-0.118,0.998326360961433,0.000269309033897972
30,30,Logistic Regression,uncalibrated,-0.116,0.997773740906878,0.00037053684798814
30,30,Logistic Regression,uncalibrated,-0.114,2.02980997735974E-06,9.84644950562758E-07
30,30,Logistic Regression,uncalibrated,-0.112,5.92526894488833E-06,5.08116493897941E-06
30,30,Logistic Regression,uncalibrated,-0.11,1.1851253954669E-06,4.10738257545729E-07
30,30,Logistic Regression,uncalibrated,-0.108,8.22576925023284E-07,2.93881670148583E-07
30,30,Logistic Regression C = 0.00175,calibrated,-0.128,0.999816606251474,8.12050322088457E-06
30,30,Logistic Regression C = 0.00175,calibrated,-0.126,0.999713569863835,1.68307551249078E-05
30,30,Logistic Regression C = 0.00175,calibrated,-0.124,0.999583198707549,2.83775767201823E-05
30,30,Logistic Regression C = 0.00175,calibrated,-0.122,0.999350271304529,4.86009380781033E-05
30,30,Logistic Regression C = 0.00175,calibrated,-0.12,0.999072492131851,0.000104863202884903
30,30,Logistic Regression C = 0.00175,calibrated,-0.118,0.998425382719538,0.000221919932925135
30,30,Logistic Regression C = 0.00175,calibrated,-0.116,0.998066596486056,0.000270213021098081
30,30,Logistic Regression C = 0.00175,calibrated,-0.114,0.00166876111327139,0.000529051428250073
30,30,Logistic Regression C = 0.00175,calibrated,-0.112,0.00273281461835253,0.00175973362722456
30,30,Logistic Regression C = 0.00175,calibrated,-0.11,0.00117458086931525,0.000279377372271556
30,30,Logistic Regression C = 0.00175,calibrated,-0.108,0.000941074417411332,0.000236044414724684
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.128,0.994337255056111,0.000135018074072021
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.126,0.993207603086659,0.000214329745751388
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.124,0.991653093943449,0.000303671036384598
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.122,0.98961334781185,0.000438355119683265
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.12,0.987487789486266,0.000682417997337902
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.118,0.983380443086093,0.00135182357850496
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.116,0.981640898087605,0.00120745136894106
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.114,0.023315493312922,0.00398827425318286
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.112,0.0264925512520494,0.00720145305050263
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.11,0.0198308707192611,0.00221457760385795
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.108,0.0180093991176892,0.00325088129780433
30,30,kNN,calibrated,-0.128,0.999750124936284,2.20931592377709E-15
30,30,kNN,calibrated,-0.126,0.999750124936284,2.20931592377709E-15
30,30,kNN,calibrated,-0.124,0.999750124936295,1.09344286978131E-15
30,30,kNN,calibrated,-0.122,0.999750124936284,2.20931592377709E-15
30,30,kNN,calibrated,-0.12,0.999750124936295,2.16422309957864E-15
30,30,kNN,calibrated,-0.118,0.999750124936295,1.08779196440841E-15
30,30,kNN,calibrated,-0.116,0.999750124936284,2.20931592377709E-15
30,30,kNN,calibrated,-0.114,0.00083180844596262,3.01634319588546E-18
30,30,kNN,calibrated,-0.112,0.000840568867755737,8.76042179311016E-06
30,30,kNN,calibrated,-0.11,0.000831808445962619,3.153519019755E-18
30,30,kNN,calibrated,-0.108,0.000831808445962619,3.153519019755E-18
30,30,kNN,uncalibrated,-0.128,1,0
30,30,kNN,uncalibrated,-0.126,1,0
30,30,kNN,uncalibrated,-0.124,1,0
30,30,kNN,uncalibrated,-0.122,1,0
30,30,kNN,uncalibrated,-0.12,1,0
30,30,kNN,uncalibrated,-0.118,1,0
30,30,kNN,uncalibrated,-0.116,1,0
30,30,kNN,uncalibrated,-0.114,0,0
30,30,kNN,uncalibrated,-0.112,0,0
30,30,kNN,uncalibrated,-0.11,0,0
30,30,kNN,uncalibrated,-0.108,0,0
30,30,SVM (RBF),calibrated,-0.128,0.999748526956308,1.33933105195234E-06
30,30,SVM (RBF),calibrated,-0.126,0.999707971825833,1.77745722345532E-06
30,30,SVM (RBF),calibrated,-0.124,0.99966902681515,3.40510792046167E-06
