feature_set,n_features,model,calibration,train_acc,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
30,30,Logistic Regression,calibrated,1,-0.115000551905105,6.91174694120557E-07,-0.112,11,2.288,3.334,6.188,0.0089,0.0102,0.00025,11.83
30,30,Logistic Regression,uncalibrated,1,-0.115002229196577,3.73176843263525E-07,-0.116,11,0.278,2.157,6.377,0.0091,0.0091,0.00017,8.829
30,30,Logistic Regression C = 0.00175,calibrated,1,-0.115000265599132,8.02084944105441E-07,-0.112,11,2.246,2.074,6.407,0.0128,0.0097,0.00018,10.75
30,30,Logistic Regression C = 0.00175,uncalibrated,1,-0.114994828070532,5.4366792490158E-06,-0.112,11,0.281,2.266,6.417,0.0088,0.0085,0.00018,8.982
30,30,kNN,calibrated,1,-0.114999417436468,2.21344120014336E-18,-0.112,11,232.725,2.203,6.368,0.0086,0.008,0.00017,241.313
30,30,kNN,uncalibrated,1,-0.115,0,-0.128,11,59.3,1.926,4.619,0.0082,0.0083,0.0002,65.861
30,30,SVM (RBF),calibrated,1,-0.114999141205719,5.49051954815247E-07,-0.112,11,10.379,1.865,5.206,0.0088,0.007,0.00023,17.466
30,30,SVM (RBF),uncalibrated,1,-0.115131360862818,1.41302721045357E-05,-0.118,11,1.705,1.704,4.94,0.0075,0.0072,0.00015,8.365
30,30,Neural Network,calibrated,1,-0.114999447225509,1.64002743242505E-08,-0.112,11,7.679,2.036,5.918,0.0083,0.0081,0.00018,15.651
30,30,Neural Network,uncalibrated,1,-0.115000032624779,4.4958915011817E-08,-0.112,11,1.673,2.006,5.842,0.0082,0.0077,0.00016,9.537
20,20,Logistic Regression,calibrated,1,-0.115001174535906,6.51450031573842E-07,-0.116,11,0.759,2.932,8.421,0.0128,0.012,0.00038,12.138
20,20,Logistic Regression,uncalibrated,1,-0.115001515694332,2.90693037625555E-07,-0.116,11,0.234,2.243,4.889,0.0081,0.0071,0.00016,7.382
20,20,Logistic Regression C = 0.00175,calibrated,1,-0.11500162165428,9.87568489040551E-07,-0.116,11,0.537,1.738,4.899,0.0081,0.0077,0.00017,7.19
20,20,Logistic Regression C = 0.00175,uncalibrated,1,-0.114994665513399,6.70455969612856E-06,-0.112,11,0.185,1.735,4.903,0.0081,0.007,0.00014,6.838
20,20,kNN,calibrated,1,-0.114999417436468,2.21344120014336E-18,-0.112,11,167.635,1.696,4.917,0.0081,0.0078,0.00019,174.264
20,20,kNN,uncalibrated,1,-0.115,0,-0.112,11,23.996,1.733,4.27,0.0082,0.0069,0.00013,30.014
20,20,SVM (RBF),calibrated,1,-0.114999563448779,3.02648942455597E-07,-0.112,11,9.083,1.742,5.228,0.0072,0.0078,0.00024,16.068
20,20,SVM (RBF),uncalibrated,1,-0.115132512764331,1.02494869820935E-05,-0.118,11,1.775,1.709,4.945,0.0081,0.0073,0.00014,8.445
20,20,Neural Network,calibrated,1,-0.114999441947407,2.79858664474794E-08,-0.112,11,6.326,1.757,4.983,0.0083,0.0078,0.00018,13.083
20,20,Neural Network,uncalibrated,1,-0.114999981353919,3.33632632713271E-08,-0.112,11,1.375,1.812,5.034,0.0081,0.0078,0.00015,8.238
12,12,Logistic Regression,calibrated,1,-0.114999649175404,8.74910484397699E-07,-0.112,11,0.434,2.08,6.073,0.0097,0.0081,0.00016,8.606
12,12,Logistic Regression,uncalibrated,1,-0.115000915882528,1.73143793360553E-07,-0.116,11,0.063,2.069,6.168,0.0115,0.0081,0.00016,8.32
12,12,Logistic Regression C = 0.00175,calibrated,1,-0.114999339330605,9.11321293859784E-07,-0.112,11,0.506,2.175,6.441,0.0083,0.0083,0.00015,9.139
12,12,Logistic Regression C = 0.00175,uncalibrated,1,-0.11497316066742,1.26500063676868E-05,-0.112,11,0.071,1.971,5.586,0.0081,0.0094,0.00042,7.645
12,12,kNN,calibrated,1,-0.114999417436468,2.21344120014336E-18,-0.114,11,34.956,2.127,6.577,0.0083,0.0084,0.00016,43.677
12,12,kNN,uncalibrated,1,-0.115,0,-0.128,11,12.241,1.97,4.961,0.008,0.0093,0.0003,19.19
12,12,SVM (RBF),calibrated,1,-0.114999528493804,4.21621969519025E-07,-0.112,11,3.804,1.73,5.045,0.0079,0.0077,0.00016,10.595
12,12,SVM (RBF),uncalibrated,1,-0.115154612939879,1.00357623944289E-05,-0.116,11,0.741,1.96,4.968,0.0085,0.0068,0.00014,7.685
12,12,Neural Network,calibrated,1,-0.11499941753393,5.34924594551804E-10,-0.112,11,7.697,2.18,6.202,0.0094,0.008,0.00017,16.096
12,12,Neural Network,uncalibrated,1,-0.114999939209949,2.75068266589756E-08,-0.112,11,1.605,2.12,6.164,0.0088,0.0084,0.00017,9.907
