feature_set,n_features,model,calibration,Delta,chi,chi_err
30,30,Logistic Regression,calibrated,-0.128,1.69876483035533E-09,3.97993701906948E-11
30,30,Logistic Regression,calibrated,-0.126,3.25648387006265E-09,1.04523236263376E-10
30,30,Logistic Regression,calibrated,-0.124,4.35707881708749E-09,1.56833298036028E-10
30,30,Logistic Regression,calibrated,-0.122,8.18943965440074E-09,3.9781736152259E-10
30,30,Logistic Regression,calibrated,-0.12,1.1318178878838E-08,4.95713857644959E-10
30,30,Logistic Regression,calibrated,-0.118,1.25391460354337E-08,4.95666462193492E-10
30,30,Logistic Regression,calibrated,-0.116,7.03703865558501E-09,3.61573769537404E-10
30,30,Logistic Regression,calibrated,-0.114,0.000664202098758465,0.000605798289973269
30,30,Logistic Regression,calibrated,-0.112,0.00448633570051207,0.00370269326267011
30,30,Logistic Regression,calibrated,-0.11,0.000170708786769305,0.000108813227877898
30,30,Logistic Regression,calibrated,-0.108,7.22725520651896E-05,6.89620943459516E-05
30,30,Logistic Regression,uncalibrated,-0.128,4.31758191339297E-19,2.34434233371255E-20
30,30,Logistic Regression,uncalibrated,-0.126,7.20749671392374E-19,5.6921890018421E-20
30,30,Logistic Regression,uncalibrated,-0.124,1.53243560540618E-18,9.72403574691383E-20
30,30,Logistic Regression,uncalibrated,-0.122,5.99483916885272E-18,6.01842875736773E-19
30,30,Logistic Regression,uncalibrated,-0.12,1.31290157183567E-17,1.18970848571615E-18
30,30,Logistic Regression,uncalibrated,-0.118,2.26021408794015E-17,2.33912710459011E-18
30,30,Logistic Regression,uncalibrated,-0.116,4.89386998910191E-17,6.04891488581848E-18
30,30,Logistic Regression,uncalibrated,-0.114,3.94514340053157E-10,3.9411024996838E-10
30,30,Logistic Regression,uncalibrated,-0.112,2.3845534006152E-06,2.38023430205747E-06
30,30,Logistic Regression,uncalibrated,-0.11,1.28314674659504E-15,7.26415776115228E-16
30,30,Logistic Regression,uncalibrated,-0.108,9.43843476210781E-15,9.38516347189559E-15
30,30,Logistic Regression C = 0.00175,calibrated,-0.128,3.0832477750952E-09,6.93615201383315E-11
30,30,Logistic Regression C = 0.00175,calibrated,-0.126,3.59666591223321E-09,1.03315713459968E-10
30,30,Logistic Regression C = 0.00175,calibrated,-0.124,4.66811125454657E-09,1.59272172058333E-10
30,30,Logistic Regression C = 0.00175,calibrated,-0.122,8.13070651361699E-09,3.77257698375763E-10
30,30,Logistic Regression C = 0.00175,calibrated,-0.12,1.09744777854894E-08,4.6135479273467E-10
30,30,Logistic Regression C = 0.00175,calibrated,-0.118,1.2052563082538E-08,4.32388092674381E-10
30,30,Logistic Regression C = 0.00175,calibrated,-0.116,1.41375629308671E-08,7.00810995361276E-10
30,30,Logistic Regression C = 0.00175,calibrated,-0.114,0.000600852296928014,0.000538457248679404
30,30,Logistic Regression C = 0.00175,calibrated,-0.112,0.00408264246229084,0.00352808499504382
30,30,Logistic Regression C = 0.00175,calibrated,-0.11,8.28123775058043E-05,4.10493971906365E-05
30,30,Logistic Regression C = 0.00175,calibrated,-0.108,8.19903042523696E-05,7.35331223016529E-05
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.128,1.37134229030705E-18,7.19310399084773E-20
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.126,2.23736433429455E-18,1.71242940004813E-19
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.124,4.65372094075825E-18,2.86257449590323E-19
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.122,1.730498296582E-17,1.68669346778782E-18
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.12,3.70433523329154E-17,3.26040188507108E-18
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.118,6.33476506386454E-17,6.33507184845857E-18
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.116,1.3542544488779E-16,1.61347339396488E-17
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.114,6.18929880656987E-10,6.18225244891907E-10
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.112,2.87127748996326E-06,2.86558077223796E-06
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.11,3.09203371474141E-15,1.74622078073506E-15
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.108,2.12296734481899E-14,2.10963819955896E-14
30,30,Decision Tree,calibrated,-0.128,-8.97338455429101E-30,6.84030679802587E-46
30,30,Decision Tree,calibrated,-0.126,-8.97338455429101E-30,6.84030679802587E-46
30,30,Decision Tree,calibrated,-0.124,-4.26485220472316E-30,5.49567379848825E-46
30,30,Decision Tree,calibrated,-0.122,-3.20481549674643E-30,4.10792025080343E-46
30,30,Decision Tree,calibrated,-0.12,1.10933564726587E-31,6.30036688948E-46
30,30,Decision Tree,calibrated,-0.118,-7.67932806147494E-30,3.86747904352163E-46
30,30,Decision Tree,calibrated,-0.116,-3.20481549674643E-30,4.10792025080343E-46
30,30,Decision Tree,calibrated,-0.114,-4.69031842046662E-36,1.47650785236116E-52
30,30,Decision Tree,calibrated,-0.112,-1.75154655898012E-36,7.38253926180581E-53
30,30,Decision Tree,calibrated,-0.11,-1.75154655898012E-36,7.38253926180581E-53
30,30,Decision Tree,calibrated,-0.108,-1.75154655898012E-36,7.38253926180581E-53
30,30,Decision Tree,uncalibrated,-0.128,0,0
30,30,Decision Tree,uncalibrated,-0.126,0,0
30,30,Decision Tree,uncalibrated,-0.124,0,0
