feature_set,n_features,model,calibration,Delta,mean,mean_err
30,30,Logistic Regression,calibrated,-0.128,0.999760631591927,1.61794889497729E-06
30,30,Logistic Regression,calibrated,-0.126,0.999677652937527,3.42488193841677E-06
30,30,Logistic Regression,calibrated,-0.124,0.999637477818736,2.97508575560132E-06
30,30,Logistic Regression,calibrated,-0.122,0.999548921407722,4.26532790256465E-06
30,30,Logistic Regression,calibrated,-0.12,0.999493493390778,5.07795468450073E-06
30,30,Logistic Regression,calibrated,-0.118,0.999464199645125,6.45601876599066E-06
30,30,Logistic Regression,calibrated,-0.116,0.999620194314394,4.22244501195648E-06
30,30,Logistic Regression,calibrated,-0.114,0.00427872781861023,0.00362290442428007
30,30,Logistic Regression,calibrated,-0.112,0.016794898232491,0.0130983322821199
30,30,Logistic Regression,calibrated,-0.11,0.00277762023577124,0.00141911044930058
30,30,Logistic Regression,calibrated,-0.108,0.00116763789171503,0.0010014885488703
30,30,Logistic Regression,uncalibrated,-0.128,0.999999998868129,2.16717880647761E-11
30,30,Logistic Regression,uncalibrated,-0.126,0.999999998568282,4.60649875996045E-11
30,30,Logistic Regression,uncalibrated,-0.124,0.999999997974563,4.97051796151522E-11
30,30,Logistic Regression,uncalibrated,-0.122,0.999999996353739,1.07906844869092E-10
30,30,Logistic Regression,uncalibrated,-0.12,0.999999994888156,1.5744664469946E-10
30,30,Logistic Regression,uncalibrated,-0.118,0.999999993493607,2.26699159758759E-10
30,30,Logistic Regression,uncalibrated,-0.116,0.999999991563886,3.06607014461925E-10
30,30,Logistic Regression,uncalibrated,-0.114,5.86801717486422E-07,5.83564037631777E-07
30,30,Logistic Regression,uncalibrated,-0.112,6.44665894132672E-05,6.39805580656976E-05
30,30,Logistic Regression,uncalibrated,-0.11,2.08729471881749E-09,1.13075841242062E-09
30,30,Logistic Regression,uncalibrated,-0.108,4.48315292983145E-09,4.33681759069971E-09
30,30,Logistic Regression C = 0.00175,calibrated,-0.128,0.999641085016208,2.17701188862195E-06
30,30,Logistic Regression C = 0.00175,calibrated,-0.126,0.999610212512103,3.59875176339276E-06
30,30,Logistic Regression C = 0.00175,calibrated,-0.124,0.999568355146197,3.08629061346577E-06
30,30,Logistic Regression C = 0.00175,calibrated,-0.122,0.999495375243308,4.25913446120272E-06
30,30,Logistic Regression C = 0.00175,calibrated,-0.12,0.999440552211471,5.00632788882569E-06
30,30,Logistic Regression C = 0.00175,calibrated,-0.118,0.999394295855,6.43180455383653E-06
30,30,Logistic Regression C = 0.00175,calibrated,-0.116,0.999420830597169,5.94019164487976E-06
30,30,Logistic Regression C = 0.00175,calibrated,-0.114,0.00459437537977508,0.00382705744702759
30,30,Logistic Regression C = 0.00175,calibrated,-0.112,0.0133670206682708,0.0104084209192451
30,30,Logistic Regression C = 0.00175,calibrated,-0.11,0.0022079102419406,0.000984189368231112
30,30,Logistic Regression C = 0.00175,calibrated,-0.108,0.00145761464833217,0.00112225441240749
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.128,0.999999997901932,3.89953314113871E-11
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.126,0.999999997378328,8.16544877273196E-11
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.124,0.999999996331244,8.71890855965381E-11
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.122,0.99999999355101,1.84162541821262E-10
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.12,0.999999991056523,2.66028662272555E-10
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.118,0.99999998864508,3.82181105397632E-10
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.116,0.999999985329419,5.14624875395108E-10
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.114,7.69511986797698E-07,7.64590815056006E-07
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.112,7.36308362443434E-05,7.29912377078309E-05
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.11,3.38532777302988E-09,1.83098284583046E-09
30,30,Logistic Regression C = 0.00175,uncalibrated,-0.108,6.96196911658965E-09,6.72162014815377E-09
30,30,Decision Tree,calibrated,-0.128,0.999750124936284,2.20931592377709E-15
30,30,Decision Tree,calibrated,-0.126,0.999750124936284,2.20931592377709E-15
30,30,Decision Tree,calibrated,-0.124,0.999750124936295,1.09344286978131E-15
30,30,Decision Tree,calibrated,-0.122,0.999750124936284,2.20931592377709E-15
30,30,Decision Tree,calibrated,-0.12,0.999750124936295,2.16422309957864E-15
30,30,Decision Tree,calibrated,-0.118,0.999750124936295,1.08779196440841E-15
30,30,Decision Tree,calibrated,-0.116,0.999750124936284,2.20931592377709E-15
30,30,Decision Tree,calibrated,-0.114,0.00083180844596262,3.01634319588546E-18
30,30,Decision Tree,calibrated,-0.112,0.000831808445962619,3.153519019755E-18
30,30,Decision Tree,calibrated,-0.11,0.000831808445962619,3.153519019755E-18
30,30,Decision Tree,calibrated,-0.108,0.000831808445962619,3.153519019755E-18
30,30,Decision Tree,uncalibrated,-0.128,1,0
30,30,Decision Tree,uncalibrated,-0.126,1,0
30,30,Decision Tree,uncalibrated,-0.124,1,0
30,30,Decision Tree,uncalibrated,-0.122,1,0
30,30,Decision Tree,uncalibrated,-0.12,1,0
30,30,Decision Tree,uncalibrated,-0.118,1,0
30,30,Decision Tree,uncalibrated,-0.116,1,0
30,30,Decision Tree,uncalibrated,-0.114,0,0
30,30,Decision Tree,uncalibrated,-0.112,0,0
30,30,Decision Tree,uncalibrated,-0.11,0,0
30,30,Decision Tree,uncalibrated,-0.108,0,0
30,30,Random Forest,calibrated,-0.128,0.999750147930717,8.24087382512983E-09
30,30,Random Forest,calibrated,-0.126,0.999750184832453,8.19843868187067E-09
30,30,Random Forest,calibrated,-0.124,0.999750104392732,1.66173298200394E-08
30,30,Random Forest,calibrated,-0.122,0.999749842225223,3.71004755646385E-08
30,30,Random Forest,calibrated,-0.12,0.999749575169083,7.26878841351513E-08
30,30,Random Forest,calibrated,-0.118,0.999749262147228,1.08960374864458E-07
30,30,Random Forest,calibrated,-0.116,0.999748630595279,1.71357428476305E-07
30,30,Random Forest,calibrated,-0.114,0.000834443689442054,2.42626009798985E-06
30,30,Random Forest,calibrated,-0.112,0.000833844251483178,2.40471986996607E-06
30,30,Random Forest,calibrated,-0.11,0.000831564779590911,1.35820025127349E-06
30,30,Random Forest,calibrated,-0.108,0.000831301152422011,6.66396752050044E-07
30,30,Random Forest,uncalibrated,-0.128,0.99997535,3.24999999989917E-06
30,30,Random Forest,uncalibrated,-0.126,0.999982248934934,1.94755106252564E-06
30,30,Random Forest,uncalibrated,-0.124,0.999965916666666,4.00285116640793E-06
30,30,Random Forest,uncalibrated,-0.122,0.9998924,1.05653521789909E-05
30,30,Random Forest,uncalibrated,-0.12,0.999822875,2.26562859195417E-05
30,30,Random Forest,uncalibrated,-0.118,0.999795799299883,2.42594359197238E-05
30,30,Random Forest,uncalibrated,-0.116,0.9997162,3.2621669689496E-05
30,30,Random Forest,uncalibrated,-0.114,0.0001975,0.000100923254670732
30,30,Random Forest,uncalibrated,-0.112,0.00016,7.61561099743136E-05
30,30,Random Forest,uncalibrated,-0.11,0.000081,4.03333333333333E-05
30,30,Random Forest,uncalibrated,-0.108,8.23662798452701E-05,3.32544075074139E-05
30,30,Gradient Boosted Trees,calibrated,-0.128,0.999750124937431,5.1178752665209E-15
30,30,Gradient Boosted Trees,calibrated,-0.126,0.999750124937431,5.1178752665209E-15
30,30,Gradient Boosted Trees,calibrated,-0.124,0.999750124937441,5.1178752665209E-15
30,30,Gradient Boosted Trees,calibrated,-0.122,0.99975012493744,5.14789238764452E-15
30,30,Gradient Boosted Trees,calibrated,-0.12,0.999750124937436,5.35330155814915E-15
30,30,Gradient Boosted Trees,calibrated,-0.118,0.99975012493745,5.14789238764452E-15
30,30,Gradient Boosted Trees,calibrated,-0.116,0.99975012493744,5.14789238764452E-15
30,30,Gradient Boosted Trees,calibrated,-0.114,0.000831808443394809,2.75788844230187E-18
30,30,Gradient Boosted Trees,calibrated,-0.112,0.000831808443394836,3.61097924204726E-18
30,30,Gradient Boosted Trees,calibrated,-0.11,0.000831808443394814,2.81546330244928E-18
30,30,Gradient Boosted Trees,calibrated,-0.108,0.000831808443394831,2.72040942956196E-18
30,30,Gradient Boosted Trees,uncalibrated,-0.128,0.999989661274675,4.64439612620813E-15
30,30,Gradient Boosted Trees,uncalibrated,-0.126,0.999989661274675,4.64439612620813E-15
30,30,Gradient Boosted Trees,uncalibrated,-0.124,0.999989661274668,3.7155169009665E-15
30,30,Gradient Boosted Trees,uncalibrated,-0.122,0.999989661274688,4.9026121308903E-15
30,30,Gradient Boosted Trees,uncalibrated,-0.12,0.999989661274728,5.3820057937152E-15
30,30,Gradient Boosted Trees,uncalibrated,-0.118,0.99998966127461,3.49676193512308E-15
30,30,Gradient Boosted Trees,uncalibrated,-0.116,0.999989661274688,4.9026121308903E-15
30,30,Gradient Boosted Trees,uncalibrated,-0.114,3.228854888468E-05,6.74229713066739E-20
30,30,Gradient Boosted Trees,uncalibrated,-0.112,3.228854888468E-05,6.74229713066739E-20
30,30,Gradient Boosted Trees,uncalibrated,-0.11,3.228854888468E-05,6.74229713066739E-20
30,30,Gradient Boosted Trees,uncalibrated,-0.108,3.228854888468E-05,6.74229713066739E-20
30,30,kNN,calibrated,-0.128,0.999750124936284,2.20931592377709E-15
30,30,kNN,calibrated,-0.126,0.999750124936284,2.20931592377709E-15
30,30,kNN,calibrated,-0.124,0.999750124936295,1.09344286978131E-15
30,30,kNN,calibrated,-0.122,0.999750124936284,2.20931592377709E-15
30,30,kNN,calibrated,-0.12,0.999750124936295,2.16422309957864E-15
30,30,kNN,calibrated,-0.118,0.999750124936295,1.08779196440841E-15
