feature_set,n_features,model,calibration,train_acc,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
30,30,Logistic Regression,calibrated,1,-0.114996082829597,3.65834438311625E-06,-0.112,11,4.024,2.092,5.915,0.0085,0.008,0.00025,12.047
30,30,Logistic Regression,uncalibrated,1,-0.114999999421634,5.83871329524782E-10,-0.112,11,0.617,2.484,6.241,0.0088,0.0086,0.00018,9.36
30,30,Logistic Regression C = 0.00175,calibrated,1,-0.114995963913147,3.86843351381303E-06,-0.112,11,4.182,2.434,6.242,0.0097,0.0094,0.0002,12.877
30,30,Logistic Regression C = 0.00175,uncalibrated,1,-0.114999999245158,7.65106616671468E-10,-0.112,11,0.705,2.263,6.995,0.0091,0.0088,0.00017,9.981
30,30,Decision Tree,calibrated,1,-0.114999417436468,2.21344120014336E-18,-0.114,11,0.64,2.161,6.406,0.009,0.0088,0.00019,9.226
30,30,Decision Tree,uncalibrated,1,-0.115,0,-0.128,11,0.082,2.21,5.281,0.0086,0.0085,0.00015,7.59
30,30,Random Forest,calibrated,1,-0.114999416291917,2.60175875510398E-09,-0.114,11,13.779,1.953,5.52,0.0089,0.0084,0.00017,21.27
30,30,Random Forest,uncalibrated,1,-0.115000086341556,1.33603330378001E-07,-0.116,11,2.769,2.114,5.643,0.0079,0.0077,0.00017,10.541
30,30,Gradient Boosted Trees,calibrated,1,-0.11499941743647,5.15322706909272E-18,-0.114,11,24.711,2.168,5.888,0.0081,0.0079,0.00016,32.783
30,30,Gradient Boosted Trees,uncalibrated,1,-0.114999978049241,4.90278093146996E-18,-0.114,11,5.687,1.904,6.714,0.0081,0.0079,0.00017,14.32
30,30,kNN,calibrated,1,-0.114999417436468,2.21344120014336E-18,-0.112,11,709.586,1.966,6.03,0.0082,0.0077,0.00016,717.598
30,30,kNN,uncalibrated,1,-0.115,0,-0.128,11,173.123,2.271,5.122,0.0088,0.0083,0.00016,180.533
30,30,SVM (RBF),calibrated,1,-0.114996535629268,3.46367277987666E-06,-0.112,11,32.026,1.921,5.533,0.0084,0.0077,0.00029,39.496
30,30,SVM (RBF),uncalibrated,1,-0.11524998362948,2.84914940280203E-05,-0.116,11,6.79,2.081,6.051,0.0091,0.0087,0.00036,14.94
30,30,Neural Network,calibrated,1,-0.114999064413061,5.03243798716476E-07,-0.112,11,6.522,2.016,6.357,0.009,0.0085,0.00018,14.913
30,30,Neural Network,uncalibrated,1,-0.115,0,-0.128,11,1.471,2.327,5.266,0.01,0.0084,0.00017,9.083
20,20,Logistic Regression,calibrated,1,-0.114997638592205,2.48275935699346E-06,-0.112,11,0.752,3.027,8.661,0.0129,0.0121,0.00056,12.466
20,20,Logistic Regression,uncalibrated,1,-0.114999999717763,2.92396927989669E-10,-0.112,11,0.481,3.01,8.585,0.0123,0.0121,0.00026,12.101
20,20,Logistic Regression C = 0.00175,calibrated,1,-0.114997694813848,2.45756202246049E-06,-0.112,11,0.658,3.011,8.601,0.0122,0.0122,0.00023,12.295
20,20,Logistic Regression C = 0.00175,uncalibrated,1,-0.11499999941444,6.3174243476756E-10,-0.112,11,0.601,2.984,8.58,0.0122,0.012,0.00043,12.19
20,20,Decision Tree,calibrated,1,-0.114999417436468,2.21344120014336E-18,-0.114,11,0.542,2.944,8.562,0.0122,0.012,0.00024,12.073
20,20,Decision Tree,uncalibrated,1,-0.115,0,-0.128,11,0.07,2.947,7.056,0.0123,0.0121,0.00022,10.098
