feature_set,n_features,model,algorithm,n_neighbors,calibration,K0,chi,chi_err
30,30,KNN,auto,1,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,1,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,1,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,1,uncalibrated,4.73,0.0,0.0
30,30,KNN,auto,1,uncalibrated,4.74,0.0097090835552959,0.009566658773383852
30,30,KNN,auto,1,uncalibrated,4.75,0.04953466782709718,0.011541661154778143
30,30,KNN,auto,1,uncalibrated,4.76,0.15389588670804052,0.0171322690959972
30,30,KNN,auto,1,uncalibrated,4.77,0.24409872365379578,0.0036091714440505034
30,30,KNN,auto,1,uncalibrated,4.78,0.2184059935641467,0.008098359031032032
30,30,KNN,auto,1,uncalibrated,4.79,0.10962114146124412,0.011825709368878142
30,30,KNN,auto,1,uncalibrated,4.81,0.007662962407000121,0.007596585952940913
30,30,KNN,auto,1,uncalibrated,4.82,0.0,0.0
30,30,KNN,auto,1,uncalibrated,4.83,0.0023529411764706245,0.002352941176470588
30,30,KNN,auto,1,uncalibrated,4.84,0.0,0.0
30,30,KNN,auto,1,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,1,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,1,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,1,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,1,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,1,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,3,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,3,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,3,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,3,uncalibrated,4.73,0.0,0.0
30,30,KNN,auto,3,uncalibrated,4.74,0.007742443013922968,0.005029336701134003
30,30,KNN,auto,3,uncalibrated,4.75,0.04356883935427878,0.009396813367692282
30,30,KNN,auto,3,uncalibrated,4.76,0.13498492320457817,0.013351243228824465
30,30,KNN,auto,3,uncalibrated,4.77,0.2007065712432119,0.00785494698538175
30,30,KNN,auto,3,uncalibrated,4.78,0.17051768655769706,0.008787246286964208
30,30,KNN,auto,3,uncalibrated,4.79,0.07320487290625403,0.011768240158305432
30,30,KNN,auto,3,uncalibrated,4.81,0.005725336859532216,0.005648822464651191
30,30,KNN,auto,3,uncalibrated,4.82,0.001400054915869635,0.0011506431467034279
30,30,KNN,auto,3,uncalibrated,4.83,0.0002614379084967276,0.00026143790849673216
30,30,KNN,auto,3,uncalibrated,4.84,0.00020614306328592047,0.0002061430632859205
30,30,KNN,auto,3,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,3,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,3,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,3,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,3,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,3,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,5,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,5,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,5,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,5,uncalibrated,4.73,0.0,0.0
30,30,KNN,auto,5,uncalibrated,4.74,0.008561830043217162,0.006920672507695952
30,30,KNN,auto,5,uncalibrated,4.75,0.04431261976463072,0.00907058445029991
30,30,KNN,auto,5,uncalibrated,4.76,0.13094834312077566,0.01227499502893223
30,30,KNN,auto,5,uncalibrated,4.77,0.1920934000138,0.007229813664596241
30,30,KNN,auto,5,uncalibrated,4.78,0.1604992633988716,0.009678004339628564
30,30,KNN,auto,5,uncalibrated,4.79,0.06216541303663367,0.009287284357001203
30,30,KNN,auto,5,uncalibrated,4.81,0.004503909625228156,0.0044552660056740075
30,30,KNN,auto,5,uncalibrated,4.82,0.0005040197697130725,0.00041423153281323433
