feature_set,n_features,model,algorithm,n_neighbors,calibration,K0,mean,mean_err
30,30,KNN,auto,1,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,1,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,1,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,1,uncalibrated,4.73,0.0,0.0
30,30,KNN,auto,1,uncalibrated,4.74,0.009708737864077669,0.009708737864077669
30,30,KNN,auto,1,uncalibrated,4.75,0.05813953488372152,0.01286200741290632
30,30,KNN,auto,1,uncalibrated,4.76,0.18876404494382035,0.027613945454931472
30,30,KNN,auto,1,uncalibrated,4.77,0.421978021978022,0.022896336852763252
30,30,KNN,auto,1,uncalibrated,4.78,0.6791666666666683,0.022507163762565074
30,30,KNN,auto,1,uncalibrated,4.79,0.8695652173913043,0.015809727702370414
30,30,KNN,auto,1,uncalibrated,4.81,0.9923371647509581,0.007662835249042136
30,30,KNN,auto,1,uncalibrated,4.82,1.0,0.0
30,30,KNN,auto,1,uncalibrated,4.83,0.9976470588235201,0.00235294117647058
30,30,KNN,auto,1,uncalibrated,4.84,1.0,0.0
30,30,KNN,auto,1,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,1,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,1,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,1,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,1,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,1,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,3,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,3,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,3,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,3,uncalibrated,4.73,0.0,0.0
30,30,KNN,auto,3,uncalibrated,4.74,0.010517799352750809,0.005663430420711974
30,30,KNN,auto,3,uncalibrated,4.75,0.06589147286821823,0.01186675202716096
30,30,KNN,auto,3,uncalibrated,4.76,0.20074906367041198,0.022428172167160837
30,30,KNN,auto,3,uncalibrated,4.77,0.461469534050169,0.020605507435953494
30,30,KNN,auto,3,uncalibrated,4.78,0.7006944444444444,0.02469919339413712
30,30,KNN,auto,3,uncalibrated,4.79,0.8902356902356905,0.013417413363751657
30,30,KNN,auto,3,uncalibrated,4.81,0.9930025445292618,0.006997455470737934
30,30,KNN,auto,3,uncalibrated,4.82,0.9974747474747366,0.0018745138610051454
30,30,KNN,auto,3,uncalibrated,4.83,0.9992156862745284,0.0007843137254903032
30,30,KNN,auto,3,uncalibrated,4.84,0.9993815708101477,0.0006184291898577788
30,30,KNN,auto,3,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,3,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,3,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,3,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,3,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,3,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,5,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,5,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,5,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,5,uncalibrated,4.73,0.0,0.0
30,30,KNN,auto,5,uncalibrated,4.74,0.012135922330097085,0.008252427184466019
30,30,KNN,auto,5,uncalibrated,4.75,0.06569767441860465,0.011848959038908452
30,30,KNN,auto,5,uncalibrated,4.76,0.20584269662921337,0.02355373509798452
30,30,KNN,auto,5,uncalibrated,4.77,0.4720430107526984,0.01986781889567799
30,30,KNN,auto,5,uncalibrated,4.78,0.7083333333333334,0.023833916076791764
30,30,KNN,auto,5,uncalibrated,4.79,0.9006085192697769,0.012120418047811162
30,30,KNN,auto,5,uncalibrated,4.81,0.9942748091603053,0.005725190839694638
30,30,KNN,auto,5,uncalibrated,4.82,0.9984848484848158,0.0011247083166033513
30,30,KNN,auto,5,uncalibrated,4.83,0.9995294117647152,0.00047058823529405017
