feature_set,n_features,model,algorithm,n_neighbors,calibration,train_acc,K0_crit,K0_crit_err,K0_close,N_K0,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_K0_crit,runtime_total
30,30,KNN,auto,1,uncalibrated,1.0,4.773033647854726,0.0008856641190096312,4.77,20,22.203,0.777,1.817,0.0138,0.0135,0.00022,24.825
30,30,KNN,auto,3,uncalibrated,1.0,4.771610637700159,0.00088890625539765,4.77,20,21.843,0.818,2.078,0.0148,0.0148,0.00016,24.769
30,30,KNN,auto,5,uncalibrated,1.0,4.771183162684869,0.0008606815756352075,4.77,20,21.346,0.783,1.929,0.0141,0.0136,0.00016,24.086
30,30,KNN,auto,7,uncalibrated,1.0,4.771022146507666,0.0008574445454355834,4.77,20,20.955,0.835,2.129,0.0169,0.016,0.00028,23.953
30,30,KNN,auto,9,uncalibrated,1.0,4.770919012062032,0.0008718081295107394,4.77,20,22.436,0.98,2.22,0.0175,0.0146,0.00016,25.668
30,30,KNN,auto,11,uncalibrated,1.0,4.770738942256941,0.0008686147124708772,4.77,20,22.019,0.841,2.004,0.0142,0.0144,0.00029,24.893
30,30,KNN,auto,13,uncalibrated,1.0,4.770685984097641,0.0008724829347052276,4.77,20,22.584,0.839,2.111,0.0157,0.0143,0.00031,25.565
30,30,KNN,auto,15,uncalibrated,1.0,4.770596240586948,0.0008729650792328655,4.77,20,21.896,0.902,2.143,0.0149,0.0146,0.00016,24.97
30,30,KNN,auto,17,uncalibrated,1.0,4.770556376000274,0.0008757200769721904,4.77,20,22.52,0.831,2.111,0.0169,0.0157,0.00026,25.495
30,30,KNN,auto,19,uncalibrated,1.0,4.770434384647605,0.0008830597986175349,4.77,20,21.705,0.828,2.112,0.0152,0.0147,0.00016,24.675
30,30,KNN,auto,21,uncalibrated,1.0,4.770360837820314,0.0008835077202540894,4.77,20,22.723,0.891,2.102,0.0158,0.0179,0.00017,25.751
30,30,KNN,auto,23,uncalibrated,1.0,4.770288656074019,0.0008876247390753481,4.77,20,22.222,0.899,2.273,0.0167,0.0143,0.00016,25.425
30,30,KNN,auto,25,uncalibrated,1.0,4.770233544635622,0.0008954498364688845,4.77,20,21.718,0.874,2.207,0.015,0.0146,0.00043,24.829
30,30,KNN,auto,27,uncalibrated,1.0,4.770180995475114,0.0008950210326580032,4.77,20,21.159,0.879,2.244,0.016,0.0144,0.00018,24.312
30,30,KNN,auto,29,uncalibrated,1.0,4.770062407688626,0.0009057970528762758,4.77,20,21.292,0.753,1.918,0.0137,0.0135,0.00016,23.99
30,30,KNN,auto,31,uncalibrated,1.0,4.770027279281385,0.0009057191381692491,4.77,20,20.601,0.85,2.051,0.0144,0.0142,0.00016,23.531
30,30,KNN,auto,33,uncalibrated,1.0,4.770010966315135,0.0009004475060466142,4.77,20,20.402,0.809,2.02,0.0143,0.0137,0.00016,23.26
30,30,KNN,auto,35,uncalibrated,1.0,4.769991512204074,0.0007400370062570393,4.77,20,20.369,0.765,1.933,0.0139,0.0138,0.00015,23.095
30,30,KNN,auto,37,uncalibrated,1.0,4.7699546005716424,0.0007374020581888727,4.77,20,20.648,0.809,2.021,0.0158,0.0154,0.00023,23.509
30,30,KNN,auto,39,uncalibrated,1.0,4.76992157693938,0.000738134521393188,4.77,20,20.669,0.776,1.897,0.0138,0.0134,0.00015,23.37
30,30,KNN,auto,41,uncalibrated,1.0,4.7698918170831535,0.0007373345149595209,4.77,20,20.497,0.811,2.016,0.0143,0.0143,0.00014,23.352
30,30,KNN,auto,43,uncalibrated,1.0,4.769887411584248,0.0007374903282819212,4.77,20,20.354,0.815,2.014,0.014,0.014,0.00016,23.211
30,30,KNN,auto,45,uncalibrated,1.0,4.769877040667968,0.0007362521688667033,4.77,20,20.542,0.731,1.863,0.014,0.0139,0.00014,23.163
30,30,KNN,auto,47,uncalibrated,1.0,4.769853077154347,0.0007370802088748116,4.77,20,21.964,0.932,2.122,0.0143,0.0145,0.00016,25.046
30,30,KNN,auto,49,uncalibrated,1.0,4.769834785449793,0.0007348226236777723,4.77,20,21.373,0.839,2.106,0.0144,0.0142,0.00016,24.346
30,30,KNN,auto,51,uncalibrated,1.0,4.769816210111319,0.000733363797884267,4.77,20,21.642,0.833,2.101,0.0147,0.0146,0.00018,24.605
30,30,KNN,auto,61,uncalibrated,1.0,4.769783486739057,0.0007389570345759383,4.77,20,21.41,0.822,2.037,0.0146,0.0138,0.00015,24.297
30,30,KNN,auto,81,uncalibrated,1.0,4.7696809197821075,0.0007355798956670868,4.77,20,21.924,0.853,2.129,0.0148,0.014,0.00016,24.935
30,30,KNN,auto,101,uncalibrated,1.0,4.769606827520471,0.000736951916406418,4.77,20,21.591,0.853,2.22,0.0151,0.0149,0.00015,24.695
30,30,KNN,auto,151,uncalibrated,1.0,4.7694703425289235,0.0007333257991600605,4.77,20,22.082,0.818,2.106,0.0153,0.0155,0.00015,25.037
30,30,KNN,auto,201,uncalibrated,1.0,4.769423430448811,0.0007303885902139881,4.77,20,21.428,0.809,2.152,0.0145,0.014,0.00015,24.418
30,30,KNN,kd_tree,1,uncalibrated,1.0,4.773033647854726,0.0008856641190096312,4.77,20,0.357,0.872,2.1,0.0149,0.0158,0.00016,3.359
30,30,KNN,kd_tree,3,uncalibrated,1.0,4.771610637700159,0.00088890625539765,4.77,20,1.4,0.866,2.088,0.0147,0.0144,0.00016,4.384
30,30,KNN,kd_tree,5,uncalibrated,1.0,4.771183162684869,0.0008606815756352075,4.77,20,1.604,0.865,2.093,0.015,0.0146,0.0003,4.592
30,30,KNN,kd_tree,7,uncalibrated,1.0,4.771022146507666,0.0008574445454355834,4.77,20,1.851,0.831,2.027,0.0147,0.0146,0.00015,4.738
30,30,KNN,kd_tree,9,uncalibrated,1.0,4.770919012062032,0.0008718081295107394,4.77,20,1.516,0.851,2.054,0.0148,0.0147,0.00015,4.45
30,30,KNN,kd_tree,11,uncalibrated,1.0,4.770738942256941,0.0008686147124708772,4.77,20,1.957,0.836,2.02,0.0149,0.0142,0.00016,4.842
30,30,KNN,kd_tree,13,uncalibrated,1.0,4.770685984097641,0.0008724829347052276,4.77,20,1.95,0.774,1.908,0.0142,0.0132,0.00016,4.66
30,30,KNN,kd_tree,15,uncalibrated,1.0,4.770596240586948,0.0008729650792328655,4.77,20,1.963,0.774,1.839,0.0137,0.0136,0.00014,4.603
30,30,KNN,kd_tree,17,uncalibrated,1.0,4.770556376000274,0.0008757200769721904,4.77,20,1.627,0.804,2.006,0.0142,0.0136,0.00015,4.465
30,30,KNN,kd_tree,19,uncalibrated,1.0,4.770434384647605,0.0008830597986175349,4.77,20,2.078,0.749,2.232,0.0147,0.0144,0.00038,5.089
30,30,KNN,kd_tree,21,uncalibrated,1.0,4.770360837820314,0.0008835077202540894,4.77,20,2.592,0.814,2.047,0.0154,0.0157,0.00015,5.484
30,30,KNN,kd_tree,23,uncalibrated,1.0,4.770288656074019,0.0008876247390753481,4.77,20,2.436,0.885,2.125,0.0151,0.0143,0.00016,5.476
30,30,KNN,kd_tree,25,uncalibrated,1.0,4.770233544635622,0.0008954498364688845,4.77,20,2.327,0.87,2.152,0.0144,0.0143,0.00016,5.377
30,30,KNN,kd_tree,27,uncalibrated,1.0,4.770180995475114,0.0008950210326580032,4.77,20,2.455,0.83,2.1,0.015,0.0146,0.00016,5.415
30,30,KNN,kd_tree,29,uncalibrated,1.0,4.770062407688626,0.0009057970528762758,4.77,20,2.1,0.857,2.153,0.0154,0.0145,0.00017,5.139
30,30,KNN,kd_tree,31,uncalibrated,1.0,4.770027279281385,0.0009057191381692491,4.77,20,2.639,0.87,2.178,0.016,0.0141,0.00016,5.717
30,30,KNN,kd_tree,33,uncalibrated,1.0,4.770010966315135,0.0009004475060466142,4.77,20,2.863,0.82,2.117,0.0143,0.0148,0.00015,5.829
30,30,KNN,kd_tree,35,uncalibrated,1.0,4.769991512204074,0.0007400370062570393,4.77,20,2.609,0.848,2.111,0.0147,0.0141,0.00016,5.598
30,30,KNN,kd_tree,37,uncalibrated,1.0,4.7699546005716424,0.0007374020581888727,4.77,20,2.776,0.857,2.151,0.0148,0.0147,0.00016,5.813
30,30,KNN,kd_tree,39,uncalibrated,1.0,4.76992157693938,0.000738134521393188,4.77,20,2.888,0.845,2.132,0.0144,0.0146,0.00016,5.894
30,30,KNN,kd_tree,41,uncalibrated,1.0,4.7698918170831535,0.0007373345149595209,4.77,20,2.448,0.837,2.099,0.0144,0.0139,0.00015,5.413
30,30,KNN,kd_tree,43,uncalibrated,1.0,4.769887411584248,0.0007374903282819212,4.77,20,2.708,0.851,2.16,0.0161,0.0158,0.0003,5.75
30,30,KNN,kd_tree,45,uncalibrated,1.0,4.769877040667968,0.0007362521688667033,4.77,20,3.108,0.855,2.108,0.0145,0.0147,0.00016,6.1
30,30,KNN,kd_tree,47,uncalibrated,1.0,4.769853077154347,0.0007370802088748116,4.77,20,2.598,0.823,2.069,0.0157,0.0146,0.00016,5.52
30,30,KNN,kd_tree,49,uncalibrated,1.0,4.769834785449793,0.0007348226236777723,4.77,20,2.669,0.865,2.173,0.0153,0.0143,0.00018,5.736
30,30,KNN,kd_tree,51,uncalibrated,1.0,4.769816210111319,0.000733363797884267,4.77,20,3.071,0.854,2.175,0.0158,0.0156,0.00031,6.131
30,30,KNN,kd_tree,61,uncalibrated,1.0,4.769783486739057,0.0007389570345759383,4.77,20,2.931,0.819,2.064,0.0147,0.0141,0.00015,5.842
30,30,KNN,kd_tree,81,uncalibrated,1.0,4.7696809197821075,0.0007355798956670868,4.77,20,3.303,0.793,2.002,0.0137,0.0132,0.00024,6.126
30,30,KNN,kd_tree,101,uncalibrated,1.0,4.769606827520471,0.000736951916406418,4.77,20,3.845,0.802,2.057,0.0143,0.0146,0.00043,6.733
30,30,KNN,kd_tree,151,uncalibrated,1.0,4.7694703425289235,0.0007333257991600605,4.77,20,4.385,0.839,2.145,0.0152,0.014,0.00016,7.399
30,30,KNN,kd_tree,201,uncalibrated,1.0,4.769423430448811,0.0007303885902139881,4.77,20,4.868,0.838,2.162,0.0144,0.0148,0.00016,7.897
30,30,KNN,ball_tree,1,uncalibrated,1.0,4.773033647854726,0.0008856641190096312,4.77,20,4.154,0.902,2.068,0.0147,0.0142,0.00034,7.152
30,30,KNN,ball_tree,3,uncalibrated,1.0,4.771610637700159,0.00088890625539765,4.77,20,6.335,0.853,2.076,0.0152,0.0165,0.00019,9.295
30,30,KNN,ball_tree,5,uncalibrated,1.0,4.771183162684869,0.0008606815756352075,4.77,20,7.241,0.823,1.99,0.0142,0.0151,0.00015,10.084
30,30,KNN,ball_tree,7,uncalibrated,1.0,4.771022146507666,0.0008574445454355834,4.77,20,6.441,0.815,1.992,0.0142,0.0139,0.00016,9.276
30,30,KNN,ball_tree,9,uncalibrated,1.0,4.770919012062032,0.0008718081295107394,4.77,20,6.824,0.844,2.128,0.0185,0.0168,0.00016,9.832
30,30,KNN,ball_tree,11,uncalibrated,1.0,4.770738942256941,0.0008686147124708772,4.77,20,7.054,0.905,2.035,0.0137,0.0147,0.00015,10.023
30,30,KNN,ball_tree,13,uncalibrated,1.0,4.770685984097641,0.0008724829347052276,4.77,20,6.9,0.848,2.065,0.0167,0.0141,0.00015,9.844
30,30,KNN,ball_tree,15,uncalibrated,1.0,4.770596240586948,0.0008729650792328655,4.77,20,7.878,0.84,2.023,0.0152,0.014,0.00016,10.771
30,30,KNN,ball_tree,17,uncalibrated,1.0,4.770556376000274,0.0008757200769721904,4.77,20,7.25,0.841,2.137,0.0146,0.0142,0.00016,10.257
30,30,KNN,ball_tree,19,uncalibrated,1.0,4.770434384647605,0.0008830597986175349,4.77,20,7.263,0.915,2.145,0.0158,0.0156,0.00024,10.354
30,30,KNN,ball_tree,21,uncalibrated,1.0,4.770360837820314,0.0008835077202540894,4.77,20,7.316,0.801,2.005,0.014,0.0135,0.00016,10.15
30,30,KNN,ball_tree,23,uncalibrated,1.0,4.770288656074019,0.0008876247390753481,4.77,20,7.442,0.797,2.039,0.0152,0.0139,0.00016,10.307
30,30,KNN,ball_tree,25,uncalibrated,1.0,4.770233544635622,0.0008954498364688845,4.77,20,4.82,0.885,2.145,0.0146,0.015,0.00017,7.879
30,30,KNN,ball_tree,27,uncalibrated,1.0,4.770180995475114,0.0008950210326580032,4.77,20,7.939,0.896,2.155,0.0146,0.0143,0.00017,11.02
30,30,KNN,ball_tree,29,uncalibrated,1.0,4.770062407688626,0.0009057970528762758,4.77,20,5.029,0.842,2.105,0.015,0.0141,0.00015,8.006
30,30,KNN,ball_tree,31,uncalibrated,1.0,4.770027279281385,0.0009057191381692491,4.77,20,7.729,0.821,2.071,0.0142,0.0149,0.00015,10.65
30,30,KNN,ball_tree,33,uncalibrated,1.0,4.770010966315135,0.0009004475060466142,4.77,20,8.247,0.868,2.155,0.0147,0.0145,0.00016,11.299
30,30,KNN,ball_tree,35,uncalibrated,1.0,4.769991512204074,0.0007400370062570393,4.77,20,6.861,0.836,2.092,0.0146,0.014,0.00016,9.818
30,30,KNN,ball_tree,37,uncalibrated,1.0,4.7699546005716424,0.0007374020581888727,4.77,20,8.002,0.854,2.144,0.0145,0.0143,0.00016,11.028
30,30,KNN,ball_tree,39,uncalibrated,1.0,4.76992157693938,0.000738134521393188,4.77,20,8.335,0.842,2.09,0.0155,0.0141,0.00016,11.297
30,30,KNN,ball_tree,41,uncalibrated,1.0,4.7698918170831535,0.0007373345149595209,4.77,20,6.806,0.877,2.152,0.0149,0.0145,0.00016,9.865
30,30,KNN,ball_tree,43,uncalibrated,1.0,4.769887411584248,0.0007374903282819212,4.77,20,5.307,0.85,2.12,0.0166,0.0141,0.00016,8.308
30,30,KNN,ball_tree,45,uncalibrated,1.0,4.769877040667968,0.0007362521688667033,4.77,20,7.939,0.811,2.067,0.0144,0.0142,0.00016,10.846
30,30,KNN,ball_tree,47,uncalibrated,1.0,4.769853077154347,0.0007370802088748116,4.77,20,8.695,0.866,2.169,0.0149,0.0143,0.00016,11.76
30,30,KNN,ball_tree,49,uncalibrated,1.0,4.769834785449793,0.0007348226236777723,4.77,20,7.641,0.819,2.07,0.0143,0.0139,0.00016,10.559
30,30,KNN,ball_tree,51,uncalibrated,1.0,4.769816210111319,0.000733363797884267,4.77,20,8.032,0.842,2.087,0.0143,0.0146,0.00015,10.99
30,30,KNN,ball_tree,61,uncalibrated,1.0,4.769783486739057,0.0007389570345759383,4.77,20,8.784,0.856,2.081,0.0151,0.015,0.00016,11.751
30,30,KNN,ball_tree,81,uncalibrated,1.0,4.7696809197821075,0.0007355798956670868,4.77,20,9.002,0.877,2.146,0.0144,0.0142,0.00016,12.054
30,30,KNN,ball_tree,101,uncalibrated,1.0,4.769606827520471,0.000736951916406418,4.77,20,9.075,0.772,1.972,0.0135,0.0137,0.00015,11.846
30,30,KNN,ball_tree,151,uncalibrated,1.0,4.7694703425289235,0.0007333257991600605,4.77,20,9.954,0.91,2.278,0.0148,0.0143,0.00016,13.172
30,30,KNN,ball_tree,201,uncalibrated,1.0,4.769423430448811,0.0007303885902139881,4.77,20,10.569,0.918,2.309,0.015,0.0146,0.00016,13.826
30,30,KNN,brute,1,uncalibrated,1.0,4.773033647854726,0.0008856641190096312,4.77,20,21.285,0.828,2.006,0.0161,0.0144,0.00017,24.15
30,30,KNN,brute,3,uncalibrated,1.0,4.771610637700159,0.00088890625539765,4.77,20,20.717,0.82,2.037,0.0161,0.0157,0.00016,23.606
30,30,KNN,brute,5,uncalibrated,1.0,4.771183162684869,0.0008606815756352075,4.77,20,21.045,0.859,2.095,0.0146,0.0142,0.00015,24.028
30,30,KNN,brute,7,uncalibrated,1.0,4.771022146507666,0.0008574445454355834,4.77,20,21.096,0.802,1.97,0.0139,0.0136,0.00015,23.896
30,30,KNN,brute,9,uncalibrated,1.0,4.770919012062032,0.0008718081295107394,4.77,20,21.61,0.822,2.06,0.0149,0.0149,0.00016,24.522
30,30,KNN,brute,11,uncalibrated,1.0,4.770738942256941,0.0008686147124708772,4.77,20,21.438,0.868,2.054,0.0144,0.0143,0.00015,24.389
30,30,KNN,brute,13,uncalibrated,1.0,4.770685984097641,0.0008724829347052276,4.77,20,21.518,0.836,2.066,0.0154,0.0153,0.00026,24.451
30,30,KNN,brute,15,uncalibrated,1.0,4.770596240586948,0.0008729650792328655,4.77,20,20.924,0.859,2.04,0.0144,0.0143,0.00015,23.851
30,30,KNN,brute,17,uncalibrated,1.0,4.770556376000274,0.0008757200769721904,4.77,20,21.261,0.854,2.044,0.0152,0.0157,0.00015,24.19
30,30,KNN,brute,19,uncalibrated,1.0,4.770434384647605,0.0008830597986175349,4.77,20,21.392,0.818,2.04,0.0141,0.0155,0.00016,24.28
30,30,KNN,brute,21,uncalibrated,1.0,4.770360837820314,0.0008835077202540894,4.77,20,21.997,0.888,2.269,0.0157,0.0153,0.00017,25.186
30,30,KNN,brute,23,uncalibrated,1.0,4.770288656074019,0.0008876247390753481,4.77,20,21.499,0.828,2.08,0.014,0.0138,0.00017,24.434
30,30,KNN,brute,25,uncalibrated,1.0,4.770233544635622,0.0008954498364688845,4.77,20,20.954,0.822,2.071,0.0155,0.0139,0.00016,23.876
30,30,KNN,brute,27,uncalibrated,1.0,4.770180995475114,0.0008950210326580032,4.77,20,20.974,0.808,2.134,0.0144,0.0146,0.00015,23.944
30,30,KNN,brute,29,uncalibrated,1.0,4.770062407688626,0.0009057970528762758,4.77,20,21.57,0.929,2.174,0.0141,0.0138,0.00015,24.701
30,30,KNN,brute,31,uncalibrated,1.0,4.770027279281385,0.0009057191381692491,4.77,20,22.008,0.838,2.084,0.0141,0.0153,0.0002,24.959
30,30,KNN,brute,33,uncalibrated,1.0,4.770010966315135,0.0009004475060466142,4.77,20,22.431,1.074,2.893,0.0163,0.0188,0.00016,26.434
30,30,KNN,brute,35,uncalibrated,1.0,4.769991512204074,0.0007400370062570393,4.77,20,21.667,0.864,2.128,0.0146,0.0142,0.00015,24.687
30,30,KNN,brute,37,uncalibrated,1.0,4.7699546005716424,0.0007374020581888727,4.77,20,21.596,0.818,1.981,0.0136,0.0138,0.00015,24.423
30,30,KNN,brute,39,uncalibrated,1.0,4.76992157693938,0.000738134521393188,4.77,20,21.703,0.835,2.088,0.0149,0.0139,0.00015,24.655
30,30,KNN,brute,41,uncalibrated,1.0,4.7698918170831535,0.0007373345149595209,4.77,20,21.767,0.904,2.267,0.0159,0.0141,0.00016,24.968
30,30,KNN,brute,43,uncalibrated,1.0,4.769887411584248,0.0007374903282819212,4.77,20,22.166,0.869,2.132,0.016,0.0142,0.00017,25.198
30,30,KNN,brute,45,uncalibrated,1.0,4.769877040667968,0.0007362521688667033,4.77,20,21.826,0.809,2.059,0.0143,0.0144,0.00021,24.722
30,30,KNN,brute,47,uncalibrated,1.0,4.769853077154347,0.0007370802088748116,4.77,20,21.672,0.848,2.117,0.0151,0.0141,0.00016,24.667
30,30,KNN,brute,49,uncalibrated,1.0,4.769834785449793,0.0007348226236777723,4.77,20,20.996,0.834,2.059,0.0148,0.0138,0.00015,23.917
30,30,KNN,brute,51,uncalibrated,1.0,4.769816210111319,0.000733363797884267,4.77,20,21.297,0.933,2.139,0.0155,0.0142,0.00016,24.4
30,30,KNN,brute,61,uncalibrated,1.0,4.769783486739057,0.0007389570345759383,4.77,20,21.427,0.872,2.13,0.0142,0.0138,0.00016,24.457
30,30,KNN,brute,81,uncalibrated,1.0,4.7696809197821075,0.0007355798956670868,4.77,20,21.689,0.862,2.087,0.0138,0.0144,0.00019,24.666
30,30,KNN,brute,101,uncalibrated,1.0,4.769606827520471,0.000736951916406418,4.77,20,21.723,0.835,2.097,0.0137,0.0141,0.00015,24.683
30,30,KNN,brute,151,uncalibrated,1.0,4.7694703425289235,0.0007333257991600605,4.77,20,21.8,0.851,2.207,0.0144,0.0159,0.00025,24.889
30,30,KNN,brute,201,uncalibrated,1.0,4.769423430448811,0.0007303885902139881,4.77,20,22.147,0.881,2.326,0.0158,0.0147,0.00016,25.385
21,20,KNN,auto,1,uncalibrated,1.0,4.772202933065931,0.001400908802001312,4.77,20,22.618,0.83,2.17,0.0146,0.0141,0.00017,25.647
21,20,KNN,auto,3,uncalibrated,1.0,4.772972925145992,0.0011936088702908531,4.77,20,22.837,0.93,2.186,0.014,0.0136,0.00015,25.981
21,20,KNN,auto,5,uncalibrated,1.0,4.772918249918575,0.001337740737046635,4.77,20,22.583,0.884,2.208,0.0148,0.0145,0.00015,25.704
21,20,KNN,auto,7,uncalibrated,1.0,4.773033612925829,0.0013204544018266871,4.77,20,21.723,0.841,2.184,0.0182,0.0156,0.00021,24.782
21,20,KNN,auto,9,uncalibrated,1.0,4.77349378144878,0.0013928228846027668,4.77,20,22.338,0.864,2.182,0.0145,0.0153,0.00016,25.414
21,20,KNN,auto,11,uncalibrated,1.0,4.773721555299986,0.0014671367407148128,4.77,20,21.881,0.859,2.21,0.0149,0.0144,0.00016,24.98
21,20,KNN,auto,13,uncalibrated,1.0,4.773940972600649,0.0013594229341321806,4.77,20,21.917,0.802,2.144,0.0146,0.0141,0.00016,24.891
21,20,KNN,auto,15,uncalibrated,1.0,4.774242894205271,0.0013360144623455526,4.77,20,21.914,0.829,2.16,0.0141,0.014,0.00019,24.93
21,20,KNN,auto,17,uncalibrated,1.0,4.774460246715742,0.0013365759222375212,4.77,20,21.482,0.842,2.16,0.0141,0.0137,0.00015,24.512
21,20,KNN,auto,19,uncalibrated,1.0,4.774672068129399,0.0013209393633187559,4.77,20,22.077,0.849,2.24,0.0146,0.0143,0.00015,25.196
21,20,KNN,auto,21,uncalibrated,1.0,4.774973707126415,0.001356907067603633,4.77,20,22.468,0.866,2.425,0.0155,0.0145,0.00016,25.789
21,20,KNN,auto,23,uncalibrated,1.0,4.775157293679923,0.001376127289165482,4.78,20,23.121,0.873,2.437,0.0159,0.0157,0.00017,26.462
21,20,KNN,auto,25,uncalibrated,1.0,4.7753843726995475,0.0013902797375451165,4.78,20,22.482,0.809,2.156,0.0229,0.0226,0.00015,25.493
21,20,KNN,auto,27,uncalibrated,1.0,4.775608484630595,0.0014166172841473747,4.78,20,22.395,1.026,2.85,0.0149,0.0143,0.00016,26.299
21,20,KNN,auto,29,uncalibrated,1.0,4.775757478452779,0.0014080196787108483,4.78,20,21.898,0.807,2.093,0.0153,0.0144,0.00033,24.828
21,20,KNN,auto,31,uncalibrated,1.0,4.77596878272092,0.0014553137821321734,4.78,20,22.851,0.869,2.288,0.015,0.0152,0.00019,26.037
21,20,KNN,auto,33,uncalibrated,1.0,4.776112088464438,0.0014525432418130335,4.78,20,22.081,0.812,2.135,0.014,0.0135,0.00015,25.056
21,20,KNN,auto,35,uncalibrated,1.0,4.7762753649524505,0.0014469803334863178,4.78,20,22.844,0.868,2.26,0.0152,0.0167,0.00017,26.004
21,20,KNN,auto,37,uncalibrated,1.0,4.77643202833783,0.0014520043727205426,4.78,20,23.266,0.908,2.309,0.015,0.0148,0.00017,26.513
21,20,KNN,auto,39,uncalibrated,1.0,4.776608593520603,0.0014480520484464762,4.78,20,22.812,0.85,2.524,0.0146,0.0149,0.00015,26.215
21,20,KNN,auto,41,uncalibrated,1.0,4.776762669764983,0.0014669947993333624,4.78,20,22.827,0.921,2.607,0.0248,0.023,0.0002,26.403
21,20,KNN,auto,43,uncalibrated,1.0,4.7769068361981,0.0014580589238148303,4.78,20,23.339,1.118,2.387,0.0146,0.0161,0.00015,26.875
21,20,KNN,auto,45,uncalibrated,1.0,4.777040900356849,0.0014663233390104487,4.78,20,22.117,0.851,2.252,0.0146,0.0143,0.00015,25.249
21,20,KNN,auto,47,uncalibrated,1.0,4.777171584634762,0.0014560602609098275,4.78,20,22.502,0.856,2.201,0.0144,0.0154,0.00016,25.588
21,20,KNN,auto,49,uncalibrated,1.0,4.777296041604263,0.001462464500091082,4.78,20,22.298,0.928,2.151,0.016,0.0154,0.00029,25.408
21,20,KNN,auto,51,uncalibrated,1.0,4.777427013301609,0.0014569745186733469,4.78,20,22.297,0.847,2.217,0.0161,0.016,0.00029,25.392
21,20,KNN,auto,61,uncalibrated,1.0,4.778029789270038,0.0014774884794996762,4.78,20,22.339,0.841,2.229,0.014,0.015,0.0003,25.438
21,20,KNN,auto,81,uncalibrated,1.0,4.779076928665706,0.0015277178496128359,4.78,20,22.77,0.874,2.261,0.0146,0.0142,0.00016,25.934
21,20,KNN,auto,101,uncalibrated,1.0,4.779971946861328,0.0015292354723568354,4.78,20,22.338,0.846,2.197,0.0153,0.014,0.00016,25.41
21,20,KNN,auto,151,uncalibrated,1.0,4.781605374677331,0.0012740309278496335,4.78,20,22.852,0.886,2.36,0.0232,0.0153,0.00017,26.136
21,20,KNN,auto,201,uncalibrated,1.0,4.782879767934046,0.0012275294822860275,4.78,20,22.61,0.846,2.195,0.0146,0.0194,0.00026,25.685
21,20,KNN,kd_tree,1,uncalibrated,1.0,4.772202933065931,0.001400908802001312,4.77,20,0.507,0.829,2.072,0.0145,0.014,0.00016,3.437
21,20,KNN,kd_tree,3,uncalibrated,1.0,4.772972925145992,0.0011936088702908531,4.77,20,1.581,0.826,2.238,0.0147,0.0143,0.00024,4.674
21,20,KNN,kd_tree,5,uncalibrated,1.0,4.772918249918575,0.001337740737046635,4.77,20,1.798,0.868,2.199,0.0165,0.0154,0.00017,4.897
21,20,KNN,kd_tree,7,uncalibrated,1.0,4.773033612925829,0.0013204544018266871,4.77,20,1.398,0.85,2.193,0.0146,0.0162,0.00015,4.471
21,20,KNN,kd_tree,9,uncalibrated,1.0,4.77349378144878,0.0013928228846027668,4.77,20,2.049,0.838,2.183,0.0142,0.014,0.00016,5.099
21,20,KNN,kd_tree,11,uncalibrated,1.0,4.773721555299986,0.0014671367407148128,4.77,20,2.278,0.836,2.118,0.0143,0.0157,0.00015,5.262
21,20,KNN,kd_tree,13,uncalibrated,1.0,4.773940972600649,0.0013594229341321806,4.77,20,2.052,0.882,2.217,0.0155,0.0148,0.00016,5.181
21,20,KNN,kd_tree,15,uncalibrated,1.0,4.774242894205271,0.0013360144623455526,4.77,20,2.601,0.878,2.296,0.0144,0.0144,0.00015,5.803
21,20,KNN,kd_tree,17,uncalibrated,1.0,4.774460246715742,0.0013365759222375212,4.77,20,2.689,0.843,2.181,0.0189,0.014,0.00015,5.747
21,20,KNN,kd_tree,19,uncalibrated,1.0,4.774672068129399,0.0013209393633187559,4.77,20,2.545,0.81,2.153,0.0146,0.0162,0.00015,5.539
21,20,KNN,kd_tree,21,uncalibrated,1.0,4.774973707126415,0.001356907067603633,4.77,20,2.874,0.868,2.209,0.015,0.0141,0.00016,5.981
21,20,KNN,kd_tree,23,uncalibrated,1.0,4.775157293679923,0.001376127289165482,4.78,20,2.696,0.879,2.265,0.0157,0.0153,0.00018,5.871
21,20,KNN,kd_tree,25,uncalibrated,1.0,4.7753843726995475,0.0013902797375451165,4.78,20,2.954,0.829,2.184,0.0151,0.0151,0.00016,5.997
21,20,KNN,kd_tree,27,uncalibrated,1.0,4.775608484630595,0.0014166172841473747,4.78,20,2.769,0.86,2.19,0.015,0.0142,0.00015,5.849
21,20,KNN,kd_tree,29,uncalibrated,1.0,4.775757478452779,0.0014080196787108483,4.78,20,3.145,0.9,2.201,0.0151,0.0143,0.00016,6.276
21,20,KNN,kd_tree,31,uncalibrated,1.0,4.77596878272092,0.0014553137821321734,4.78,20,2.655,0.902,2.261,0.0149,0.0141,0.00015,5.847
21,20,KNN,kd_tree,33,uncalibrated,1.0,4.776112088464438,0.0014525432418130335,4.78,20,2.977,0.816,2.182,0.0144,0.0142,0.00016,6.004
