feature_set,n_features,model,calibration,K0,chi,chi_err
30,30,Logistic Regression,calibrated,4.67,9.42370623496197E-08,1.62680039481542E-08
30,30,Logistic Regression,calibrated,4.7,2.92053475034869E-05,4.63922827041372E-06
30,30,Logistic Regression,calibrated,4.72,0.00105505563439632,0.000145660527128108
30,30,Logistic Regression,calibrated,4.73,0.00426992741364406,0.000388935411409624
30,30,Logistic Regression,calibrated,4.74,0.0130586079734329,0.0008743379545218
30,30,Logistic Regression,calibrated,4.75,0.0294902791109263,0.00171007931567837
30,30,Logistic Regression,calibrated,4.76,0.0447312624530285,0.00150457564747713
30,30,Logistic Regression,calibrated,4.77,0.0507394138409643,0.00104347007707642
30,30,Logistic Regression,calibrated,4.78,0.0408520177186262,0.000985291746286874
30,30,Logistic Regression,calibrated,4.79,0.0239741242519103,0.00103733197696708
30,30,Logistic Regression,calibrated,4.81,0.00513720091289574,0.000413483945511904
30,30,Logistic Regression,calibrated,4.82,0.00171138819681734,0.000295924209001042
30,30,Logistic Regression,calibrated,4.83,0.000542243152706913,6.11808328432013E-05
30,30,Logistic Regression,calibrated,4.84,0.000204352453877221,5.36899647073998E-05
30,30,Logistic Regression,calibrated,4.85,6.22823069978798E-05,1.1272386442577E-05
30,30,Logistic Regression,calibrated,4.86,2.26668041720026E-05,4.27394230175497E-06
30,30,Logistic Regression,calibrated,4.87,9.16009841412309E-06,1.33118175704738E-06
30,30,Logistic Regression,calibrated,4.88,3.56382315955662E-06,4.21964826142373E-07
30,30,Logistic Regression,calibrated,4.9,7.40499749138413E-07,9.3707533478236E-08
30,30,Logistic Regression,calibrated,4.93,6.20934812317546E-08,6.98345368743912E-09
30,30,Logistic Regression,uncalibrated,4.67,4.70924620334748E-08,8.56351518203084E-09
30,30,Logistic Regression,uncalibrated,4.7,2.19057401150016E-05,4.02075450895085E-06
30,30,Logistic Regression,uncalibrated,4.72,0.00101523881027657,0.000160704609365191
30,30,Logistic Regression,uncalibrated,4.73,0.00439257965855003,0.000421008082416854
30,30,Logistic Regression,uncalibrated,4.74,0.0140821704772661,0.000962704372147412
30,30,Logistic Regression,uncalibrated,4.75,0.0326249854928556,0.00188275430102637
30,30,Logistic Regression,uncalibrated,4.76,0.0496069403815441,0.00162669312998332
30,30,Logistic Regression,uncalibrated,4.77,0.0549390771395159,0.00105614039093381
30,30,Logistic Regression,uncalibrated,4.78,0.0424035957256175,0.00108395584512696
30,30,Logistic Regression,uncalibrated,4.79,0.0233393492311363,0.00109250083185447
30,30,Logistic Regression,uncalibrated,4.81,0.00430091877386776,0.000386341592618557
30,30,Logistic Regression,uncalibrated,4.82,0.00129606757563188,0.000251273441979711
30,30,Logistic Regression,uncalibrated,4.83,0.000368067162505274,4.69372978294005E-05
30,30,Logistic Regression,uncalibrated,4.84,0.000130460545266827,3.82536619544223E-05
30,30,Logistic Regression,uncalibrated,4.85,3.57396734582782E-05,7.07055966566953E-06
30,30,Logistic Regression,uncalibrated,4.86,1.20550537150164E-05,2.50577750064017E-06
30,30,Logistic Regression,uncalibrated,4.87,4.5590494455189E-06,7.19221038013222E-07
30,30,Logistic Regression,uncalibrated,4.88,1.64346302382578E-06,2.13872651523752E-07
30,30,Logistic Regression,uncalibrated,4.9,3.128626266813E-07,4.39114495617559E-08
30,30,Logistic Regression,uncalibrated,4.93,2.15604334225542E-08,2.64665477126201E-09
30,30,Logistic Regression C = 0.00175,calibrated,4.67,9.46281721344629E-08,1.64629721655182E-08
