feature_set,n_features,model,calibration,K0,mean,mean_err
30,30,Logistic Regression,calibrated,4.67,0.000188535915616493,1.39717672800056E-05
30,30,Logistic Regression,calibrated,4.7,0.00346027622336251,0.000163273833690857
30,30,Logistic Regression,calibrated,4.72,0.0221092692642415,0.000855297936496147
30,30,Logistic Regression,calibrated,4.73,0.0511201225207063,0.00148342366463301
30,30,Logistic Regression,calibrated,4.74,0.111533411221541,0.00296956781241367
30,30,Logistic Regression,calibrated,4.75,0.21170578366717,0.00749323624465718
30,30,Logistic Regression,calibrated,4.76,0.354011810040747,0.00834675134209265
30,30,Logistic Regression,calibrated,4.77,0.521351903456276,0.0101641032830263
30,30,Logistic Regression,calibrated,4.78,0.676550600880397,0.00799800726502349
30,30,Logistic Regression,calibrated,4.79,0.80140050069983,0.00500669141218132
30,30,Logistic Regression,calibrated,4.81,0.93336933059772,0.00399896731600607
30,30,Logistic Regression,calibrated,4.82,0.964296926184156,0.00153109048461382
30,30,Logistic Regression,calibrated,4.83,0.980595101271779,0.000763719638909866
30,30,Logistic Regression,calibrated,4.84,0.988685843610712,0.00100835250438042
30,30,Logistic Regression,calibrated,4.85,0.993825150647871,0.000319434270289416
30,30,Logistic Regression,calibrated,4.86,0.99636679997782,0.000229443045232245
30,30,Logistic Regression,calibrated,4.87,0.99773410961744,0.000114455141540189
30,30,Logistic Regression,calibrated,4.88,0.998551640471144,5.91124946276632E-05
30,30,Logistic Regression,calibrated,4.9,0.999419939099159,2.645919988333E-05
30,30,Logistic Regression,calibrated,4.93,0.999809400610682,1.01642230037536E-05
30,30,Logistic Regression,uncalibrated,4.67,0.000120130674737099,9.64443966731164E-06
30,30,Logistic Regression,uncalibrated,4.7,0.002680480014637,0.000137606791928159
30,30,Logistic Regression,uncalibrated,4.72,0.0194690992031598,0.000824931053024322
30,30,Logistic Regression,uncalibrated,4.73,0.0475297961981088,0.00148794543648282
30,30,Logistic Regression,uncalibrated,4.74,0.108433352521146,0.00307248460932654
30,30,Logistic Regression,uncalibrated,4.75,0.212417160743315,0.00786618243165162
30,30,Logistic Regression,uncalibrated,4.76,0.361977908145283,0.00880207896136702
30,30,Logistic Regression,uncalibrated,4.77,0.53715227902015,0.0104820497486126
30,30,Logistic Regression,uncalibrated,4.78,0.696719218248405,0.00808487302395908
30,30,Logistic Regression,uncalibrated,4.79,0.821165452195824,0.00485464645143544
30,30,Logistic Regression,uncalibrated,4.81,0.945103843442582,0.00351797823945132
30,30,Logistic Regression,uncalibrated,4.82,0.972049463520483,0.00137088082632224
30,30,Logistic Regression,uncalibrated,4.83,0.98551792572865,0.000626914102109355
30,30,Logistic Regression,uncalibrated,4.84,0.991890439830473,0.00079464718758232
30,30,Logistic Regression,uncalibrated,4.85,0.995761315875738,0.000238921199789774
30,30,Logistic Regression,uncalibrated,4.86,0.997594988496481,0.000166032091987314
30,30,Logistic Regression,uncalibrated,4.87,0.998547841690295,7.9393602106678E-05
30,30,Logistic Regression,uncalibrated,4.88,0.999100757354786,3.93785653819292E-05
30,30,Logistic Regression,uncalibrated,4.9,0.99966021857825,1.65375414784908E-05
30,30,Logistic Regression,uncalibrated,4.93,0.999896593241078,5.8256451686989E-06
30,30,Logistic Regression C = 0.00175,calibrated,4.67,0.000189003559905188,1.3964376786536E-05
30,30,Logistic Regression C = 0.00175,calibrated,4.7,0.00344200047942974,0.000162359306924668
30,30,Logistic Regression C = 0.00175,calibrated,4.72,0.0218630368370879,0.000851412912098972
30,30,Logistic Regression C = 0.00175,calibrated,4.73,0.0506784958853962,0.00147895371179058
30,30,Logistic Regression C = 0.00175,calibrated,4.74,0.110567634705982,0.00295646172039323
30,30,Logistic Regression C = 0.00175,calibrated,4.75,0.209970028339355,0.00745409216742681
30,30,Logistic Regression C = 0.00175,calibrated,4.76,0.35143823931763,0.00836317425093635
30,30,Logistic Regression C = 0.00175,calibrated,4.77,0.518347197303112,0.0101930063062828
30,30,Logistic Regression C = 0.00175,calibrated,4.78,0.673603483386338,0.00808170909253036
30,30,Logistic Regression C = 0.00175,calibrated,4.79,0.79901146901357,0.00503099009965461
30,30,Logistic Regression C = 0.00175,calibrated,4.81,0.932307255459944,0.00404812948488265
30,30,Logistic Regression C = 0.00175,calibrated,4.82,0.963683631283472,0.00157007218030099
30,30,Logistic Regression C = 0.00175,calibrated,4.83,0.980257960368866,0.0007847230778667
30,30,Logistic Regression C = 0.00175,calibrated,4.84,0.988491741401503,0.0010374406573479
30,30,Logistic Regression C = 0.00175,calibrated,4.85,0.99371973418188,0.000326550828897957
30,30,Logistic Regression C = 0.00175,calibrated,4.86,0.996312793966523,0.00023629714196873
30,30,Logistic Regression C = 0.00175,calibrated,4.87,0.997701293605315,0.000117653630837006
30,30,Logistic Regression C = 0.00175,calibrated,4.88,0.998534212430893,6.06973026587246E-05
30,30,Logistic Regression C = 0.00175,calibrated,4.9,0.99941464954931,2.71566433526029E-05
30,30,Logistic Regression C = 0.00175,calibrated,4.93,0.99980897840214,1.03301274352084E-05
30,30,Logistic Regression C = 0.00175,uncalibrated,4.67,0.00695778494722914,0.000253724657410566
30,30,Logistic Regression C = 0.00175,uncalibrated,4.7,0.0343917410152473,0.000825546562776087
30,30,Logistic Regression C = 0.00175,uncalibrated,4.72,0.0912713386652071,0.00170171320905388
30,30,Logistic Regression C = 0.00175,uncalibrated,4.73,0.141511246418933,0.00194684198064375
30,30,Logistic Regression C = 0.00175,uncalibrated,4.74,0.214004078405963,0.00279291999433845
30,30,Logistic Regression C = 0.00175,uncalibrated,4.75,0.302347368958086,0.00570842588393657
30,30,Logistic Regression C = 0.00175,uncalibrated,4.76,0.40563211630558,0.00530358452324657
30,30,Logistic Regression C = 0.00175,uncalibrated,4.77,0.515035604571206,0.00654446842427866
30,30,Logistic Regression C = 0.00175,uncalibrated,4.78,0.616975647609415,0.00546480719835327
30,30,Logistic Regression C = 0.00175,uncalibrated,4.79,0.708138422259723,0.0042010912242836
30,30,Logistic Regression C = 0.00175,uncalibrated,4.81,0.835916657018666,0.00538291331168333
30,30,Logistic Regression C = 0.00175,uncalibrated,4.82,0.881191745434007,0.0019748990626337
30,30,Logistic Regression C = 0.00175,uncalibrated,4.83,0.91317482220567,0.00171054361024102
30,30,Logistic Regression C = 0.00175,uncalibrated,4.84,0.934356732036927,0.00259595876246976
30,30,Logistic Regression C = 0.00175,uncalibrated,4.85,0.952537902643852,0.00122467375246091
30,30,Logistic Regression C = 0.00175,uncalibrated,4.86,0.964460223273204,0.00103050237562488
30,30,Logistic Regression C = 0.00175,uncalibrated,4.87,0.972481881482645,0.000719175756121213
30,30,Logistic Regression C = 0.00175,uncalibrated,4.88,0.978439873485668,0.000498974167068502
30,30,Logistic Regression C = 0.00175,uncalibrated,4.9,0.987198761861903,0.000341964202476517
30,30,Logistic Regression C = 0.00175,uncalibrated,4.93,0.993024231624866,0.000237030006867585
30,30,kNN,calibrated,4.67,0.000159261026288774,6.40276233237868E-19
30,30,kNN,calibrated,4.7,0.000159261026288775,6.40276233237868E-19
30,30,kNN,calibrated,4.72,0.000238445775328077,7.82643300163588E-05
30,30,kNN,calibrated,4.73,0.00149896942668506,0.000615345019085446
30,30,kNN,calibrated,4.74,0.0124585071494173,0.00187420853197425
30,30,kNN,calibrated,4.75,0.0714630811855573,0.00597269728639799
30,30,kNN,calibrated,4.76,0.21578917827966,0.0125661592524369
30,30,kNN,calibrated,4.77,0.49416387321113,0.017773447831006
30,30,kNN,calibrated,4.78,0.764846611254805,0.0129770815007234
30,30,kNN,calibrated,4.79,0.927702588926319,0.00528436221584466
30,30,kNN,calibrated,4.81,0.997173094323136,0.000803359608917446
30,30,kNN,calibrated,4.82,0.999573023737602,0.000182936824247787
30,30,kNN,calibrated,4.83,0.999836481720366,4.57074292505324E-07
30,30,kNN,calibrated,4.84,0.999836938794597,4.30560463497216E-15
30,30,kNN,calibrated,4.85,0.999836938794591,4.11831391011561E-15
30,30,kNN,calibrated,4.86,0.999836938794608,4.64439612620813E-15
30,30,kNN,calibrated,4.87,0.999836938794604,3.92208970471224E-15
