feature_set,n_features,model,calibration,train_acc,K0_crit,K0_crit_err,K0_close,N_K0,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_k0_crit,runtime_total
30,30,Logistic Regression,calibrated,1,4.76872404138061,0.000593534788522759,4.77,20,0.849,1.178,3.318,0.0154,0.0135,0.00022,5.375
30,30,Logistic Regression,uncalibrated,1,4.767879125877,0.00057803827358049,4.77,20,0.158,1.163,3.156,0.0146,0.0138,0.00017,4.506
30,30,Logistic Regression C = 0.00175,calibrated,1,4.7689007661707,0.000598641624581584,4.77,20,1.113,1.285,3.492,0.0148,0.0141,0.0002,5.919
30,30,Logistic Regression C = 0.00175,uncalibrated,1,4.7686256741161,0.000582607615069185,4.77,20,0.169,1.289,3.491,0.0161,0.0152,0.00026,4.981
30,30,kNN,calibrated,1,4.77021560764573,0.000652795026142536,4.77,20,16.603,1.108,3.112,0.0188,0.0129,0.00023,20.855
30,30,kNN,uncalibrated,1,4.77037506252763,0.000587443974959518,4.77,20,6.924,1.155,3.321,0.0146,0.0144,0.00017,11.429
30,30,kNN kd_tree,calibrated,1,4.77021560764573,0.000652795026142536,4.77,20,65.362,1.285,3.579,0.0159,0.0156,0.00017,70.258
30,30,kNN kd_tree,uncalibrated,1,4.77037506252763,0.000587443974959518,4.77,20,26.131,1.137,3.037,0.0138,0.0147,0.00025,30.334
30,30,SVM (RBF),calibrated,1,4.76528806702986,0.000468214586425733,4.77,20,5.936,1.313,3.589,0.0189,0.0161,0.00037,10.874
30,30,SVM (RBF),uncalibrated,1,4.77602132489244,0.000601981115729137,4.78,20,1.626,1.23,3.405,0.0145,0.014,0.00017,6.289
30,30,Neural Network,calibrated,1,4.76761276406983,0.000522602459999438,4.77,20,4.084,1.186,3.289,0.014,0.0133,0.0004,8.587
30,30,Neural Network,uncalibrated,1,4.76847746365929,0.000644495480444676,4.77,20,1.589,1.2,3.278,0.0151,0.0142,0.00015,6.096
20,20,Logistic Regression,calibrated,1,4.7688249288359,0.000636820112097993,4.77,20,1.197,1.981,5.441,0.0254,0.0242,0.0006,8.669
20,20,Logistic Regression,uncalibrated,1,4.7679528328501,0.000621642749421797,4.77,20,0.159,1.982,5.449,0.0243,0.0241,0.00037,7.639
20,20,Logistic Regression C = 0.00175,calibrated,1,4.76923943838486,0.000653307449296442,4.77,20,1.023,1.988,5.436,0.0246,0.024,0.0004,8.495
20,20,Logistic Regression C = 0.00175,uncalibrated,1,4.76897099175554,0.000625469007328482,4.77,20,0.103,1.571,3.199,0.015,0.0144,0.00014,4.902
20,20,kNN,calibrated,1,4.77101595317542,0.000637251504180196,4.77,20,13.125,1.095,3.078,0.0145,0.0127,0.00015,17.325
20,20,kNN,uncalibrated,1,4.7713774816223,0.000565298281548988,4.77,20,5.686,1.084,2.884,0.0133,0.0134,0.00016,9.681
20,20,kNN kd_tree,calibrated,1,4.77101595317542,0.000637251504180196,4.77,20,66.477,1.093,3.131,0.0145,0.0142,0.00017,70.729
20,20,kNN kd_tree,uncalibrated,1,4.7713774816223,0.000565298281548988,4.77,20,24.035,1.226,3.23,0.0141,0.0139,0.00016,28.519
20,20,SVM (RBF),calibrated,1,4.76651732712683,0.000522288211092982,4.77,20,4.33,1.19,3.689,0.0171,0.0154,0.00017,9.242
20,20,SVM (RBF),uncalibrated,1,4.77507739764538,0.000612927433627685,4.78,20,1.536,1.381,3.981,0.0174,0.015,0.00017,6.931
20,20,Neural Network,calibrated,1,4.76683488920611,0.000555685023384005,4.77,20,4.036,1.261,3.397,0.0145,0.0139,0.00016,8.723
20,20,Neural Network,uncalibrated,1,4.76963473142216,0.000654589500413919,4.77,20,1.61,1.255,3.389,0.0143,0.0137,0.00015,6.282
12,12,Logistic Regression,calibrated,1,4.77791247875056,0.000780241464443845,4.78,20,0.514,1.231,3.484,0.016,0.0155,0.00015,5.261
12,12,Logistic Regression,uncalibrated,1,4.77822090567099,0.000774936444651805,4.78,20,0.04,1.211,3.368,0.014,0.0141,0.00016,4.647
12,12,Logistic Regression C = 0.00175,calibrated,1,4.78387401910472,0.000877399075396024,4.78,20,0.718,1.204,3.298,0.0143,0.0139,0.00015,5.248
12,12,Logistic Regression C = 0.00175,uncalibrated,1,4.79393936780777,0.000972063829831635,4.79,20,0.028,1.203,3.454,0.014,0.014,0.00016,4.712
12,12,kNN,calibrated,1,4.78012054599433,0.000901025945259683,4.78,20,36.567,1.232,3.116,0.0141,0.0139,0.0002,40.943
12,12,kNN,uncalibrated,1,4.77837921605383,0.000861649395449943,4.78,20,10.532,1.213,3.234,0.0144,0.0143,0.00016,15.008
12,12,kNN kd_tree,calibrated,1,4.78012054599433,0.000901025945259683,4.78,20,36.803,1.215,3.4,0.0142,0.0138,0.00015,41.446
12,12,kNN kd_tree,uncalibrated,1,4.77837921605383,0.000861649395449943,4.78,20,14.3,1.257,3.365,0.0149,0.014,0.00019,18.951
12,12,SVM (RBF),calibrated,1,4.76435878559366,0.000512844800892524,4.76,20,7.154,1.137,3.607,0.0147,0.0141,0.00015,11.927
12,12,SVM (RBF),uncalibrated,1,4.77396297042648,0.000696866143904396,4.77,20,2.041,1.21,3.354,0.014,0.0137,0.00015,6.633
12,12,Neural Network,calibrated,1,4.78157048862672,0.000929674300879576,4.78,20,4.365,1.231,3.347,0.0147,0.0136,0.00019,8.972
12,12,Neural Network,uncalibrated,1,4.7784644142675,0.000895799450832103,4.78,20,1.679,1.223,3.353,0.0147,0.0139,0.00015,6.283
