feature_set,n_features,model,calibration,K0,chi,chi_err
30,30,Logistic Regression,calibrated,4.67,2.91357042548265E-07,4.54330420139258E-08
30,30,Logistic Regression,calibrated,4.7,6.61591902621522E-05,3.00248919597486E-05
30,30,Logistic Regression,calibrated,4.72,0.00161669000877164,0.000277915010112532
30,30,Logistic Regression,calibrated,4.73,0.0061828438643404,0.000935667351896574
30,30,Logistic Regression,calibrated,4.74,0.0159246183054631,0.0012352026869135
30,30,Logistic Regression,calibrated,4.75,0.0345076811496719,0.00312165107156857
30,30,Logistic Regression,calibrated,4.76,0.0575192950903009,0.00224505025363672
30,30,Logistic Regression,calibrated,4.77,0.0761321894308804,0.00283219970170298
30,30,Logistic Regression,calibrated,4.78,0.0776506148637054,0.00121592277731228
30,30,Logistic Regression,calibrated,4.79,0.0646816511175916,0.00141241976615154
30,30,Logistic Regression,calibrated,4.81,0.027596333378606,0.00157130476419763
30,30,Logistic Regression,calibrated,4.82,0.0143146443870041,0.00216703349993018
30,30,Logistic Regression,calibrated,4.83,0.00635291500441359,0.000673628916751228
30,30,Logistic Regression,calibrated,4.84,0.00278570568384147,0.000513708137321712
30,30,Logistic Regression,calibrated,4.85,0.00122525321451399,0.000275211276686288
30,30,Logistic Regression,calibrated,4.86,0.000496741835458122,0.000134794675192556
30,30,Logistic Regression,calibrated,4.87,0.000171284083973236,2.89616743613665E-05
30,30,Logistic Regression,calibrated,4.88,6.76704594868186E-05,1.35310252159615E-05
30,30,Logistic Regression,calibrated,4.9,1.84666135253332E-05,4.67234457931511E-06
30,30,Logistic Regression,calibrated,4.93,6.72568115181096E-07,1.27355973660481E-07
30,30,Logistic Regression,uncalibrated,4.67,1.41058923534087E-15,8.92798481589849E-16
30,30,Logistic Regression,uncalibrated,4.7,7.12275136993043E-06,7.11299021027088E-06
30,30,Logistic Regression,uncalibrated,4.72,0.00125855194859133,0.000401194872272587
30,30,Logistic Regression,uncalibrated,4.73,0.00646559509580162,0.00133896723005083
30,30,Logistic Regression,uncalibrated,4.74,0.0211035602902992,0.00234170977631337
30,30,Logistic Regression,uncalibrated,4.75,0.0572132625607376,0.00617498186503536
30,30,Logistic Regression,uncalibrated,4.76,0.115355781274752,0.00477547043168483
30,30,Logistic Regression,uncalibrated,4.77,0.167893585829836,0.00466344847135382
30,30,Logistic Regression,uncalibrated,4.78,0.166607524216164,0.00213608838822701
30,30,Logistic Regression,uncalibrated,4.79,0.119978054473174,0.00355725487223123
30,30,Logistic Regression,uncalibrated,4.81,0.0280941596789089,0.00272214334834409
30,30,Logistic Regression,uncalibrated,4.82,0.00946530455645978,0.00289999526602069
30,30,Logistic Regression,uncalibrated,4.83,0.0018283166636945,0.00058210566089688
30,30,Logistic Regression,uncalibrated,4.84,0.000542119725735113,0.000244573520468175
30,30,Logistic Regression,uncalibrated,4.85,4.43448426027147E-05,2.34115731857622E-05
30,30,Logistic Regression,uncalibrated,4.86,1.46867631984239E-05,8.88208164730848E-06
30,30,Logistic Regression,uncalibrated,4.87,3.81386912169552E-08,1.96050342995297E-08
30,30,Logistic Regression,uncalibrated,4.88,1.48596477593398E-09,1.14777381581121E-09
30,30,Logistic Regression,uncalibrated,4.9,3.3279256724108E-10,3.09882842123535E-10
30,30,Logistic Regression,uncalibrated,4.93,3.17278526669546E-15,2.04378857370559E-15
30,30,Logistic Regression C = 0.00175,calibrated,4.67,2.72544209693491E-07,4.09023476100846E-08
30,30,Logistic Regression C = 0.00175,calibrated,4.7,6.37263481608118E-05,2.89294839977947E-05
30,30,Logistic Regression C = 0.00175,calibrated,4.72,0.00157346598735209,0.000273742388679071
30,30,Logistic Regression C = 0.00175,calibrated,4.73,0.00597490960392711,0.000871820529382596
30,30,Logistic Regression C = 0.00175,calibrated,4.74,0.015618109778552,0.00121959808237222
30,30,Logistic Regression C = 0.00175,calibrated,4.75,0.0343754767506835,0.00297322590871968
30,30,Logistic Regression C = 0.00175,calibrated,4.76,0.0569971067456005,0.00232315580524955
30,30,Logistic Regression C = 0.00175,calibrated,4.77,0.0753502860027734,0.00279086555948063
30,30,Logistic Regression C = 0.00175,calibrated,4.78,0.0760919618685239,0.00121045456982064
30,30,Logistic Regression C = 0.00175,calibrated,4.79,0.062607905169541,0.00144274364265509
30,30,Logistic Regression C = 0.00175,calibrated,4.81,0.0259852119768565,0.00152299119020867
30,30,Logistic Regression C = 0.00175,calibrated,4.82,0.0132950641656244,0.00204544695862011
30,30,Logistic Regression C = 0.00175,calibrated,4.83,0.00578158784821193,0.00068259109974675
30,30,Logistic Regression C = 0.00175,calibrated,4.84,0.00258001400496875,0.000461261171946587
30,30,Logistic Regression C = 0.00175,calibrated,4.85,0.00109980303310366,0.000235919595329208
30,30,Logistic Regression C = 0.00175,calibrated,4.86,0.000454601347336103,0.000124199644093376
30,30,Logistic Regression C = 0.00175,calibrated,4.87,0.000153580208153766,2.63603701144353E-05
30,30,Logistic Regression C = 0.00175,calibrated,4.88,5.99315239377256E-05,1.17032210694695E-05
30,30,Logistic Regression C = 0.00175,calibrated,4.9,1.71715720038854E-05,4.35725605303851E-06
30,30,Logistic Regression C = 0.00175,calibrated,4.93,6.26898902218806E-07,1.17071888140577E-07
30,30,Logistic Regression C = 0.00175,uncalibrated,4.67,2.66660779477306E-13,1.90529305888682E-13
30,30,Logistic Regression C = 0.00175,uncalibrated,4.7,2.21214321333845E-06,2.16706204828559E-06
30,30,Logistic Regression C = 0.00175,uncalibrated,4.72,0.0010622619727333,0.000440017377869377
30,30,Logistic Regression C = 0.00175,uncalibrated,4.73,0.00592592953753346,0.00125829912360122
30,30,Logistic Regression C = 0.00175,uncalibrated,4.74,0.0214252114442849,0.00245846539186108
30,30,Logistic Regression C = 0.00175,uncalibrated,4.75,0.0609012489141308,0.00487295354473098
30,30,Logistic Regression C = 0.00175,uncalibrated,4.76,0.114431239376056,0.00389926427049135
30,30,Logistic Regression C = 0.00175,uncalibrated,4.77,0.153637292568192,0.00200875466290587
30,30,Logistic Regression C = 0.00175,uncalibrated,4.78,0.134745844064216,0.00309591621455347
30,30,Logistic Regression C = 0.00175,uncalibrated,4.79,0.0810995448368591,0.00362440690962211
30,30,Logistic Regression C = 0.00175,uncalibrated,4.81,0.0139061214150611,0.00160941244537516
30,30,Logistic Regression C = 0.00175,uncalibrated,4.82,0.00374567826412738,0.0011338038178163
30,30,Logistic Regression C = 0.00175,uncalibrated,4.83,0.000735080676911856,0.000343759935199225
30,30,Logistic Regression C = 0.00175,uncalibrated,4.84,0.000264599088175249,0.000145080125786048
30,30,Logistic Regression C = 0.00175,uncalibrated,4.85,1.6882583619597E-05,9.20942384053436E-06
30,30,Logistic Regression C = 0.00175,uncalibrated,4.86,2.83347039492693E-06,2.16328914178676E-06
30,30,Logistic Regression C = 0.00175,uncalibrated,4.87,7.2039139696923E-08,3.2895740873129E-08
30,30,Logistic Regression C = 0.00175,uncalibrated,4.88,7.46611900412461E-09,6.14350952287347E-09
30,30,Logistic Regression C = 0.00175,uncalibrated,4.9,7.30222175576254E-10,6.15700149499572E-10
30,30,Logistic Regression C = 0.00175,uncalibrated,4.93,4.33630052094884E-14,1.59257218753999E-14
30,30,Decision Tree,calibrated,4.67,-5.14334442385442E-38,2.72973070466928E-54
30,30,Decision Tree,calibrated,4.7,8.91525447671868E-05,8.91525447671805E-05
30,30,Decision Tree,calibrated,4.72,0.00186850552709339,0.000568484227906195
30,30,Decision Tree,calibrated,4.73,0.00811988289163478,0.00241849741235446
30,30,Decision Tree,calibrated,4.74,0.0254085402513804,0.00332580123120125
30,30,Decision Tree,calibrated,4.75,0.058977104869782,0.0036728216476822
30,30,Decision Tree,calibrated,4.76,0.110041532377587,0.00542733602198713
30,30,Decision Tree,calibrated,4.77,0.175084977480519,0.00320356618007435
30,30,Decision Tree,calibrated,4.78,0.209683908030449,0.00189816127206733
30,30,Decision Tree,calibrated,4.79,0.198575320099881,0.00326848033628348
30,30,Decision Tree,calibrated,4.81,0.0986231078588401,0.00565262504737765
30,30,Decision Tree,calibrated,4.82,0.0483863026772659,0.00338073959382266
30,30,Decision Tree,calibrated,4.83,0.0214457224647419,0.00206244530992124
30,30,Decision Tree,calibrated,4.84,0.00834476946941299,0.00130302861265661
