feature_set,n_features,model,calibration,K0,mean,mean_err
30,30,Logistic Regression,calibrated,4.67,0.000241918408742198,1.33573815282949E-05
30,30,Logistic Regression,calibrated,4.7,0.00324544301539535,0.000239292492860732
30,30,Logistic Regression,calibrated,4.72,0.0178317103696702,0.00100358621318108
30,30,Logistic Regression,calibrated,4.73,0.0401738339758036,0.00224282461092235
30,30,Logistic Regression,calibrated,4.74,0.084756316054659,0.0031961997979026
30,30,Logistic Regression,calibrated,4.75,0.156988139966875,0.00705422723308238
30,30,Logistic Regression,calibrated,4.76,0.264135205260387,0.00903951526172675
30,30,Logistic Regression,calibrated,4.77,0.402376510005719,0.0117299000061588
30,30,Logistic Regression,calibrated,4.78,0.544098624085505,0.0107217293574983
30,30,Logistic Regression,calibrated,4.79,0.675621010717068,0.0069133243319908
30,30,Logistic Regression,calibrated,4.81,0.86323225239743,0.00838273352888069
30,30,Logistic Regression,calibrated,4.82,0.91964373791427,0.00444389248061914
30,30,Logistic Regression,calibrated,4.83,0.953911426988596,0.00291017716261505
30,30,Logistic Regression,calibrated,4.84,0.972383895964869,0.00311582356449996
30,30,Logistic Regression,calibrated,4.85,0.98469394279538,0.00134211315125847
30,30,Logistic Regression,calibrated,4.86,0.991446779816922,0.00113851957168304
30,30,Logistic Regression,calibrated,4.87,0.99502640002016,0.000421472458943652
30,30,Logistic Regression,calibrated,4.88,0.997023063093114,0.000228781658345329
30,30,Logistic Regression,calibrated,4.9,0.998930901851577,0.000102250181148589
30,30,Logistic Regression,calibrated,4.93,0.99976463352946,2.28478154744933E-05
30,30,Logistic Regression,uncalibrated,4.67,1.38119526378776E-09,4.21091945986994E-10
30,30,Logistic Regression,uncalibrated,4.7,4.12681393148792E-05,3.86952104936055E-05
30,30,Logistic Regression,uncalibrated,4.72,0.00232845893325582,0.000592119375645774
30,30,Logistic Regression,uncalibrated,4.73,0.0106602854454259,0.00186384377903149
30,30,Logistic Regression,uncalibrated,4.74,0.0352154432443783,0.00307053863080166
30,30,Logistic Regression,uncalibrated,4.75,0.0952558498524452,0.00817172118131225
30,30,Logistic Regression,uncalibrated,4.76,0.212390476542322,0.0111605540880653
30,30,Logistic Regression,uncalibrated,4.77,0.394108127475813,0.0161596600165596
30,30,Logistic Regression,uncalibrated,4.78,0.58633202667968,0.014987183633068
30,30,Logistic Regression,uncalibrated,4.79,0.759779709413124,0.00862022809551246
30,30,Logistic Regression,uncalibrated,4.81,0.946340473641127,0.00505994605492103
30,30,Logistic Regression,uncalibrated,4.82,0.980415626194944,0.00454292079534723
30,30,Logistic Regression,uncalibrated,4.83,0.994413151839493,0.00107584398961269
30,30,Logistic Regression,uncalibrated,4.84,0.998409076347963,0.00052176465285024
30,30,Logistic Regression,uncalibrated,4.85,0.999585176873001,0.000129802488598457
30,30,Logistic Regression,uncalibrated,4.86,0.999879114265958,5.73786727304711E-05
30,30,Logistic Regression,uncalibrated,4.87,0.999988947540956,2.98298720140717E-06
30,30,Logistic Regression,uncalibrated,4.88,0.99999771087521,9.23164083966829E-07
30,30,Logistic Regression,uncalibrated,4.9,0.999999435002131,3.20810133880264E-07
30,30,Logistic Regression,uncalibrated,4.93,0.999999998205357,6.44120470866947E-10
30,30,Logistic Regression C = 0.00175,calibrated,4.67,0.000239922969779988,1.28650118570765E-05
30,30,Logistic Regression C = 0.00175,calibrated,4.7,0.00324486650070247,0.000232156678694666
30,30,Logistic Regression C = 0.00175,calibrated,4.72,0.0179854851971554,0.000996166527342657
30,30,Logistic Regression C = 0.00175,calibrated,4.73,0.0405437156024941,0.00216602022452493
30,30,Logistic Regression C = 0.00175,calibrated,4.74,0.0855487162964792,0.00326121676030057
30,30,Logistic Regression C = 0.00175,calibrated,4.75,0.159260421908096,0.00711834428207713
30,30,Logistic Regression C = 0.00175,calibrated,4.76,0.267254679792327,0.008908414453934
30,30,Logistic Regression C = 0.00175,calibrated,4.77,0.407181557961951,0.011666589533187
30,30,Logistic Regression C = 0.00175,calibrated,4.78,0.549909128060682,0.0107845850474879
30,30,Logistic Regression C = 0.00175,calibrated,4.79,0.681704283942538,0.00675501188873189
30,30,Logistic Regression C = 0.00175,calibrated,4.81,0.867223719805047,0.00785119823642133
30,30,Logistic Regression C = 0.00175,calibrated,4.82,0.922377868248689,0.00437312505812124
30,30,Logistic Regression C = 0.00175,calibrated,4.83,0.955646776971275,0.00291736809278303
30,30,Logistic Regression C = 0.00175,calibrated,4.84,0.973389866699054,0.00284377490031823
30,30,Logistic Regression C = 0.00175,calibrated,4.85,0.985284358521658,0.00126424202767096
30,30,Logistic Regression C = 0.00175,calibrated,4.86,0.991754932873423,0.00106737688824498
30,30,Logistic Regression C = 0.00175,calibrated,4.87,0.99523325413963,0.000394201272804698
30,30,Logistic Regression C = 0.00175,calibrated,4.88,0.997135339965023,0.000224293590237623
30,30,Logistic Regression C = 0.00175,calibrated,4.9,0.998961143012338,9.7474827434292E-05
30,30,Logistic Regression C = 0.00175,calibrated,4.93,0.999766253215285,2.3771648312182E-05
30,30,Logistic Regression C = 0.00175,uncalibrated,4.67,2.88013065409628E-08,6.81071322606174E-09
30,30,Logistic Regression C = 0.00175,uncalibrated,4.7,3.86638127905216E-05,2.31981466592975E-05
30,30,Logistic Regression C = 0.00175,uncalibrated,4.72,0.0026753990639695,0.000660476482001611
30,30,Logistic Regression C = 0.00175,uncalibrated,4.73,0.0128153119060589,0.00173633599609377
30,30,Logistic Regression C = 0.00175,uncalibrated,4.74,0.043414437565711,0.00386803984240774
30,30,Logistic Regression C = 0.00175,uncalibrated,4.75,0.121426366124306,0.00872613206639069
30,30,Logistic Regression C = 0.00175,uncalibrated,4.76,0.257812129813885,0.0116261274354838
30,30,Logistic Regression C = 0.00175,uncalibrated,4.77,0.458667025879048,0.0138553143217329
30,30,Logistic Regression C = 0.00175,uncalibrated,4.78,0.655886524391804,0.0135109482808176
30,30,Logistic Regression C = 0.00175,uncalibrated,4.79,0.81945400739515,0.00739692836727034
30,30,Logistic Regression C = 0.00175,uncalibrated,4.81,0.965055777385866,0.00335589065754407
30,30,Logistic Regression C = 0.00175,uncalibrated,4.82,0.987947043722507,0.00244871701576049
30,30,Logistic Regression C = 0.00175,uncalibrated,4.83,0.996427003399785,0.000947468116590466
30,30,Logistic Regression C = 0.00175,uncalibrated,4.84,0.998787772463479,0.000326051902912017
30,30,Logistic Regression C = 0.00175,uncalibrated,4.85,0.999673417111791,0.000108309582307399
30,30,Logistic Regression C = 0.00175,uncalibrated,4.86,0.999902446357287,3.72890580140866E-05
30,30,Logistic Regression C = 0.00175,uncalibrated,4.87,0.999980422580157,4.6306509558319E-06
30,30,Logistic Regression C = 0.00175,uncalibrated,4.88,0.999994373798914,2.06853162800892E-06
30,30,Logistic Regression C = 0.00175,uncalibrated,4.9,0.99999873656569,4.95314267101588E-07
30,30,Logistic Regression C = 0.00175,uncalibrated,4.93,0.999999982689957,3.77675446039793E-09
30,30,Decision Tree,calibrated,4.67,0.000159261026288774,6.40276233237868E-19
30,30,Decision Tree,calibrated,4.7,0.000293032961701162,0.000133771935412367
30,30,Decision Tree,calibrated,4.72,0.00294354848384427,0.000783673634036253
30,30,Decision Tree,calibrated,4.73,0.010420214834025,0.00277782727946598
30,30,Decision Tree,calibrated,4.74,0.0332336573879852,0.0043703525348815
30,30,Decision Tree,calibrated,4.75,0.077735659213725,0.00492141460549114
30,30,Decision Tree,calibrated,4.76,0.156103394917168,0.0113667719169162
30,30,Decision Tree,calibrated,4.77,0.290930425946184,0.00802474041798248
30,30,Decision Tree,calibrated,4.78,0.453115067767045,0.0129071110083959
30,30,Decision Tree,calibrated,4.79,0.621938971820167,0.0112456265580741
30,30,Decision Tree,calibrated,4.81,0.857916820075214,0.010225036943273
30,30,Decision Tree,calibrated,4.82,0.934346143362192,0.00423185818447893
30,30,Decision Tree,calibrated,4.83,0.969642984904361,0.00260831381413879
30,30,Decision Tree,calibrated,4.84,0.988201956476411,0.00160470923809609
