feature_set,n_features,model,calibration,train_acc,K0_crit,K0_crit_err,K0_close,N_K0,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_k0_crit,runtime_total
30,30,Logistic Regression,calibrated,1,4.77688837381718,0.000778667073086316,4.78,20,2.393,1.327,3.64,0.0161,0.0144,0.00025,7.391
30,30,Logistic Regression,uncalibrated,1,4.77550877767867,0.000807067638717084,4.78,20,0.501,1.285,3.38,0.0143,0.0137,0.00016,5.195
30,30,Logistic Regression C = 0.00175,calibrated,1,4.77650318939598,0.000777215313317072,4.78,20,2.382,1.258,3.712,0.0143,0.0146,0.00017,7.381
30,30,Logistic Regression C = 0.00175,uncalibrated,1,4.77209578537785,0.000698873219654018,4.77,20,0.776,1.562,3.737,0.0139,0.0151,0.00016,6.104
30,30,Decision Tree,calibrated,1,4.78277715010181,0.000737199622717075,4.78,20,0.866,1.286,3.981,0.0152,0.0161,0.00017,6.164
30,30,Decision Tree,uncalibrated,1,4.78070072704616,0.000786298121095243,4.78,20,0.095,1.314,3.592,0.0148,0.0151,0.00016,5.031
30,30,Random Forest,calibrated,1,4.77806209491088,0.00060860411450645,4.78,20,6.706,1.236,3.66,0.0166,0.0153,0.00027,11.634
30,30,Random Forest,uncalibrated,1,4.77983677102662,0.00058693484415896,4.78,20,2.646,1.245,3.434,0.0151,0.0156,0.00026,7.357
30,30,Gradient Boosted Trees,calibrated,1,4.78024463542826,0.000629801274216216,4.78,20,19.239,1.29,3.776,0.0149,0.0148,0.00036,24.334
30,30,Gradient Boosted Trees,uncalibrated,1,4.78083187568626,0.000607864876264139,4.78,20,8.767,1.266,3.567,0.0148,0.0142,0.00016,13.629
30,30,kNN,calibrated,1,4.77089959510805,0.000586349560045285,4.77,20,167.211,1.22,3.438,0.0206,0.0136,0.00024,171.903
30,30,kNN,uncalibrated,1,4.77138596415986,0.000616528399233519,4.77,20,80.328,1.187,3.14,0.0139,0.0136,0.00017,84.682
30,30,kNN kd_tree,calibrated,1,4.77089959510805,0.000586349560045285,4.77,20,17.771,1.198,3.372,0.0141,0.0137,0.00017,22.369
30,30,kNN kd_tree,uncalibrated,1,4.77138596415986,0.000616528399233519,4.77,20,5.994,1.186,3.132,0.014,0.0136,0.00016,10.34
30,30,kNN ball_tree,calibrated,1,4.77089959510805,0.000586349560045285,4.77,20,56.359,1.262,3.445,0.0157,0.0145,0.00016,61.097
30,30,kNN ball_tree,uncalibrated,1,4.77138596415986,0.000616528399233519,4.77,20,20.379,1.061,2.835,0.0132,0.0133,0.00015,24.301
30,30,SVM (RBF),calibrated,1,4.76513747657288,0.00047963521821322,4.77,20,37.595,1.289,3.67,0.0188,0.0137,0.00025,42.586
30,30,SVM (RBF),uncalibrated,1,4.76783576993131,0.000491215553708284,4.77,20,8.442,1.243,3.523,0.0146,0.0142,0.00017,13.237
30,30,Neural Network,calibrated,1,4.78737893472454,0.000746675846981528,4.79,20,5.593,1.228,3.358,0.0142,0.0137,0.00016,10.208
30,30,Neural Network,uncalibrated,1,4.77503423846111,0.000813589519673801,4.78,20,2.253,1.208,3.235,0.014,0.0138,0.00016,6.725
20,20,Logistic Regression,calibrated,1,4.78024562369027,0.000861547693107467,4.78,20,2.436,2.018,5.022,0.0147,0.014,0.00026,9.505
20,20,Logistic Regression,uncalibrated,1,4.77851985768958,0.000841048631362158,4.78,20,0.619,1.334,3.573,0.0137,0.0149,0.00016,5.554
20,20,Logistic Regression C = 0.00175,calibrated,1,4.77424123694287,0.000766583467209129,4.77,20,2.607,1.194,3.199,0.0151,0.0144,0.00025,7.03
