feature_set,n_features,model,algorithm,n_neighbors,calibration,Delta,mean,mean_err
30,30,KNN,auto,1,uncalibrated,0.036,0,0
30,30,KNN,auto,1,uncalibrated,0.0366,0,0
30,30,KNN,auto,1,uncalibrated,0.037,0,0
30,30,KNN,auto,1,uncalibrated,0.0374,0,0
30,30,KNN,auto,1,uncalibrated,0.0378,0.135353535353536,0.0423534479911365
30,30,KNN,auto,1,uncalibrated,0.0382,0.868,0.0547965935680921
30,30,KNN,auto,1,uncalibrated,0.0386,1,0
30,30,KNN,auto,1,uncalibrated,0.039,1,0
30,30,KNN,auto,1,uncalibrated,0.0394,1,0
30,30,KNN,auto,1,uncalibrated,0.0398,1,0
30,30,KNN,auto,1,uncalibrated,0.0402,1,0
30,30,KNN,auto,1,uncalibrated,0.041,1,0
30,30,KNN,auto,3,uncalibrated,0.036,0,0
30,30,KNN,auto,3,uncalibrated,0.0366,0,0
30,30,KNN,auto,3,uncalibrated,0.037,0,0
30,30,KNN,auto,3,uncalibrated,0.0374,0,0
30,30,KNN,auto,3,uncalibrated,0.0378,0.132183908045977,0.0419469600508615
30,30,KNN,auto,3,uncalibrated,0.0382,0.866666666666667,0.0561585058364071
30,30,KNN,auto,3,uncalibrated,0.0386,0.999236349751824,0.000763650248186389
30,30,KNN,auto,3,uncalibrated,0.039,1,0
30,30,KNN,auto,3,uncalibrated,0.0394,1,0
30,30,KNN,auto,3,uncalibrated,0.0398,1,0
30,30,KNN,auto,3,uncalibrated,0.0402,1,0
30,30,KNN,auto,3,uncalibrated,0.041,1,0
30,30,KNN,auto,5,uncalibrated,0.036,0,0
30,30,KNN,auto,5,uncalibrated,0.0366,0,0
30,30,KNN,auto,5,uncalibrated,0.037,0,0
30,30,KNN,auto,5,uncalibrated,0.0374,0,0
30,30,KNN,auto,5,uncalibrated,0.0378,0.133468559837728,0.0422012732422699
30,30,KNN,auto,5,uncalibrated,0.0382,0.8658,0.0562891345347099
30,30,KNN,auto,5,uncalibrated,0.0386,0.999541809851099,0.000458190148911724
30,30,KNN,auto,5,uncalibrated,0.039,1,0
30,30,KNN,auto,5,uncalibrated,0.0394,1,0
30,30,KNN,auto,5,uncalibrated,0.0398,1,0
30,30,KNN,auto,5,uncalibrated,0.0402,1,0
30,30,KNN,auto,5,uncalibrated,0.041,1,0
30,30,KNN,auto,7,uncalibrated,0.036,0,0
30,30,KNN,auto,7,uncalibrated,0.0366,0,0
30,30,KNN,auto,7,uncalibrated,0.037,0,0
30,30,KNN,auto,7,uncalibrated,0.0374,0,0
30,30,KNN,auto,7,uncalibrated,0.0378,0.135757751376412,0.0430365847007612
30,30,KNN,auto,7,uncalibrated,0.0382,0.868142857142857,0.0549797117806469
30,30,KNN,auto,7,uncalibrated,0.0386,0.999345442644401,0.000654557355588318
30,30,KNN,auto,7,uncalibrated,0.039,1,0
30,30,KNN,auto,7,uncalibrated,0.0394,1,0
30,30,KNN,auto,7,uncalibrated,0.0398,1,0
30,30,KNN,auto,7,uncalibrated,0.0402,1,0
30,30,KNN,auto,7,uncalibrated,0.041,1,0
30,30,KNN,auto,9,uncalibrated,0.036,0,0
30,30,KNN,auto,9,uncalibrated,0.0366,0,0
30,30,KNN,auto,9,uncalibrated,0.037,0,0
30,30,KNN,auto,9,uncalibrated,0.0374,0,0
30,30,KNN,auto,9,uncalibrated,0.0378,0.138381789497408,0.0437883905186387
30,30,KNN,auto,9,uncalibrated,0.0382,0.869111111111111,0.0545752020142585
30,30,KNN,auto,9,uncalibrated,0.0386,0.999490899834553,0.000509100165457593
30,30,KNN,auto,9,uncalibrated,0.039,1,0
30,30,KNN,auto,9,uncalibrated,0.0394,1,0
30,30,KNN,auto,9,uncalibrated,0.0398,1,0
30,30,KNN,auto,9,uncalibrated,0.0402,1,0
30,30,KNN,auto,9,uncalibrated,0.041,1,0
30,30,KNN,auto,11,uncalibrated,0.036,0,0
30,30,KNN,auto,11,uncalibrated,0.0366,0,0
30,30,KNN,auto,11,uncalibrated,0.037,0,0
30,30,KNN,auto,11,uncalibrated,0.0374,9.63020030816657E-05,9.63020030816641E-05
30,30,KNN,auto,11,uncalibrated,0.0378,0.140881430942283,0.0444691856458134
30,30,KNN,auto,11,uncalibrated,0.0382,0.871272727272727,0.0538445881163697
30,30,KNN,auto,11,uncalibrated,0.0386,0.999479329376205,0.000520670623763422
30,30,KNN,auto,11,uncalibrated,0.039,1,0
30,30,KNN,auto,11,uncalibrated,0.0394,1,0
30,30,KNN,auto,11,uncalibrated,0.0398,1,0
30,30,KNN,auto,11,uncalibrated,0.0402,1,0
30,30,KNN,auto,11,uncalibrated,0.041,1,0
30,30,KNN,auto,13,uncalibrated,0.036,0,0
30,30,KNN,auto,13,uncalibrated,0.0366,0,0
30,30,KNN,auto,13,uncalibrated,0.037,0,0
30,30,KNN,auto,13,uncalibrated,0.0374,0.000162972620599742,0.000162972620599739
30,30,KNN,auto,13,uncalibrated,0.0378,0.143392104852551,0.0449720513550606
30,30,KNN,auto,13,uncalibrated,0.0382,0.872461538461539,0.0531919971439106
30,30,KNN,auto,13,uncalibrated,0.0386,0.999559432549123,0.000440567450876691
30,30,KNN,auto,13,uncalibrated,0.039,1,0
30,30,KNN,auto,13,uncalibrated,0.0394,1,0
30,30,KNN,auto,13,uncalibrated,0.0398,1,0
30,30,KNN,auto,13,uncalibrated,0.0402,1,0
30,30,KNN,auto,13,uncalibrated,0.041,1,0
30,30,KNN,auto,15,uncalibrated,0.036,0,0
30,30,KNN,auto,15,uncalibrated,0.0366,0,0
30,30,KNN,auto,15,uncalibrated,0.037,0,0
30,30,KNN,auto,15,uncalibrated,0.0374,0.000211864406779659,0.000211864406779661
30,30,KNN,auto,15,uncalibrated,0.0378,0.145098039215686,0.045504729651297
30,30,KNN,auto,15,uncalibrated,0.0382,0.873866666666667,0.0524479848145866
30,30,KNN,auto,15,uncalibrated,0.0386,0.999541809851099,0.000458190148911724
30,30,KNN,auto,15,uncalibrated,0.039,1,0
30,30,KNN,auto,15,uncalibrated,0.0394,1,0
30,30,KNN,auto,15,uncalibrated,0.0398,1,0
30,30,KNN,auto,15,uncalibrated,0.0402,1,0
30,30,KNN,auto,15,uncalibrated,0.041,1,0
30,30,KNN,auto,17,uncalibrated,0.036,0,0
30,30,KNN,auto,17,uncalibrated,0.0366,0,0
30,30,KNN,auto,17,uncalibrated,0.037,0,0
30,30,KNN,auto,17,uncalibrated,0.0374,0.000249252243270189,0.000249252243270189
30,30,KNN,auto,17,uncalibrated,0.0378,0.146820188521656,0.0458495460265743
30,30,KNN,auto,17,uncalibrated,0.0382,0.874411764705883,0.0522219003319403
30,30,KNN,auto,17,uncalibrated,0.0386,0.9995957145745,0.000404285425510409
30,30,KNN,auto,17,uncalibrated,0.039,1,0
30,30,KNN,auto,17,uncalibrated,0.0394,1,0
30,30,KNN,auto,17,uncalibrated,0.0398,1,0
30,30,KNN,auto,17,uncalibrated,0.0402,1,0
30,30,KNN,auto,17,uncalibrated,0.041,1,0
30,30,KNN,auto,19,uncalibrated,0.036,0,0
30,30,KNN,auto,19,uncalibrated,0.0366,0,0
30,30,KNN,auto,19,uncalibrated,0.037,0,0
30,30,KNN,auto,19,uncalibrated,0.0374,0.000278768956289024,0.000278768956289028
30,30,KNN,auto,19,uncalibrated,0.0378,0.148393295612256,0.0461550431369116
30,30,KNN,auto,19,uncalibrated,0.0382,0.875473684210526,0.0518238012036085
30,30,KNN,auto,19,uncalibrated,0.0386,0.999577982757613,0.000422017242418774
30,30,KNN,auto,19,uncalibrated,0.039,1,0
30,30,KNN,auto,19,uncalibrated,0.0394,1,0
30,30,KNN,auto,19,uncalibrated,0.0398,1,0
30,30,KNN,auto,19,uncalibrated,0.0402,1,0
30,30,KNN,auto,19,uncalibrated,0.041,1,0
30,30,KNN,auto,21,uncalibrated,0.036,0,0
30,30,KNN,auto,21,uncalibrated,0.0366,0,0
30,30,KNN,auto,21,uncalibrated,0.037,0,0
30,30,KNN,auto,21,uncalibrated,0.0374,0.000333667000333667,0.000333667000333667
30,30,KNN,auto,21,uncalibrated,0.0378,0.150439486139284,0.0464336306928372
30,30,KNN,auto,21,uncalibrated,0.0382,0.876380952380952,0.0514432665660055
30,30,KNN,auto,21,uncalibrated,0.0386,0.999509081983309,0.000490918016691211
30,30,KNN,auto,21,uncalibrated,0.039,1,0
30,30,KNN,auto,21,uncalibrated,0.0394,1,0
30,30,KNN,auto,21,uncalibrated,0.0398,1,0
30,30,KNN,auto,21,uncalibrated,0.0402,1,0
30,30,KNN,auto,21,uncalibrated,0.041,1,0
30,30,KNN,auto,23,uncalibrated,0.036,0,0
30,30,KNN,auto,23,uncalibrated,0.0366,0,0
30,30,KNN,auto,23,uncalibrated,0.037,0,0
30,30,KNN,auto,23,uncalibrated,0.0374,0.000348174261217739,0.000348174261217739
30,30,KNN,auto,23,uncalibrated,0.0378,0.151380192256812,0.0465045562319475
30,30,KNN,auto,23,uncalibrated,0.0382,0.877,0.0510988453634671
30,30,KNN,auto,23,uncalibrated,0.0386,0.999551770506489,0.000448229493500757
30,30,KNN,auto,23,uncalibrated,0.039,1,0
30,30,KNN,auto,23,uncalibrated,0.0394,1,0
30,30,KNN,auto,23,uncalibrated,0.0398,1,0
30,30,KNN,auto,23,uncalibrated,0.0402,1,0
30,30,KNN,auto,23,uncalibrated,0.041,1,0
30,30,KNN,auto,25,uncalibrated,0.036,0,0
30,30,KNN,auto,25,uncalibrated,0.0366,0,0
30,30,KNN,auto,25,uncalibrated,0.037,0,0
30,30,KNN,auto,25,uncalibrated,0.0374,0.00036036036036036,0.00036036036036036
30,30,KNN,auto,25,uncalibrated,0.0378,0.152738336713997,0.0466263438323525
30,30,KNN,auto,25,uncalibrated,0.0382,0.878,0.0507393653882268
30,30,KNN,auto,25,uncalibrated,0.0386,0.999587628865958,0.000412371134020683
30,30,KNN,auto,25,uncalibrated,0.039,1,0
30,30,KNN,auto,25,uncalibrated,0.0394,1,0
30,30,KNN,auto,25,uncalibrated,0.0398,1,0
30,30,KNN,auto,25,uncalibrated,0.0402,1,0
30,30,KNN,auto,25,uncalibrated,0.041,1,0
30,30,KNN,auto,27,uncalibrated,0.036,0,0
30,30,KNN,auto,27,uncalibrated,0.0366,0,0
30,30,KNN,auto,27,uncalibrated,0.037,0,0
30,30,KNN,auto,27,uncalibrated,0.0374,0.000407815222630037,0.000407815222630037
30,30,KNN,auto,27,uncalibrated,0.0378,0.154158215010142,0.0469387325120716
30,30,KNN,auto,27,uncalibrated,0.0382,0.878666666666666,0.0504752099113877
30,30,KNN,auto,27,uncalibrated,0.0386,0.999618174875928,0.000381825124093249
30,30,KNN,auto,27,uncalibrated,0.039,1,0
30,30,KNN,auto,27,uncalibrated,0.0394,1,0
30,30,KNN,auto,27,uncalibrated,0.0398,1,0
30,30,KNN,auto,27,uncalibrated,0.0402,1,0
30,30,KNN,auto,27,uncalibrated,0.041,1,0
30,30,KNN,auto,29,uncalibrated,0.036,0,0
30,30,KNN,auto,29,uncalibrated,0.0366,0,0
30,30,KNN,auto,29,uncalibrated,0.037,0,0
30,30,KNN,auto,29,uncalibrated,0.0374,0.000448724586655621,0.000448724586655621
30,30,KNN,auto,29,uncalibrated,0.0378,0.155312303280408,0.0471749912215063
30,30,KNN,auto,29,uncalibrated,0.0382,0.879103448275862,0.0504651709652346
30,30,KNN,auto,29,uncalibrated,0.0386,0.999644507643053,0.00035549235691437
30,30,KNN,auto,29,uncalibrated,0.039,1,0
30,30,KNN,auto,29,uncalibrated,0.0394,1,0
30,30,KNN,auto,29,uncalibrated,0.0398,1,0
30,30,KNN,auto,29,uncalibrated,0.0402,1,0
30,30,KNN,auto,29,uncalibrated,0.041,1,0
30,30,KNN,auto,31,uncalibrated,0.036,0,0
30,30,KNN,auto,31,uncalibrated,0.0366,0,0
30,30,KNN,auto,31,uncalibrated,0.037,0,0
30,30,KNN,auto,31,uncalibrated,0.0374,0.000484355323065001,0.000484355323065001
30,30,KNN,auto,31,uncalibrated,0.0378,0.156481057384021,0.047315818028324
30,30,KNN,auto,31,uncalibrated,0.0382,0.879903225806453,0.0502120477560348
30,30,KNN,auto,31,uncalibrated,0.0386,0.999667442633844,0.000332557366145577
30,30,KNN,auto,31,uncalibrated,0.039,1,0
30,30,KNN,auto,31,uncalibrated,0.0394,1,0
30,30,KNN,auto,31,uncalibrated,0.0398,1,0
30,30,KNN,auto,31,uncalibrated,0.0402,1,0
30,30,KNN,auto,31,uncalibrated,0.041,1,0
30,30,KNN,auto,33,uncalibrated,0.036,0,0
30,30,KNN,auto,33,uncalibrated,0.0366,0,0
30,30,KNN,auto,33,uncalibrated,0.037,0,0
30,30,KNN,auto,33,uncalibrated,0.0374,0.000515667182333849,0.000515667182333849
30,30,KNN,auto,33,uncalibrated,0.0378,0.157077878173213,0.0473590562652
30,30,KNN,auto,33,uncalibrated,0.0382,0.880727272727273,0.0499890687250513
30,30,KNN,auto,33,uncalibrated,0.0386,0.999652886250835,0.000347113749175541
30,30,KNN,auto,33,uncalibrated,0.039,1,0
30,30,KNN,auto,33,uncalibrated,0.0394,1,0
30,30,KNN,auto,33,uncalibrated,0.0398,1,0
30,30,KNN,auto,33,uncalibrated,0.0402,1,0
30,30,KNN,auto,33,uncalibrated,0.041,1,0
30,30,KNN,auto,35,uncalibrated,0.036,0,0
30,30,KNN,auto,35,uncalibrated,0.0366,0,0
30,30,KNN,auto,35,uncalibrated,0.037,0,0
30,30,KNN,auto,35,uncalibrated,0.0374,0.000514800514800515,0.000514800514800515
30,30,KNN,auto,35,uncalibrated,0.0378,0.158301941466243,0.0474974977036425
30,30,KNN,auto,35,uncalibrated,0.0382,0.881371428571429,0.0498968077994115
30,30,KNN,auto,35,uncalibrated,0.0386,0.999672721322206,0.000327278677794104
30,30,KNN,auto,35,uncalibrated,0.039,1,0
30,30,KNN,auto,35,uncalibrated,0.0394,1,0
30,30,KNN,auto,35,uncalibrated,0.0398,1,0
30,30,KNN,auto,35,uncalibrated,0.0402,1,0
30,30,KNN,auto,35,uncalibrated,0.041,1,0
30,30,KNN,auto,37,uncalibrated,0.036,0,0
30,30,KNN,auto,37,uncalibrated,0.0366,0,0
30,30,KNN,auto,37,uncalibrated,0.037,0,0
30,30,KNN,auto,37,uncalibrated,0.0374,0.000514027541054568,0.000514027541054568
30,30,KNN,auto,37,uncalibrated,0.0378,0.159448495148293,0.0477976525565753
30,30,KNN,auto,37,uncalibrated,0.0382,0.881972972972973,0.0497328929244108
30,30,KNN,auto,37,uncalibrated,0.0386,0.999690412061514,0.000309587938453808
30,30,KNN,auto,37,uncalibrated,0.039,1,0
30,30,KNN,auto,37,uncalibrated,0.0394,1,0
30,30,KNN,auto,37,uncalibrated,0.0398,1,0
30,30,KNN,auto,37,uncalibrated,0.0402,1,0
30,30,KNN,auto,37,uncalibrated,0.041,1,0
30,30,KNN,auto,39,uncalibrated,0.036,0,0
30,30,KNN,auto,39,uncalibrated,0.0366,0,0
30,30,KNN,auto,39,uncalibrated,0.037,0,0
30,30,KNN,auto,39,uncalibrated,0.0374,0.000564667231333898,0.000564667231333898
30,30,KNN,auto,39,uncalibrated,0.0378,0.160685494356894,0.0480212880679103
30,30,KNN,auto,39,uncalibrated,0.0382,0.882512820512821,0.0496189935365781
30,30,KNN,auto,39,uncalibrated,0.0386,0.999706288366082,0.000293711633917867
30,30,KNN,auto,39,uncalibrated,0.039,1,0
30,30,KNN,auto,39,uncalibrated,0.0394,1,0
30,30,KNN,auto,39,uncalibrated,0.0398,1,0
30,30,KNN,auto,39,uncalibrated,0.0402,1,0
30,30,KNN,auto,39,uncalibrated,0.041,1,0
30,30,KNN,auto,41,uncalibrated,0.036,0,0
30,30,KNN,auto,41,uncalibrated,0.0366,0,0
