feature_set,n_features,model,algorithm,n_neighbors,calibration,train_acc,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
30,30,KNN,auto,1,uncalibrated,1,0.0379990845419953,2.6504757849331E-05,0.0378,12,12.129,0.883,2.288,0.019,0.0132,0.00036,15.332
30,30,KNN,auto,3,uncalibrated,1,0.0380003129890454,2.67202204616183E-05,0.0382,12,11.769,0.66,1.166,0.0088,0.0085,0.00019,13.613
30,30,KNN,auto,5,uncalibrated,1,0.0380001997565917,2.69016112351889E-05,0.0382,12,10.593,0.573,1.28,0.0088,0.0086,0.00018,12.463
30,30,KNN,auto,7,uncalibrated,1,0.0379989348203592,2.67489570257814E-05,0.0378,12,11.157,0.589,1.307,0.0096,0.0098,0.00018,13.072
30,30,KNN,auto,9,uncalibrated,1,0.037997949199413,2.68917591315987E-05,0.0378,12,10.209,0.632,1.19,0.0096,0.0095,0.00027,12.05
30,30,KNN,auto,11,uncalibrated,1,0.0379966718775878,2.68781300708012E-05,0.0378,12,10.738,0.607,1.527,0.0091,0.0086,0.00016,12.89
30,30,KNN,auto,13,uncalibrated,1,0.0379956509921872,2.68795538366351E-05,0.0378,12,10.491,0.527,1.237,0.0088,0.0086,0.00017,12.272
30,30,KNN,auto,15,uncalibrated,1,0.0379947954110076,2.68321184079748E-05,0.0378,12,10.925,0.577,1.253,0.009,0.0087,0.00017,12.774
30,30,KNN,auto,17,uncalibrated,1,0.0379941637715657,2.69067144220966E-05,0.0378,12,11.217,0.656,1.402,0.0117,0.0114,0.00016,13.298
30,30,KNN,auto,19,uncalibrated,1,0.0379934348442904,2.69001239689914E-05,0.0378,12,10.504,0.65,1.59,0.0094,0.0092,0.00017,12.763
30,30,KNN,auto,21,uncalibrated,1,0.0379926108536935,2.69145150510726E-05,0.0378,12,11.166,0.598,1.368,0.0099,0.0098,0.00017,13.152
30,30,KNN,auto,23,uncalibrated,1,0.0379921776688139,2.68525501371476E-05,0.0378,12,10.446,0.588,1.618,0.0098,0.0097,0.00019,12.672
30,30,KNN,auto,25,uncalibrated,1,0.0379915235181259,2.68017446329358E-05,0.0378,12,10.519,0.542,1.324,0.009,0.0088,0.00017,12.403
30,30,KNN,auto,27,uncalibrated,1,0.0379909387166977,2.68468137488417E-05,0.0378,12,10.706,0.599,1.416,0.0097,0.0104,0.00027,12.741
30,30,KNN,auto,29,uncalibrated,1,0.0379904901429662,2.6936974061063E-05,0.0378,12,10.349,0.592,1.439,0.0089,0.0086,0.00018,12.398
30,30,KNN,auto,31,uncalibrated,1,0.0379899410649055,2.69226476878558E-05,0.0378,12,10.579,0.624,1.487,0.0163,0.0157,0.00028,12.721
30,30,KNN,auto,33,uncalibrated,1,0.0379895515283548,2.68668025341439E-05,0.0378,12,11.019,0.644,1.556,0.0089,0.0089,0.00016,13.236
30,30,KNN,auto,35,uncalibrated,1,0.0379890264018202,2.69027145836141E-05,0.0378,12,10.663,0.541,1.423,0.0095,0.0091,0.00016,12.645
30,30,KNN,auto,37,uncalibrated,1,0.0379885342381075,2.69664498420806E-05,0.0378,12,10.775,0.542,1.254,0.0089,0.0084,0.00016,12.588
30,30,KNN,auto,39,uncalibrated,1,0.0379880308452439,2.70271468396504E-05,0.0378,12,10.92,0.775,1.27,0.0089,0.0086,0.00016,12.983
30,30,KNN,auto,41,uncalibrated,1,0.0379877013846593,2.70385327755363E-05,0.0378,12,10.612,0.67,1.339,0.0094,0.0092,0.00026,12.64
