feature_set,n_features,model,calibration,Delta,chi,chi_err
30,30,Logistic Regression,calibrated,0.036,4.03537418660407E-09,6.46540248311048E-10
30,30,Logistic Regression,calibrated,0.0366,7.81859501886287E-07,3.05366015652149E-07
30,30,Logistic Regression,calibrated,0.037,0.00019481939946254,0.000137284587863572
30,30,Logistic Regression,calibrated,0.0374,0.00905294295897076,0.00407643343264997
30,30,Logistic Regression,calibrated,0.0378,0.0445787339124129,0.00834564194754083
30,30,Logistic Regression,calibrated,0.0382,0.0374902800846949,0.010163806264793
30,30,Logistic Regression,calibrated,0.0386,0.00214363478620674,0.000795858755521356
30,30,Logistic Regression,calibrated,0.039,2.92574443929184E-06,8.4751216705829E-07
30,30,Logistic Regression,calibrated,0.0394,1.16556696163376E-07,4.95666149637733E-08
30,30,Logistic Regression,calibrated,0.0398,1.55339327758311E-08,6.13277058645488E-09
30,30,Logistic Regression,calibrated,0.0402,1.60734721673583E-08,4.55294927162009E-09
30,30,Logistic Regression,calibrated,0.041,3.63767918454667E-09,1.282128163337E-10
30,30,Logistic Regression,uncalibrated,0.036,9.62052281534011E-10,1.64101154984043E-10
30,30,Logistic Regression,uncalibrated,0.0366,2.72823657797064E-07,1.17624028054547E-07
30,30,Logistic Regression,uncalibrated,0.037,0.000114391637077166,8.56944438553693E-05
30,30,Logistic Regression,uncalibrated,0.0374,0.00782071621647255,0.003915354567462
30,30,Logistic Regression,uncalibrated,0.0378,0.0488724529224007,0.00883304834812851
30,30,Logistic Regression,uncalibrated,0.0382,0.0401196186236664,0.0114194750123757
30,30,Logistic Regression,uncalibrated,0.0386,0.00179135392209143,0.000714716365390961
30,30,Logistic Regression,uncalibrated,0.039,1.43216552695798E-06,4.46463287136194E-07
30,30,Logistic Regression,uncalibrated,0.0394,4.8786200035321E-08,2.18150041448039E-08
30,30,Logistic Regression,uncalibrated,0.0398,5.51556222620572E-09,2.20932481770654E-09
30,30,Logistic Regression,uncalibrated,0.0402,5.93568114714767E-09,1.74645983479448E-09
30,30,Logistic Regression,uncalibrated,0.041,1.22700483389202E-09,4.3625311059966E-11
30,30,Logistic Regression C = 0.00175,calibrated,0.036,4.23352902827514E-09,6.77653197066722E-10
30,30,Logistic Regression C = 0.00175,calibrated,0.0366,8.17338376077634E-07,3.18821305042427E-07
30,30,Logistic Regression C = 0.00175,calibrated,0.037,0.000202099998095318,0.000142222567215993
30,30,Logistic Regression C = 0.00175,calibrated,0.0374,0.00925864412328716,0.004146829946598
30,30,Logistic Regression C = 0.00175,calibrated,0.0378,0.0447444926095599,0.00837242682794684
30,30,Logistic Regression C = 0.00175,calibrated,0.0382,0.0370522786741191,0.0100819160416297
30,30,Logistic Regression C = 0.00175,calibrated,0.0386,0.00210905952609928,0.000783037083563956
30,30,Logistic Regression C = 0.00175,calibrated,0.039,2.88922530573293E-06,8.37616588616772E-07
30,30,Logistic Regression C = 0.00175,calibrated,0.0394,1.15620390658035E-07,4.90596391026431E-08
30,30,Logistic Regression C = 0.00175,calibrated,0.0398,1.58308381064667E-08,6.28563996413261E-09
30,30,Logistic Regression C = 0.00175,calibrated,0.0402,1.60214678762982E-08,4.52261833940406E-09
30,30,Logistic Regression C = 0.00175,calibrated,0.041,3.68429938665871E-09,1.3068366188981E-10
30,30,Logistic Regression C = 0.00175,uncalibrated,0.036,2.02830665479656E-06,2.36329123582584E-07
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0366,7.07075987412839E-05,1.70297913712409E-05
30,30,Logistic Regression C = 0.00175,uncalibrated,0.037,0.00166359798947881,0.000746403740248821
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0374,0.0132214428589302,0.00332925667369825
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0378,0.0259447120695592,0.00611460614177392
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0382,0.0213825649857324,0.00495055182613483
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0386,0.00326640678898063,0.000813653353059555
30,30,Logistic Regression C = 0.00175,uncalibrated,0.039,6.62895899839192E-05,1.50761132935553E-05
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0394,6.89617152511748E-06,2.12366572471361E-06
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0398,1.6683434012456E-06,4.9474397957663E-07
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0402,1.89292290495432E-06,4.27089508279928E-07
30,30,Logistic Regression C = 0.00175,uncalibrated,0.041,6.30279187735566E-07,1.80153442488541E-08
30,30,kNN,calibrated,0.036,-1.88815482086756E-37,1.81539552609516E-53
30,30,kNN,calibrated,0.0366,-3.35019307153942E-37,3.75531130402088E-53
30,30,kNN,calibrated,0.037,2.93873587675071E-39,9.59019981773978E-54
30,30,kNN,calibrated,0.0374,-3.35019307153942E-37,3.75531130402088E-53
30,30,kNN,calibrated,0.0378,0.0303686730436932,0.0151086954619139
30,30,kNN,calibrated,0.0382,0.204927455000904,0.0373224165365846
30,30,kNN,calibrated,0.0386,0.00490604977149161,0.00375831366279108
30,30,kNN,calibrated,0.039,-2.53915794403373E-30,2.72813888972601E-46
30,30,kNN,calibrated,0.0394,-1.87356462734411E-30,1.34971623059732E-46
30,30,kNN,calibrated,0.0398,-5.01671585261726E-30,1.56363635781292E-46
30,30,kNN,calibrated,0.0402,-4.68391418803321E-30,1.06704437089614E-46
30,30,kNN,calibrated,0.041,-9.65129640057111E-30,4.33504595383288E-46
30,30,kNN,uncalibrated,0.036,0,0
30,30,kNN,uncalibrated,0.0366,0,0
30,30,kNN,uncalibrated,0.037,0,0
30,30,kNN,uncalibrated,0.0374,0,0
30,30,kNN,uncalibrated,0.0378,0.0353451174098922,0.0169120685616999
30,30,kNN,uncalibrated,0.0382,0.207954516302206,0.0426825798355967
30,30,kNN,uncalibrated,0.0386,0.00463424431916025,0.0036016818479264
30,30,kNN,uncalibrated,0.039,0,0
30,30,kNN,uncalibrated,0.0394,0,0
30,30,kNN,uncalibrated,0.0398,0,0
30,30,kNN,uncalibrated,0.0402,0,0
30,30,kNN,uncalibrated,0.041,0,0
30,30,SVM (RBF),calibrated,0.036,6.97515825417345E-10,4.99120561523113E-11
30,30,SVM (RBF),calibrated,0.0366,2.58870688357515E-08,7.60426678133032E-09
30,30,SVM (RBF),calibrated,0.037,3.51734512502785E-06,2.48344267910062E-06
30,30,SVM (RBF),calibrated,0.0374,0.000348382931849888,0.000210728985568944
30,30,SVM (RBF),calibrated,0.0378,0.0119816376821097,0.00427541711098573
30,30,SVM (RBF),calibrated,0.0382,0.103247708300488,0.017640345747689
30,30,SVM (RBF),calibrated,0.0386,0.0196766030909864,0.00609437366277972
30,30,SVM (RBF),calibrated,0.039,1.26241911288776E-05,4.72344953127775E-06
30,30,SVM (RBF),calibrated,0.0394,2.11036657161536E-07,1.17943227780518E-07
30,30,SVM (RBF),calibrated,0.0398,1.22594563186037E-08,7.99155495162594E-09
30,30,SVM (RBF),calibrated,0.0402,1.52682184584251E-08,5.87070455910409E-09
30,30,SVM (RBF),calibrated,0.041,8.00057110816819E-10,8.20860440132183E-11
30,30,SVM (RBF),uncalibrated,0.036,7.28777847369465E-06,4.37173680559812E-07
30,30,SVM (RBF),uncalibrated,0.0366,8.13360018384682E-05,1.34678601882189E-05
30,30,SVM (RBF),uncalibrated,0.037,0.000448320870667006,0.000116801144715905
30,30,SVM (RBF),uncalibrated,0.0374,0.00114813143559089,0.000228758876518577
30,30,SVM (RBF),uncalibrated,0.0378,0.00159114907447523,0.000428392049896467
30,30,SVM (RBF),uncalibrated,0.0382,0.00412363387863572,0.001331405043771
30,30,SVM (RBF),uncalibrated,0.0386,0.00252541989607218,0.000664042823421227
30,30,SVM (RBF),uncalibrated,0.039,0.00129934450232323,0.000350686712054562
30,30,SVM (RBF),uncalibrated,0.0394,0.000197079180995577,5.13051546688874E-05
30,30,SVM (RBF),uncalibrated,0.0398,5.21211249635549E-05,2.38792003756644E-05
30,30,SVM (RBF),uncalibrated,0.0402,8.4099161924549E-05,2.57566851635942E-05
30,30,SVM (RBF),uncalibrated,0.041,9.0661843375634E-06,6.92637215407882E-07
30,30,Neural Network,calibrated,0.036,1.66298784799119E-17,3.32331684315001E-18
30,30,Neural Network,calibrated,0.0366,3.58378114278654E-14,2.37719041155272E-14
30,30,Neural Network,calibrated,0.037,9.96065113299471E-08,9.93162808431046E-08
30,30,Neural Network,calibrated,0.0374,0.00209850296698703,0.00160966494641273
