feature_set,n_features,model,calibration,Delta,mean,mean_err
30,30,Logistic Regression,calibrated,0.036,0.000123677118670599,2.97200356440127E-06
30,30,Logistic Regression,calibrated,0.0366,0.000676894094508286,8.2673031443491E-05
30,30,Logistic Regression,calibrated,0.037,0.00903544224446611,0.00308728123990451
30,30,Logistic Regression,calibrated,0.0374,0.0832194419804705,0.0374891315165534
30,30,Logistic Regression,calibrated,0.0378,0.324668037665845,0.0361720010808628
30,30,Logistic Regression,calibrated,0.0382,0.811520912958431,0.0621792629908409
30,30,Logistic Regression,calibrated,0.0386,0.959879788697412,0.0151074496752234
30,30,Logistic Regression,calibrated,0.039,0.998433725892579,0.00063312226348633
30,30,Logistic Regression,calibrated,0.0394,0.999424720336102,7.46004135575746E-05
30,30,Logistic Regression,calibrated,0.0398,0.999699513518236,1.97332832209812E-05
30,30,Logistic Regression,calibrated,0.0402,0.999690033178969,3.85470332492366E-05
30,30,Logistic Regression,calibrated,0.041,0.999798271116101,1.79649833961506E-06
30,30,Logistic Regression,uncalibrated,0.036,5.43337130893594E-05,1.45504974079928E-06
30,30,Logistic Regression,uncalibrated,0.0366,0.000353530874421407,4.8124683061748E-05
30,30,Logistic Regression,uncalibrated,0.037,0.00598449707663958,0.00228270090559621
30,30,Logistic Regression,uncalibrated,0.0374,0.0687406338239229,0.0338594774445267
30,30,Logistic Regression,uncalibrated,0.0378,0.309027340239537,0.0376051215172282
30,30,Logistic Regression,uncalibrated,0.0382,0.818602226994116,0.0614393371973704
30,30,Logistic Regression,uncalibrated,0.0386,0.96653017880123,0.0130984116309322
30,30,Logistic Regression,uncalibrated,0.039,0.998988316849194,0.000428181867058675
30,30,Logistic Regression,uncalibrated,0.0394,0.999660323438147,4.76049829490418E-05
30,30,Logistic Regression,uncalibrated,0.0398,0.999833051203796,1.15970322112939E-05
30,30,Logistic Regression,uncalibrated,0.0402,0.999825896186021,2.3396549714394E-05
30,30,Logistic Regression,uncalibrated,0.041,0.999890942615727,1.02990419174441E-06
30,30,Logistic Regression C = 0.00175,calibrated,0.036,0.00012671949838377,3.04305879682344E-06
30,30,Logistic Regression C = 0.00175,calibrated,0.0366,0.000692737913655399,8.45253823575061E-05
30,30,Logistic Regression C = 0.00175,calibrated,0.037,0.0092238103238655,0.003145880598242
30,30,Logistic Regression C = 0.00175,calibrated,0.0374,0.0845146038744187,0.0379542996946155
30,30,Logistic Regression C = 0.00175,calibrated,0.0378,0.327439850545624,0.0362552547327318
30,30,Logistic Regression C = 0.00175,calibrated,0.0382,0.812897734866796,0.0617192457614635
30,30,Logistic Regression C = 0.00175,calibrated,0.0386,0.960200766532312,0.0149816931699507
30,30,Logistic Regression C = 0.00175,calibrated,0.039,0.998441288294421,0.000629048467360838
30,30,Logistic Regression C = 0.00175,calibrated,0.0394,0.999426173033012,7.4193594168326E-05
30,30,Logistic Regression C = 0.00175,calibrated,0.0398,0.999698406221161,1.99954035768436E-05
30,30,Logistic Regression C = 0.00175,calibrated,0.0402,0.999690203277212,3.83110568956679E-05
30,30,Logistic Regression C = 0.00175,calibrated,0.041,0.999797670947055,1.80930645277063E-06
30,30,Logistic Regression C = 0.00175,uncalibrated,0.036,0.00519566693283208,6.50980816754484E-05
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0366,0.0131069556646343,0.000821339932535836
30,30,Logistic Regression C = 0.00175,uncalibrated,0.037,0.0572817014052415,0.00979328398009189
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0374,0.198520639551811,0.0514333539310177
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0378,0.428786487355073,0.0283541973089196
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0382,0.783155499910872,0.0545854237368699
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0386,0.911938533238815,0.0230256213687954
30,30,Logistic Regression C = 0.00175,uncalibrated,0.039,0.985991015660306,0.00378615434436419
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0394,0.991737751568593,0.000610932447186845
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0398,0.994336079115734,0.000197125117661255
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0402,0.994206247304536,0.000427686955168316
30,30,Logistic Regression C = 0.00175,uncalibrated,0.041,0.995499050862497,2.34873244979775E-05
30,30,kNN,calibrated,0.036,0.000221650878584332,1.19692678976814E-18
30,30,kNN,calibrated,0.0366,0.000221650878584334,1.19692678976814E-18
30,30,kNN,calibrated,0.037,0.000221650878584332,1.051173006585E-18
30,30,kNN,calibrated,0.0374,0.000221650878584334,1.19692678976814E-18
30,30,kNN,calibrated,0.0378,0.0363632973898739,0.0179579597833355
30,30,kNN,calibrated,0.0382,0.701393145935808,0.116675789805235
30,30,kNN,calibrated,0.0386,0.993227354528902,0.00489742129819169
30,30,kNN,calibrated,0.039,0.999804824711331,5.88313455706836E-15
30,30,kNN,calibrated,0.0394,0.999804824711349,5.88313455706836E-15
30,30,kNN,calibrated,0.0398,0.999804824711337,5.57327535144975E-15
30,30,kNN,calibrated,0.0402,0.999804824711345,5.57327535144975E-15
30,30,kNN,calibrated,0.041,0.999804824711357,3.92208970471224E-15
30,30,kNN,uncalibrated,0.036,0,0
30,30,kNN,uncalibrated,0.0366,0,0
30,30,kNN,uncalibrated,0.037,0,0
30,30,kNN,uncalibrated,0.0374,0,0
30,30,kNN,uncalibrated,0.0378,0.0390601048810004,0.0190826997997326
30,30,kNN,uncalibrated,0.0382,0.714034,0.109738
30,30,kNN,uncalibrated,0.0386,0.994777518540124,0.00406064914645126
30,30,kNN,uncalibrated,0.039,1,0
30,30,kNN,uncalibrated,0.0394,1,0
30,30,kNN,uncalibrated,0.0398,1,0
30,30,kNN,uncalibrated,0.0402,1,0
30,30,kNN,uncalibrated,0.041,1,0
30,30,SVM (RBF),calibrated,0.036,0.000214017181939786,8.74476638255631E-07
30,30,SVM (RBF),calibrated,0.0366,0.000338250289450858,1.50949461001286E-05
30,30,SVM (RBF),calibrated,0.037,0.00154970894603328,0.000410888682609509
30,30,SVM (RBF),calibrated,0.0374,0.0132115824936101,0.00661823626100167
30,30,SVM (RBF),calibrated,0.0378,0.0902631315076309,0.0170026270024093
30,30,SVM (RBF),calibrated,0.0382,0.579763900804482,0.134463827776604
30,30,SVM (RBF),calibrated,0.0386,0.875199967666129,0.0499535489137018
30,30,SVM (RBF),calibrated,0.039,0.997571619772317,0.00118542485162104
30,30,SVM (RBF),calibrated,0.0394,0.999392852291046,0.000106137194956894
30,30,SVM (RBF),calibrated,0.0398,0.999735189563264,2.41410209465573E-05
30,30,SVM (RBF),calibrated,0.0402,0.999700235996545,5.27722065324365E-05
30,30,SVM (RBF),calibrated,0.041,0.999802697130969,1.7258232138265E-06
30,30,SVM (RBF),uncalibrated,0.036,0.251145706182986,8.98317815727545E-05
30,30,SVM (RBF),uncalibrated,0.0366,0.26080869296944,0.000863676675470179
30,30,SVM (RBF),uncalibrated,0.037,0.293731303719088,0.00489515122296924
30,30,SVM (RBF),uncalibrated,0.0374,0.347498809596373,0.0154222293827928
30,30,SVM (RBF),uncalibrated,0.0378,0.40787219221516,0.00706249815050331
30,30,SVM (RBF),uncalibrated,0.0382,0.51847633709421,0.0277704176760226
30,30,SVM (RBF),uncalibrated,0.0386,0.584523015188368,0.0225037644952023
30,30,SVM (RBF),uncalibrated,0.039,0.701745175057061,0.0182915951161913
30,30,SVM (RBF),uncalibrated,0.0394,0.725356076686434,0.00389827894573212
