feature_set,n_features,model,calibration,train_acc,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
30,30,Logistic Regression,calibrated,1,0.0379440533444349,3.74142465095351E-05,0.0378,12,1.951,4.197,12.221,0.0104,0.0096,0.00045,18.389
30,30,Logistic Regression,uncalibrated,1,0.0379499074343924,3.65304005635234E-05,0.0378,12,0.356,4.373,12.224,0.0089,0.0086,0.00018,16.972
30,30,Logistic Regression C = 0.00175,calibrated,1,0.0379421834148976,3.73310634759204E-05,0.0378,12,2.28,4.298,11.79,0.0084,0.0084,0.00016,18.385
30,30,Logistic Regression C = 0.00175,uncalibrated,1,0.0378803834535433,3.79554504427931E-05,0.0378,12,0.307,4.116,11.363,0.0084,0.008,0.00015,15.803
30,30,kNN,calibrated,1,0.0380788667026744,5.21966040210212E-05,0.0382,12,165.723,3.99,11.857,0.0086,0.0084,0.00017,181.586
30,30,kNN,uncalibrated,1,0.0380731601316449,4.79966616356286E-05,0.0382,12,37.519,3.91,8.776,0.009,0.0082,0.00015,50.222
30,30,SVM (RBF),calibrated,1,0.038134820203924,9.42377150164765E-05,0.0382,12,9.201,4.17,11.982,0.0094,0.0087,0.00026,25.372
30,30,SVM (RBF),uncalibrated,1,0.0381331803085159,8.79213910750788E-05,0.0382,12,1.847,4.141,11.974,0.0089,0.0086,0.00018,17.98
30,30,Neural Network,calibrated,1,0.0380521085556097,5.76786369118509E-05,0.0382,12,12.328,4.161,11.579,0.0085,0.0083,0.00015,28.085
30,30,Neural Network,uncalibrated,1,0.0381163241636387,8.32354260092521E-05,0.0382,12,2.606,3.917,11.141,0.0083,0.0083,0.00015,17.681
20,20,Logistic Regression,calibrated,1,0.0379257900429491,3.64413507804004E-05,0.0378,12,2.26,6.176,12.067,0.009,0.0085,0.00025,20.52
20,20,Logistic Regression,uncalibrated,1,0.0379364682693474,3.56549528723943E-05,0.0378,12,0.305,4.206,12.091,0.0087,0.0084,0.00017,16.62
20,20,Logistic Regression C = 0.00175,calibrated,1,0.0379260421130671,3.64642454078946E-05,0.0378,12,2.089,4.138,11.827,0.0087,0.0085,0.00016,18.071
20,20,Logistic Regression C = 0.00175,uncalibrated,1,0.0378721520051671,3.75614249083791E-05,0.0378,12,0.301,4.1,11.753,0.0086,0.0084,0.00016,16.171
20,20,kNN,calibrated,1,0.0380519752075469,3.77784305946364E-05,0.0382,12,124.091,4.059,11.714,0.0086,0.0084,0.00015,139.881
20,20,kNN,uncalibrated,1,0.0380499332774548,3.68585805940436E-05,0.0382,12,30.57,3.983,9.696,0.0088,0.0083,0.00016,44.266
20,20,SVM (RBF),calibrated,1,0.0380782367086003,6.55396972681185E-05,0.0382,12,9.193,4.113,12.105,0.009,0.0087,0.00017,25.429
20,20,SVM (RBF),uncalibrated,1,0.0380831573406023,7.60639185672461E-05,0.0382,12,1.722,4.214,11.543,0.0084,0.0081,0.00016,17.495
20,20,Neural Network,calibrated,1,0.0379282859488062,3.05160156651398E-05,0.0378,12,11.365,4.02,11.47,0.0088,0.0083,0.00015,26.873
20,20,Neural Network,uncalibrated,1,0.0379537953065502,3.07793447412028E-05,0.0378,12,2.375,4.035,11.435,0.0087,0.0085,0.00015,17.863
12,12,Logistic Regression,calibrated,1,0.037909423430093,3.64035436385874E-05,0.0378,12,1.844,4.243,11.846,0.0091,0.0086,0.00016,17.95
12,12,Logistic Regression,uncalibrated,1,0.0378910898440759,3.62283077250661E-05,0.0378,12,0.251,4.168,11.88,0.0086,0.0085,0.00016,16.316
12,12,Logistic Regression C = 0.00175,calibrated,1,0.0379349231988881,3.73105731256925E-05,0.0378,12,1.759,4.147,11.965,0.0089,0.0086,0.00016,17.888
12,12,Logistic Regression C = 0.00175,uncalibrated,1,0.037853635528419,3.68446922627418E-05,0.0378,12,0.196,4.119,11.836,0.0086,0.0095,0.00026,16.169
12,12,kNN,calibrated,1,0.0380924984269007,6.34439223498559E-05,0.0382,12,73.196,4.083,11.426,0.0094,0.0105,0.00025,88.725
12,12,kNN,uncalibrated,1,0.0380838294177877,5.61079735110136E-05,0.0382,12,17.06,4.028,9.21,0.01,0.0091,0.00024,30.318
12,12,SVM (RBF),calibrated,1,0.0380771569237408,6.55456750666583E-05,0.0382,12,10.958,4.227,12.002,0.0088,0.0086,0.00017,27.204
12,12,SVM (RBF),uncalibrated,1,0.0380755887614819,7.52327994176337E-05,0.0382,12,2.136,4.117,11.879,0.0088,0.0085,0.00016,18.149
12,12,Neural Network,calibrated,1,0.0379880844674564,3.15829619427846E-05,0.0378,12,11.644,3.995,11.424,0.0086,0.0084,0.00016,27.081
12,12,Neural Network,uncalibrated,1,0.0380008265562517,3.79242616852675E-05,0.0382,12,2.439,4.033,11.405,0.0086,0.0085,0.0002,17.894
