feature_set,n_features,model,calibration,Delta,chi,chi_err
30,30,Logistic Regression,calibrated,0.036,5.48102297676495E-09,8.61718239428542E-10
30,30,Logistic Regression,calibrated,0.0366,9.46474072475019E-07,3.56450906559169E-07
30,30,Logistic Regression,calibrated,0.037,0.000217863519471645,0.000151746373356461
30,30,Logistic Regression,calibrated,0.0374,0.00985110681348991,0.00438303291220423
30,30,Logistic Regression,calibrated,0.0378,0.0461352182496176,0.00857779219304136
30,30,Logistic Regression,calibrated,0.0382,0.0351753301352043,0.00982022628306634
30,30,Logistic Regression,calibrated,0.0386,0.00187691268654725,0.00069638759834202
30,30,Logistic Regression,calibrated,0.039,2.75753965796506E-06,7.87439153971174E-07
30,30,Logistic Regression,calibrated,0.0394,1.140433499665E-07,4.77642533265331E-08
30,30,Logistic Regression,calibrated,0.0398,1.52710319625618E-08,5.92133529054565E-09
30,30,Logistic Regression,calibrated,0.0402,1.53612414413002E-08,4.21733074511201E-09
30,30,Logistic Regression,calibrated,0.041,3.50816143846835E-09,1.18942654584021E-10
30,30,Logistic Regression,uncalibrated,0.036,1.15023931675701E-17,4.32657344473839E-18
30,30,Logistic Regression,uncalibrated,0.0366,2.72033437570551E-12,2.31599704372783E-12
30,30,Logistic Regression,uncalibrated,0.037,2.70727961575113E-06,2.62667194057071E-06
30,30,Logistic Regression,uncalibrated,0.0374,0.00754641571578228,0.00603026351253533
30,30,Logistic Regression,uncalibrated,0.0378,0.117265628902339,0.0154344486070692
30,30,Logistic Regression,uncalibrated,0.0382,0.0333210540411373,0.0158512552491843
30,30,Logistic Regression,uncalibrated,0.0386,2.87173119150516E-05,2.09567250746588E-05
30,30,Logistic Regression,uncalibrated,0.039,1.02036032087936E-12,4.7280842512224E-13
30,30,Logistic Regression,uncalibrated,0.0394,1.2874704000095E-15,1.07757818501699E-15
30,30,Logistic Regression,uncalibrated,0.0398,9.51445144613991E-18,6.9752530164444E-18
30,30,Logistic Regression,uncalibrated,0.0402,6.12308935009519E-18,2.93416213842734E-18
30,30,Logistic Regression,uncalibrated,0.041,2.68447384117903E-19,1.6362321539849E-20
30,30,Logistic Regression C = 0.00175,calibrated,0.036,5.54634538062335E-09,8.71884281394386E-10
30,30,Logistic Regression C = 0.00175,calibrated,0.0366,9.57042717004764E-07,3.60349235507273E-07
30,30,Logistic Regression C = 0.00175,calibrated,0.037,0.000219946539287579,0.00015315527773012
30,30,Logistic Regression C = 0.00175,calibrated,0.0374,0.00991808805495432,0.00440786630238148
30,30,Logistic Regression C = 0.00175,calibrated,0.0378,0.0462330859826527,0.0085925880271463
30,30,Logistic Regression C = 0.00175,calibrated,0.0382,0.035031371385435,0.00980001121498707
30,30,Logistic Regression C = 0.00175,calibrated,0.0386,0.00186114667435631,0.000690879132718868
30,30,Logistic Regression C = 0.00175,calibrated,0.039,2.73412267937817E-06,7.80529034624304E-07
30,30,Logistic Regression C = 0.00175,calibrated,0.0394,1.13154226619107E-07,4.73786787948798E-08
30,30,Logistic Regression C = 0.00175,calibrated,0.0398,1.51874371551345E-08,5.8918722656754E-09
30,30,Logistic Regression C = 0.00175,calibrated,0.0402,1.52510582934136E-08,4.18552011873744E-09
30,30,Logistic Regression C = 0.00175,calibrated,0.041,3.48736642884942E-09,1.18298691443392E-10
30,30,Logistic Regression C = 0.00175,uncalibrated,0.036,1.43001957549114E-17,5.34293878793258E-18
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0366,3.11588747519518E-12,2.64500478832848E-12
30,30,Logistic Regression C = 0.00175,uncalibrated,0.037,2.83234454890273E-06,2.74623577271561E-06
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0374,0.00757945650557448,0.00604042632517113
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0378,0.116799860438,0.0153783400231545
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0382,0.0332784323280888,0.0158069715335436
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0386,2.95787590654014E-05,2.1530237820919E-05
30,30,Logistic Regression C = 0.00175,uncalibrated,0.039,1.17955536899606E-12,5.45218360729855E-13
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0394,1.54642978446648E-15,1.2894518022221E-15
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0398,1.18455746690639E-17,8.64273246033917E-18
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0402,7.69214822132187E-18,3.66814471475118E-18
30,30,Logistic Regression C = 0.00175,uncalibrated,0.041,3.43752479381381E-19,2.08265954823438E-20
30,30,Decision Tree,calibrated,0.036,-1.88815482086756E-37,1.81539552609516E-53
30,30,Decision Tree,calibrated,0.0366,-3.35019307153942E-37,3.75531130402088E-53
30,30,Decision Tree,calibrated,0.037,2.93873587675071E-39,9.59019981773978E-54
30,30,Decision Tree,calibrated,0.0374,0.00124970669615866,0.00124153312393928
30,30,Decision Tree,calibrated,0.0378,0.0973638147399904,0.0251406145605215
30,30,Decision Tree,calibrated,0.0382,0.144908471610044,0.0402886117191644
30,30,Decision Tree,calibrated,0.0386,0.00281468444318424,0.00176576697661999
30,30,Decision Tree,calibrated,0.039,-2.53915794403373E-30,2.72813888972601E-46
30,30,Decision Tree,calibrated,0.0394,-1.87356462734411E-30,1.34971623059732E-46
30,30,Decision Tree,calibrated,0.0398,-5.01671585261726E-30,1.56363635781292E-46
30,30,Decision Tree,calibrated,0.0402,-4.68391418803321E-30,1.06704437089614E-46
30,30,Decision Tree,calibrated,0.041,-9.65129640057111E-30,4.33504595383288E-46
30,30,Decision Tree,uncalibrated,0.036,0,0
30,30,Decision Tree,uncalibrated,0.0366,0,0
30,30,Decision Tree,uncalibrated,0.037,0,0
30,30,Decision Tree,uncalibrated,0.0374,0.00118000002761283,0.0011772387447749
30,30,Decision Tree,uncalibrated,0.0378,0.0980778881812658,0.026095040765065
30,30,Decision Tree,uncalibrated,0.0382,0.162922400142888,0.0451682265645313
30,30,Decision Tree,uncalibrated,0.0386,0.00372071725432211,0.00230645702437562
30,30,Decision Tree,uncalibrated,0.039,0,0
30,30,Decision Tree,uncalibrated,0.0394,0,0
30,30,Decision Tree,uncalibrated,0.0398,0,0
30,30,Decision Tree,uncalibrated,0.0402,0,0
30,30,Decision Tree,uncalibrated,0.041,0,0
30,30,Random Forest,calibrated,0.036,-1.88815482086756E-37,1.81539552609516E-53
30,30,Random Forest,calibrated,0.0366,1.69534536073055E-08,8.54716610068484E-09
30,30,Random Forest,calibrated,0.037,4.6170101651201E-07,1.3409678858973E-07
30,30,Random Forest,calibrated,0.0374,0.000455994267354754,0.000449907675996958
30,30,Random Forest,calibrated,0.0378,0.106234007438226,0.0275712964923428
30,30,Random Forest,calibrated,0.0382,0.0964407915895854,0.0350221500483604
30,30,Random Forest,calibrated,0.0386,0.000214839422731522,8.37236333177207E-05
30,30,Random Forest,calibrated,0.039,1.83045731590879E-07,1.01937664549051E-07
30,30,Random Forest,calibrated,0.0394,6.27815769086843E-10,5.98505158778521E-10
