feature_set,n_features,model,calibration,Delta,mean,mean_err
30,30,Logistic Regression,calibrated,0.036,0.000150581755334161,3.43255757869837E-06
30,30,Logistic Regression,calibrated,0.0366,0.000774814177374229,9.16163836526433E-05
30,30,Logistic Regression,calibrated,0.037,0.00980357171076766,0.00327159378408798
30,30,Logistic Regression,calibrated,0.0374,0.0879329505428236,0.039118311764685
30,30,Logistic Regression,calibrated,0.0378,0.337437355900981,0.0368119085784733
30,30,Logistic Regression,calibrated,0.0382,0.820148246157349,0.0593825821139966
30,30,Logistic Regression,calibrated,0.0386,0.962275415761781,0.0140909355566101
30,30,Logistic Regression,calibrated,0.039,0.998456158781218,0.000615455026386103
30,30,Logistic Regression,calibrated,0.0394,0.999425243657555,7.26759629751617E-05
30,30,Logistic Regression,calibrated,0.0398,0.999700339986536,1.93995078906493E-05
30,30,Logistic Regression,calibrated,0.0402,0.999692430580303,3.63220851569146E-05
30,30,Logistic Regression,calibrated,0.041,0.999801558214177,1.77644242139014E-06
30,30,Logistic Regression,uncalibrated,0.036,1.51080492712323E-09,1.42985055905828E-10
30,30,Logistic Regression,uncalibrated,0.0366,2.6891448522241E-07,1.13757491570772E-07
30,30,Logistic Regression,uncalibrated,0.037,0.000212965519193805,0.000180041521196826
30,30,Logistic Regression,uncalibrated,0.0374,0.0296389653664363,0.0237445456168691
30,30,Logistic Regression,uncalibrated,0.0378,0.338352623160185,0.0553755389285016
30,30,Logistic Regression,uncalibrated,0.0382,0.923178609189334,0.0325066543865571
30,30,Logistic Regression,uncalibrated,0.0386,0.998950424910036,0.000568217277954845
30,30,Logistic Regression,uncalibrated,0.039,0.999999742671637,1.50856185099357E-07
30,30,Logistic Regression,uncalibrated,0.0394,0.999999987645919,4.54158862912122E-09
30,30,Logistic Regression,uncalibrated,0.0398,0.999999998034938,4.17421353199115E-10
30,30,Logistic Regression,uncalibrated,0.0402,0.999999997925217,6.07022099252674E-10
30,30,Logistic Regression,uncalibrated,0.041,0.999999999355373,1.42551133258818E-11
30,30,Logistic Regression C = 0.00175,calibrated,0.036,0.000151507263993552,3.45293165651124E-06
30,30,Logistic Regression C = 0.00175,calibrated,0.0366,0.000779326966951896,9.21290328381705E-05
30,30,Logistic Regression C = 0.00175,calibrated,0.037,0.00985514907371836,0.00328763790844224
30,30,Logistic Regression C = 0.00175,calibrated,0.0374,0.0883069181215538,0.0392611434084498
30,30,Logistic Regression C = 0.00175,calibrated,0.0378,0.33835588929377,0.0368558983751571
30,30,Logistic Regression C = 0.00175,calibrated,0.0382,0.820728779439402,0.0591998183641527
30,30,Logistic Regression C = 0.00175,calibrated,0.0386,0.962442947267534,0.0140279871849464
30,30,Logistic Regression C = 0.00175,calibrated,0.039,0.998462144589422,0.000612897668069656
30,30,Logistic Regression C = 0.00175,calibrated,0.0394,0.999427223048976,7.23911123469433E-05
30,30,Logistic Regression C = 0.00175,calibrated,0.0398,0.99970118550935,1.93590082234549E-05
30,30,Logistic Regression C = 0.00175,calibrated,0.0402,0.999693399474805,3.6180950690301E-05
30,30,Logistic Regression C = 0.00175,calibrated,0.041,0.999802111056573,1.77165803766364E-06
30,30,Logistic Regression C = 0.00175,uncalibrated,0.036,1.7089258357724E-09,1.59810161629663E-10
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0366,2.9127359580014E-07,1.22010228962087E-07
30,30,Logistic Regression C = 0.00175,uncalibrated,0.037,0.000220387990997624,0.000185634951286118
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0374,0.0299090277075387,0.0238962907845542
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0378,0.338601980129638,0.05529176382246
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0382,0.922912065431623,0.0325778609006837
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0386,0.998919550142549,0.000583317008121161
30,30,Logistic Regression C = 0.00175,uncalibrated,0.039,0.999999719975996,1.64042342098991E-07
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0394,0.999999986231996,5.01923571345152E-09
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0398,0.999999997777895,4.67393441524855E-10
30,30,Logistic Regression C = 0.00175,uncalibrated,0.0402,0.999999997653343,6.8228972471829E-10
30,30,Logistic Regression C = 0.00175,uncalibrated,0.041,0.999999999264718,1.61512089126372E-11
30,30,Decision Tree,calibrated,0.036,0.000221650878584332,1.19692678976814E-18
30,30,Decision Tree,calibrated,0.0366,0.000221650878584334,1.19692678976814E-18
30,30,Decision Tree,calibrated,0.037,0.000221650878584332,1.051173006585E-18
30,30,Decision Tree,calibrated,0.0374,0.00181898478872436,0.00158134057941001
30,30,Decision Tree,calibrated,0.0378,0.121810639645774,0.0347925131118843
30,30,Decision Tree,calibrated,0.0382,0.816049450651108,0.0701668155590225
30,30,Decision Tree,calibrated,0.0386,0.996572771779648,0.00202278124695115
30,30,Decision Tree,calibrated,0.039,0.999804824711331,5.88313455706836E-15
30,30,Decision Tree,calibrated,0.0394,0.999804824711349,5.88313455706836E-15
30,30,Decision Tree,calibrated,0.0398,0.999804824711337,5.57327535144975E-15
30,30,Decision Tree,calibrated,0.0402,0.999804824711345,5.57327535144975E-15
30,30,Decision Tree,calibrated,0.041,0.999804824711357,3.92208970471224E-15
30,30,Decision Tree,uncalibrated,0.036,0,0
30,30,Decision Tree,uncalibrated,0.0366,0,0
30,30,Decision Tree,uncalibrated,0.037,0,0
30,30,Decision Tree,uncalibrated,0.0374,0.00118,0.00118
30,30,Decision Tree,uncalibrated,0.0378,0.108852181279119,0.0327794571121097
30,30,Decision Tree,uncalibrated,0.0382,0.80428,0.07422
30,30,Decision Tree,uncalibrated,0.0386,0.996270755640741,0.00231950396297433
30,30,Decision Tree,uncalibrated,0.039,1,0
30,30,Decision Tree,uncalibrated,0.0394,1,0
30,30,Decision Tree,uncalibrated,0.0398,1,0
30,30,Decision Tree,uncalibrated,0.0402,1,0
30,30,Decision Tree,uncalibrated,0.041,1,0
30,30,Random Forest,calibrated,0.036,0.000221650878584332,1.19692678976814E-18
30,30,Random Forest,calibrated,0.0366,0.000243519541341938,8.93328640877436E-06
30,30,Random Forest,calibrated,0.037,0.000927020316415324,0.000112457482112392
30,30,Random Forest,calibrated,0.0374,0.00308599490213896,0.00134782456745292
30,30,Random Forest,calibrated,0.0378,0.152153418526906,0.044445713354727
30,30,Random Forest,calibrated,0.0382,0.851708982648486,0.0545959177805703
30,30,Random Forest,calibrated,0.0386,0.985611847590539,0.00525549423264815
30,30,Random Forest,calibrated,0.039,0.99966296630999,9.47994133499996E-05
30,30,Random Forest,calibrated,0.0394,0.999803420596264,1.28099479367633E-06
30,30,Random Forest,calibrated,0.0398,0.999804824711337,5.57327535144975E-15
30,30,Random Forest,calibrated,0.0402,0.999804824711345,5.57327535144975E-15
30,30,Random Forest,calibrated,0.041,0.999804824711357,3.92208970471224E-15
30,30,Random Forest,uncalibrated,0.036,0,0
30,30,Random Forest,uncalibrated,0.0366,0.00267245,0.000992809342919822
30,30,Random Forest,uncalibrated,0.037,0.0675843779648358,0.00827676174327299
30,30,Random Forest,uncalibrated,0.0374,0.1254063,0.0133404
30,30,Random Forest,uncalibrated,0.0378,0.255162456511874,0.0270060772326262
30,30,Random Forest,uncalibrated,0.0382,0.66258635,0.0427187042539428
30,30,Random Forest,uncalibrated,0.0386,0.782559889594834,0.0434978127278409
30,30,Random Forest,uncalibrated,0.039,0.985026973950477,0.0098476535192612
30,30,Random Forest,uncalibrated,0.0394,0.999786966637583,0.000193208477019141
30,30,Random Forest,uncalibrated,0.0398,1,0
30,30,Random Forest,uncalibrated,0.0402,1,0
30,30,Random Forest,uncalibrated,0.041,1,0
30,30,Gradient Boosted Trees,calibrated,0.036,0.000221650852704149,9.19177112777249E-19
30,30,Gradient Boosted Trees,calibrated,0.0366,0.000251326845459126,1.0726817259439E-05
30,30,Gradient Boosted Trees,calibrated,0.037,0.00101310117500729,0.000111594791393974
30,30,Gradient Boosted Trees,calibrated,0.0374,0.00280105273130005,0.00104698430897463
