feature_set,n_features,model,calibration,train_acc,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
30,30,Logistic Regression,calibrated,1,0.0379347080808661,3.68030137828047E-05,0.0378,12,3.58,3.691,10.421,0.0094,0.0084,0.00023,17.711
30,30,Logistic Regression,uncalibrated,1,0.0379105610083693,3.35515334559452E-05,0.0378,12,0.53,3.7,10.305,0.0097,0.0083,0.00017,14.553
30,30,Logistic Regression C = 0.00175,calibrated,1,0.0379340407920996,3.67710467282742E-05,0.0378,12,3.306,4.346,12.84,0.01,0.0096,0.00019,20.512
30,30,Logistic Regression C = 0.00175,uncalibrated,1,0.0379104879234025,3.35559731998426E-05,0.0378,12,0.693,4.606,13.249,0.0105,0.0101,0.00029,18.568
30,30,Decision Tree,calibrated,1,0.0380179015948743,3.11493996341614E-05,0.0382,12,1.137,4.539,12.871,0.0082,0.008,0.00015,18.563
30,30,Decision Tree,uncalibrated,1,0.0380249825550208,3.22609787259806E-05,0.0382,12,0.142,3.986,10.053,0.0083,0.008,0.00015,14.198
30,30,Random Forest,calibrated,1,0.0379988957557131,2.8299564662415E-05,0.0378,12,20.597,4.518,12.916,0.0095,0.0094,0.00018,38.05
30,30,Random Forest,uncalibrated,1,0.0380403762247638,3.57842853366705E-05,0.0382,12,4.496,4.517,12.319,0.0097,0.0097,0.00016,21.351
30,30,Gradient Boosted Trees,calibrated,1,0.0380185101183177,3.04102432474727E-05,0.0382,12,48.947,3.804,10.801,0.0094,0.0077,0.00015,63.569
30,30,Gradient Boosted Trees,uncalibrated,1,0.038019173114121,3.02972648815344E-05,0.0382,12,10.671,3.84,10.841,0.0093,0.0083,0.00014,25.37
30,30,kNN,calibrated,1,0.0379995998637636,2.80023881740037E-05,0.0378,12,3071.368,3.831,10.84,0.0091,0.0077,0.00015,3086.055
30,30,kNN,uncalibrated,1,0.037999363075169,2.79793197797717E-05,0.0378,12,777.938,4.024,9.734,0.0084,0.0083,0.00017,791.712
30,30,kNN kd_tree,calibrated,1,0.0379995998637636,2.80023881740037E-05,0.0378,12,57.568,3.719,10.574,0.0091,0.0084,0.00015,71.879
30,30,kNN kd_tree,uncalibrated,1,0.037999363075169,2.79793197797717E-05,0.0378,12,12.866,3.699,8.892,0.009,0.0087,0.00021,25.474
30,30,kNN ball_tree,calibrated,1,0.0379995998637636,2.80023881740037E-05,0.0378,12,134.003,4.142,11.875,0.0087,0.0083,0.00017,150.036
30,30,kNN ball_tree,uncalibrated,1,0.037999363075169,2.79793197797717E-05,0.0378,12,32.195,3.624,8.744,0.0088,0.0088,0.00016,44.581
30,30,SVM (RBF),calibrated,1,0.0379148382207093,3.5753909560249E-05,0.0378,12,5.963,4.026,11.243,0.009,0.0097,0.00024,21.251
30,30,SVM (RBF),uncalibrated,1,0.0379416848456082,5.01602626217635E-05,0.0378,12,1.141,3.97,11.043,0.0081,0.0079,0.00015,16.17
30,30,Neural Network,calibrated,1,0.0379030877030621,4.86179615808563E-05,0.0378,12,10.065,3.619,10.252,0.0091,0.0089,0.00019,23.954
30,30,Neural Network,uncalibrated,1,0.0378974318047632,3.81875745889339E-05,0.0378,12,2.237,3.646,8.796,0.0092,0.0086,0.00021,14.696
20,20,Logistic Regression,calibrated,1,0.0379910746063448,4.29951685201972E-05,0.0378,12,3.931,6.568,14.177,0.0146,0.0087,0.0003,24.699
20,20,Logistic Regression,uncalibrated,1,0.0379694506665985,2.99053505523541E-05,0.0378,12,0.617,4.083,11.269,0.0086,0.0082,0.00015,15.986
20,20,Logistic Regression C = 0.00175,calibrated,1,0.0379915282286589,4.30651987023112E-05,0.0378,12,3.301,4.234,12.029,0.0089,0.0086,0.00016,19.582
20,20,Logistic Regression C = 0.00175,uncalibrated,1,0.0379709157142573,2.99443514168881E-05,0.0378,12,0.52,4.186,11.912,0.0088,0.0086,0.00016,16.635
20,20,Decision Tree,calibrated,1,0.0386737628801653,0.000134272738165696,0.0386,12,0.828,4.052,11.621,0.0087,0.0085,0.00016,16.519
20,20,Decision Tree,uncalibrated,1,0.038679299382591,0.00013072677081054,0.0386,12,0.105,4,8.638,0.0085,0.0083,0.00016,12.759
20,20,Random Forest,calibrated,1,0.0381284293650779,5.58305197549915E-05,0.0382,12,17.89,3.976,11.509,0.0086,0.0083,0.00016,33.393
20,20,Random Forest,uncalibrated,1,0.0381940624542248,6.25803290274473E-05,0.0382,12,3.84,3.931,10.84,0.0085,0.0081,0.00015,18.628
20,20,Gradient Boosted Trees,calibrated,1,0.0380685872434651,3.88504680974996E-05,0.0382,12,31.889,3.929,11.317,0.0083,0.0082,0.00015,47.152
20,20,Gradient Boosted Trees,uncalibrated,1,0.038057264488734,3.63857409110886E-05,0.0382,12,7.544,3.93,11.312,0.0087,0.0082,0.00015,22.803
20,20,kNN kd_tree,calibrated,1,0.0380490078646906,3.64599566802287E-05,0.0382,12,3156.749,3.825,10.897,0.0101,0.0077,0.00014,3171.49
20,20,kNN kd_tree,uncalibrated,1,0.0380493562866334,3.65843809338212E-05,0.0382,12,812.083,3.659,8.264,0.0091,0.0084,0.00014,824.024
20,20,kNN,calibrated,1,0.0380490078646906,3.64599566802287E-05,0.0382,12,80.234,3.736,10.584,0.0093,0.0087,0.00026,94.573
20,20,kNN,uncalibrated,1,0.0380493562866334,3.65843809338212E-05,0.0382,12,20.01,4.048,9.28,0.0086,0.0084,0.00015,33.355
20,20,kNN ball_tree,calibrated,1,0.0380490078646906,3.64599566802287E-05,0.0382,12,165.372,3.634,10.321,0.009,0.0086,0.00024,179.345
20,20,kNN ball_tree,uncalibrated,1,0.0380493562866334,3.65843809338212E-05,0.0382,12,42.939,3.955,9.069,0.0101,0.0088,0.00029,55.982
20,20,SVM (RBF),calibrated,1,0.0379375666732625,3.6723514153631E-05,0.0378,12,8.349,4.229,12.294,0.0091,0.0087,0.00016,24.89
20,20,SVM (RBF),uncalibrated,1,0.0379666179965535,5.44970346777759E-05,0.0378,12,1.663,4.134,11.462,0.0095,0.0095,0.00016,17.279
20,20,Neural Network,calibrated,1,0.0381530800852953,0.000100872123770263,0.0382,12,10.429,3.963,11.413,0.0084,0.0083,0.00032,25.821
