transition,model,n_features,calibration,runtime_model,runtime_model_STD,runtime_total,runtime_total_STD
AB,Logistic Regression,12,calibrated,0.523,0.434,8.673,8.606
AB,Logistic Regression,12,uncalibrated,0.083,0.063,8.951,8.32
AB,Logistic Regression,20,calibrated,0.752,0.759,12.466,12.138
AB,Logistic Regression,20,uncalibrated,0.481,0.234,12.101,7.382
AB,Logistic Regression,30,calibrated,4.024,2.288,12.047,11.83
AB,Logistic Regression,30,uncalibrated,0.617,0.278,9.36,8.829
AB,Logistic Regression C = 0.00175,12,calibrated,0.563,0.506,8.986,9.139
AB,Logistic Regression C = 0.00175,12,uncalibrated,0.082,0.071,8.348,7.645
AB,Logistic Regression C = 0.00175,20,calibrated,0.658,0.537,12.295,7.19
AB,Logistic Regression C = 0.00175,20,uncalibrated,0.601,0.185,12.19,6.838
AB,Logistic Regression C = 0.00175,30,calibrated,4.182,2.246,12.877,10.75
AB,Logistic Regression C = 0.00175,30,uncalibrated,0.705,0.281,9.981,8.982
AB,Neural Network,12,calibrated,6.581,7.697,14.929,16.096
AB,Neural Network,12,uncalibrated,1.476,1.605,9.449,9.907
AB,Neural Network,20,calibrated,5.67,6.326,12.502,13.083
AB,Neural Network,20,uncalibrated,1.106,1.375,7.249,8.238
AB,Neural Network,30,calibrated,6.522,7.679,14.913,15.651
AB,Neural Network,30,uncalibrated,1.471,1.673,9.083,9.537
AB,SVM (RBF),12,calibrated,26.574,5.206,34.574,13.679
AB,SVM (RBF),12,uncalibrated,6.778,1.218,15.241,9.756
AB,SVM (RBF),20,calibrated,13.169,10.248,19.965,16.957
AB,SVM (RBF),20,uncalibrated,2.828,2.22,9.611,8.947
AB,SVM (RBF),30,calibrated,43.286,11.766,52.113,19.094
AB,SVM (RBF),30,uncalibrated,10.233,2.344,17.722,10.543
AB,kNN,12,calibrated,70.577,34.956,77.965,43.677
AB,kNN,12,uncalibrated,14.829,12.241,21.461,19.19
AB,kNN,20,calibrated,711.209,167.635,717.815,174.264
AB,kNN,20,uncalibrated,178.846,23.996,185.268,30.014
AB,kNN,30,calibrated,709.586,232.725,717.598,241.313
AB,kNN,30,uncalibrated,173.123,59.3,180.533,65.861
AC,Logistic Regression,12,calibrated,1.006,0.514,5.547,5.261
AC,Logistic Regression,12,uncalibrated,0.046,0.04,4.553,4.647
AC,Logistic Regression,20,calibrated,2.436,1.197,9.505,8.669
AC,Logistic Regression,20,uncalibrated,0.619,0.159,5.554,7.639
AC,Logistic Regression,30,calibrated,2.393,0.849,7.391,5.375
AC,Logistic Regression,30,uncalibrated,0.501,0.158,5.195,4.506
AC,Logistic Regression C = 0.00175,12,calibrated,0.907,0.718,5.389,5.248
AC,Logistic Regression C = 0.00175,12,uncalibrated,0.079,0.028,4.602,4.712
AC,Logistic Regression C = 0.00175,20,calibrated,2.607,1.023,7.03,8.495
AC,Logistic Regression C = 0.00175,20,uncalibrated,0.689,0.103,5.655,4.902
AC,Logistic Regression C = 0.00175,30,calibrated,2.382,1.113,7.381,5.919
AC,Logistic Regression C = 0.00175,30,uncalibrated,0.776,0.169,6.104,4.981
AC,Neural Network,12,calibrated,5.769,4.365,10.55,8.972
AC,Neural Network,12,uncalibrated,2.358,1.679,6.96,6.283
AC,Neural Network,20,calibrated,5.432,4.036,10.208,8.723
AC,Neural Network,20,uncalibrated,2.298,1.61,7.142,6.282
AC,Neural Network,30,calibrated,5.593,4.084,10.208,8.587
AC,Neural Network,30,uncalibrated,2.253,1.589,6.725,6.096
AC,SVM (RBF),12,calibrated,26.491,9.77,31.23,14.368
AC,SVM (RBF),12,uncalibrated,10.692,3.913,15.481,8.441
AC,SVM (RBF),20,calibrated,64.017,6.382,68.505,11.05
AC,SVM (RBF),20,uncalibrated,26.364,2.513,30.8,7.159
AC,SVM (RBF),30,calibrated,33.717,7.586,38.248,12.064
AC,SVM (RBF),30,uncalibrated,14.731,3.64,19.295,8.092
AC,kNN,12,calibrated,13.363,36.567,17.617,40.943
AC,kNN,12,uncalibrated,3.01,10.532,7.071,15.008
AC,kNN,20,calibrated,173.674,13.125,178.58,17.325
AC,kNN,20,uncalibrated,86.453,5.686,90.798,9.681
AC,kNN,30,calibrated,167.211,16.603,171.903,20.855
AC,kNN,30,uncalibrated,80.328,6.924,84.682,11.429
AC,kNN kd_tree,12,calibrated,15.333,36.803,19.531,41.446
AC,kNN kd_tree,12,uncalibrated,4.806,14.3,8.86,18.951
AC,kNN kd_tree,20,calibrated,23.192,66.477,28.078,70.729
AC,kNN kd_tree,20,uncalibrated,9.63,24.035,14.248,28.519
