stride,feature_set,n_features,model,Delta,chi,chi_err
1,30,30,KMeans,-0.128,0,0
1,30,30,KMeans,-0.126,0,0
1,30,30,KMeans,-0.124,0,0
1,30,30,KMeans,-0.122,0,0
1,30,30,KMeans,-0.12,0,0
1,30,30,KMeans,-0.118,0,0
1,30,30,KMeans,-0.116,0,0
1,30,30,KMeans,-0.114,0,0
1,30,30,KMeans,-0.112,0.00650065164184118,0.00645335133220782
1,30,30,KMeans,-0.11,0.000400306907022003,0.000400155108517458
1,30,30,KMeans,-0.108,0,0
50,30,30,Agglomerative,-0.128,0,0
50,30,30,Agglomerative,-0.126,0,0
50,30,30,Agglomerative,-0.124,0,0
50,30,30,Agglomerative,-0.122,0,0
50,30,30,Agglomerative,-0.12,0,0
50,30,30,Agglomerative,-0.118,0,0
50,30,30,Agglomerative,-0.116,0,0
50,30,30,Agglomerative,-0.114,0,0
50,30,30,Agglomerative,-0.112,0,0
50,30,30,Agglomerative,-0.11,0,0
50,30,30,Agglomerative,-0.108,0,0
50,30,30,Spectral,-0.128,0,0
50,30,30,Spectral,-0.126,0,0
50,30,30,Spectral,-0.124,0,0
50,30,30,Spectral,-0.122,0,0
50,30,30,Spectral,-0.12,0,0
50,30,30,Spectral,-0.118,0,0
50,30,30,Spectral,-0.116,0,0
50,30,30,Spectral,-0.114,0,0
50,30,30,Spectral,-0.112,0,0
50,30,30,Spectral,-0.11,0,0
50,30,30,Spectral,-0.108,0,0
500,30,30,GaussianMixture,-0.128,0,0
500,30,30,GaussianMixture,-0.126,0,0
500,30,30,GaussianMixture,-0.124,0,0
500,30,30,GaussianMixture,-0.122,0,0
500,30,30,GaussianMixture,-0.12,0,0
500,30,30,GaussianMixture,-0.118,0,0
500,30,30,GaussianMixture,-0.116,0,0
500,30,30,GaussianMixture,-0.114,0,0
500,30,30,GaussianMixture,-0.112,0,0
500,30,30,GaussianMixture,-0.11,0,0
500,30,30,GaussianMixture,-0.108,0,0
100,30,30,MeanShift,-0.128,0,0
100,30,30,MeanShift,-0.126,0,0
100,30,30,MeanShift,-0.124,0,0
100,30,30,MeanShift,-0.122,0,0
100,30,30,MeanShift,-0.12,0,0
100,30,30,MeanShift,-0.118,0,0
100,30,30,MeanShift,-0.116,0,0
100,30,30,MeanShift,-0.114,0,0
100,30,30,MeanShift,-0.112,0,0
100,30,30,MeanShift,-0.11,0,0
100,30,30,MeanShift,-0.108,0,0
10,30,30,DBSCAN,-0.128,0,0
10,30,30,DBSCAN,-0.126,0,0
10,30,30,DBSCAN,-0.124,0,0
10,30,30,DBSCAN,-0.122,0,0
10,30,30,DBSCAN,-0.12,0,0
10,30,30,DBSCAN,-0.118,0,0
10,30,30,DBSCAN,-0.116,0.130624092888242,0.0360168110037293
50,30,30,Birch,-0.128,0,0
50,30,30,Birch,-0.126,0,0
50,30,30,Birch,-0.124,0,0
50,30,30,Birch,-0.122,0,0
50,30,30,Birch,-0.12,0,0
50,30,30,Birch,-0.118,0,0
50,30,30,Birch,-0.116,0,0
50,30,30,Birch,-0.114,0,0
50,30,30,Birch,-0.112,0,0
50,30,30,Birch,-0.11,0,0
50,30,30,Birch,-0.108,0,0
1000,30,30,BayesianGMM,-0.128,0,0
1000,30,30,BayesianGMM,-0.126,0,0
1000,30,30,BayesianGMM,-0.124,0,0
1000,30,30,BayesianGMM,-0.122,0,0
1000,30,30,BayesianGMM,-0.12,0,0
1000,30,30,BayesianGMM,-0.118,0,0
1000,30,30,BayesianGMM,-0.116,0,0
1000,30,30,BayesianGMM,-0.114,0,0
1000,30,30,BayesianGMM,-0.112,0,0
1000,30,30,BayesianGMM,-0.11,0,0
1000,30,30,BayesianGMM,-0.108,0,0
1,20,20,KMeans,-0.128,0,0
1,20,20,KMeans,-0.126,0,0
1,20,20,KMeans,-0.124,0,0
1,20,20,KMeans,-0.122,0,0
1,20,20,KMeans,-0.12,0,0
1,20,20,KMeans,-0.118,0,0
1,20,20,KMeans,-0.116,0,0
1,20,20,KMeans,-0.114,2.00344592699462E-05,2.00344592699443E-05
1,20,20,KMeans,-0.112,0.00900000298909922,0.00891033001222267
1,20,20,KMeans,-0.11,0.000533742545151197,0.000533466547870207
1,20,20,KMeans,-0.108,0,0
50,20,20,Agglomerative,-0.128,0,0
50,20,20,Agglomerative,-0.126,0,0
50,20,20,Agglomerative,-0.124,0,0
50,20,20,Agglomerative,-0.122,0,0
50,20,20,Agglomerative,-0.12,0,0
50,20,20,Agglomerative,-0.118,0,0
50,20,20,Agglomerative,-0.116,0,0
50,20,20,Agglomerative,-0.114,0,0
50,20,20,Agglomerative,-0.112,0,0
50,20,20,Agglomerative,-0.11,0,0
50,20,20,Agglomerative,-0.108,0,0
50,20,20,Spectral,-0.128,0,0
50,20,20,Spectral,-0.126,0,0
50,20,20,Spectral,-0.124,0,0
50,20,20,Spectral,-0.122,0,0
50,20,20,Spectral,-0.12,0,0
50,20,20,Spectral,-0.118,0,0
50,20,20,Spectral,-0.116,0,0
50,20,20,Spectral,-0.114,0,0
50,20,20,Spectral,-0.112,0,0
50,20,20,Spectral,-0.11,0,0
50,20,20,Spectral,-0.108,0,0
500,20,20,GaussianMixture,-0.128,0,0
500,20,20,GaussianMixture,-0.126,0,0
500,20,20,GaussianMixture,-0.124,0,0
500,20,20,GaussianMixture,-0.122,0,0
500,20,20,GaussianMixture,-0.12,0,0
500,20,20,GaussianMixture,-0.118,0,0
500,20,20,GaussianMixture,-0.116,0,0
500,20,20,GaussianMixture,-0.114,0,0
500,20,20,GaussianMixture,-0.112,0,0
500,20,20,GaussianMixture,-0.11,0,0
500,20,20,GaussianMixture,-0.108,0,0
100,20,20,MeanShift,-0.128,0,0
100,20,20,MeanShift,-0.126,0,0
100,20,20,MeanShift,-0.124,0,0
100,20,20,MeanShift,-0.122,0,0
100,20,20,MeanShift,-0.12,0,0
100,20,20,MeanShift,-0.118,0,0
100,20,20,MeanShift,-0.116,0,0
100,20,20,MeanShift,-0.114,0,0
100,20,20,MeanShift,-0.112,0,0
100,20,20,MeanShift,-0.11,0,0
100,20,20,MeanShift,-0.108,0,0
10,20,20,DBSCAN,-0.128,0,0
10,20,20,DBSCAN,-0.126,0,0
10,20,20,DBSCAN,-0.124,0,0
10,20,20,DBSCAN,-0.122,0,0
10,20,20,DBSCAN,-0.12,0,0
10,20,20,DBSCAN,-0.118,0,0
10,20,20,DBSCAN,-0.116,0.168149826498623,0.0105622769239826
50,20,20,Birch,-0.128,0,0
50,20,20,Birch,-0.126,0,0
50,20,20,Birch,-0.124,0,0
50,20,20,Birch,-0.122,0,0
50,20,20,Birch,-0.12,0,0
50,20,20,Birch,-0.118,0,0
50,20,20,Birch,-0.116,0,0
50,20,20,Birch,-0.114,0,0
50,20,20,Birch,-0.112,0,0
50,20,20,Birch,-0.11,0,0
50,20,20,Birch,-0.108,0,0
