stride,feature_set,n_features,model,Delta,mean,mean_err
1,30,30,KMeans,-0.128,1,0
1,30,30,KMeans,-0.126,0,0
1,30,30,KMeans,-0.124,0,0
1,30,30,KMeans,-0.122,1,0
1,30,30,KMeans,-0.12,1,0
1,30,30,KMeans,-0.118,0,0
1,30,30,KMeans,-0.116,0,0
1,30,30,KMeans,-0.114,1,0
1,30,30,KMeans,-0.112,0.993499349934993,0.00650065006500652
1,30,30,KMeans,-0.11,0.999599693098052,0.00040030690195819
1,30,30,KMeans,-0.108,1,0
50,30,30,Agglomerative,-0.128,0,0
50,30,30,Agglomerative,-0.126,0,0
50,30,30,Agglomerative,-0.124,0,0
50,30,30,Agglomerative,-0.122,0,0
50,30,30,Agglomerative,-0.12,0,0
50,30,30,Agglomerative,-0.118,0,0
50,30,30,Agglomerative,-0.116,0,0
50,30,30,Agglomerative,-0.114,1,0
50,30,30,Agglomerative,-0.112,1,0
50,30,30,Agglomerative,-0.11,1,0
50,30,30,Agglomerative,-0.108,1,0
50,30,30,Spectral,-0.128,1,0
50,30,30,Spectral,-0.126,0,0
50,30,30,Spectral,-0.124,0,0
50,30,30,Spectral,-0.122,1,0
50,30,30,Spectral,-0.12,1,0
50,30,30,Spectral,-0.118,0,0
50,30,30,Spectral,-0.116,1,0
50,30,30,Spectral,-0.114,1,0
50,30,30,Spectral,-0.112,1,0
50,30,30,Spectral,-0.11,1,0
50,30,30,Spectral,-0.108,1,0
500,30,30,GaussianMixture,-0.128,1,0
500,30,30,GaussianMixture,-0.126,0,0
500,30,30,GaussianMixture,-0.124,0,0
500,30,30,GaussianMixture,-0.122,1,0
500,30,30,GaussianMixture,-0.12,1,0
500,30,30,GaussianMixture,-0.118,0,0
500,30,30,GaussianMixture,-0.116,0,0
500,30,30,GaussianMixture,-0.114,1,0
500,30,30,GaussianMixture,-0.112,1,0
500,30,30,GaussianMixture,-0.11,1,0
500,30,30,GaussianMixture,-0.108,1,0
100,30,30,MeanShift,-0.128,0,0
100,30,30,MeanShift,-0.126,0,0
100,30,30,MeanShift,-0.124,0,0
100,30,30,MeanShift,-0.122,1,0
100,30,30,MeanShift,-0.12,1,0
100,30,30,MeanShift,-0.118,0,0
100,30,30,MeanShift,-0.116,0,0
100,30,30,MeanShift,-0.114,1,0
100,30,30,MeanShift,-0.112,1,0
100,30,30,MeanShift,-0.11,1,0
100,30,30,MeanShift,-0.108,1,0
10,30,30,DBSCAN,-0.128,0,0
10,30,30,DBSCAN,-0.126,0,0
10,30,30,DBSCAN,-0.124,0,0
10,30,30,DBSCAN,-0.122,0,0
10,30,30,DBSCAN,-0.12,0,0
10,30,30,DBSCAN,-0.118,0,0
10,30,30,DBSCAN,-0.116,0.163636363636367,0.0503431749267762
50,30,30,Birch,-0.128,0,0
50,30,30,Birch,-0.126,0,0
50,30,30,Birch,-0.124,0,0
50,30,30,Birch,-0.122,0,0
50,30,30,Birch,-0.12,0,0
50,30,30,Birch,-0.118,0,0
50,30,30,Birch,-0.116,0,0
50,30,30,Birch,-0.114,1,0
50,30,30,Birch,-0.112,1,0
50,30,30,Birch,-0.11,1,0
50,30,30,Birch,-0.108,1,0
1000,30,30,BayesianGMM,-0.128,1,0
1000,30,30,BayesianGMM,-0.126,1.45667810049478E-233,0
1000,30,30,BayesianGMM,-0.124,1.6683573960959E-215,0
1000,30,30,BayesianGMM,-0.122,1,0
1000,30,30,BayesianGMM,-0.12,1,0
1000,30,30,BayesianGMM,-0.118,2.24488399539748E-172,0
1000,30,30,BayesianGMM,-0.116,0,0
1000,30,30,BayesianGMM,-0.114,1,0
1000,30,30,BayesianGMM,-0.112,1,0
1000,30,30,BayesianGMM,-0.11,1,0
1000,30,30,BayesianGMM,-0.108,1,0
1,20,20,KMeans,-0.128,1,0
1,20,20,KMeans,-0.126,0,0
1,20,20,KMeans,-0.124,0,0
1,20,20,KMeans,-0.122,1,0
1,20,20,KMeans,-0.12,1,0
1,20,20,KMeans,-0.118,0,0
1,20,20,KMeans,-0.116,0,0
1,20,20,KMeans,-0.114,0.99997996554074,2.00344592699693E-05
1,20,20,KMeans,-0.112,0.990999099909991,0.00900090009000899
1,20,20,KMeans,-0.11,0.999466257464072,0.000533742535944217
1,20,20,KMeans,-0.108,1,0
50,20,20,Agglomerative,-0.128,0,0
50,20,20,Agglomerative,-0.126,0,0
50,20,20,Agglomerative,-0.124,0,0
50,20,20,Agglomerative,-0.122,0,0
50,20,20,Agglomerative,-0.12,0,0
50,20,20,Agglomerative,-0.118,0,0
50,20,20,Agglomerative,-0.116,0,0
50,20,20,Agglomerative,-0.114,1,0
50,20,20,Agglomerative,-0.112,1,0
50,20,20,Agglomerative,-0.11,1,0
50,20,20,Agglomerative,-0.108,1,0
50,20,20,Spectral,-0.128,1,0
50,20,20,Spectral,-0.126,0,0
50,20,20,Spectral,-0.124,0,0
50,20,20,Spectral,-0.122,1,0
50,20,20,Spectral,-0.12,1,0
50,20,20,Spectral,-0.118,0,0
50,20,20,Spectral,-0.116,1,0
50,20,20,Spectral,-0.114,1,0
50,20,20,Spectral,-0.112,1,0
50,20,20,Spectral,-0.11,1,0
50,20,20,Spectral,-0.108,1,0
500,20,20,GaussianMixture,-0.128,1,0
500,20,20,GaussianMixture,-0.126,0,0
500,20,20,GaussianMixture,-0.124,0,0
500,20,20,GaussianMixture,-0.122,1,0
500,20,20,GaussianMixture,-0.12,1,0
500,20,20,GaussianMixture,-0.118,0,0
500,20,20,GaussianMixture,-0.116,0,0
500,20,20,GaussianMixture,-0.114,1,0
500,20,20,GaussianMixture,-0.112,1,0
500,20,20,GaussianMixture,-0.11,1,0
500,20,20,GaussianMixture,-0.108,1,0
100,20,20,MeanShift,-0.128,0,0
100,20,20,MeanShift,-0.126,0,0
100,20,20,MeanShift,-0.124,0,0
100,20,20,MeanShift,-0.122,0,0
100,20,20,MeanShift,-0.12,0,0
100,20,20,MeanShift,-0.118,0,0
100,20,20,MeanShift,-0.116,0,0
100,20,20,MeanShift,-0.114,1,0
100,20,20,MeanShift,-0.112,1,0
100,20,20,MeanShift,-0.11,1,0
100,20,20,MeanShift,-0.108,1,0
10,20,20,DBSCAN,-0.128,0,0
10,20,20,DBSCAN,-0.126,0,0
10,20,20,DBSCAN,-0.124,0,0
10,20,20,DBSCAN,-0.122,0,0
10,20,20,DBSCAN,-0.12,0,0
10,20,20,DBSCAN,-0.118,0,0
10,20,20,DBSCAN,-0.116,0.786697247706422,0.0185725199485825
50,20,20,Birch,-0.128,0,0
50,20,20,Birch,-0.126,0,0
50,20,20,Birch,-0.124,0,0
50,20,20,Birch,-0.122,0,0
50,20,20,Birch,-0.12,0,0
50,20,20,Birch,-0.118,0,0
50,20,20,Birch,-0.116,0,0
50,20,20,Birch,-0.114,1,0
50,20,20,Birch,-0.112,1,0
50,20,20,Birch,-0.11,1,0
50,20,20,Birch,-0.108,1,0
1000,20,20,BayesianGMM,-0.128,1,0
1000,20,20,BayesianGMM,-0.126,1.08194864686751E-225,0
1000,20,20,BayesianGMM,-0.124,4.32783388723263E-208,0
1000,20,20,BayesianGMM,-0.122,1,0
1000,20,20,BayesianGMM,-0.12,1,0
1000,20,20,BayesianGMM,-0.118,2.34687110634132E-166,0
1000,20,20,BayesianGMM,-0.116,0,0
1000,20,20,BayesianGMM,-0.114,1,0
1000,20,20,BayesianGMM,-0.112,1,0
1000,20,20,BayesianGMM,-0.11,1,0
1000,20,20,BayesianGMM,-0.108,1,0
1,12,12,KMeans,-0.128,1,0
1,12,12,KMeans,-0.126,0,0
1,12,12,KMeans,-0.124,0,0
1,12,12,KMeans,-0.122,1,0
1,12,12,KMeans,-0.12,1,0
1,12,12,KMeans,-0.118,0,0
1,12,12,KMeans,-0.116,0,0
1,12,12,KMeans,-0.114,0.99968,0.000319999999999987
1,12,12,KMeans,-0.112,0.929133333333334,0.0592201417187193
1,12,12,KMeans,-0.11,0.985997666277712,0.014002333722287
1,12,12,KMeans,-0.108,1,0
50,12,12,Agglomerative,-0.128,1,0
50,12,12,Agglomerative,-0.126,0,0
50,12,12,Agglomerative,-0.124,0,0
50,12,12,Agglomerative,-0.122,1,0
50,12,12,Agglomerative,-0.12,1,0
50,12,12,Agglomerative,-0.118,0,0
50,12,12,Agglomerative,-0.116,0,0
50,12,12,Agglomerative,-0.114,1,0
50,12,12,Agglomerative,-0.112,1,0
50,12,12,Agglomerative,-0.11,1,0
50,12,12,Agglomerative,-0.108,1,0
50,12,12,Spectral,-0.128,1,0
50,12,12,Spectral,-0.126,0,0
50,12,12,Spectral,-0.124,0,0
50,12,12,Spectral,-0.122,1,0
50,12,12,Spectral,-0.12,1,0
50,12,12,Spectral,-0.118,0,0
50,12,12,Spectral,-0.116,1,0
50,12,12,Spectral,-0.114,1,0
50,12,12,Spectral,-0.112,1,0
50,12,12,Spectral,-0.11,1,0
50,12,12,Spectral,-0.108,1,0
500,12,12,GaussianMixture,-0.128,1,0
500,12,12,GaussianMixture,-0.126,2.02996726800237E-43,1.93919024647158E-43
500,12,12,GaussianMixture,-0.124,6.86440700008469E-45,5.56824703823107E-45
500,12,12,GaussianMixture,-0.122,1,0
500,12,12,GaussianMixture,-0.12,1,0
500,12,12,GaussianMixture,-0.118,6.50150490875955E-34,6.50138976670343E-34
500,12,12,GaussianMixture,-0.116,3.43483559650612E-39,3.35398605149766E-39
500,12,12,GaussianMixture,-0.114,1,0
500,12,12,GaussianMixture,-0.112,1,0
500,12,12,GaussianMixture,-0.11,1,0
500,12,12,GaussianMixture,-0.108,1,0
100,12,12,MeanShift,-0.128,0,0
100,12,12,MeanShift,-0.126,0,0
100,12,12,MeanShift,-0.124,0,0
100,12,12,MeanShift,-0.122,1,0
100,12,12,MeanShift,-0.12,1,0
100,12,12,MeanShift,-0.118,0,0
100,12,12,MeanShift,-0.116,0,0
100,12,12,MeanShift,-0.114,0.997619047619038,0.00238095238095234
100,12,12,MeanShift,-0.112,0.988372093023242,0.0116279069767442
100,12,12,MeanShift,-0.11,1,0
100,12,12,MeanShift,-0.108,0.99285714285714,0.00714285714285715
10,12,12,DBSCAN,-0.128,0,0
10,12,12,DBSCAN,-0.126,0,0
10,12,12,DBSCAN,-0.124,0,0
10,12,12,DBSCAN,-0.122,0,0
10,12,12,DBSCAN,-0.12,0,0
10,12,12,DBSCAN,-0.118,0,0
10,12,12,DBSCAN,-0.116,0,0
10,12,12,DBSCAN,-0.114,0,0
10,12,12,DBSCAN,-0.112,0,0
10,12,12,DBSCAN,-0.11,0,0
10,12,12,DBSCAN,-0.108,0.000672947510094213,0.000672947510094213
50,12,12,Birch,-0.128,0,0
50,12,12,Birch,-0.126,0,0
50,12,12,Birch,-0.124,0,0
50,12,12,Birch,-0.122,0,0
50,12,12,Birch,-0.12,0,0
50,12,12,Birch,-0.118,0,0
50,12,12,Birch,-0.116,0,0
50,12,12,Birch,-0.114,1,0
50,12,12,Birch,-0.112,1,0
50,12,12,Birch,-0.11,1,0
50,12,12,Birch,-0.108,1,0
1000,12,12,BayesianGMM,-0.128,1,0
1000,12,12,BayesianGMM,-0.126,7.74841629618544E-41,3.92673223103063E-41
1000,12,12,BayesianGMM,-0.124,1.8466374393684E-40,6.92608593193598E-41
1000,12,12,BayesianGMM,-0.122,1,0
1000,12,12,BayesianGMM,-0.12,1,0
1000,12,12,BayesianGMM,-0.118,2.51794677765705E-35,1.70014195001377E-35
1000,12,12,BayesianGMM,-0.116,5.46863404859598E-37,4.86169416901422E-37
1000,12,12,BayesianGMM,-0.114,1,0
1000,12,12,BayesianGMM,-0.112,1,0
1000,12,12,BayesianGMM,-0.11,1,0
1000,12,12,BayesianGMM,-0.108,1,0
