stride,feature_set,n_features,model,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
1,30,30,KMeans,-0.127,0,-0.112,11,0.502,2.128,4.699,0.0086,0.009,0.00039,7.347
50,30,30,Agglomerative,-0.115,0,-0.128,11,3.677,0.496,1.163,0.008,0.0078,0.00026,5.353
50,30,30,Spectral,-0.127,0,-0.128,11,5.371,0.537,1.198,0.0083,0.0075,0.00024,7.123
500,30,30,GaussianMixture,-0.127,0,-0.128,11,0.195,0.327,0.658,0.0084,0.0075,0.00024,1.196
100,30,30,MeanShift,-0.123,0,-0.128,11,10.813,0.535,1.013,0.0085,0.0096,0.00027,12.38
10,30,30,DBSCAN,,,,7,2.995,0.293,0.369,0.006,0.0048,0.00013,3.668
50,30,30,Birch,-0.115,0,-0.128,11,2.832,0.511,0.822,0.0099,0.0082,0.00025,4.184
1000,30,30,BayesianGMM,-0.127,0,-0.128,11,0.152,0.158,0.313,0.0086,0.0085,0.00026,0.64
1,20,20,KMeans,-0.127,0,-0.112,11,0.403,2.874,6.884,0.0135,0.0122,0.00057,10.188
50,20,20,Agglomerative,-0.115,0,-0.128,11,4.697,0.762,1.294,0.013,0.0122,0.00039,6.778
50,20,20,Spectral,-0.127,0,-0.128,11,7.377,1.035,2.009,0.0209,0.0216,0.00052,10.464
500,20,20,GaussianMixture,-0.127,0,-0.128,11,0.204,0.663,1.141,0.0141,0.0126,0.0004,2.035
100,20,20,MeanShift,-0.115,0,-0.128,11,10.757,0.475,0.769,0.0083,0.0079,0.00025,12.019
10,20,20,DBSCAN,-0.116728862973761,3.00092797401228E-05,-0.116,7,2.179,0.368,0.49,0.0075,0.0058,0.0003,3.05
50,20,20,Birch,-0.115,0,-0.128,11,2.306,0.512,0.803,0.0082,0.008,0.00024,3.638
1000,20,20,BayesianGMM,-0.127,0,-0.128,11,0.14,0.152,0.288,0.0088,0.0082,0.00026,0.596
1,12,12,KMeans,-0.127,0,-0.112,11,0.499,2.308,5.32,0.0172,0.0085,0.00024,8.153
50,12,12,Agglomerative,-0.127,0,-0.128,11,3.106,0.523,1.042,0.0088,0.0077,0.00025,4.687
50,12,12,Spectral,-0.127,0,-0.128,11,7.97,0.469,1.069,0.0084,0.0078,0.00024,9.525
500,12,12,GaussianMixture,-0.127,1.93919024647158E-46,-0.128,11,0.175,0.3,0.637,0.0088,0.0075,0.00023,1.128
100,12,12,MeanShift,-0.123,0,-0.112,11,11.885,0.449,0.81,0.0076,0.0072,0.00023,13.159
10,12,12,DBSCAN,,,,11,8.976,0.552,0.628,0.0072,0.0069,0.00012,10.169
50,12,12,Birch,-0.115,0,-0.128,11,0.299,0.45,0.747,0.0077,0.0074,0.00024,1.512
1000,12,12,BayesianGMM,-0.127,3.92673223103063E-44,-0.128,11,0.145,0.144,0.266,0.008,0.0075,0.00029,0.571
