stride,feature_set,n_features,model,Delta,chi,chi_err
5000,30,30,KMeans,-0.128,0,0
5000,30,30,KMeans,-0.126,0,0
5000,30,30,KMeans,-0.124,0,0
5000,30,30,KMeans,-0.122,0,0
5000,30,30,KMeans,-0.12,0,0
5000,30,30,KMeans,-0.118,0,0
5000,30,30,KMeans,-0.116,0,0
5000,30,30,KMeans,-0.114,0.1,0.1
5000,30,30,KMeans,-0.112,0.3,0.0816496580927726
5000,30,30,KMeans,-0.11,0,0
5000,30,30,KMeans,-0.108,0.25,0.25
1000,30,30,KMeans,-0.128,0,0
1000,30,30,KMeans,-0.126,0,0
1000,30,30,KMeans,-0.124,0,0
1000,30,30,KMeans,-0.122,0,0
1000,30,30,KMeans,-0.12,0,0
1000,30,30,KMeans,-0.118,0,0
1000,30,30,KMeans,-0.116,0,0
1000,30,30,KMeans,-0.114,0.161523145843704,0.0745189675727861
1000,30,30,KMeans,-0.112,0.246739130434783,0.0619619699032053
1000,30,30,KMeans,-0.11,0.201814882032668,0.147368421052632
1000,30,30,KMeans,-0.108,0.237931034482759,0.1
500,30,30,KMeans,-0.128,0,0
500,30,30,KMeans,-0.126,0,0
500,30,30,KMeans,-0.124,0,0
500,30,30,KMeans,-0.122,0,0
500,30,30,KMeans,-0.12,0,0
500,30,30,KMeans,-0.118,0,0
500,30,30,KMeans,-0.116,0,0
500,30,30,KMeans,-0.114,0.207478236049665,0.0752433687621934
500,30,30,KMeans,-0.112,0.228345129760701,0.034198581494435
500,30,30,KMeans,-0.11,0.244473417354773,0.12756535526021
500,30,30,KMeans,-0.108,0.278414182739139,0.0804597701149425
250,30,30,KMeans,-0.128,0,0
250,30,30,KMeans,-0.126,0,0
250,30,30,KMeans,-0.124,0,0
250,30,30,KMeans,-0.122,0,0
250,30,30,KMeans,-0.12,0,0
250,30,30,KMeans,-0.118,0,0
250,30,30,KMeans,-0.116,0,0
250,30,30,KMeans,-0.114,0.221489314816707,0.0842010071491913
250,30,30,KMeans,-0.112,0.296458710066305,0.0317510548523206
250,30,30,KMeans,-0.11,0.261075949367089,0.122817837786867
250,30,30,KMeans,-0.108,0.302208849641551,0.0656779661016949
100,30,30,KMeans,-0.128,0,0
100,30,30,KMeans,-0.126,0,0
100,30,30,KMeans,-0.124,0,0
100,30,30,KMeans,-0.122,0,0
100,30,30,KMeans,-0.12,0,0
100,30,30,KMeans,-0.118,0,0
100,30,30,KMeans,-0.116,0,0
100,30,30,KMeans,-0.114,0.218255455395838,0.0807234666069583
100,30,30,KMeans,-0.112,0.295983652935805,0.0303685092127303
100,30,30,KMeans,-0.11,0.26161554707764,0.129330259855734
100,30,30,KMeans,-0.108,0.287736601497909,0.076152125279642
50,30,30,KMeans,-0.128,0,0
50,30,30,KMeans,-0.126,0,0
50,30,30,KMeans,-0.124,0,0
50,30,30,KMeans,-0.122,0,0
50,30,30,KMeans,-0.12,0,0
50,30,30,KMeans,-0.118,0,0
50,30,30,KMeans,-0.116,0,0
50,30,30,KMeans,-0.114,0.223619861970247,0.0792695237963801
50,30,30,KMeans,-0.112,0.301294541305964,0.0317972131173314
50,30,30,KMeans,-0.11,0.260612682234244,0.126018095896615
50,30,30,KMeans,-0.108,0.293649402664791,0.0672742474916388
10,30,30,KMeans,-0.128,0,0
10,30,30,KMeans,-0.126,0,0
10,30,30,KMeans,-0.124,0,0
10,30,30,KMeans,-0.122,0,0
10,30,30,KMeans,-0.12,0,0
10,30,30,KMeans,-0.118,0,0
10,30,30,KMeans,-0.116,0,0
10,30,30,KMeans,-0.114,0.222308540890834,0.0761733231016828
10,30,30,KMeans,-0.112,0.300852545979559,0.0299104552276138
10,30,30,KMeans,-0.11,0.261000483958774,0.128216367736497
10,30,30,KMeans,-0.108,0.289719557471644,0.0684347342672893
1,30,30,KMeans,-0.128,0,0
1,30,30,KMeans,-0.126,0,0
1,30,30,KMeans,-0.124,0,0
1,30,30,KMeans,-0.122,0,0
1,30,30,KMeans,-0.12,0,0
1,30,30,KMeans,-0.118,0,0
1,30,30,KMeans,-0.116,0,0
1,30,30,KMeans,-0.114,0.221517731398062,0.0761090048343429
1,30,30,KMeans,-0.112,0.299273542621874,0.0303411800460451
1,30,30,KMeans,-0.11,0.259774891136192,0.129287964954197
1,30,30,KMeans,-0.108,0.284720318048945,0.0698892037246928
5000,30,30,Agglomerative,-0.128,0,0
5000,30,30,Agglomerative,-0.126,0,0
5000,30,30,Agglomerative,-0.124,0,0
5000,30,30,Agglomerative,-0.122,0,0
5000,30,30,Agglomerative,-0.12,0,0
5000,30,30,Agglomerative,-0.118,0,0
5000,30,30,Agglomerative,-0.116,0,0
5000,30,30,Agglomerative,-0.114,0,0
5000,30,30,Agglomerative,-0.112,0,0
5000,30,30,Agglomerative,-0.11,0,0
5000,30,30,Agglomerative,-0.108,0,0
1000,30,30,Agglomerative,-0.128,0,0
1000,30,30,Agglomerative,-0.126,0,0
1000,30,30,Agglomerative,-0.124,0,0
1000,30,30,Agglomerative,-0.122,0,0
1000,30,30,Agglomerative,-0.12,0,0
1000,30,30,Agglomerative,-0.118,0,0
1000,30,30,Agglomerative,-0.116,0,0
1000,30,30,Agglomerative,-0.114,0,0
1000,30,30,Agglomerative,-0.112,0,0
1000,30,30,Agglomerative,-0.11,0,0
1000,30,30,Agglomerative,-0.108,0,0
500,30,30,Agglomerative,-0.128,0,0
500,30,30,Agglomerative,-0.126,0,0
500,30,30,Agglomerative,-0.124,0,0
500,30,30,Agglomerative,-0.122,0,0
500,30,30,Agglomerative,-0.12,0,0
500,30,30,Agglomerative,-0.118,0,0
500,30,30,Agglomerative,-0.116,0,0
500,30,30,Agglomerative,-0.114,0,0
500,30,30,Agglomerative,-0.112,0,0
500,30,30,Agglomerative,-0.11,0,0
500,30,30,Agglomerative,-0.108,0,0
250,30,30,Agglomerative,-0.128,0,0
250,30,30,Agglomerative,-0.126,0,0
250,30,30,Agglomerative,-0.124,0,0
250,30,30,Agglomerative,-0.122,0,0
250,30,30,Agglomerative,-0.12,0,0
250,30,30,Agglomerative,-0.118,0,0
250,30,30,Agglomerative,-0.116,0,0
250,30,30,Agglomerative,-0.114,0,0
250,30,30,Agglomerative,-0.112,0,0
250,30,30,Agglomerative,-0.11,0,0
250,30,30,Agglomerative,-0.108,0,0
100,30,30,Agglomerative,-0.128,0,0
100,30,30,Agglomerative,-0.126,0,0
100,30,30,Agglomerative,-0.124,0,0
100,30,30,Agglomerative,-0.122,0,0
100,30,30,Agglomerative,-0.12,0,0
100,30,30,Agglomerative,-0.118,0,0
100,30,30,Agglomerative,-0.116,0,0
100,30,30,Agglomerative,-0.114,0,0
100,30,30,Agglomerative,-0.112,0,0
100,30,30,Agglomerative,-0.11,0,0
100,30,30,Agglomerative,-0.108,0,0
50,30,30,Agglomerative,-0.128,0,0
50,30,30,Agglomerative,-0.126,0,0
50,30,30,Agglomerative,-0.124,0,0
50,30,30,Agglomerative,-0.122,0,0
50,30,30,Agglomerative,-0.12,0,0
50,30,30,Agglomerative,-0.118,0,0
50,30,30,Agglomerative,-0.116,0,0
50,30,30,Agglomerative,-0.114,0,0
50,30,30,Agglomerative,-0.112,0,0
50,30,30,Agglomerative,-0.11,0,0
50,30,30,Agglomerative,-0.108,0,0
10,30,30,Agglomerative,-0.128,0,0
10,30,30,Agglomerative,-0.126,0,0
10,30,30,Agglomerative,-0.124,0,0
10,30,30,Agglomerative,-0.122,0,0
10,30,30,Agglomerative,-0.12,0,0
10,30,30,Agglomerative,-0.118,0,0
10,30,30,Agglomerative,-0.116,0,0
10,30,30,Agglomerative,-0.114,0,0
10,30,30,Agglomerative,-0.112,0,0
10,30,30,Agglomerative,-0.11,0,0
10,30,30,Agglomerative,-0.108,0,0
5000,30,30,Spectral,-0.128,0,0
5000,30,30,Spectral,-0.126,0,0
5000,30,30,Spectral,-0.124,0,0
5000,30,30,Spectral,-0.122,0,0
5000,30,30,Spectral,-0.12,0,0
5000,30,30,Spectral,-0.118,0,0
5000,30,30,Spectral,-0.116,0,0
5000,30,30,Spectral,-0.114,0,0
5000,30,30,Spectral,-0.112,0,0
5000,30,30,Spectral,-0.11,0,0
5000,30,30,Spectral,-0.108,0,0
1000,30,30,Spectral,-0.128,0,0
1000,30,30,Spectral,-0.126,0,0
1000,30,30,Spectral,-0.124,0,0
1000,30,30,Spectral,-0.122,0,0
1000,30,30,Spectral,-0.12,0,0
1000,30,30,Spectral,-0.118,0,0
1000,30,30,Spectral,-0.116,0,0
1000,30,30,Spectral,-0.114,0,0
1000,30,30,Spectral,-0.112,0,0
1000,30,30,Spectral,-0.11,0,0
1000,30,30,Spectral,-0.108,0,0
500,30,30,Spectral,-0.128,0,0
500,30,30,Spectral,-0.126,0,0
500,30,30,Spectral,-0.124,0,0
500,30,30,Spectral,-0.122,0,0
500,30,30,Spectral,-0.12,0,0
500,30,30,Spectral,-0.118,0,0
500,30,30,Spectral,-0.116,0,0
500,30,30,Spectral,-0.114,0,0
500,30,30,Spectral,-0.112,0,0
500,30,30,Spectral,-0.11,0,0
500,30,30,Spectral,-0.108,0,0
250,30,30,Spectral,-0.128,0,0
250,30,30,Spectral,-0.126,0,0
250,30,30,Spectral,-0.124,0,0
250,30,30,Spectral,-0.122,0,0
