stride,feature_set,n_features,model,Delta,mean,mean_err
5000,30,30,KMeans,-0.128,1,0
5000,30,30,KMeans,-0.126,0,0
5000,30,30,KMeans,-0.124,0,0
5000,30,30,KMeans,-0.122,1,0
5000,30,30,KMeans,-0.12,1,0
5000,30,30,KMeans,-0.118,0,0
5000,30,30,KMeans,-0.116,0,0
5000,30,30,KMeans,-0.114,0.9,0.1
5000,30,30,KMeans,-0.112,0.5,0.288675134594813
5000,30,30,KMeans,-0.11,1,0
5000,30,30,KMeans,-0.108,0.666666666666667,0.333333333333333
1000,30,30,KMeans,-0.128,1,0
1000,30,30,KMeans,-0.126,0,0
1000,30,30,KMeans,-0.124,0,0
1000,30,30,KMeans,-0.122,1,0
1000,30,30,KMeans,-0.12,1,0
1000,30,30,KMeans,-0.118,0,0
1000,30,30,KMeans,-0.116,0,0
1000,30,30,KMeans,-0.114,0.8125,0.108253175473055
1000,30,30,KMeans,-0.112,0.571428571428571,0.210280020626853
1000,30,30,KMeans,-0.11,0.8,0.2
1000,30,30,KMeans,-0.108,0.733333333333333,0.2
500,30,30,KMeans,-0.128,1,0
500,30,30,KMeans,-0.126,0,0
500,30,30,KMeans,-0.124,0,0
500,30,30,KMeans,-0.122,1,0
500,30,30,KMeans,-0.12,1,0
500,30,30,KMeans,-0.118,0,0
500,30,30,KMeans,-0.116,0,0
500,30,30,KMeans,-0.114,0.747474747474748,0.135895192394684
500,30,30,KMeans,-0.112,0.583333333333333,0.220479275922049
500,30,30,KMeans,-0.11,0.733333333333333,0.2185812841434
500,30,30,KMeans,-0.108,0.666666666666667,0.233333333333333
250,30,30,KMeans,-0.128,1,0
250,30,30,KMeans,-0.126,0,0
250,30,30,KMeans,-0.124,0,0
250,30,30,KMeans,-0.122,1,0
250,30,30,KMeans,-0.12,1,0
250,30,30,KMeans,-0.118,0,0
250,30,30,KMeans,-0.116,0,0
250,30,30,KMeans,-0.114,0.732323232323233,0.158990669077749
250,30,30,KMeans,-0.112,0.575,0.226844293146937
250,30,30,KMeans,-0.11,0.708333333333333,0.231990181784584
250,30,30,KMeans,-0.108,0.625,0.258333333333333
100,30,30,KMeans,-0.128,1,0
100,30,30,KMeans,-0.126,0,0
100,30,30,KMeans,-0.124,0,0
100,30,30,KMeans,-0.122,1,0
100,30,30,KMeans,-0.12,1,0
100,30,30,KMeans,-0.118,0,0
100,30,30,KMeans,-0.116,0,0
100,30,30,KMeans,-0.114,0.734939759036145,0.152913986855389
100,30,30,KMeans,-0.112,0.57,0.225018517756502
100,30,30,KMeans,-0.11,0.713333333333333,0.238420729896636
100,30,30,KMeans,-0.108,0.653333333333333,0.246666666666667
50,30,30,KMeans,-0.128,1,0
50,30,30,KMeans,-0.126,0,0
50,30,30,KMeans,-0.124,0,0
50,30,30,KMeans,-0.122,1,0
50,30,30,KMeans,-0.12,1,0
50,30,30,KMeans,-0.118,0,0
50,30,30,KMeans,-0.116,0,0
50,30,30,KMeans,-0.114,0.724724724724725,0.155193898743695
50,30,30,KMeans,-0.112,0.56,0.234004985701872
50,30,30,KMeans,-0.11,0.711666666666667,0.235112266327765
50,30,30,KMeans,-0.108,0.635,0.248333333333333
10,30,30,KMeans,-0.128,1,0
10,30,30,KMeans,-0.126,0,0
10,30,30,KMeans,-0.124,0,0
10,30,30,KMeans,-0.122,1,0
10,30,30,KMeans,-0.12,1,0
10,30,30,KMeans,-0.118,0,0
10,30,30,KMeans,-0.116,0,0
10,30,30,KMeans,-0.114,0.724289715886355,0.150358380201353
10,30,30,KMeans,-0.112,0.554666666666666,0.231978686760467
10,30,30,KMeans,-0.11,0.713,0.237363293989052
10,30,30,KMeans,-0.108,0.640333333333333,0.243666666666667
1,30,30,KMeans,-0.128,1,0
1,30,30,KMeans,-0.126,0,0
1,30,30,KMeans,-0.124,0,0
1,30,30,KMeans,-0.122,1,0
1,30,30,KMeans,-0.12,1,0
1,30,30,KMeans,-0.118,0,0
1,30,30,KMeans,-0.116,0,0
1,30,30,KMeans,-0.114,0.725445491090178,0.149474849663198
1,30,30,KMeans,-0.112,0.559333333333333,0.229763678108133
1,30,30,KMeans,-0.11,0.715533333333333,0.237121694026038
1,30,30,KMeans,-0.108,0.647166666666667,0.237433333333333
5000,30,30,Agglomerative,-0.128,1,0
5000,30,30,Agglomerative,-0.126,0,0
5000,30,30,Agglomerative,-0.124,0,0
5000,30,30,Agglomerative,-0.122,1,0
5000,30,30,Agglomerative,-0.12,1,0
5000,30,30,Agglomerative,-0.118,0,0
5000,30,30,Agglomerative,-0.116,1,0
5000,30,30,Agglomerative,-0.114,1,0
5000,30,30,Agglomerative,-0.112,1,0
5000,30,30,Agglomerative,-0.11,1,0
5000,30,30,Agglomerative,-0.108,1,0
1000,30,30,Agglomerative,-0.128,1,0
1000,30,30,Agglomerative,-0.126,0,0
1000,30,30,Agglomerative,-0.124,0,0
1000,30,30,Agglomerative,-0.122,1,0
1000,30,30,Agglomerative,-0.12,1,0
