stride,feature_set,n_features,model,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
5000,30,30,KMeans,-0.127,0,-0.112,11,0.166,0.017,0.018,0.0085,0.0077,0.00039,0.217
1000,30,30,KMeans,-0.127,0,-0.112,11,0.137,0.142,0.272,0.0093,0.0074,0.00038,0.568
500,30,30,KMeans,-0.127,0,-0.112,11,0.17,0.301,0.681,0.0096,0.0077,0.00024,1.169
250,30,30,KMeans,-0.127,0,-0.112,11,0.148,0.461,0.975,0.0074,0.0071,0.00022,1.599
100,30,30,KMeans,-0.127,0,-0.112,11,0.171,0.514,0.96,0.0084,0.0075,0.00024,1.661
50,30,30,KMeans,-0.127,0,-0.112,11,0.192,0.493,1.021,0.0083,0.0086,0.00024,1.723
10,30,30,KMeans,-0.127,0,-0.112,11,0.216,0.642,1.39,0.0083,0.0079,0.00024,2.263
1,30,30,KMeans,-0.127,0,-0.112,11,0.46,1.99,4.245,0.0086,0.0079,0.00025,6.711
5000,30,30,Agglomerative,-0.127,0,-0.128,11,0.059,0.013,0.02,0.0082,0.0078,0.00026,0.108
1000,30,30,Agglomerative,-0.127,0,-0.128,11,0.064,0.15,0.28,0.0073,0.007,0.00021,0.509
500,30,30,Agglomerative,-0.127,0,-0.128,11,0.085,0.322,0.665,0.0073,0.007,0.00022,1.087
250,30,30,Agglomerative,-0.127,0,-0.128,11,0.143,0.452,1.02,0.0082,0.0076,0.00023,1.632
100,30,30,Agglomerative,-0.127,0,-0.128,11,0.754,0.47,1.099,0.0082,0.0076,0.00023,2.339
50,30,30,Agglomerative,-0.127,0,-0.128,11,2.878,0.565,1.027,0.0074,0.0069,0.00021,4.484
10,30,30,Agglomerative,-0.127,0,-0.128,11,96.295,0.6,1.339,0.0175,0.0074,0.00187,98.261
5000,30,30,Spectral,-0.117,0,-0.128,11,0.191,0.013,0.013,0.0079,0.0077,0.00029,0.233
1000,30,30,Spectral,-0.127,0,-0.128,11,0.195,0.159,0.304,0.0081,0.0078,0.00026,0.674
500,30,30,Spectral,-0.117,0,-0.128,11,0.215,0.308,0.508,0.0079,0.0073,0.00023,1.047
250,30,30,Spectral,-0.127,0,-0.128,11,0.289,0.41,0.92,0.0074,0.007,0.00022,1.633
100,30,30,Spectral,-0.117,0,-0.128,11,0.719,0.464,0.549,0.008,0.0077,0.00024,1.748
50,30,30,Spectral,-0.127,0,-0.128,11,3.34,0.508,1.16,0.0082,0.0077,0.00023,5.024
5000,30,30,GaussianMixture,-0.127,0,-0.112,11,0.147,0.013,0.017,0.0079,0.0071,0.00021,0.193
1000,30,30,GaussianMixture,-0.127,0,-0.128,11,0.188,0.174,0.286,0.0077,0.0074,0.00022,0.664
500,30,30,GaussianMixture,-0.127,0,-0.128,11,0.282,0.33,0.714,0.0085,0.0077,0.00024,1.343
250,30,30,GaussianMixture,-0.127,0,-0.128,11,0.418,0.489,1.046,0.009,0.0088,0.00041,1.971
5000,30,30,MeanShift,-0.117,0,-0.11,11,0.258,0.013,0.016,0.0083,0.0078,0.00026,0.304
1000,30,30,MeanShift,-0.114666666666667,0.000283682106001879,-0.114,11,1.094,0.152,0.227,0.0091,0.0082,0.00025,1.491
500,30,30,MeanShift,-0.11473417721519,0.000214772945178478,-0.114,11,2.541,0.341,0.504,0.0083,0.0085,0.00025,3.403
250,30,30,MeanShift,-0.114726114649682,0.000237531440112044,-0.114,11,8.354,0.452,0.738,0.0081,0.0076,0.00024,9.56
100,30,30,MeanShift,-0.114711340206186,0.000226822338704482,-0.114,11,28.708,0.553,0.854,0.0094,0.0079,0.00035,30.133
50,30,30,MeanShift,-0.114714652956298,0.000220510694121445,-0.114,11,99.068,0.456,0.77,0.0077,0.0073,0.00024,100.309
