stride,feature_set,n_features,model,K0,chi,chi_err
250,full_20,20,KMeans,4.67,0.2480429350736829,0.004076435817844819
250,full_20,20,KMeans,4.7,0.23322213312422282,0.011590317980428205
250,full_20,20,KMeans,4.72,0.24929675237028134,0.0035137086189052616
250,full_20,20,KMeans,4.73,0.24949213794115382,0.007736516357205972
250,full_20,20,KMeans,4.74,0.25008767603704357,0.0031515409599166076
250,full_20,20,KMeans,4.75,0.24329816898291473,0.006161106413922126
250,full_20,20,KMeans,4.76,0.23208538052302383,0.010424335427970962
250,full_20,20,KMeans,4.77,0.24330145025175232,0.0054335485790623335
250,full_20,20,KMeans,4.78,0.24641456011019758,0.005131191529215988
250,full_20,20,KMeans,4.79,0.25079299673719097,0.0012410262620500886
250,full_20,20,KMeans,4.81,0.2456999440461026,0.005055724901693183
250,full_20,20,KMeans,4.82,0.2375053246612857,0.008278801809710409
250,full_20,20,KMeans,4.83,0.2475696552654658,0.005051494384590349
250,full_20,20,KMeans,4.84,0.25087135614702977,0.0009970533090787404
250,full_20,20,KMeans,4.85,0.24388687791471847,0.004821531090903698
250,full_20,20,KMeans,4.86,0.24430025372283942,0.010485010480890558
250,full_20,20,KMeans,4.87,0.24066849829319364,0.007495251542715129
250,full_20,20,KMeans,4.88,0.24864329650695913,0.004455790755120573
250,full_20,20,KMeans,4.9,0.2490203560130078,0.0032391592248353905
250,full_20,20,KMeans,4.93,0.24439587515729644,0.005762460619506001
100,full_20,20,KMeans,4.67,0.242475012256341,0.003972062297657138
100,full_20,20,KMeans,4.7,0.2432269634111249,0.004234765710473664
100,full_20,20,KMeans,4.72,0.2416639933229843,0.009951703101169301
100,full_20,20,KMeans,4.73,0.24507114645958608,0.0033278122306602946
100,full_20,20,KMeans,4.74,0.24784746072345823,0.0022786013320312093
100,full_20,20,KMeans,4.75,0.24785454458072026,0.002122046475598758
100,full_20,20,KMeans,4.76,0.2509820385429575,0.0008995993846823377
100,full_20,20,KMeans,4.77,0.24823145031993255,0.0019867923279391804
100,full_20,20,KMeans,4.78,0.24872129839602367,0.0019688007422871377
100,full_20,20,KMeans,4.79,0.2483270964906009,0.0033664350715322585
100,full_20,20,KMeans,4.81,0.2480643098460308,0.002216178327962951
100,full_20,20,KMeans,4.82,0.251137166753797,0.0007892097260146847
100,full_20,20,KMeans,4.83,0.24983252403468542,0.0014893685171857723
100,full_20,20,KMeans,4.84,0.24315583781397826,0.0050887922170022235
100,full_20,20,KMeans,4.85,0.25060318111258095,0.0017926803050546214
100,full_20,20,KMeans,4.86,0.2493723037609472,0.0013591058678229585
100,full_20,20,KMeans,4.87,0.2504267774041313,0.00027254094352875853
100,full_20,20,KMeans,4.88,0.24916610575232484,0.0015788297160653302
100,full_20,20,KMeans,4.9,0.24349805698742744,0.004609323204271371
100,full_20,20,KMeans,4.93,0.24789490871981157,0.0031247837651383306
250,full_20,20,Agglomerative,4.67,0.02865107488778646,0.012690763052208827
250,full_20,20,Agglomerative,4.7,0.065870272696667,0.028785687250829625
250,full_20,20,Agglomerative,4.72,0.055416514751714656,0.016889837818571042
250,full_20,20,Agglomerative,4.73,0.09701684454159698,0.023304616694043965
