stride,feature_set,n_features,model,K0,mean,mean_err
250,full_20,20,KMeans,4.67,0.44836956521739046,0.03609803173858829
250,full_20,20,KMeans,4.7,0.38235294117646684,0.04205754954264448
250,full_20,20,KMeans,4.72,0.47368421052631576,0.03877282020222516
250,full_20,20,KMeans,4.73,0.4358974358974359,0.05982905982905984
250,full_20,20,KMeans,4.74,0.46502057613168724,0.04053027901973707
250,full_20,20,KMeans,4.75,0.4256410256410221,0.037629897747279914
250,full_20,20,KMeans,4.76,0.4157303370786516,0.051489614550065614
250,full_20,20,KMeans,4.77,0.4308510638297924,0.03432609696485638
250,full_20,20,KMeans,4.78,0.4381443298969072,0.03682652104699782
250,full_20,20,KMeans,4.79,0.488,0.035758829364941694
250,full_20,20,KMeans,4.81,0.43571428571428356,0.03504874381058696
250,full_20,20,KMeans,4.82,0.4143835616438358,0.039296608397393844
250,full_20,20,KMeans,4.83,0.43934426229508194,0.0353125561123574
250,full_20,20,KMeans,4.84,0.5073313782991213,0.03819078145712541
250,full_20,20,KMeans,4.85,0.4273504273504359,0.030954904076918265
250,full_20,20,KMeans,4.86,0.40588235294117647,0.05611407067158504
250,full_20,20,KMeans,4.87,0.40000000000000085,0.03736085295243316
250,full_20,20,KMeans,4.88,0.4481792717086835,0.03641456582633055
250,full_20,20,KMeans,4.9,0.4725274725274725,0.03644642626764173
250,full_20,20,KMeans,4.93,0.42138364779874216,0.03580680591902991
100,full_20,20,KMeans,4.67,0.4113247863247863,0.021816856684468117
100,full_20,20,KMeans,4.7,0.4279999999999995,0.026195843605851313
100,full_20,20,KMeans,4.72,0.39679715302491103,0.04804270462633453
100,full_20,20,KMeans,4.73,0.4425385934819897,0.02672734295819204
100,full_20,20,KMeans,4.74,0.45081967213114754,0.023598713531900753
100,full_20,20,KMeans,4.75,0.4542372881355932,0.022461348566311136
100,full_20,20,KMeans,4.76,0.4872944693572496,0.03378969971736121
100,full_20,20,KMeans,4.77,0.4529780564263291,0.021033975818249503
100,full_20,20,KMeans,4.78,0.4583333333333333,0.021381672664362014
100,full_20,20,KMeans,4.79,0.4462365591397848,0.034868606911486154
100,full_20,20,KMeans,4.81,0.4583333333333333,0.022003520845025316
100,full_20,20,KMeans,4.82,0.49863387978142076,0.038904455917754474
100,full_20,20,KMeans,4.83,0.47368421052631576,0.02505188521665759
100,full_20,20,KMeans,4.84,0.4128654970760234,0.02734191749137066
100,full_20,20,KMeans,4.85,0.4702842377260983,0.03852209694024697
100,full_20,20,KMeans,4.86,0.4788235294117647,0.02470588235294119
100,full_20,20,KMeans,4.87,0.5,0.0218575039231491
100,full_20,20,KMeans,4.88,0.46316964285714285,0.02285320014424875
100,full_20,20,KMeans,4.9,0.4151785714285723,0.026310264479985798
100,full_20,20,KMeans,4.93,0.4515050167224059,0.027738936411469826
250,full_20,20,Agglomerative,4.67,0.029333333333333333,0.01333333333333333
250,full_20,20,Agglomerative,4.7,0.06965174129353234,0.032624072260208956
250,full_20,20,Agglomerative,4.72,0.05847953216374269,0.018884970017472538
250,full_20,20,Agglomerative,4.73,0.10775862068965507,0.029460280083511536
250,full_20,20,Agglomerative,4.74,0.1506024096385565,0.028082698388827175
250,full_20,20,Agglomerative,4.75,0.08906882591093117,0.022216029194540243
250,full_20,20,Agglomerative,4.76,0.1333333333333358,0.024733283866815014
250,full_20,20,Agglomerative,4.77,0.14492753623188406,0.028375217691958287
250,full_20,20,Agglomerative,4.78,0.16326530612244897,0.024887195750271093
250,full_20,20,Agglomerative,4.79,0.16610169491525423,0.030033974824863297
250,full_20,20,Agglomerative,4.81,0.22402597402597374,0.03233740155321748
250,full_20,20,Agglomerative,4.82,0.30612244897959184,0.06122448979591838
250,full_20,20,Agglomerative,4.83,0.25666666666666665,0.0436399409308084
250,full_20,20,Agglomerative,4.84,0.2962962962962963,0.03426214664047204
250,full_20,20,Agglomerative,4.85,0.30666666666666603,0.035276684147527895
250,full_20,20,Agglomerative,4.86,0.31470588235294117,0.04411764705882354
250,full_20,20,Agglomerative,4.87,0.35435435435435436,0.05729364573074751
250,full_20,20,Agglomerative,4.88,0.3183098591549296,0.03607393936581887
250,full_20,20,Agglomerative,4.9,0.33442622950820006,0.028714274158441123
250,full_20,20,Agglomerative,4.93,0.38315217391304346,0.04076086956521738
100,full_20,20,Agglomerative,4.67,0.08492569002123142,0.01531019649878552
100,full_20,20,Agglomerative,4.7,0.11336032388664002,0.015363292276121668
100,full_20,20,Agglomerative,4.72,0.22419928825622776,0.03202846975088969
100,full_20,20,Agglomerative,4.73,0.2370242214532872,0.022483030135583115
100,full_20,20,Agglomerative,4.74,0.28477905073649823,0.027313124825333254
100,full_20,20,Agglomerative,4.75,0.32057416267942584,0.02384356680658061
100,full_20,20,Agglomerative,4.76,0.32585949177877416,0.03447701822024153
100,full_20,20,Agglomerative,4.77,0.3376623376623378,0.01983799002145386
100,full_20,20,Agglomerative,4.78,0.33099579242636745,0.018721565567234616
100,full_20,20,Agglomerative,4.79,0.34274193548387094,0.02954806483858463
100,full_20,20,Agglomerative,4.81,0.3905249679897567,0.02326684521075519
100,full_20,20,Agglomerative,4.82,0.4005681818181866,0.022473978321927227
100,full_20,20,Agglomerative,4.83,0.3877005347593583,0.02406417112299465
100,full_20,20,Agglomerative,4.84,0.38317757009345754,0.027132712193460057
100,full_20,20,Agglomerative,4.85,0.3888888888888889,0.029119968138461634
100,full_20,20,Agglomerative,4.86,0.42023809523809524,0.01994873218550638
100,full_20,20,Agglomerative,4.87,0.41615667074663404,0.021918198316708756
100,full_20,20,Agglomerative,4.88,0.4174107142857143,0.02105799359834062
100,full_20,20,Agglomerative,4.9,0.42111111111111243,0.028176764206563256
100,full_20,20,Agglomerative,4.93,0.4684095860566449,0.02812799854831231
250,full_20,20,Spectral,4.67,0.24468085106382975,0.04255319148936172
250,full_20,20,Spectral,4.7,0.19117647058823528,0.03479119289760175
250,full_20,20,Spectral,4.72,0.3125,0.04419417382415924
250,full_20,20,Spectral,4.73,0.29777777777777775,0.037298547664062286
250,full_20,20,Spectral,4.74,0.3373493975903614,0.03545227878480924
250,full_20,20,Spectral,4.75,0.2976190476190476,0.04112459177152893
250,full_20,20,Spectral,4.76,0.2846441947565543,0.0503881050452199
250,full_20,20,Spectral,4.77,0.3380952380952381,0.0328766907574731
250,full_20,20,Spectral,4.78,0.33505154639175255,0.03415151067062032
250,full_20,20,Spectral,4.79,0.415,0.03557251804980959
250,full_20,20,Spectral,4.81,0.3333333333333309,0.032220480621690036
250,full_20,20,Spectral,4.82,0.32432432432432434,0.03211061763159496
250,full_20,20,Spectral,4.83,0.34199134199134623,0.034295758590026364
250,full_20,20,Spectral,4.84,0.3918128654970759,0.033720943259271344
250,full_20,20,Spectral,4.85,0.3096774193548387,0.0332117101322161
250,full_20,20,Spectral,4.86,0.3264705882352941,0.04690538711335564
250,full_20,20,Spectral,4.87,0.3203592814371258,0.038922155688622756
250,full_20,20,Spectral,4.88,0.3494318181818182,0.03461115484278671
250,full_20,20,Spectral,4.9,0.39058171745152254,0.03469675757720395
250,full_20,20,Spectral,4.93,0.3323076923076923,0.03289754581591244
100,full_20,20,Spectral,4.67,0.23804347826086958,0.01822071153721761
100,full_20,20,Spectral,4.7,0.27722772277227725,0.02800422895788305
100,full_20,20,Spectral,4.72,0.3387096774193548,0.023352567927257227
100,full_20,20,Spectral,4.73,0.31802721088435376,0.029652373765582815
100,full_20,20,Spectral,4.74,0.34951456310679613,0.029126213592232997
100,full_20,20,Spectral,4.75,0.40000000000000224,0.029546842014263948
100,full_20,20,Spectral,4.76,0.4141566265060245,0.022532916059865862
100,full_20,20,Spectral,4.77,0.41269841269841223,0.029974860141184695
100,full_20,20,Spectral,4.78,0.42156862745097895,0.02332291054767615
100,full_20,20,Spectral,4.79,0.41263440860215067,0.03966761979401534
100,full_20,20,Spectral,4.81,0.425831202046034,0.02009008717863099
100,full_20,20,Spectral,4.82,0.44398907103825164,0.02351156001985345
100,full_20,20,Spectral,4.83,0.46944444444444705,0.0200431305362117
100,full_20,20,Spectral,4.84,0.4532710280373832,0.0380106988844624
100,full_20,20,Spectral,4.85,0.45899470899471045,0.02416580982317056
100,full_20,20,Spectral,4.86,0.4752941176470588,0.020112142349739737
100,full_20,20,Spectral,4.87,0.5171990171990172,0.021581764960139135
100,full_20,20,Spectral,4.88,0.484375,0.040178571428571425
100,full_20,20,Spectral,4.9,0.504424778761062,0.02675854676171518
100,full_20,20,Spectral,4.93,0.5305010893246169,0.03246342716816041
250,full_20,20,Birch,4.67,0.029333333333333333,0.01333333333333333
250,full_20,20,Birch,4.7,0.06965174129353234,0.032624072260208956
250,full_20,20,Birch,4.72,0.05847953216374269,0.018884970017472538
250,full_20,20,Birch,4.73,0.10775862068965507,0.029460280083511536
250,full_20,20,Birch,4.74,0.1506024096385565,0.028082698388827175
250,full_20,20,Birch,4.75,0.08906882591093117,0.022216029194540243
250,full_20,20,Birch,4.76,0.1333333333333358,0.024733283866815014
250,full_20,20,Birch,4.77,0.14492753623188406,0.028375217691958287
250,full_20,20,Birch,4.78,0.16326530612244897,0.024887195750271093
250,full_20,20,Birch,4.79,0.16610169491525423,0.030033974824863297
250,full_20,20,Birch,4.81,0.22402597402597374,0.03233740155321748
250,full_20,20,Birch,4.82,0.30612244897959184,0.06122448979591838
250,full_20,20,Birch,4.83,0.25666666666666665,0.0436399409308084
250,full_20,20,Birch,4.84,0.2962962962962963,0.03426214664047204
250,full_20,20,Birch,4.85,0.30666666666666603,0.035276684147527895
250,full_20,20,Birch,4.86,0.31470588235294117,0.04411764705882354
250,full_20,20,Birch,4.87,0.35435435435435436,0.05729364573074751
250,full_20,20,Birch,4.88,0.3183098591549296,0.03607393936581887
250,full_20,20,Birch,4.9,0.33442622950820006,0.028714274158441123
