stride,feature_set,n_features,model,K0_crit,K0_crit_err,K0_close,N_K0,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_k0_crit,runtime_total
250,full_20,20,KMeans,4.838921651817282,0.005571703989896503,4.84,20,0.201,1.307,3.508,0.0242,0.0245,0.00086,5.065
100,full_20,20,KMeans,4.87,0.010321599074820187,4.87,20,0.231,1.389,3.754,0.0224,0.0217,0.00035,5.419
250,full_20,20,Agglomerative,,,,20,1.165,1.315,3.568,0.0231,0.0225,0.00019,6.093
100,full_20,20,Agglomerative,,,,20,7.785,1.399,3.781,0.0224,0.0236,0.00023,13.011
250,full_20,20,Spectral,,,,20,5.895,1.318,3.56,0.0229,0.0223,0.0002,10.819
100,full_20,20,Spectral,4.8658957025591505,0.005006237540848746,4.9,20,47.2,0.821,2.203,0.0131,0.0127,0.00022,50.249
250,full_20,20,Birch,,,,20,1.345,0.836,2.253,0.0146,0.014,0.00013,4.462
100,full_20,20,Birch,,,,20,8.005,0.911,2.431,0.0147,0.0139,0.00013,11.376
250,add_2,21,KMeans,4.777788736875596,0.0017577536716544431,4.78,20,0.17,0.78,1.774,0.0132,0.0128,0.00023,2.751
100,add_2,21,KMeans,4.779481206809372,0.0009036651119048971,4.78,20,0.193,0.838,1.94,0.0131,0.0128,0.00023,2.997
250,add_2,21,Agglomerative,4.770440165061898,0.002843671085895128,4.77,20,0.714,0.772,1.937,0.0133,0.0129,0.00024,3.451
100,add_2,21,Agglomerative,4.77052078774617,0.0018990849336941902,4.77,20,4.796,0.85,2.101,0.0133,0.0129,0.00023,7.773
250,add_2,21,Spectral,4.738994646044022,0.001504839022654136,4.74,20,2.076,0.767,1.927,0.0131,0.0129,0.00022,4.797
100,add_2,21,Spectral,4.7385627746763275,0.0007802188684773383,4.74,20,22.45,0.889,2.238,0.0142,0.0135,0.00024,25.605
250,add_2,21,Birch,4.770440165061898,0.002843671085895128,4.77,20,1.332,0.839,2.079,0.0142,0.0137,0.00024,4.278
100,add_2,21,Birch,4.77052078774617,0.0018990849336941902,4.77,20,8.006,0.917,2.345,0.015,0.0145,0.00026,11.298
250,add_5,21,KMeans,4.674146341463415,0.015256700075953084,4.87,20,0.178,0.852,2.289,0.0147,0.0139,0.00025,3.348
100,add_5,21,KMeans,4.79,0.010696095076399662,4.79,20,0.213,0.938,2.476,0.0146,0.0138,0.00023,3.656
250,add_5,21,Agglomerative,,,,20,0.844,0.809,2.17,0.014,0.0136,0.00016,3.85
100,add_5,21,Agglomerative,,,,20,5.735,0.911,2.468,0.0149,0.0142,0.00012,9.143
250,add_5,21,Spectral,4.833914188934888,0.004797830385594906,4.88,20,3.788,0.826,2.191,0.0139,0.0133,0.00024,6.831
100,add_5,21,Spectral,4.853113879003558,0.012505149601032422,4.85,20,62.175,0.831,2.188,0.0136,0.0128,0.00022,65.221
250,add_5,21,Birch,,,,20,1.328,0.782,2.076,0.0136,0.013,0.00012,4.212
100,add_5,21,Birch,,,,20,8.059,0.885,2.258,0.0135,0.0127,0.00011,11.227
250,add_12,21,KMeans,4.7,0.028204907447266697,4.7,20,0.178,0.775,2.052,0.0141,0.0129,0.00021,3.033
100,add_12,21,KMeans,,,,20,0.197,0.84,2.274,0.0133,0.0129,0.00012,3.337
250,add_12,21,Agglomerative,4.894330708661418,0.018823123714601302,4.9,20,0.787,0.807,2.141,0.0134,0.013,0.00023,3.762
100,add_12,21,Agglomerative,,,,20,5.214,0.934,2.562,0.0156,0.0157,0.00015,8.742
250,add_12,21,Spectral,,,,20,3.736,0.775,2.036,0.0129,0.0124,0.00011,6.572
100,add_12,21,Spectral,,,,20,36.711,0.836,2.211,0.0131,0.0126,0.00011,39.783
250,add_12,21,Birch,4.894330708661418,0.018823123714601302,4.9,20,1.337,0.757,2.017,0.0132,0.0128,0.00023,4.137
100,add_12,21,Birch,,,,20,7.588,0.84,2.182,0.0129,0.0133,0.00015,10.636
250,add_24,21,KMeans,4.6784283727399165,0.022451239068324476,4.85,20,0.171,0.813,2.186,0.014,0.0133,0.00024,3.197
100,add_24,21,KMeans,4.674297407912688,0.023023729466154674,4.85,20,0.187,0.886,2.377,0.0136,0.0133,0.00024,3.478
250,add_24,21,Agglomerative,4.8192267135325135,0.010673737451838925,4.82,20,0.785,0.783,2.081,0.0131,0.0127,0.00025,3.674
100,add_24,21,Agglomerative,4.835487664691838,0.0037553316185846963,4.85,20,5.182,0.849,2.234,0.0133,0.0127,0.00023,8.292
250,add_24,21,Spectral,,,,20,5.631,0.765,2.052,0.0131,0.0131,0.00011,8.474
100,add_24,21,Spectral,4.81620253164557,0.005387712740222229,4.83,20,54.785,0.829,2.237,0.0138,0.0132,0.00023,57.879
250,add_24,21,Birch,4.8192267135325135,0.010673737451838925,4.82,20,1.329,0.771,2.066,0.0133,0.0129,0.00023,4.192
100,add_24,21,Birch,4.835487664691838,0.0037553316185846963,4.85,20,8.095,0.844,2.239,0.0142,0.0131,0.00022,11.205
250,add_2_5,22,KMeans,4.779775849602314,0.0017887902121695046,4.78,20,0.165,0.819,1.84,0.0141,0.0135,0.00024,2.851
100,add_2_5,22,KMeans,4.782917023096664,0.0010570539457913839,4.78,20,0.181,0.89,2.049,0.0139,0.0135,0.00024,3.148
250,add_2_5,22,Agglomerative,4.794833174451859,0.0023614319392565634,4.79,20,0.708,0.774,1.8,0.0131,0.0127,0.00022,3.308
100,add_2_5,22,Agglomerative,4.785221530574881,0.0011260488907916776,4.79,20,4.72,0.873,2.067,0.0143,0.0136,0.00023,7.688
250,add_2_5,22,Spectral,4.738269463493344,0.0015608210269483264,4.74,20,2.391,0.755,1.89,0.0132,0.0125,0.00022,5.063
100,add_2_5,22,Spectral,4.739317432615862,0.0007451447921645139,4.74,20,23.048,0.892,2.238,0.0141,0.0136,0.00024,26.206
250,add_2_5,22,Birch,4.794833174451859,0.0023614319392565634,4.79,20,1.341,0.817,1.929,0.0141,0.0136,0.00025,4.115
100,add_2_5,22,Birch,4.785221530574881,0.0011260488907916776,4.79,20,7.777,0.886,2.13,0.0142,0.0138,0.00024,10.821
250,add_2_12,22,KMeans,4.777788736875596,0.0017577536716544431,4.78,20,0.166,0.825,1.911,0.0141,0.0139,0.00024,2.93
100,add_2_12,22,KMeans,4.779405572755418,0.0009289052920082806,4.78,20,0.184,0.846,1.977,0.0132,0.0128,0.00022,3.032
250,add_2_12,22,Agglomerative,4.782427440633246,0.002132741301804662,4.78,20,0.701,0.809,1.991,0.0144,0.0136,0.00024,3.53
100,add_2_12,22,Agglomerative,4.7972673719644146,0.0012511988223757708,4.79,20,4.677,0.867,2.166,0.0142,0.0137,0.00025,7.738
250,add_2_12,22,Spectral,4.737999067164179,0.0014200919873030254,4.74,20,1.827,0.811,2.058,0.0141,0.0136,0.00022,4.724
