stride,feature_set,n_features,model,K0,chi,chi_err
1,30,30,KMeans,4.67,0,0
1,30,30,KMeans,4.7,0,0
1,30,30,KMeans,4.72,0,0
1,30,30,KMeans,4.73,0.000187141667053868,0.00018709390774543
1,30,30,KMeans,4.74,0.00160059540665542,0.000511567193455614
1,30,30,KMeans,4.75,0.0103931915967183,0.00220791189103276
1,30,30,KMeans,4.76,0.0544276932653686,0.00491670369559089
1,30,30,KMeans,4.77,0.160222341977704,0.00990480435365602
1,30,30,KMeans,4.78,0.247920552305252,0.00151101663490593
1,30,30,KMeans,4.79,0.19788821212888,0.00516455725349457
1,30,30,KMeans,4.81,0.0261991176996343,0.0030837277749654
1,30,30,KMeans,4.82,0.00392063939669311,0.00147779188904723
1,30,30,KMeans,4.83,0.00023592805059678,0.000131034093721765
1,30,30,KMeans,4.84,0.000116417146064328,0.00011640451247765
1,30,30,KMeans,4.85,0,0
1,30,30,KMeans,4.86,0,0
1,30,30,KMeans,4.87,0,0
1,30,30,KMeans,4.88,0,0
1,30,30,KMeans,4.9,0,0
1,30,30,KMeans,4.93,0,0
50,30,30,Agglomerative,4.67,0,0
50,30,30,Agglomerative,4.7,0,0
50,30,30,Agglomerative,4.72,0,0
50,30,30,Agglomerative,4.73,0.000927643784786589,0.000927643784786642
50,30,30,Agglomerative,4.74,0.0135969801719813,0.00551656674691718
50,30,30,Agglomerative,4.75,0.0452999507790715,0.00635324478399697
50,30,30,Agglomerative,4.76,0.0892278598760048,0.00914440644727046
50,30,30,Agglomerative,4.77,0.172436465321111,0.00919241971433334
50,30,30,Agglomerative,4.78,0.23190411634363,0.00476698941710549
50,30,30,Agglomerative,4.79,0.247484648855217,0.00177480036143728
50,30,30,Agglomerative,4.81,0.132845753493694,0.00795815735292991
50,30,30,Agglomerative,4.82,0.0741648351501598,0.0119242888302648
50,30,30,Agglomerative,4.83,0.0276592192314063,0.00507557421471774
50,30,30,Agglomerative,4.84,0.016640180390396,0.00392661813136543
50,30,30,Agglomerative,4.85,0.00771777078585903,0.00328666927968215
50,30,30,Agglomerative,4.86,0.00234844829806438,0.00155011451144032
50,30,30,Agglomerative,4.87,0.00180072180390177,0.00179819650354886
50,30,30,Agglomerative,4.88,0,0
50,30,30,Agglomerative,4.9,0,0
50,30,30,Agglomerative,4.93,0,0
100,30,30,Spectral,4.67,0,0
100,30,30,Spectral,4.7,0,0
100,30,30,Spectral,4.72,0.0147014377853939,0.00530383211131975
100,30,30,Spectral,4.73,0.0577154704223334,0.0135498243302489
100,30,30,Spectral,4.74,0.167644347529822,0.011914762356459
100,30,30,Spectral,4.75,0.249496895154637,0.00149765940598972
100,30,30,Spectral,4.76,0.171188564574886,0.0133120610009897
100,30,30,Spectral,4.77,0.0625785723998189,0.00860900675901444
100,30,30,Spectral,4.78,0.0110130868228455,0.00494864332826635
100,30,30,Spectral,4.79,0.00138888888888888,0.00138888888888889
100,30,30,Spectral,4.81,0,0
100,30,30,Spectral,4.82,0,0
100,30,30,Spectral,4.83,0,0
100,30,30,Spectral,4.84,0,0
100,30,30,Spectral,4.85,0,0
100,30,30,Spectral,4.86,0,0
100,30,30,Spectral,4.87,0,0
100,30,30,Spectral,4.88,0,0
100,30,30,Spectral,4.9,0,0
100,30,30,Spectral,4.93,0,0
500,30,30,GaussianMixture,4.67,0,0
500,30,30,GaussianMixture,4.7,9.86875904253374E-18,9.76738262338251E-18
500,30,30,GaussianMixture,4.72,2.0591499521281E-07,2.04246070673512E-07
500,30,30,GaussianMixture,4.73,4.26933658392272E-05,3.59241016729188E-05
500,30,30,GaussianMixture,4.74,0.00024247702529104,0.000236624292185599
500,30,30,GaussianMixture,4.75,0.0287019750922604,0.0197634940625421
500,30,30,GaussianMixture,4.76,0.0617343356987451,0.0297383406718436
500,30,30,GaussianMixture,4.77,0.0714082368914548,0.0247992805403784
500,30,30,GaussianMixture,4.78,0.109384487251433,0.0282849996395705
500,30,30,GaussianMixture,4.79,0.166320609624913,0.023282278625314
500,30,30,GaussianMixture,4.81,0.168301338810309,0.0114356394931577
500,30,30,GaussianMixture,4.82,0.173115593037539,0.0164470713497871
500,30,30,GaussianMixture,4.83,0.151751179526357,0.0190907740752335
500,30,30,GaussianMixture,4.84,0.116708478815846,0.0165726828531207
500,30,30,GaussianMixture,4.85,0.104417273822172,0.0205379172296988
500,30,30,GaussianMixture,4.86,0.0831732854458765,0.0178854803090763
500,30,30,GaussianMixture,4.87,0.0802719231338796,0.0182612997419744
500,30,30,GaussianMixture,4.88,0.0710013469828088,0.0237758986212184
500,30,30,GaussianMixture,4.9,0.0449008454303344,0.0171378245640064
500,30,30,GaussianMixture,4.93,0.0171868089913741,0.010640252449704
500,30,30,MeanShift,4.67,0,0
500,30,30,MeanShift,4.7,0,0
500,30,30,MeanShift,4.72,0,0
500,30,30,MeanShift,4.73,0,0
500,30,30,MeanShift,4.74,0,0
500,30,30,MeanShift,4.75,0,0
500,30,30,MeanShift,4.76,0,0
500,30,30,MeanShift,4.77,0,0
500,30,30,MeanShift,4.78,0,0
500,30,30,MeanShift,4.79,0,0
500,30,30,MeanShift,4.81,0,0
500,30,30,MeanShift,4.82,0,0
500,30,30,MeanShift,4.83,0,0
500,30,30,MeanShift,4.84,0.0114942528735622,0.0114942528735632
500,30,30,MeanShift,4.85,0.00704225352112682,0.00704225352112676
500,30,30,MeanShift,4.86,0,0
500,30,30,MeanShift,4.87,0,0
500,30,30,MeanShift,4.88,0.0107526881720433,0.010752688172043
500,30,30,MeanShift,4.9,0.0108695652173908,0.0108695652173913
500,30,30,MeanShift,4.93,0.0533021860534334,0.0391782130912566
50,30,30,Birch,4.67,0,0
50,30,30,Birch,4.7,0,0
50,30,30,Birch,4.72,0,0
50,30,30,Birch,4.73,0.00340120993560596,0.00165833493561376
50,30,30,Birch,4.74,0.00764198965404868,0.00293553011025912
50,30,30,Birch,4.75,0.0287814650399423,0.00744732678751537
50,30,30,Birch,4.76,0.0629704934186657,0.00862207281748156
50,30,30,Birch,4.77,0.133901067318757,0.00933593183090413
50,30,30,Birch,4.78,0.186043102847412,0.00864032492797089
50,30,30,Birch,4.79,0.235555156357266,0.0061186829633186
50,30,30,Birch,4.81,0.233816211329394,0.00539500415578951
50,30,30,Birch,4.82,0.189556351102265,0.0105415409615346
50,30,30,Birch,4.83,0.138058756284553,0.00744165500686701
50,30,30,Birch,4.84,0.0965938580288361,0.00829453186907445
50,30,30,Birch,4.85,0.0717449888210704,0.00682216526451787
50,30,30,Birch,4.86,0.0633061532780598,0.0063400355062635
50,30,30,Birch,4.87,0.0543094620104918,0.007328520442491
50,30,30,Birch,4.88,0.0474257862230591,0.0135855197525938
50,30,30,Birch,4.9,0.0248314666977539,0.00390223954906031
50,30,30,Birch,4.93,0.012897828990217,0.00318262959881087
1000,30,30,BayesianGMM,4.67,0,0
1000,30,30,BayesianGMM,4.7,4.92515669213427E-19,4.9248474448706E-19
1000,30,30,BayesianGMM,4.72,4.34502962765738E-10,4.34502744375915E-10
1000,30,30,BayesianGMM,4.73,4.2540510827103E-07,4.24009077279863E-07
1000,30,30,BayesianGMM,4.74,8.72526593103267E-08,8.72523789067411E-08
1000,30,30,BayesianGMM,4.75,0.0237660541422092,0.0237610750742444
1000,30,30,BayesianGMM,4.76,0.0403721610445384,0.0392501489717902
1000,30,30,BayesianGMM,4.77,0.0554843050312522,0.0353562589806925
1000,30,30,BayesianGMM,4.78,0.0906265999562126,0.0333923926827154
1000,30,30,BayesianGMM,4.79,0.150562639268536,0.0349244800435409
1000,30,30,BayesianGMM,4.81,0.181669645278148,0.0165070621114412
1000,30,30,BayesianGMM,4.82,0.153807952072024,0.0188218304205248
1000,30,30,BayesianGMM,4.83,0.157015138885637,0.0213486709696411
1000,30,30,BayesianGMM,4.84,0.139148672315939,0.0261836669730731
1000,30,30,BayesianGMM,4.85,0.131510474838577,0.0326536439635791
1000,30,30,BayesianGMM,4.86,0.10588982485945,0.0293592358150288
1000,30,30,BayesianGMM,4.87,0.0776569701136476,0.0284327058972132
1000,30,30,BayesianGMM,4.88,0.0673589576157957,0.0272777240526181
1000,30,30,BayesianGMM,4.9,0.0357028386144494,0.0218208457251365
1000,30,30,BayesianGMM,4.93,0.0288946789256176,0.0199414031008604
1,20,20,KMeans,4.67,0,0
1,20,20,KMeans,4.7,0,0
1,20,20,KMeans,4.72,0,0
1,20,20,KMeans,4.73,0.000170128788156923,0.00017008971235911
1,20,20,KMeans,4.74,0.00164897954371121,0.000507700280432248
1,20,20,KMeans,4.75,0.0112451301298303,0.00221003618985481
1,20,20,KMeans,4.76,0.0563206120050067,0.00619280352005299
1,20,20,KMeans,4.77,0.161827690309375,0.00992387517937248
1,20,20,KMeans,4.78,0.248509473717051,0.00136531515542851
1,20,20,KMeans,4.79,0.196820115572953,0.00531140427432395
1,20,20,KMeans,4.81,0.0256679880908864,0.00296677827975593
1,20,20,KMeans,4.82,0.00367753639693528,0.00149424824252937
1,20,20,KMeans,4.83,0.000262205329399818,8.0881673570139E-05
1,20,20,KMeans,4.84,5.81916367452677E-05,5.81875731071357E-05
1,20,20,KMeans,4.85,0,0
1,20,20,KMeans,4.86,0,0
1,20,20,KMeans,4.87,0,0
1,20,20,KMeans,4.88,0,0
1,20,20,KMeans,4.9,0,0
1,20,20,KMeans,4.93,0,0
50,20,20,Agglomerative,4.67,0,0
50,20,20,Agglomerative,4.7,0.00107526881720428,0.0010752688172043
50,20,20,Agglomerative,4.72,0.0144553592667731,0.00413048649074912
50,20,20,Agglomerative,4.73,0.0257670355409217,0.00727363641120756
50,20,20,Agglomerative,4.74,0.0441135955905506,0.0100570663281343
50,20,20,Agglomerative,4.75,0.0862231566610867,0.0123584678878639
50,20,20,Agglomerative,4.76,0.130727751731874,0.0106247704567026
50,20,20,Agglomerative,4.77,0.19433986765598,0.0114860502146823
50,20,20,Agglomerative,4.78,0.242426487690833,0.0031088858659987
50,20,20,Agglomerative,4.79,0.241539316664998,0.00272142964322196
50,20,20,Agglomerative,4.81,0.105311783650752,0.0150607695307422
50,20,20,Agglomerative,4.82,0.0614313688324212,0.0094631630482329
50,20,20,Agglomerative,4.83,0.0237316022648011,0.0062424058767595
50,20,20,Agglomerative,4.84,0.0115418246230447,0.00466416334797875
50,20,20,Agglomerative,4.85,0.00579696638346206,0.00235332700836497
50,20,20,Agglomerative,4.86,0.0012376151255576,0.000869912937700967
50,20,20,Agglomerative,4.87,0.000632511068943716,0.000632511068943706
50,20,20,Agglomerative,4.88,0,0
50,20,20,Agglomerative,4.9,0,0
50,20,20,Agglomerative,4.93,0,0
100,20,20,Spectral,4.67,0,0
100,20,20,Spectral,4.7,0,0
100,20,20,Spectral,4.72,0.020873954042804,0.00680473866282865
100,20,20,Spectral,4.73,0.0607467348097672,0.0149660529436942
100,20,20,Spectral,4.74,0.198108308026121,0.0104983054233124
100,20,20,Spectral,4.75,0.247963911094834,0.0023620567992037
100,20,20,Spectral,4.76,0.161604268925176,0.0109097496192554
100,20,20,Spectral,4.77,0.062161720488053,0.0119790589179832
100,20,20,Spectral,4.78,0.0164197650600007,0.00538576071336763
100,20,20,Spectral,4.79,0.00138888888888888,0.00138888888888889
100,20,20,Spectral,4.81,0,0
100,20,20,Spectral,4.82,0,0
100,20,20,Spectral,4.83,0,0
100,20,20,Spectral,4.84,0,0
100,20,20,Spectral,4.85,0,0
100,20,20,Spectral,4.86,0,0
100,20,20,Spectral,4.87,0,0
100,20,20,Spectral,4.88,0,0
100,20,20,Spectral,4.9,0,0
100,20,20,Spectral,4.93,0,0
500,20,20,GaussianMixture,4.67,0,0
500,20,20,GaussianMixture,4.7,1.09105417736192E-17,1.0752538934253E-17
500,20,20,GaussianMixture,4.72,1.03014243784296E-09,1.029925411864E-09
500,20,20,GaussianMixture,4.73,9.27399537852827E-10,6.55663971622501E-10
500,20,20,GaussianMixture,4.74,7.4165470176229E-06,7.40509746964428E-06
500,20,20,GaussianMixture,4.75,0.010987658298671,0.0108422479857105
500,20,20,GaussianMixture,4.76,0.034210542812303,0.0187734392153734
500,20,20,GaussianMixture,4.77,0.0581973353970406,0.0239157128122158
500,20,20,GaussianMixture,4.78,0.0856477229659994,0.024148025894311
500,20,20,GaussianMixture,4.79,0.158011562702697,0.0230600916668954
500,20,20,GaussianMixture,4.81,0.158077100978387,0.0109804792774686
500,20,20,GaussianMixture,4.82,0.141877647611512,0.0209417084294649
500,20,20,GaussianMixture,4.83,0.123189851741062,0.0220169305946491
500,20,20,GaussianMixture,4.84,0.0938174936573214,0.0180735458171955
500,20,20,GaussianMixture,4.85,0.081508767431819,0.0179800906076962
500,20,20,GaussianMixture,4.86,0.0493160681253148,0.0126951178567592
500,20,20,GaussianMixture,4.87,0.0450949275683181,0.0152434868715617
500,20,20,GaussianMixture,4.88,0.0430858388180653,0.0183318195589708
500,20,20,GaussianMixture,4.9,0.0309399991262441,0.0145146070679353
500,20,20,GaussianMixture,4.93,0.00923017060064774,0.0079689747112117
500,20,20,MeanShift,4.67,0,0
500,20,20,MeanShift,4.7,0,0
500,20,20,MeanShift,4.72,0,0
500,20,20,MeanShift,4.73,0,0
500,20,20,MeanShift,4.74,0,0
500,20,20,MeanShift,4.75,0,0
500,20,20,MeanShift,4.76,0,0
500,20,20,MeanShift,4.77,0,0
500,20,20,MeanShift,4.78,0,0
500,20,20,MeanShift,4.79,0,0
500,20,20,MeanShift,4.81,0,0
500,20,20,MeanShift,4.82,0,0
500,20,20,MeanShift,4.83,0,0
500,20,20,MeanShift,4.84,0.0114942528735622,0.0114942528735632
500,20,20,MeanShift,4.85,0.00704225352112682,0.00704225352112676
500,20,20,MeanShift,4.86,0,0
500,20,20,MeanShift,4.87,0,0
500,20,20,MeanShift,4.88,0.0107526881720433,0.010752688172043
500,20,20,MeanShift,4.9,0.0108695652173908,0.0108695652173913
500,20,20,MeanShift,4.93,0.0435241977141418,0.0303303126643101
50,20,20,Birch,4.67,0,0
50,20,20,Birch,4.7,0,0
50,20,20,Birch,4.72,0.00267042210707347,0.0019366057140056
50,20,20,Birch,4.73,0.00930790618259461,0.00419708049116211
50,20,20,Birch,4.74,0.0128429585844228,0.0078939224664705
50,20,20,Birch,4.75,0.0317317748644735,0.00890564022902045
50,20,20,Birch,4.76,0.0555531799863294,0.00749900547170914
50,20,20,Birch,4.77,0.0906394688491263,0.00885565587492063
50,20,20,Birch,4.78,0.155123575337833,0.00857672693555864
50,20,20,Birch,4.79,0.221082591821673,0.00502932310272085
50,20,20,Birch,4.81,0.24833934353174,0.00253152216300533
50,20,20,Birch,4.82,0.22188800906041,0.00652247280511692
50,20,20,Birch,4.83,0.178329042419435,0.00673767819199797
50,20,20,Birch,4.84,0.139027213390619,0.00778861904803684
50,20,20,Birch,4.85,0.100874378061967,0.00796925608722751
50,20,20,Birch,4.86,0.0669704605146467,0.00694068179951033
50,20,20,Birch,4.87,0.0608414967428417,0.00581295387327913
50,20,20,Birch,4.88,0.0299610616553429,0.00450058662499639
50,20,20,Birch,4.9,0.0124878099970791,0.00311126704595692
50,20,20,Birch,4.93,0.00217628243519749,0.00216916654220629
1000,20,20,BayesianGMM,4.67,0,0
1000,20,20,BayesianGMM,4.7,1.11325472155636E-17,1.11325415319163E-17
1000,20,20,BayesianGMM,4.72,3.25581718066584E-14,3.17301032392722E-14
1000,20,20,BayesianGMM,4.73,2.90828589281087E-10,2.48814608854529E-10
1000,20,20,BayesianGMM,4.74,1.05965541206077E-09,1.04065499472944E-09
1000,20,20,BayesianGMM,4.75,0.0149337484417884,0.0148863216823981
1000,20,20,BayesianGMM,4.76,0.0323395433271211,0.031595824050787
1000,20,20,BayesianGMM,4.77,0.0446937945945714,0.0259756685790242
1000,20,20,BayesianGMM,4.78,0.0895023263413232,0.0355199483724344
1000,20,20,BayesianGMM,4.79,0.157495160662821,0.0356925699702065
1000,20,20,BayesianGMM,4.81,0.172530460318666,0.019898210401636
1000,20,20,BayesianGMM,4.82,0.120633227985322,0.0255437981116235
1000,20,20,BayesianGMM,4.83,0.115607190243367,0.0265325077991647
1000,20,20,BayesianGMM,4.84,0.112883876823963,0.0264187242443435
1000,20,20,BayesianGMM,4.85,0.126024607837318,0.0321356188683315
1000,20,20,BayesianGMM,4.86,0.0867319326205934,0.0255076271996973
1000,20,20,BayesianGMM,4.87,0.0508953954906644,0.023749082051135
1000,20,20,BayesianGMM,4.88,0.0438762468877741,0.0211760048972964
1000,20,20,BayesianGMM,4.9,0.0242325453768272,0.0199219004719313
1000,20,20,BayesianGMM,4.93,0.0199526965909208,0.0179574877027755
1,12,12,KMeans,4.67,0,0
1,12,12,KMeans,4.7,1.97753520012663E-05,1.97753520012656E-05
1,12,12,KMeans,4.72,0.000106849022502623,0.000106839410148796
1,12,12,KMeans,4.73,0.00130879281790138,0.000669705533804477
1,12,12,KMeans,4.74,0.00222991837193729,0.00067183019125888
1,12,12,KMeans,4.75,0.00615505817397472,0.00178187532272844
1,12,12,KMeans,4.76,0.0147682535467881,0.00175341327253626
1,12,12,KMeans,4.77,0.0286816375211346,0.00448537574978046
1,12,12,KMeans,4.78,0.0514223278373197,0.00449988713206229
1,12,12,KMeans,4.79,0.0835021485942606,0.00574701928156904
1,12,12,KMeans,4.81,0.165091876924593,0.0107125401790428
1,12,12,KMeans,4.82,0.208613728456141,0.00505983595984101
1,12,12,KMeans,4.83,0.236757618022742,0.00347980073398618
1,12,12,KMeans,4.84,0.248890234469989,0.00206015198952592
1,12,12,KMeans,4.85,0.245780073106359,0.00201724913410316
1,12,12,KMeans,4.86,0.225313023660584,0.00478556215287327
1,12,12,KMeans,4.87,0.201051497725157,0.00644816201183488
1,12,12,KMeans,4.88,0.172339017644073,0.00977181927331171
1,12,12,KMeans,4.9,0.102554886685325,0.00751045362917914
1,12,12,KMeans,4.93,0.0452661483396827,0.00600347020048251
50,12,12,Agglomerative,4.67,0,0
50,12,12,Agglomerative,4.7,0.00107526881720426,0.0010752688172043
50,12,12,Agglomerative,4.72,0.00900337390621972,0.00330838732949582
50,12,12,Agglomerative,4.73,0.0233539029677116,0.00812542516759597
50,12,12,Agglomerative,4.74,0.0433693271588332,0.00977594648953798
50,12,12,Agglomerative,4.75,0.0835488087660677,0.00789430166706716
50,12,12,Agglomerative,4.76,0.115090888867857,0.00702943513001206
50,12,12,Agglomerative,4.77,0.154377586850282,0.00836508740321581
50,12,12,Agglomerative,4.78,0.198330410543767,0.0078391106754177
50,12,12,Agglomerative,4.79,0.235805122830525,0.00390706528628958
50,12,12,Agglomerative,4.81,0.246270223475886,0.00281036256493389
50,12,12,Agglomerative,4.82,0.232313822705399,0.00645314452055599
50,12,12,Agglomerative,4.83,0.205137188352644,0.00616554823240425
50,12,12,Agglomerative,4.84,0.189152350384203,0.00706323749162122
50,12,12,Agglomerative,4.85,0.15331854774209,0.00795065638367061
50,12,12,Agglomerative,4.86,0.135657450299293,0.00795977606460887
50,12,12,Agglomerative,4.87,0.112843596739641,0.0080060801298937
50,12,12,Agglomerative,4.88,0.100247522426896,0.0068103173549713
50,12,12,Agglomerative,4.9,0.0561133211671089,0.00700730819509439
50,12,12,Agglomerative,4.93,0.0412410444134744,0.00945898852830941
100,12,12,Spectral,4.67,0,0
100,12,12,Spectral,4.7,0,0
100,12,12,Spectral,4.72,0,0
100,12,12,Spectral,4.73,0.00677117455342962,0.00379955401904264
100,12,12,Spectral,4.74,0.0112582341207811,0.0047856156858326
100,12,12,Spectral,4.75,0.0273460328857244,0.00923506286090009
100,12,12,Spectral,4.76,0.0524311602088582,0.00934617251982521
100,12,12,Spectral,4.77,0.103476482058498,0.0123384251051432
100,12,12,Spectral,4.78,0.150123729889868,0.0112361960788903
100,12,12,Spectral,4.79,0.194209237378608,0.00983336349973477
100,12,12,Spectral,4.81,0.250557626658384,0.00190839694656487
100,12,12,Spectral,4.82,0.231970828655929,0.00529695761791985
100,12,12,Spectral,4.83,0.194286910209084,0.0092587383042408
100,12,12,Spectral,4.84,0.16245431903727,0.016665577413241
100,12,12,Spectral,4.85,0.114347588650994,0.00943311635244205
100,12,12,Spectral,4.86,0.0799601994809257,0.00983961719276767
100,12,12,Spectral,4.87,0.0670226646958688,0.00885936488425124
100,12,12,Spectral,4.88,0.053000805190262,0.012639171447911
100,12,12,Spectral,4.9,0.0213026499357622,0.0057655396643972
100,12,12,Spectral,4.93,0.00325456952236336,0.00207202669801295
500,12,12,GaussianMixture,4.67,0,0
500,12,12,GaussianMixture,4.7,1.11973049961075E-15,9.99898560199346E-16
500,12,12,GaussianMixture,4.72,5.98189498768011E-09,5.97678384145759E-09
500,12,12,GaussianMixture,4.73,0.00766439230673823,0.0068172098239062
500,12,12,GaussianMixture,4.74,0.00331968521648666,0.00304020444299611
500,12,12,GaussianMixture,4.75,0.0421821357646019,0.022071306731029
500,12,12,GaussianMixture,4.76,0.0627177589859056,0.0383154527875214
500,12,12,GaussianMixture,4.77,0.0577214734989624,0.0245628934639144
500,12,12,GaussianMixture,4.78,0.101110453660903,0.0290825185062308
500,12,12,GaussianMixture,4.79,0.1526395110945,0.0247582948867724
500,12,12,GaussianMixture,4.81,0.166065092551843,0.0171550397325832
500,12,12,GaussianMixture,4.82,0.177008318582363,0.0105817641989081
500,12,12,GaussianMixture,4.83,0.161038206431139,0.0120370483961928
500,12,12,GaussianMixture,4.84,0.172076374867952,0.011513683264424
500,12,12,GaussianMixture,4.85,0.134823184535623,0.0170252541256681
500,12,12,GaussianMixture,4.86,0.131362913452292,0.0175927741768261
500,12,12,GaussianMixture,4.87,0.147383289915795,0.0171361941614177
500,12,12,GaussianMixture,4.88,0.133029970161759,0.0187205316000471
500,12,12,GaussianMixture,4.9,0.0792440556252265,0.020580304365682
500,12,12,GaussianMixture,4.93,0.0581039947496172,0.0184446093499722
