stride,feature_set,n_features,model,K0,mean,mean_err
1,30,30,KMeans,4.67,0,0
1,30,30,KMeans,4.7,0,0
1,30,30,KMeans,4.72,0,0
1,30,30,KMeans,4.73,0.000187141666241345,0.000187141666241345
1,30,30,KMeans,4.74,0.00160290141346761,0.000513110091031171
1,30,30,KMeans,4.75,0.010498320268757,0.00225519472439965
1,30,30,KMeans,4.76,0.0577297070879335,0.00554117200055415
1,30,30,KMeans,4.77,0.199922326745491,0.0163995795770377
1,30,30,KMeans,4.78,0.451809153413431,0.0155854368637069
1,30,30,KMeans,4.79,0.728557216605722,0.0112521628830343
1,30,30,KMeans,4.81,0.973087205601528,0.00325907065563336
1,30,30,KMeans,4.82,0.996066100402918,0.00148839561503177
1,30,30,KMeans,4.83,0.999764033454813,0.000131092525104182
1,30,30,KMeans,4.84,0.999883582854083,0.00011641714591727
1,30,30,KMeans,4.85,1,0
1,30,30,KMeans,4.86,1,0
1,30,30,KMeans,4.87,1,0
1,30,30,KMeans,4.88,1,0
1,30,30,KMeans,4.9,1,0
1,30,30,KMeans,4.93,1,0
50,30,30,Agglomerative,4.67,0,0
50,30,30,Agglomerative,4.7,0,0
50,30,30,Agglomerative,4.72,0,0
50,30,30,Agglomerative,4.73,0.00092764378478661,0.000927643784786642
50,30,30,Agglomerative,4.74,0.0137540453074434,0.00566343042071197
50,30,30,Agglomerative,4.75,0.0475077881619938,0.00700934579439252
50,30,30,Agglomerative,4.76,0.098876404494382,0.0113106133861734
50,30,30,Agglomerative,4.77,0.221022318214543,0.0162745205982107
50,30,30,Agglomerative,4.78,0.364335664335664,0.0175731914309497
50,30,30,Agglomerative,4.79,0.55188679245283,0.017186346663548
50,30,30,Agglomerative,4.81,0.842474489795918,0.0115970932797499
50,30,30,Agglomerative,4.82,0.919563735514656,0.0140858747919372
50,30,30,Agglomerative,4.83,0.971560846560847,0.00537064633573783
50,30,30,Agglomerative,4.84,0.983090379008747,0.00406075459976208
50,30,30,Agglomerative,4.85,0.992233009708738,0.003331919139478
50,30,30,Agglomerative,4.86,0.997648442092886,0.00155540935394746
50,30,30,Agglomerative,4.87,0.998199279711885,0.00180072028811524
50,30,30,Agglomerative,4.88,1,0
50,30,30,Agglomerative,4.9,1,0
50,30,30,Agglomerative,4.93,1,0
100,30,30,Spectral,4.67,0,0
100,30,30,Spectral,4.7,0,0
100,30,30,Spectral,4.72,0.0148936170212763,0.00544464181339019
100,30,30,Spectral,4.73,0.0612244897959183,0.0154627910396665
100,30,30,Spectral,4.74,0.217948717948714,0.0208102372563897
100,30,30,Spectral,4.75,0.532094594594595,0.0229516270038693
100,30,30,Spectral,4.76,0.781763826606876,0.0240560193414515
100,30,30,Spectral,4.77,0.933035714285719,0.0099244083575875
100,30,30,Spectral,4.78,0.988888888888889,0.00504158451651682
100,30,30,Spectral,4.79,0.998611111111111,0.00138888888888893
100,30,30,Spectral,4.81,1,0
100,30,30,Spectral,4.82,1,0
100,30,30,Spectral,4.83,1,0
100,30,30,Spectral,4.84,1,0
100,30,30,Spectral,4.85,1,0
100,30,30,Spectral,4.86,1,0
100,30,30,Spectral,4.87,1,0
100,30,30,Spectral,4.88,1,0
100,30,30,Spectral,4.9,1,0
100,30,30,Spectral,4.93,1,0
500,30,30,GaussianMixture,4.67,2.3008328537279E-15,2.21651543294381E-15
500,30,30,GaussianMixture,4.7,4.93561030998105E-10,4.01270143755332E-10
500,30,30,GaussianMixture,4.72,5.35985253189945E-05,4.92191970215362E-05
500,30,30,GaussianMixture,4.73,0.000871600659849031,0.000635133245474846
500,30,30,GaussianMixture,4.74,0.00200406589866632,0.0017409660582958
500,30,30,GaussianMixture,4.75,0.0319479174030533,0.0210135396250427
500,30,30,GaussianMixture,4.76,0.0760622249650326,0.0379015886184035
500,30,30,GaussianMixture,4.77,0.098735447699117,0.0319392809856128
500,30,30,GaussianMixture,4.78,0.161076284746925,0.0380345236225545
500,30,30,GaussianMixture,4.79,0.261932437899842,0.0470914867925425
500,30,30,GaussianMixture,4.81,0.465724276394965,0.0471150180337281
500,30,30,GaussianMixture,4.82,0.613950881647562,0.046010228066218
500,30,30,GaussianMixture,4.83,0.727032784869873,0.0412775477504795
500,30,30,GaussianMixture,4.84,0.735097029290463,0.0379608695201273
500,30,30,GaussianMixture,4.85,0.803660878576328,0.0367910907620488
500,30,30,GaussianMixture,4.86,0.840975069409408,0.0328845438698397
500,30,30,GaussianMixture,4.87,0.854915543927283,0.0309130738126473
500,30,30,GaussianMixture,4.88,0.881614626930959,0.0308630628668973
500,30,30,GaussianMixture,4.9,0.935993411999177,0.0220919140800664
500,30,30,GaussianMixture,4.93,0.971799991770784,0.01359427812562
500,30,30,MeanShift,4.67,0,0
500,30,30,MeanShift,4.7,0,0
500,30,30,MeanShift,4.72,0,0
500,30,30,MeanShift,4.73,0,0
500,30,30,MeanShift,4.74,0,0
500,30,30,MeanShift,4.75,0,0
500,30,30,MeanShift,4.76,0,0
500,30,30,MeanShift,4.77,0,0
500,30,30,MeanShift,4.78,0,0
500,30,30,MeanShift,4.79,0,0
500,30,30,MeanShift,4.81,0,0
500,30,30,MeanShift,4.82,0,0
500,30,30,MeanShift,4.83,0,0
500,30,30,MeanShift,4.84,0.0114942528735632,0.0114942528735632
500,30,30,MeanShift,4.85,0.00704225352112688,0.00704225352112676
500,30,30,MeanShift,4.86,0,0
500,30,30,MeanShift,4.87,0,0
500,30,30,MeanShift,4.88,0.010752688172043,0.010752688172043
500,30,30,MeanShift,4.9,0.0108695652173913,0.0108695652173913
500,30,30,MeanShift,4.93,0.0543478260869565,0.0434782608695652
50,30,30,Birch,4.67,0,0
50,30,30,Birch,4.7,0,0
50,30,30,Birch,4.72,0,0
50,30,30,Birch,4.73,0.0034100596760443,0.00166699464807128
50,30,30,Birch,4.74,0.00769230769230763,0.00297515500656449
50,30,30,Birch,4.75,0.029595015576324,0.00789132095200969
50,30,30,Birch,4.76,0.0674157303370787,0.00997970980859493
50,30,30,Birch,4.77,0.158992805755396,0.0136690647482014
50,30,30,Birch,4.78,0.246527777777778,0.0170622423253429
50,30,30,Birch,4.79,0.377016129032258,0.0260714579855791
50,30,30,Birch,4.81,0.628826530612245,0.0203049312968929
50,30,30,Birch,4.82,0.746757679180887,0.0211052898754134
50,30,30,Birch,4.83,0.834759710335747,0.0110813089075731
50,30,30,Birch,4.84,0.891812865497076,0.010542547589076
50,30,30,Birch,4.85,0.922279792746114,0.00807454634688058
50,30,30,Birch,4.86,0.932142857142857,0.00732068471006435
50,30,30,Birch,4.87,0.942446043165468,0.00824204261682705
50,30,30,Birch,4.88,0.950334821428571,0.0150669642857143
50,30,30,Birch,4.9,0.974537037037037,0.00410667226075494
50,30,30,Birch,4.93,0.986942328618063,0.0032644178454842
1000,30,30,BayesianGMM,4.67,3.07920243446729E-19,1.69325492096595E-19
1000,30,30,BayesianGMM,4.7,1.0609395707346E-10,1.04763235674158E-10
1000,30,30,BayesianGMM,4.72,3.18527188440491E-06,3.17879223358801E-06
1000,30,30,BayesianGMM,4.73,9.69577196114683E-05,9.35707770985413E-05
1000,30,30,BayesianGMM,4.74,5.24264954429723E-05,5.22172921880071E-05
1000,30,30,BayesianGMM,4.75,0.0275163829700649,0.0268362340661805
1000,30,30,BayesianGMM,4.76,0.0448576444234107,0.0418421609657343
1000,30,30,BayesianGMM,4.77,0.0686892397154693,0.0392585111194066
1000,30,30,BayesianGMM,4.78,0.126247999250026,0.0459085541900298
1000,30,30,BayesianGMM,4.79,0.232702473971965,0.0629458077841018
1000,30,30,BayesianGMM,4.81,0.43987469464899,0.0763534876900809
1000,30,30,BayesianGMM,4.82,0.607070419111065,0.0653025820666494
1000,30,30,BayesianGMM,4.83,0.641019028707621,0.0658990157302448
1000,30,30,BayesianGMM,4.84,0.737448463503707,0.0563908682785464
1000,30,30,BayesianGMM,4.85,0.779245683441212,0.0578679696765963
1000,30,30,BayesianGMM,4.86,0.798852512332431,0.0509034820843355
1000,30,30,BayesianGMM,4.87,0.878797601113476,0.0435784132442077
1000,30,30,BayesianGMM,4.88,0.884040335666001,0.0359116077871383
1000,30,30,BayesianGMM,4.9,0.947439605040465,0.0278594448173596
1000,30,30,BayesianGMM,4.93,0.953391123023478,0.0247947656305256
1,20,20,KMeans,4.67,0,0
1,20,20,KMeans,4.7,0,0
1,20,20,KMeans,4.72,0,0
1,20,20,KMeans,4.73,0.000170128787492131,0.000170128787492132
1,20,20,KMeans,4.74,0.00165144744511366,0.000509286905141142
1,20,20,KMeans,4.75,0.0113692920243872,0.00225805324694376
1,20,20,KMeans,4.76,0.059853992759477,0.00700846712507457
1,20,20,KMeans,4.77,0.202597738845258,0.0166069066636173
1,20,20,KMeans,4.78,0.458087367178276,0.0163137348916937
1,20,20,KMeans,4.79,0.730882985588299,0.0113718244304078
1,20,20,KMeans,4.81,0.973647358370465,0.00313176320814768
1,20,20,KMeans,4.82,0.996311118370903,0.00150418427546893
1,20,20,KMeans,4.83,0.99973773243463,8.09213387214367E-05
1,20,20,KMeans,4.84,0.999941808363302,5.81916366979573E-05
1,20,20,KMeans,4.85,1,0
1,20,20,KMeans,4.86,1,0
1,20,20,KMeans,4.87,1,0
1,20,20,KMeans,4.88,1,0
1,20,20,KMeans,4.9,1,0
1,20,20,KMeans,4.93,1,0
50,20,20,Agglomerative,4.67,0,0
50,20,20,Agglomerative,4.7,0.00107526881720432,0.0010752688172043
50,20,20,Agglomerative,4.72,0.0146520146520149,0.00424519408713492
50,20,20,Agglomerative,4.73,0.0264054514480409,0.00766609880749574
50,20,20,Agglomerative,4.74,0.0461165048543689,0.011122756541155
50,20,20,Agglomerative,4.75,0.0950155763239875,0.0153409000027977
50,20,20,Agglomerative,4.76,0.154307116104869,0.0152043319327224
50,20,20,Agglomerative,4.77,0.262778977681785,0.0247622512914613
50,20,20,Agglomerative,4.78,0.41122807017544,0.0175169384088619
50,20,20,Agglomerative,4.79,0.590027700831042,0.0145668799947665
50,20,20,Agglomerative,4.81,0.880891719745223,0.0197452229299363
50,20,20,Agglomerative,4.82,0.934381408065619,0.0108864773892917
50,20,20,Agglomerative,4.83,0.975721784776902,0.0065419651341808
50,20,20,Agglomerative,4.84,0.988344988344988,0.00475813858349491
50,20,20,Agglomerative,4.85,0.994174757281553,0.00237814538134288
50,20,20,Agglomerative,4.86,0.998761609907152,0.000871003737622882
50,20,20,Agglomerative,4.87,0.999367488931077,0.00063251106894369
50,20,20,Agglomerative,4.88,1,0
50,20,20,Agglomerative,4.9,1,0
50,20,20,Agglomerative,4.93,1,0
100,20,20,Spectral,4.67,0,0
100,20,20,Spectral,4.7,0,0
100,20,20,Spectral,4.72,0.0212765957446802,0.00707387245640402
100,20,20,Spectral,4.73,0.0646258503401361,0.0172320682013273
100,20,20,Spectral,4.74,0.271062271062262,0.0228144288929198
100,20,20,Spectral,4.75,0.540625,0.0258403678258457
100,20,20,Spectral,4.76,0.793103448275862,0.0183953472196298
100,20,20,Spectral,4.77,0.933621933621933,0.013765356441803
100,20,20,Spectral,4.78,0.983333333333333,0.00555555555555559
100,20,20,Spectral,4.79,0.998611111111111,0.00138888888888893
100,20,20,Spectral,4.81,1,0
100,20,20,Spectral,4.82,1,0
100,20,20,Spectral,4.83,1,0
100,20,20,Spectral,4.84,1,0
100,20,20,Spectral,4.85,1,0
100,20,20,Spectral,4.86,1,0
100,20,20,Spectral,4.87,1,0
100,20,20,Spectral,4.88,1,0
100,20,20,Spectral,4.9,1,0
100,20,20,Spectral,4.93,1,0
500,20,20,GaussianMixture,4.67,1.46695212595823E-15,1.44372973129748E-15
500,20,20,GaussianMixture,4.7,4.82319763236399E-10,4.52512829620532E-10
500,20,20,GaussianMixture,4.72,4.38307601403611E-06,4.25119681361876E-06
500,20,20,GaussianMixture,4.73,6.10466375896199E-06,3.22301883737752E-06
500,20,20,GaussianMixture,4.74,0.000324039504287503,0.000304477975755697
500,20,20,GaussianMixture,4.75,0.0218072936631846,0.0139966023916476
500,20,20,GaussianMixture,4.76,0.0438229478666338,0.0224298064598868
500,20,20,GaussianMixture,4.77,0.0786386170701327,0.0288338430610976
500,20,20,GaussianMixture,4.78,0.132328375222871,0.0342528316929607
500,20,20,GaussianMixture,4.79,0.261749819492103,0.0459001180394555
500,20,20,GaussianMixture,4.81,0.543007155618469,0.0454648761306333
500,20,20,GaussianMixture,4.82,0.668022320259495,0.040360888651156
500,20,20,GaussianMixture,4.83,0.741397583583724,0.047836965016189
500,20,20,GaussianMixture,4.84,0.810448710254882,0.0374892856444899
500,20,20,GaussianMixture,4.85,0.846026308600982,0.0313374112292647
500,20,20,GaussianMixture,4.86,0.898518677924929,0.0236067682505959
500,20,20,GaussianMixture,4.87,0.912630330936204,0.0231699023695247
500,20,20,GaussianMixture,4.88,0.923579648043885,0.0266409114435142
500,20,20,GaussianMixture,4.9,0.954201153908182,0.0183386024093642
500,20,20,GaussianMixture,4.93,0.983821823273546,0.00996238657368422
500,20,20,MeanShift,4.67,0,0
500,20,20,MeanShift,4.7,0,0
500,20,20,MeanShift,4.72,0,0
500,20,20,MeanShift,4.73,0,0
500,20,20,MeanShift,4.74,0,0
500,20,20,MeanShift,4.75,0,0
500,20,20,MeanShift,4.76,0,0
500,20,20,MeanShift,4.77,0,0
500,20,20,MeanShift,4.78,0,0
500,20,20,MeanShift,4.79,0,0
500,20,20,MeanShift,4.81,0,0
500,20,20,MeanShift,4.82,0,0
500,20,20,MeanShift,4.83,0,0
500,20,20,MeanShift,4.84,0.0114942528735632,0.0114942528735632
500,20,20,MeanShift,4.85,0.00704225352112688,0.00704225352112676
500,20,20,MeanShift,4.86,0,0
500,20,20,MeanShift,4.87,0,0
500,20,20,MeanShift,4.88,0.010752688172043,0.010752688172043
500,20,20,MeanShift,4.9,0.0108695652173913,0.0108695652173913
500,20,20,MeanShift,4.93,0.0434782608695652,0.0326086956521739
50,20,20,Birch,4.67,0,0
50,20,20,Birch,4.7,0,0
50,20,20,Birch,4.72,0.00267379679144384,0.00194246833491117
50,20,20,Birch,4.73,0.00937766410912191,0.00426257459505541
50,20,20,Birch,4.74,0.0129449838187702,0.00809061488673139
50,20,20,Birch,4.75,0.0327102803738318,0.00955968465188057
50,20,20,Birch,4.76,0.0589569160997732,0.00849457844117085
50,20,20,Birch,4.77,0.100647016534867,0.0110557559304311
50,20,20,Birch,4.78,0.191666666666667,0.0138888888888889
50,20,20,Birch,4.79,0.329301075268817,0.0148546047905848
50,20,20,Birch,4.81,0.548407643312102,0.0261146496815287
50,20,20,Birch,4.82,0.66872852233677,0.0188990047278686
50,20,20,Birch,4.83,0.768010575016523,0.0125969058509887
50,20,20,Birch,4.84,0.833333333333333,0.0117594389329879
50,20,20,Birch,4.85,0.886304909560723,0.0102873536110565
50,20,20,Birch,4.86,0.927895981087468,0.00808792115524767
50,20,20,Birch,4.87,0.934974747474747,0.00667261377200361
50,20,20,Birch,4.88,0.968085106382979,0.00479810173579562
50,20,20,Birch,4.9,0.987362637362637,0.00318564703063589
50,20,20,Birch,4.93,0.997823721436344,0.00217627856365615
1000,20,20,BayesianGMM,4.67,4.29569301491345E-19,3.09975543050589E-19
1000,20,20,BayesianGMM,4.7,4.98107055181835E-10,4.97503060183733E-10
1000,20,20,BayesianGMM,4.72,3.79969952731112E-08,2.7516663791262E-08
1000,20,20,BayesianGMM,4.73,3.28605689997061E-06,2.32071424701888E-06
1000,20,20,BayesianGMM,4.74,6.807385987548E-06,5.7544966440949E-06
1000,20,20,BayesianGMM,4.75,0.023127756630265,0.0212729365995705
1000,20,20,BayesianGMM,4.76,0.0525158266155063,0.0373985916601893
1000,20,20,BayesianGMM,4.77,0.0665730212201109,0.0334267088548107
1000,20,20,BayesianGMM,4.78,0.150920060935388,0.0512322380174454
1000,20,20,BayesianGMM,4.79,0.229591416931203,0.064378641575657
1000,20,20,BayesianGMM,4.81,0.528743321189719,0.0699674687382683
1000,20,20,BayesianGMM,4.82,0.697574563423896,0.0570995403932188
1000,20,20,BayesianGMM,4.83,0.763317876698247,0.0544452654444543
1000,20,20,BayesianGMM,4.84,0.79872951981712,0.0495378372787919
1000,20,20,BayesianGMM,4.85,0.793430226268208,0.0569158323139031
1000,20,20,BayesianGMM,4.86,0.847913140707592,0.0439018938140216
1000,20,20,BayesianGMM,4.87,0.911863834744007,0.0348108478886983
1000,20,20,BayesianGMM,4.88,0.924138476499533,0.0315091829964215
1000,20,20,BayesianGMM,4.9,0.963302873351325,0.0229520035010812
1000,20,20,BayesianGMM,4.93,0.970419824089931,0.0206040156130131
1,12,12,KMeans,4.67,0,0
1,12,12,KMeans,4.7,1.9775352001266E-05,1.97753520012656E-05
1,12,12,KMeans,4.72,0.000106849022331446,0.000106849022331446
1,12,12,KMeans,4.73,0.00131005852729005,0.000671219508491931
1,12,12,KMeans,4.74,0.00223445595854923,0.000674684800704694
1,12,12,KMeans,4.75,0.00619012069180042,0.00180415577951972
1,12,12,KMeans,4.76,0.0149896777668072,0.00180725559264833
1,12,12,KMeans,4.77,0.0295310701956272,0.00475930728974466
1,12,12,KMeans,4.78,0.0543509965969859,0.00503603449850674
1,12,12,KMeans,4.79,0.0918979240615251,0.00703223084516751
1,12,12,KMeans,4.81,0.208033099936346,0.0183450031826862
1,12,12,KMeans,4.82,0.296182852786626,0.0124561444748202
1,12,12,KMeans,4.83,0.383954793371093,0.0149701317046725
1,12,12,KMeans,4.84,0.459729981378026,0.0226252535708616
1,12,12,KMeans,4.85,0.566661067972454,0.0149588690888422
1,12,12,KMeans,4.86,0.657841236265352,0.015062426863918
1,12,12,KMeans,4.87,0.721724013907205,0.0145956590288233
1,12,12,KMeans,4.88,0.779225996518323,0.017497656563853
1,12,12,KMeans,4.9,0.884109378431803,0.00974167429056932
1,12,12,KMeans,4.93,0.952523868554403,0.00663317457210583
50,12,12,Agglomerative,4.67,0,0
50,12,12,Agglomerative,4.7,0.00107526881720432,0.0010752688172043
50,12,12,Agglomerative,4.72,0.00907441016333951,0.00336240017493773
50,12,12,Agglomerative,4.73,0.0238500851788756,0.00851788756388416
50,12,12,Agglomerative,4.74,0.0453074433656958,0.0107028774719441
50,12,12,Agglomerative,4.75,0.0919003115264797,0.00970243707314483
50,12,12,Agglomerative,4.76,0.132575757575758,0.00956344427805518
50,12,12,Agglomerative,4.77,0.19047619047619,0.0135100889690289
50,12,12,Agglomerative,4.78,0.272027972027971,0.0173646375486208
50,12,12,Agglomerative,4.79,0.379729729729731,0.016431126885324
50,12,12,Agglomerative,4.81,0.564413265306122,0.0204711771638694
50,12,12,Agglomerative,4.82,0.63531015678255,0.0249436598003163
50,12,12,Agglomerative,4.83,0.71230158730159,0.0144603558928509
50,12,12,Agglomerative,4.84,0.745901639344259,0.0143465854406628
50,12,12,Agglomerative,4.85,0.811197916666665,0.0127533285302126
50,12,12,Agglomerative,4.86,0.838348082595872,0.0116978350259739
50,12,12,Agglomerative,4.87,0.870503597122302,0.0107913669064748
50,12,12,Agglomerative,4.88,0.887078651685393,0.00879730304208207
50,12,12,Agglomerative,4.9,0.940397350993377,0.00794534733888382
50,12,12,Agglomerative,4.93,0.957018498367791,0.0103373231773667
100,12,12,Spectral,4.67,0,0
100,12,12,Spectral,4.7,0,0
100,12,12,Spectral,4.72,0,0
100,12,12,Spectral,4.73,0.00680272108843536,0.00383725220964467
100,12,12,Spectral,4.74,0.0113636363636364,0.00487012987012987
100,12,12,Spectral,4.75,0.0280373831775701,0.00972741121245856
100,12,12,Spectral,4.76,0.0553892215568862,0.0104790419161677
100,12,12,Spectral,4.77,0.116883116883117,0.0159645791468275
100,12,12,Spectral,4.78,0.183473389355743,0.0176825928314696
100,12,12,Spectral,4.79,0.262872628726287,0.0209370421956131
100,12,12,Spectral,4.81,0.526717557251908,0.0356234096692112
100,12,12,Spectral,4.82,0.635670731707308,0.0194252251503124
100,12,12,Spectral,4.83,0.736842105263157,0.0195163118081465
100,12,12,Spectral,4.84,0.797202797202797,0.027972027972028
100,12,12,Spectral,4.85,0.868531468531461,0.0127682235220351
100,12,12,Spectral,4.86,0.912529550827422,0.0118645744089153
100,12,12,Spectral,4.87,0.927884615384615,0.0103858024012947
100,12,12,Spectral,4.88,0.94407158836689,0.0141488933340867
100,12,12,Spectral,4.9,0.977299880525687,0.00602028494912492
100,12,12,Spectral,4.93,0.996739130434782,0.00208136327773114
500,12,12,GaussianMixture,4.67,2.23084741492948E-14,1.90711629964161E-14
500,12,12,GaussianMixture,4.7,6.2826930007218E-09,4.68566964183005E-09
500,12,12,GaussianMixture,4.72,1.07193622421005E-05,1.0244292366955E-05
500,12,12,GaussianMixture,4.73,0.013046261897424,0.00978052377300484
500,12,12,GaussianMixture,4.74,0.00813854743679887,0.00644174395688643
500,12,12,GaussianMixture,4.75,0.0511210395268992,0.0254746135366179
500,12,12,GaussianMixture,4.76,0.0765118242497534,0.0469678027370636
500,12,12,GaussianMixture,4.77,0.0746047597615082,0.0287157183186596
500,12,12,GaussianMixture,4.78,0.148159469965622,0.0377778715297841
500,12,12,GaussianMixture,4.79,0.238541780183054,0.0451131187268182
500,12,12,GaussianMixture,4.81,0.346649522277235,0.0458485526395028
500,12,12,GaussianMixture,4.82,0.502445280738639,0.0498665233748781
500,12,12,GaussianMixture,4.83,0.603468535489311,0.0458016572081844
500,12,12,GaussianMixture,4.84,0.623036051818375,0.0445570670695523
500,12,12,GaussianMixture,4.85,0.725843967048731,0.0419487092719827
500,12,12,GaussianMixture,4.86,0.710018928396013,0.0451734529637728
500,12,12,GaussianMixture,4.87,0.724511559329397,0.0418875038070788
500,12,12,GaussianMixture,4.88,0.779980393353851,0.0384693533084776
500,12,12,GaussianMixture,4.9,0.868986293139331,0.030164684250969
500,12,12,GaussianMixture,4.93,0.914400383590763,0.0249954823336665
