stride,feature_set,n_features,model,K0_crit,K0_crit_err,K0_close,N_K0,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_k0_crit,runtime_total
1,30,30,KMeans,4.78174132552296,0.000535897980082723,4.78,20,0.982,4.817,13.43,0.015,0.014,0.00039,19.259
50,30,30,Agglomerative,4.78723345879208,0.000922061575217654,4.79,20,21.92,0.88,2.181,0.014,0.0132,0.00024,25.008
100,30,30,Spectral,4.74897835378464,0.000723640016334899,4.75,20,35.599,0.766,1.98,0.0143,0.0131,0.00023,38.372
500,30,30,GaussianMixture,4.81231238673696,0.00316134527854005,4.81,20,0.619,0.666,1.835,0.0129,0.0133,0.00022,3.147
500,30,30,MeanShift,,,,20,11.845,0.668,0.944,0.0135,0.014,0.00012,13.485
50,30,30,Birch,4.79976797385621,0.00184703203226342,4.79,20,38.425,0.831,2.077,0.0133,0.0132,0.00023,41.359
1000,30,30,BayesianGMM,4.81359610304297,0.00432902625883238,4.81,20,0.459,0.403,1.057,0.0135,0.0146,0.00024,1.946
1,20,20,KMeans,4.78153641151079,0.000570187093566694,4.78,20,0.78,4.716,12.901,0.0144,0.014,0.00026,18.426
50,20,20,Agglomerative,4.78496488328858,0.000897779753680501,4.78,20,20.402,0.872,2.3,0.0129,0.0126,0.00024,23.6
100,20,20,Spectral,4.74849292963608,0.000941685730701416,4.75,20,34.667,0.883,2.261,0.014,0.0137,0.00025,37.839
500,20,20,GaussianMixture,4.80694179314852,0.00323770606286024,4.81,20,0.404,0.783,2.094,0.0143,0.0135,0.00024,3.309
500,20,20,MeanShift,,,,20,10.727,0.785,1.077,0.014,0.0139,0.00013,12.618
50,20,20,Birch,4.80558136081959,0.00215666249680324,4.81,20,36.551,0.877,2.244,0.0134,0.013,0.00024,39.698
1000,20,20,BayesianGMM,4.80807834609905,0.00464182097282121,4.81,20,0.319,0.417,1.096,0.0136,0.013,0.00022,1.859
1,12,12,KMeans,4.84376597862273,0.00184587197158432,4.84,20,0.693,4.664,13.459,0.0143,0.0137,0.00025,18.845
50,12,12,Agglomerative,4.80302447128218,0.00206429910142281,4.81,20,21.856,0.968,2.459,0.0166,0.016,0.00027,25.316
100,12,12,Spectral,4.80797475301866,0.00258759823736831,4.81,20,71.259,1.167,2.508,0.0147,0.014,0.00026,74.963
500,12,12,GaussianMixture,4.81984304574381,0.00319671473125531,4.82,20,0.232,0.835,2.838,0.0155,0.0144,0.00031,3.935
500,12,12,MeanShift,,,,20,10.362,1.041,1.084,0.0145,0.0141,0.00013,12.516
10,12,12,DBSCAN,4.77,0.013333333333333,4.77,8,18.679,0.077,0.085,0.0057,0.0057,0.00022,18.853
50,12,12,Birch,4.81078083303614,0.00367490939814115,4.81,20,26.86,0.99,2.664,0.014,0.0137,0.00029,30.542
1000,12,12,BayesianGMM,4.81981656601343,0.00458354018758019,4.82,20,0.203,0.424,1.138,0.014,0.0137,0.00027,1.793
