stride,feature_set,n_features,model,K0,chi,chi_err
5000,30,30,KMeans,4.67,0,0
5000,30,30,KMeans,4.7,0,0
5000,30,30,KMeans,4.72,0,0
5000,30,30,KMeans,4.73,0,0
5000,30,30,KMeans,4.74,0,0
5000,30,30,KMeans,4.75,0,0
5000,30,30,KMeans,4.76,0,0
5000,30,30,KMeans,4.77,0.125,0.125
5000,30,30,KMeans,4.78,0.125,0.125
5000,30,30,KMeans,4.79,0.125,0.125
5000,30,30,KMeans,4.81,0,0
5000,30,30,KMeans,4.82,0,0
5000,30,30,KMeans,4.83,0,0
5000,30,30,KMeans,4.84,0,0
5000,30,30,KMeans,4.85,0,0
5000,30,30,KMeans,4.86,0,0
5000,30,30,KMeans,4.87,0,0
5000,30,30,KMeans,4.88,0,0
5000,30,30,KMeans,4.9,0,0
5000,30,30,KMeans,4.93,0,0
1000,30,30,KMeans,4.67,0,0
1000,30,30,KMeans,4.7,0,0
1000,30,30,KMeans,4.72,0,0
1000,30,30,KMeans,4.73,0,0
1000,30,30,KMeans,4.74,0,0
1000,30,30,KMeans,4.75,0.0303030303030304,0.0303030303030303
1000,30,30,KMeans,4.76,0.0572048393825618,0.039840922440762
1000,30,30,KMeans,4.77,0.185633001422473,0.0388296333669017
1000,30,30,KMeans,4.78,0.246952757387539,0.0130621204786287
1000,30,30,KMeans,4.79,0.170697012802273,0.040958245261036
1000,30,30,KMeans,4.81,0.0249999999999995,0.025
1000,30,30,KMeans,4.82,0,0
1000,30,30,KMeans,4.83,0,0
1000,30,30,KMeans,4.84,0,0
1000,30,30,KMeans,4.85,0,0
1000,30,30,KMeans,4.86,0,0
1000,30,30,KMeans,4.87,0,0
1000,30,30,KMeans,4.88,0,0
1000,30,30,KMeans,4.9,0,0
1000,30,30,KMeans,4.93,0,0
500,30,30,KMeans,4.67,0,0
500,30,30,KMeans,4.7,0,0
500,30,30,KMeans,4.72,0,0
500,30,30,KMeans,4.73,0,0
500,30,30,KMeans,4.74,0,0
500,30,30,KMeans,4.75,0.0153846153846154,0.0153846153846154
500,30,30,KMeans,4.76,0.0573840070812592,0.0262358181230406
500,30,30,KMeans,4.77,0.162318840579703,0.0297423872329548
500,30,30,KMeans,4.78,0.252160493827156,0.00353133506437764
500,30,30,KMeans,4.79,0.189873417721528,0.0249834539408319
500,30,30,KMeans,4.81,0.0348537005163517,0.0193760637573251
500,30,30,KMeans,4.82,0,0
500,30,30,KMeans,4.83,0,0
500,30,30,KMeans,4.84,0,0
500,30,30,KMeans,4.85,0,0
500,30,30,KMeans,4.86,0,0
500,30,30,KMeans,4.87,0,0
500,30,30,KMeans,4.88,0,0
500,30,30,KMeans,4.9,0,0
500,30,30,KMeans,4.93,0,0
250,30,30,KMeans,4.67,0,0
250,30,30,KMeans,4.7,0,0
250,30,30,KMeans,4.72,0,0
250,30,30,KMeans,4.73,0,0
250,30,30,KMeans,4.74,0,0
250,30,30,KMeans,4.75,0.0205043768525449,0.00992544903151956
250,30,30,KMeans,4.76,0.0659936481808906,0.0158368126913957
250,30,30,KMeans,4.77,0.178010302657211,0.0204673569248348
250,30,30,KMeans,4.78,0.250333369311629,0.00559918557300759
250,30,30,KMeans,4.79,0.191217127908578,0.0153341392500426
250,30,30,KMeans,4.81,0.0366763565445351,0.011168078043929
250,30,30,KMeans,4.82,0,0
250,30,30,KMeans,4.83,0,0
250,30,30,KMeans,4.84,0,0
250,30,30,KMeans,4.85,0,0
250,30,30,KMeans,4.86,0,0
250,30,30,KMeans,4.87,0,0
250,30,30,KMeans,4.88,0,0
250,30,30,KMeans,4.9,0,0
250,30,30,KMeans,4.93,0,0
100,30,30,KMeans,4.67,0,0
100,30,30,KMeans,4.7,0,0
100,30,30,KMeans,4.72,0,0
100,30,30,KMeans,4.73,0,0
100,30,30,KMeans,4.74,0.00187265917603002,0.00187265917602996
100,30,30,KMeans,4.75,0.0123519423475181,0.00662808111532028
100,30,30,KMeans,4.76,0.0650073255357553,0.0112088880462781
100,30,30,KMeans,4.77,0.176930357596616,0.010598519245924
100,30,30,KMeans,4.78,0.249636071063288,0.00134303129551947
100,30,30,KMeans,4.79,0.18896839738788,0.0140748630553865
100,30,30,KMeans,4.81,0.0236681325907131,0.00849691021446747
100,30,30,KMeans,4.82,0.00618192766934145,0.00302515897391986
100,30,30,KMeans,4.83,0,0
100,30,30,KMeans,4.84,0,0
100,30,30,KMeans,4.85,0,0
100,30,30,KMeans,4.86,0,0
100,30,30,KMeans,4.87,0,0
100,30,30,KMeans,4.88,0,0
100,30,30,KMeans,4.9,0,0
100,30,30,KMeans,4.93,0,0
50,30,30,KMeans,4.67,0,0
50,30,30,KMeans,4.7,0,0
50,30,30,KMeans,4.72,0,0
50,30,30,KMeans,4.73,0,0
50,30,30,KMeans,4.74,0.000868055555555545,0.000868055555555556
50,30,30,KMeans,4.75,0.015398442130887,0.00407063451962492
50,30,30,KMeans,4.76,0.0610041233854073,0.00794463488847014
50,30,30,KMeans,4.77,0.166792882420991,0.00744333274180583
50,30,30,KMeans,4.78,0.250200944545452,0.00116144256734191
50,30,30,KMeans,4.79,0.189616012179792,0.00777978534844966
50,30,30,KMeans,4.81,0.0236439751333789,0.00485506304432601
50,30,30,KMeans,4.82,0.00610481456125828,0.00336882134931285
50,30,30,KMeans,4.83,0.000694444444444444,0.000694444444444445
50,30,30,KMeans,4.84,0.000612745098039205,0.000612745098039216
50,30,30,KMeans,4.85,0,0
50,30,30,KMeans,4.86,0,0
50,30,30,KMeans,4.87,0,0
50,30,30,KMeans,4.88,0,0
50,30,30,KMeans,4.9,0,0
50,30,30,KMeans,4.93,0,0
10,30,30,KMeans,4.67,0,0
10,30,30,KMeans,4.7,0,0
10,30,30,KMeans,4.72,0,0
10,30,30,KMeans,4.73,0.000345840631671501,0.000243239910648736
10,30,30,KMeans,4.74,0.00210176351813929,0.000767024558642994
