stride,feature_set,n_features,model,K0,mean,mean_err
5000,30,30,KMeans,4.67,0,0
5000,30,30,KMeans,4.7,0,0
5000,30,30,KMeans,4.72,0,0
5000,30,30,KMeans,4.73,0,0
5000,30,30,KMeans,4.74,0,0
5000,30,30,KMeans,4.75,0,0
5000,30,30,KMeans,4.76,0,0
5000,30,30,KMeans,4.77,0.125,0.125
5000,30,30,KMeans,4.78,0.428571428571429,0.285714285714286
5000,30,30,KMeans,4.79,0.777777777777778,0.146986183948033
5000,30,30,KMeans,4.81,1,0
5000,30,30,KMeans,4.82,1,0
5000,30,30,KMeans,4.83,1,0
5000,30,30,KMeans,4.84,1,0
5000,30,30,KMeans,4.85,1,0
5000,30,30,KMeans,4.86,1,0
5000,30,30,KMeans,4.87,1,0
5000,30,30,KMeans,4.88,1,0
5000,30,30,KMeans,4.9,1,0
5000,30,30,KMeans,4.93,1,0
1000,30,30,KMeans,4.67,0,0
1000,30,30,KMeans,4.7,0,0
1000,30,30,KMeans,4.72,0,0
1000,30,30,KMeans,4.73,0,0
1000,30,30,KMeans,4.74,0,0
1000,30,30,KMeans,4.75,0.0303030303030303,0.0303030303030303
1000,30,30,KMeans,4.76,0.0588235294117648,0.0427343033680458
1000,30,30,KMeans,4.77,0.250000000000004,0.07319250547114
1000,30,30,KMeans,4.78,0.513513513513513,0.0833028919320132
1000,30,30,KMeans,4.79,0.789473684210535,0.0670225831544226
1000,30,30,KMeans,4.81,0.975,0.025
1000,30,30,KMeans,4.82,1,0
1000,30,30,KMeans,4.83,1,0
1000,30,30,KMeans,4.84,1,0
1000,30,30,KMeans,4.85,1,0
1000,30,30,KMeans,4.86,1,0
1000,30,30,KMeans,4.87,1,0
1000,30,30,KMeans,4.88,1,0
1000,30,30,KMeans,4.9,1,0
1000,30,30,KMeans,4.93,1,0
500,30,30,KMeans,4.67,0,0
500,30,30,KMeans,4.7,0,0
500,30,30,KMeans,4.72,0,0
500,30,30,KMeans,4.73,0,0
500,30,30,KMeans,4.74,0,0
500,30,30,KMeans,4.75,0.0153846153846154,0.0153846153846154
500,30,30,KMeans,4.76,0.0601503759398496,0.0291201755353941
500,30,30,KMeans,4.77,0.223076923076923,0.0492548018264066
500,30,30,KMeans,4.78,0.493150684931507,0.0589200360756345
500,30,30,KMeans,4.79,0.733333333333333,0.0514066400637372
500,30,30,KMeans,4.81,0.958333333333333,0.0205017471798601
500,30,30,KMeans,4.82,1,0
500,30,30,KMeans,4.83,1,0
500,30,30,KMeans,4.84,1,0
500,30,30,KMeans,4.85,1,0
500,30,30,KMeans,4.86,1,0
500,30,30,KMeans,4.87,1,0
500,30,30,KMeans,4.88,1,0
500,30,30,KMeans,4.9,1,0
500,30,30,KMeans,4.93,1,0
250,30,30,KMeans,4.67,0,0
250,30,30,KMeans,4.7,0,0
250,30,30,KMeans,4.72,0,0
250,30,30,KMeans,4.73,0,0
250,30,30,KMeans,4.74,0,0
250,30,30,KMeans,4.75,0.0208333333333327,0.01025087358993
250,30,30,KMeans,4.76,0.070652173913046,0.0182577267333926
250,30,30,KMeans,4.77,0.229090909090909,0.0374033188963601
250,30,30,KMeans,4.78,0.545138888888889,0.0486111111111111
250,30,30,KMeans,4.79,0.744444444444448,0.0311320856135172
250,30,30,KMeans,4.81,0.962025316455653,0.0119915308029283
250,30,30,KMeans,4.82,1,0
250,30,30,KMeans,4.83,1,0
250,30,30,KMeans,4.84,1,0
250,30,30,KMeans,4.85,1,0
250,30,30,KMeans,4.86,1,0
250,30,30,KMeans,4.87,1,0
250,30,30,KMeans,4.88,1,0
250,30,30,KMeans,4.9,1,0
250,30,30,KMeans,4.93,1,0
100,30,30,KMeans,4.67,0,0
100,30,30,KMeans,4.7,0,0
100,30,30,KMeans,4.72,0,0
100,30,30,KMeans,4.73,0,0
100,30,30,KMeans,4.74,0.00187265917603,0.00187265917602996
100,30,30,KMeans,4.75,0.0124610591900312,0.00678956221735307
100,30,30,KMeans,4.76,0.06969696969697,0.0129581208199963
100,30,30,KMeans,4.77,0.228985507246377,0.019468604482629
100,30,30,KMeans,4.78,0.47667638483965,0.0228538546800874
100,30,30,KMeans,4.79,0.748655913978495,0.0282258064516129
100,30,30,KMeans,4.81,0.975826972010178,0.00890585241730279
100,30,30,KMeans,4.82,0.993788819875817,0.00305397001176674
100,30,30,KMeans,4.83,1,0
100,30,30,KMeans,4.84,1,0
100,30,30,KMeans,4.85,1,0
100,30,30,KMeans,4.86,1,0
100,30,30,KMeans,4.87,1,0
100,30,30,KMeans,4.88,1,0
100,30,30,KMeans,4.9,1,0
100,30,30,KMeans,4.93,1,0
50,30,30,KMeans,4.67,0,0
50,30,30,KMeans,4.7,0,0
50,30,30,KMeans,4.72,0,0
50,30,30,KMeans,4.73,0,0
50,30,30,KMeans,4.74,0.000868055555555566,0.000868055555555556
50,30,30,KMeans,4.75,0.015625,0.00419262745781211
50,30,30,KMeans,4.76,0.0651685393258427,0.0090819143468031
50,30,30,KMeans,4.77,0.213541666666667,0.0128759526259043
50,30,30,KMeans,4.78,0.481944444444444,0.0237384231043572
50,30,30,KMeans,4.79,0.746238030095764,0.015782772765382
50,30,30,KMeans,4.81,0.975796178343949,0.00509554140127388
50,30,30,KMeans,4.82,0.993869209809264,0.00340599455040869
50,30,30,KMeans,4.83,0.999305555555556,0.000694444444444405
50,30,30,KMeans,4.84,0.999387254901961,0.000612745098039179
50,30,30,KMeans,4.85,1,0
50,30,30,KMeans,4.86,1,0
50,30,30,KMeans,4.87,1,0
50,30,30,KMeans,4.88,1,0
50,30,30,KMeans,4.9,1,0
50,30,30,KMeans,4.93,1,0
10,30,30,KMeans,4.67,0,0
10,30,30,KMeans,4.7,0,0
10,30,30,KMeans,4.72,0,0
10,30,30,KMeans,4.73,0.000345901072293335,0.000243324959568543
10,30,30,KMeans,4.74,0.00210560414642047,0.000769994449239048
