stride,feature_set,n_features,model,K0_crit,K0_crit_err,K0_close,N_K0,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_k0_crit,runtime_total
5000,30,30,KMeans,4.78204545454546,0.0073692269245715,4.78,20,0.163,0.037,0.061,0.0152,0.0142,0.00043,0.291
1000,30,30,KMeans,4.77948717948718,0.00314156224746351,4.78,20,0.172,0.494,1.175,0.0145,0.0145,0.00026,1.871
500,30,30,KMeans,4.78028517110266,0.00244421385656776,4.78,20,0.176,0.819,1.987,0.015,0.0151,0.00026,3.013
250,30,30,KMeans,4.77857177100396,0.00148744446203669,4.78,20,0.182,0.841,1.941,0.0144,0.0144,0.00027,2.992
100,30,30,KMeans,4.78085755039117,0.000857216228302504,4.78,20,0.192,0.886,2.116,0.0145,0.0141,0.00026,3.223
50,30,30,KMeans,4.78068316283617,0.000877619582869528,4.78,20,0.2,0.937,2.453,0.0146,0.014,0.00026,3.62
10,30,30,KMeans,4.77990846130446,0.000751469051282227,4.78,20,0.295,1.262,3.237,0.0149,0.0131,0.00023,4.822
1,30,30,KMeans,4.78019891292541,0.000600663598901382,4.78,20,1.641,7.666,20.496,0.0229,0.0223,0.00039,29.848
5000,30,30,Agglomerative,4.79,0.00446685286283623,4.79,20,0.053,0.031,0.054,0.0143,0.0139,0.00023,0.166
1000,30,30,Agglomerative,4.78513513513514,0.00516863625963957,4.79,20,0.093,0.483,1.11,0.014,0.0135,0.00024,1.714
500,30,30,Agglomerative,4.78127986348123,0.00364264902595973,4.78,20,0.221,0.745,1.967,0.015,0.0142,0.00025,2.963
250,30,30,Agglomerative,4.77353211009174,0.00130614133803604,4.77,20,0.811,0.738,2.096,0.0155,0.014,0.00026,3.675
100,30,30,Agglomerative,4.78540863177227,0.00170200990376828,4.79,20,5.451,0.858,2.252,0.0143,0.0142,0.00025,8.589
50,30,30,Agglomerative,4.78171391680234,0.00163765318412774,4.78,20,21.688,0.894,2.358,0.0134,0.0132,0.00023,24.967
5000,30,30,Spectral,4.714,0.00361478445646009,4.72,20,0.175,0.031,0.065,0.0145,0.014,0.00025,0.3
1000,30,30,Spectral,4.75939278937381,0.00479670307624913,4.76,20,0.264,0.424,1.09,0.0137,0.0135,0.00024,1.805
500,30,30,Spectral,4.75084507042254,0.00227946389830467,4.75,20,0.534,0.749,1.984,0.0143,0.0136,0.00023,3.295
250,30,30,Spectral,4.74698181818182,0.00134739389865809,4.75,20,2.25,0.792,2.088,0.0158,0.0137,0.00025,5.16
100,30,30,Spectral,4.74372413793104,0.000779106379605626,4.74,20,22.047,0.915,2.121,0.0143,0.0145,0.00025,25.111
