stride,feature_set,n_features,model,Delta,chi,chi_err
1,30,30,KMeans,0.036,0,0
1,30,30,KMeans,0.0366,0,0
1,30,30,KMeans,0.037,0,0
1,30,30,KMeans,0.0374,0,0
1,30,30,KMeans,0.0378,0.0169023373196114,0.0101961998510901
1,30,30,KMeans,0.0382,0.266145534305418,0.037567571551431
1,30,30,KMeans,0.0386,0.0204143794751921,0.0125080492229957
1,30,30,KMeans,0.039,0,0
1,30,30,KMeans,0.0394,0,0
1,30,30,KMeans,0.0398,0,0
1,30,30,KMeans,0.0402,0,0
1,30,30,KMeans,0.041,0,0
50,30,30,Agglomerative,0.036,0,0
50,30,30,Agglomerative,0.0366,0,0
50,30,30,Agglomerative,0.037,0,0
50,30,30,Agglomerative,0.0374,0,0
50,30,30,Agglomerative,0.0378,0,0
50,30,30,Agglomerative,0.0382,0.107736005093941,0.080053992022814
50,30,30,Agglomerative,0.0386,0.276376153192096,0.0612558204607213
50,30,30,Agglomerative,0.039,0.00619029410146978,0.00431754013778703
50,30,30,Agglomerative,0.0394,0,0
50,30,30,Agglomerative,0.0398,0,0
50,30,30,Agglomerative,0.0402,0,0
50,30,30,Agglomerative,0.041,0,0
50,30,30,Spectral,0.036,0,0
50,30,30,Spectral,0.0366,0,0
50,30,30,Spectral,0.037,0,0
50,30,30,Spectral,0.0374,0,0
50,30,30,Spectral,0.0378,0.0341494105578958,0.0167740775876416
50,30,30,Spectral,0.0382,0.230801037655965,0.0477997997997998
50,30,30,Spectral,0.0386,0.00836191803881485,0.00674823472648078
50,30,30,Spectral,0.039,0,0
50,30,30,Spectral,0.0394,0,0
50,30,30,Spectral,0.0398,0,0
50,30,30,Spectral,0.0402,0,0
50,30,30,Spectral,0.041,0,0
500,30,30,GaussianMixture,0.036,0,0
500,30,30,GaussianMixture,0.0366,0,0
500,30,30,GaussianMixture,0.037,1.97181667739761E-17,1.97181668390791E-17
500,30,30,GaussianMixture,0.0374,0.00571600046610495,0.00571600044094812
500,30,30,GaussianMixture,0.0378,0.131952150476858,0.0270084492991253
500,30,30,GaussianMixture,0.0382,0.123996603639142,0.0389056746588689
500,30,30,GaussianMixture,0.0386,6.85103234269245E-09,6.83582467515298E-09
500,30,30,GaussianMixture,0.039,0,0
500,30,30,GaussianMixture,0.0394,0,0
500,30,30,GaussianMixture,0.0398,0,0
500,30,30,GaussianMixture,0.0402,0,0
500,30,30,GaussianMixture,0.041,0,0
100,30,30,MeanShift,0.036,0,0
100,30,30,MeanShift,0.0366,0,0
100,30,30,MeanShift,0.037,0,0
100,30,30,MeanShift,0.0374,0,0
100,30,30,MeanShift,0.0378,0,0
100,30,30,MeanShift,0.0382,0.0141416209079302,0.0139369220570555
100,30,30,MeanShift,0.0386,0.0846552653308333,0.0703319833908644
100,30,30,MeanShift,0.039,0.0425767226971699,0.0256302086774724
100,30,30,MeanShift,0.0394,0,0
100,30,30,MeanShift,0.0398,0,0
100,30,30,MeanShift,0.0402,0,0
100,30,30,MeanShift,0.041,0,0
10,30,30,DBSCAN,0.036,0,0
10,30,30,DBSCAN,0.0366,0,0
10,30,30,DBSCAN,0.037,0,0
10,30,30,DBSCAN,0.0374,0,0
10,30,30,DBSCAN,0.0378,0,0
10,30,30,DBSCAN,0.0382,0,0
10,30,30,DBSCAN,0.0386,0,0
10,30,30,DBSCAN,0.039,0,0
10,30,30,DBSCAN,0.0394,0,0
10,30,30,DBSCAN,0.0398,0,0
10,30,30,DBSCAN,0.0402,0,0
10,30,30,DBSCAN,0.041,0.000482085640126159,0.000254957527452153
50,30,30,Birch,0.036,0,0
50,30,30,Birch,0.0366,0,0
50,30,30,Birch,0.037,0,0
50,30,30,Birch,0.0374,0.00100100137759933,0.00100024893413323
50,30,30,Birch,0.0378,0.0796817374119561,0.0252679839253657
50,30,30,Birch,0.0382,0.189658474131961,0.0486111111111111
50,30,30,Birch,0.0386,0.00217212232153507,0.00170900393347427
50,30,30,Birch,0.039,0,0
50,30,30,Birch,0.0394,0,0
50,30,30,Birch,0.0398,0,0
50,30,30,Birch,0.0402,0,0
50,30,30,Birch,0.041,0,0
1000,30,30,BayesianGMM,0.036,0,0
1000,30,30,BayesianGMM,0.0366,0,0
1000,30,30,BayesianGMM,0.037,0,0
1000,30,30,BayesianGMM,0.0374,2.62776548251372E-08,2.62774465156978E-08
1000,30,30,BayesianGMM,0.0378,0.048870819182106,0.0335855545460394
1000,30,30,BayesianGMM,0.0382,0.212989627875505,0.0291414386338895
1000,30,30,BayesianGMM,0.0386,0.0252276431600512,0.0174928827984666
1000,30,30,BayesianGMM,0.039,0,0
1000,30,30,BayesianGMM,0.0394,0,0
1000,30,30,BayesianGMM,0.0398,0,0
1000,30,30,BayesianGMM,0.0402,0,0
1000,30,30,BayesianGMM,0.041,0,0
1,20,20,KMeans,0.036,0,0
1,20,20,KMeans,0.0366,0,0
1,20,20,KMeans,0.037,0,0
1,20,20,KMeans,0.0374,0,0
1,20,20,KMeans,0.0378,0.0408353173246138,0.0183881430851521
1,20,20,KMeans,0.0382,0.21657585465246,0.0477109982199644
1,20,20,KMeans,0.0386,0.00680940357486103,0.00472612187580919
1,20,20,KMeans,0.039,0,0
1,20,20,KMeans,0.0394,0,0
1,20,20,KMeans,0.0398,0,0
1,20,20,KMeans,0.0402,0,0
1,20,20,KMeans,0.041,0,0
50,20,20,Agglomerative,0.036,0,0
50,20,20,Agglomerative,0.0366,0,0
50,20,20,Agglomerative,0.037,0,0
50,20,20,Agglomerative,0.0374,0,0
50,20,20,Agglomerative,0.0378,0,0
50,20,20,Agglomerative,0.0382,0.117440847508477,0.0836328437509493
50,20,20,Agglomerative,0.0386,0.281299175270599,0.0490245613214979
50,20,20,Agglomerative,0.039,0.00298734403774712,0.00251592789486764
50,20,20,Agglomerative,0.0394,0,0
50,20,20,Agglomerative,0.0398,0,0
50,20,20,Agglomerative,0.0402,0,0
50,20,20,Agglomerative,0.041,0,0
50,20,20,Spectral,0.036,0,0
50,20,20,Spectral,0.0366,0,0
50,20,20,Spectral,0.037,0,0
50,20,20,Spectral,0.0374,0.000523286237571952,0.000523286237571952
50,20,20,Spectral,0.0378,0.0564991858724966,0.0215670748761126
50,20,20,Spectral,0.0382,0.195814471049339,0.0463888888888889
50,20,20,Spectral,0.0386,0.00471233595930197,0.00417370194999172
50,20,20,Spectral,0.039,0,0
50,20,20,Spectral,0.0394,0,0
50,20,20,Spectral,0.0398,0,0
50,20,20,Spectral,0.0402,0,0
50,20,20,Spectral,0.041,0,0
500,20,20,GaussianMixture,0.036,0,0
500,20,20,GaussianMixture,0.0366,0,0
500,20,20,GaussianMixture,0.037,0,0
500,20,20,GaussianMixture,0.0374,0.000279985104605949,0.000279985106026677
500,20,20,GaussianMixture,0.0378,0.0623680107908995,0.0264576443350417
500,20,20,GaussianMixture,0.0382,0.184004985194291,0.041998442490376
500,20,20,GaussianMixture,0.0386,0.000687213283350991,0.000579990934287952
500,20,20,GaussianMixture,0.039,0,0
500,20,20,GaussianMixture,0.0394,0,0
500,20,20,GaussianMixture,0.0398,0,0
500,20,20,GaussianMixture,0.0402,0,0
500,20,20,GaussianMixture,0.041,0,0
100,20,20,MeanShift,0.036,0,0
100,20,20,MeanShift,0.0366,0,0
100,20,20,MeanShift,0.037,0,0
100,20,20,MeanShift,0.0374,0,0
100,20,20,MeanShift,0.0378,0,0
100,20,20,MeanShift,0.0382,0.0482924242320234,0.0456227376006923
100,20,20,MeanShift,0.0386,0.183116264836927,0.104520113550839
100,20,20,MeanShift,0.039,0.0132227232930889,0.00761807465086295
100,20,20,MeanShift,0.0394,0,0
100,20,20,MeanShift,0.0398,0,0
100,20,20,MeanShift,0.0402,0,0
100,20,20,MeanShift,0.041,0,0
10,20,20,DBSCAN,0.036,0,0
10,20,20,DBSCAN,0.0366,0,0
10,20,20,DBSCAN,0.037,0,0
