stride,feature_set,n_features,model,Delta,mean,mean_err
1,30,30,KMeans,0.036,0,0
1,30,30,KMeans,0.0366,0,0
1,30,30,KMeans,0.037,0,0
1,30,30,KMeans,0.0374,0,0
1,30,30,KMeans,0.0378,0.0170845351675171,0.0104729335386437
1,30,30,KMeans,0.0382,0.61123,0.16887
1,30,30,KMeans,0.0386,0.979325070305178,0.0129190003156027
1,30,30,KMeans,0.039,1,0
1,30,30,KMeans,0.0394,1,0
1,30,30,KMeans,0.0398,1,0
1,30,30,KMeans,0.0402,1,0
1,30,30,KMeans,0.041,1,0
50,30,30,Agglomerative,0.036,0,0
50,30,30,Agglomerative,0.0366,0,0
50,30,30,Agglomerative,0.037,0,0
50,30,30,Agglomerative,0.0374,0,0
50,30,30,Agglomerative,0.0378,0,0
50,30,30,Agglomerative,0.0382,0.111,0.097
50,30,30,Agglomerative,0.0386,0.3890625,0.209895833333333
50,30,30,Agglomerative,0.039,0.993790248390064,0.00436982520699175
50,30,30,Agglomerative,0.0394,1,0
50,30,30,Agglomerative,0.0398,1,0
50,30,30,Agglomerative,0.0402,1,0
50,30,30,Agglomerative,0.041,1,0
50,30,30,Spectral,0.036,0,0
50,30,30,Spectral,0.0366,0,0
50,30,30,Spectral,0.037,0,0
50,30,30,Spectral,0.0374,0,0
50,30,30,Spectral,0.0378,0.0350609756097561,0.0178198659661194
50,30,30,Spectral,0.0382,0.688,0.127
50,30,30,Spectral,0.0386,0.991614255765197,0.00681697356362719
50,30,30,Spectral,0.039,1,0
50,30,30,Spectral,0.0394,1,0
50,30,30,Spectral,0.0398,1,0
50,30,30,Spectral,0.0402,1,0
50,30,30,Spectral,0.041,1,0
500,30,30,GaussianMixture,0.036,1.03086517295649E-70,1.03086517295613E-70
500,30,30,GaussianMixture,0.0366,1.50167832162772E-29,1.50167832157124E-29
500,30,30,GaussianMixture,0.037,3.20467711062696E-10,3.20466506103784E-10
500,30,30,GaussianMixture,0.0374,0.00611452442878683,0.00611221187219163
500,30,30,GaussianMixture,0.0378,0.176292822646842,0.0433275714041873
500,30,30,GaussianMixture,0.0382,0.841338791409881,0.0673486764608001
500,30,30,GaussianMixture,0.0386,0.999991201098927,8.40411800304498E-06
500,30,30,GaussianMixture,0.039,1,0
500,30,30,GaussianMixture,0.0394,1,0
500,30,30,GaussianMixture,0.0398,1,0
500,30,30,GaussianMixture,0.0402,1,0
500,30,30,GaussianMixture,0.041,1,0
100,30,30,MeanShift,0.036,0,0
100,30,30,MeanShift,0.0366,0,0
100,30,30,MeanShift,0.037,0,0
100,30,30,MeanShift,0.0374,0,0
100,30,30,MeanShift,0.0378,0,0
100,30,30,MeanShift,0.0382,0.0141414141414142,0.0141414141414141
100,30,30,MeanShift,0.0386,0.0854166666666667,0.0807745168320086
100,30,30,MeanShift,0.039,0.956301747930083,0.0280588776448942
100,30,30,MeanShift,0.0394,1,0
100,30,30,MeanShift,0.0398,1,0
100,30,30,MeanShift,0.0402,1,0
100,30,30,MeanShift,0.041,1,0
10,30,30,DBSCAN,0.036,0,0
10,30,30,DBSCAN,0.0366,0,0
10,30,30,DBSCAN,0.037,0,0
10,30,30,DBSCAN,0.0374,0,0
10,30,30,DBSCAN,0.0378,0,0
10,30,30,DBSCAN,0.0382,0,0
10,30,30,DBSCAN,0.0386,0,0
10,30,30,DBSCAN,0.039,0,0
10,30,30,DBSCAN,0.0394,0,0
10,30,30,DBSCAN,0.0398,0,0
10,30,30,DBSCAN,0.0402,0,0
10,30,30,DBSCAN,0.041,0.000482253086419753,0.000255184347132001
50,30,30,Birch,0.036,0,0
50,30,30,Birch,0.0366,0,0
50,30,30,Birch,0.037,0,0
50,30,30,Birch,0.0374,0.001001001001001,0.001001001001001
50,30,30,Birch,0.0378,0.0862068965517244,0.0300998838473502
50,30,30,Birch,0.0382,0.7625,0.0925
50,30,30,Birch,0.0386,0.997826086956512,0.00171295398254291
50,30,30,Birch,0.039,1,0
50,30,30,Birch,0.0394,1,0
50,30,30,Birch,0.0398,1,0
50,30,30,Birch,0.0402,1,0
50,30,30,Birch,0.041,1,0
1000,30,30,BayesianGMM,0.036,3.51899142562614E-100,3.5153432542534E-100
1000,30,30,BayesianGMM,0.0366,2.54302078462011E-44,2.54302014917032E-44
1000,30,30,BayesianGMM,0.037,1.34463461011072E-19,1.34457030815034E-19
1000,30,30,BayesianGMM,0.0374,1.85269213080724E-05,1.8473447011381E-05
1000,30,30,BayesianGMM,0.0378,0.0525079277683811,0.0355837785652408
1000,30,30,BayesianGMM,0.0382,0.670651295152445,0.114061618963746
1000,30,30,BayesianGMM,0.0386,0.97207897544353,0.0189840696976819
1000,30,30,BayesianGMM,0.039,1,0
1000,30,30,BayesianGMM,0.0394,1,0
1000,30,30,BayesianGMM,0.0398,1,0
1000,30,30,BayesianGMM,0.0402,1,0
1000,30,30,BayesianGMM,0.041,1,0
1,20,20,KMeans,0.036,0,0
1,20,20,KMeans,0.0366,0,0
1,20,20,KMeans,0.037,0,0
1,20,20,KMeans,0.0374,0,0
1,20,20,KMeans,0.0378,0.0422238357435308,0.0198577360177286
1,20,20,KMeans,0.0382,0.7141,0.11142
1,20,20,KMeans,0.0386,0.993166666666662,0.0047712091899751
1,20,20,KMeans,0.039,1,0
1,20,20,KMeans,0.0394,1,0
1,20,20,KMeans,0.0398,1,0
1,20,20,KMeans,0.0402,1,0
1,20,20,KMeans,0.041,1,0
50,20,20,Agglomerative,0.036,0,0
50,20,20,Agglomerative,0.0366,0,0
50,20,20,Agglomerative,0.037,0,0
50,20,20,Agglomerative,0.0374,0,0
50,20,20,Agglomerative,0.0378,0,0
50,20,20,Agglomerative,0.0382,0.122,0.109
50,20,20,Agglomerative,0.0386,0.417708333333333,0.195833333333333
50,20,20,Agglomerative,0.039,0.997010119595216,0.0025298988040478
50,20,20,Agglomerative,0.0394,1,0
50,20,20,Agglomerative,0.0398,1,0
50,20,20,Agglomerative,0.0402,1,0
50,20,20,Agglomerative,0.041,1,0
50,20,20,Spectral,0.036,0,0
50,20,20,Spectral,0.0366,0,0
50,20,20,Spectral,0.037,0,0
50,20,20,Spectral,0.0374,0.000523286237571942,0.000523286237571952
50,20,20,Spectral,0.0378,0.0594512195121951,0.0241271657186533
50,20,20,Spectral,0.0382,0.7505,0.0928776076349946
50,20,20,Spectral,0.0386,0.995283018867924,0.00419479854622582
50,20,20,Spectral,0.039,1,0
50,20,20,Spectral,0.0394,1,0
50,20,20,Spectral,0.0398,1,0
50,20,20,Spectral,0.0402,1,0
50,20,20,Spectral,0.041,1,0
500,20,20,GaussianMixture,0.036,6.66361263913918E-85,6.66361263913913E-85
500,20,20,GaussianMixture,0.0366,2.43438060794909E-36,2.43438060794904E-36
500,20,20,GaussianMixture,0.037,1.06239595158043E-13,1.06239524633425E-13
500,20,20,GaussianMixture,0.0374,0.00135281283638297,0.00135276246064516
500,20,20,GaussianMixture,0.0378,0.0753816101858839,0.0319814012619665
500,20,20,GaussianMixture,0.0382,0.739001107717924,0.107869887461454
500,20,20,GaussianMixture,0.0386,0.996419595724125,0.00266170490930864
500,20,20,GaussianMixture,0.039,1,0
500,20,20,GaussianMixture,0.0394,1,0
500,20,20,GaussianMixture,0.0398,1,0
500,20,20,GaussianMixture,0.0402,1,0
500,20,20,GaussianMixture,0.041,1,0
100,20,20,MeanShift,0.036,0,0
100,20,20,MeanShift,0.0366,0,0
100,20,20,MeanShift,0.037,0,0
100,20,20,MeanShift,0.0374,0,0
100,20,20,MeanShift,0.0378,0,0
100,20,20,MeanShift,0.0382,0.0482897384305835,0.0482897384305835
100,20,20,MeanShift,0.0386,0.198958333333333,0.157291666666667
100,20,20,MeanShift,0.039,0.986660533578657,0.00781968721251153
100,20,20,MeanShift,0.0394,1,0
100,20,20,MeanShift,0.0398,1,0
100,20,20,MeanShift,0.0402,1,0
100,20,20,MeanShift,0.041,1,0
