stride,feature_set,n_features,model,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
1,30,30,KMeans,0.0381251159814667,9.37255174626064E-05,0.0382,12,1.107,6.305,14.53,0.0146,0.0133,0.00059,21.97
50,30,30,Agglomerative,0.0386733801286912,0.000113897218361488,0.0386,12,22.274,0.85,1.748,0.0142,0.0138,0.00041,24.9
50,30,30,Spectral,0.0380848284492258,5.85438352153679E-05,0.0382,12,48.284,0.884,1.967,0.014,0.0133,0.00038,51.163
500,30,30,GaussianMixture,0.037994697625462,3.30922698743747E-05,0.0378,12,0.611,0.698,1.65,0.0137,0.0132,0.00037,2.985
100,30,30,MeanShift,0.0387904193066354,2.55736741266006E-05,0.0386,12,233.389,0.541,1.059,0.0088,0.0085,0.00024,235.006
10,30,30,DBSCAN,,,,12,12.098,0.755,0.887,0.0085,0.0078,0.00012,13.757
50,30,30,Birch,0.038044741873805,4.03846716054474E-05,0.0382,12,2.252,0.565,1.308,0.0088,0.0084,0.00025,4.143
1000,30,30,BayesianGMM,0.0380895717051048,5.97894848239523E-05,0.0382,12,0.428,0.432,0.965,0.0089,0.0082,0.00024,1.842
1,20,20,KMeans,0.038072536034829,4.89630567698335E-05,0.0382,12,0.639,3.879,8.863,0.0092,0.0081,0.00038,13.398
50,20,20,Agglomerative,0.0386568212759693,0.000116259930715445,0.0386,12,13.838,0.51,1.029,0.0079,0.0076,0.00023,15.393
50,20,20,Spectral,0.0380550030000353,3.93350455096567E-05,0.0382,12,36.231,0.525,1.176,0.0081,0.0076,0.00023,37.947
500,20,20,GaussianMixture,0.0380559408765976,4.85451773285136E-05,0.0382,12,0.22,0.415,0.964,0.0079,0.0076,0.00022,1.614
100,20,20,MeanShift,0.0387528708014643,5.08653719115947E-05,0.0386,12,145.329,0.464,0.966,0.0078,0.0075,0.00022,146.774
10,20,20,DBSCAN,,,,12,10.235,0.826,0.959,0.0088,0.0083,0.00013,12.037
50,20,20,Birch,0.0387435453107723,6.95661765137602E-05,0.0386,12,1.471,0.511,1.023,0.0079,0.0075,0.00023,3.021
1000,20,20,BayesianGMM,0.0381389003616924,0.000106289666136705,0.0382,12,0.254,0.382,0.888,0.0079,0.0075,0.00022,1.54
1,12,12,KMeans,0.0380805445867414,5.72468801384812E-05,0.0382,12,0.591,4.001,9.548,0.0086,0.0079,0.00023,14.157
50,12,12,Agglomerative,0.0387509953885044,6.42523873527101E-05,0.0386,12,12.748,0.534,1.098,0.0084,0.0081,0.00023,14.397
50,12,12,Spectral,0.0380497352629721,3.82344850065317E-05,0.0382,12,37.689,0.588,1.372,0.0086,0.0082,0.00023,39.666
500,12,12,GaussianMixture,0.0380433014527439,4.14767979997609E-05,0.0382,12,0.156,0.457,1.112,0.0086,0.0081,0.00023,1.742
100,12,12,MeanShift,0.0387165869252719,8.83186915758281E-05,0.0386,12,131.697,0.544,0.964,0.008,0.0077,0.00022,133.222
10,12,12,DBSCAN,,,,12,19.9,0.764,1.056,0.0081,0.0078,0.00012,21.736
50,12,12,Birch,0.03875998059503,5.31402297395595E-05,0.0386,12,1.099,0.537,1.175,0.0086,0.0084,0.00032,2.828
1000,12,12,BayesianGMM,0.0384805044940698,0.000176058404438218,0.0386,12,0.26,0.41,0.919,0.0093,0.0093,0.00023,1.607
