stride,feature_set,n_features,model,Delta,chi,chi_err
5000,30,30,KMeans,0.036,0,0
5000,30,30,KMeans,0.0366,0,0
5000,30,30,KMeans,0.037,0,0
5000,30,30,KMeans,0.0374,0,0
5000,30,30,KMeans,0.0378,0.0714285714285709,0.0714285714285715
5000,30,30,KMeans,0.0382,0.163636363636363,0.0948634899545366
5000,30,30,KMeans,0.0386,0,0
5000,30,30,KMeans,0.039,0,0
5000,30,30,KMeans,0.0394,0,0
5000,30,30,KMeans,0.0398,0,0
5000,30,30,KMeans,0.0402,0,0
5000,30,30,KMeans,0.041,0,0
1000,30,30,KMeans,0.036,0,0
1000,30,30,KMeans,0.0366,0,0
1000,30,30,KMeans,0.037,0,0
1000,30,30,KMeans,0.0374,0,0
1000,30,30,KMeans,0.0378,0.0510642401290413,0.0467687074829932
1000,30,30,KMeans,0.0382,0.168418677867371,0.0471206382530283
1000,30,30,KMeans,0.0386,0,0
1000,30,30,KMeans,0.039,0,0
1000,30,30,KMeans,0.0394,0,0
1000,30,30,KMeans,0.0398,0,0
1000,30,30,KMeans,0.0402,0,0
1000,30,30,KMeans,0.041,0,0
500,30,30,KMeans,0.036,0,0
500,30,30,KMeans,0.0366,0,0
500,30,30,KMeans,0.037,0,0
500,30,30,KMeans,0.0374,0,0
500,30,30,KMeans,0.0378,0.0537495685671968,0.0253571684279448
500,30,30,KMeans,0.0382,0.194081772498858,0.0489393939393939
500,30,30,KMeans,0.0386,0,0
500,30,30,KMeans,0.039,0,0
500,30,30,KMeans,0.0394,0,0
500,30,30,KMeans,0.0398,0,0
500,30,30,KMeans,0.0402,0,0
500,30,30,KMeans,0.041,0,0
250,30,30,KMeans,0.036,0,0
250,30,30,KMeans,0.0366,0,0
250,30,30,KMeans,0.037,0,0
250,30,30,KMeans,0.0374,0,0
250,30,30,KMeans,0.0378,0.0531386117156522,0.0234150837731638
250,30,30,KMeans,0.0382,0.195022921625672,0.0512562814070352
250,30,30,KMeans,0.0386,0.00343642611683849,0.00343642611683849
250,30,30,KMeans,0.039,0,0
250,30,30,KMeans,0.0394,0,0
250,30,30,KMeans,0.0398,0,0
250,30,30,KMeans,0.0402,0,0
250,30,30,KMeans,0.041,0,0
100,30,30,KMeans,0.036,0,0
100,30,30,KMeans,0.0366,0,0
100,30,30,KMeans,0.037,0,0
100,30,30,KMeans,0.0374,0,0
100,30,30,KMeans,0.0378,0.0542975189913957,0.0243399170854393
100,30,30,KMeans,0.0382,0.198418476592825,0.0480140280561122
100,30,30,KMeans,0.0386,0.00229095378886604,0.00228829610870203
100,30,30,KMeans,0.039,0,0
100,30,30,KMeans,0.0394,0,0
100,30,30,KMeans,0.0398,0,0
100,30,30,KMeans,0.0402,0,0
100,30,30,KMeans,0.041,0,0
50,30,30,KMeans,0.036,0,0
50,30,30,KMeans,0.0366,0,0
50,30,30,KMeans,0.037,0,0
50,30,30,KMeans,0.0374,0,0
50,30,30,KMeans,0.0378,0.0510151666005629,0.0223021065571873
50,30,30,KMeans,0.0382,0.197682844675591,0.0468243243243243
50,30,30,KMeans,0.0386,0.00268582360608135,0.00220191939962458
50,30,30,KMeans,0.039,0,0
50,30,30,KMeans,0.0394,0,0
50,30,30,KMeans,0.0398,0,0
50,30,30,KMeans,0.0402,0,0
50,30,30,KMeans,0.041,0,0
10,30,30,KMeans,0.036,0,0
10,30,30,KMeans,0.0366,0,0
10,30,30,KMeans,0.037,0,0
10,30,30,KMeans,0.0374,0,0
10,30,30,KMeans,0.0378,0.0510754146395609,0.0219082102856576
10,30,30,KMeans,0.0382,0.192356671086498,0.0447011748437805
10,30,30,KMeans,0.0386,0.00231262872963061,0.00190709457586454
10,30,30,KMeans,0.039,0,0
10,30,30,KMeans,0.0394,0,0
10,30,30,KMeans,0.0398,0,0
10,30,30,KMeans,0.0402,0,0
10,30,30,KMeans,0.041,0,0
1,30,30,KMeans,0.036,0,0
1,30,30,KMeans,0.0366,0,0
1,30,30,KMeans,0.037,0,0
1,30,30,KMeans,0.0374,0,0
1,30,30,KMeans,0.0378,0.0519726478508117,0.0219125146811859
1,30,30,KMeans,0.0382,0.191707127841462,0.0449992679853597
1,30,30,KMeans,0.0386,0.00250767642674674,0.00193529201258049
1,30,30,KMeans,0.039,0,0
1,30,30,KMeans,0.0394,0,0
1,30,30,KMeans,0.0398,0,0
1,30,30,KMeans,0.0402,0,0
1,30,30,KMeans,0.041,0,0
5000,30,30,Agglomerative,0.036,0,0
5000,30,30,Agglomerative,0.0366,0,0
5000,30,30,Agglomerative,0.037,0,0
5000,30,30,Agglomerative,0.0374,0,0
5000,30,30,Agglomerative,0.0378,0,0
5000,30,30,Agglomerative,0.0382,0.143856143856144,0.12987012987013
5000,30,30,Agglomerative,0.0386,0.1,0.1
5000,30,30,Agglomerative,0.039,0,0
5000,30,30,Agglomerative,0.0394,0,0
5000,30,30,Agglomerative,0.0398,0,0
5000,30,30,Agglomerative,0.0402,0,0
5000,30,30,Agglomerative,0.041,0,0
1000,30,30,Agglomerative,0.036,0,0
1000,30,30,Agglomerative,0.0366,0,0
1000,30,30,Agglomerative,0.037,0,0
1000,30,30,Agglomerative,0.0374,0,0
1000,30,30,Agglomerative,0.0378,0.0404230689944976,0.0385392385392385
1000,30,30,Agglomerative,0.0382,0.208290768797893,0.0423833640913161
1000,30,30,Agglomerative,0.0386,0,0
1000,30,30,Agglomerative,0.039,0,0
1000,30,30,Agglomerative,0.0394,0,0
1000,30,30,Agglomerative,0.0398,0,0
1000,30,30,Agglomerative,0.0402,0,0
1000,30,30,Agglomerative,0.041,0,0
500,30,30,Agglomerative,0.036,0,0
500,30,30,Agglomerative,0.0366,0,0
500,30,30,Agglomerative,0.037,0,0
500,30,30,Agglomerative,0.0374,0.193901071011624,0.104292929292929
500,30,30,Agglomerative,0.0378,0.179427131566363,0.0453514739229025
500,30,30,Agglomerative,0.0382,0,0
500,30,30,Agglomerative,0.0386,0,0
500,30,30,Agglomerative,0.039,0,0
500,30,30,Agglomerative,0.0394,0,0
500,30,30,Agglomerative,0.0398,0,0
500,30,30,Agglomerative,0.0402,0,0
500,30,30,Agglomerative,0.041,0,0
250,30,30,Agglomerative,0.036,0,0
250,30,30,Agglomerative,0.0366,0,0
250,30,30,Agglomerative,0.037,0,0
250,30,30,Agglomerative,0.0374,0,0
250,30,30,Agglomerative,0.0378,0.0322175647800136,0.0204588334175719
250,30,30,Agglomerative,0.0382,0.230882230702384,0.0496482412060302
250,30,30,Agglomerative,0.0386,0.00919236574408953,0.00676857453097918
250,30,30,Agglomerative,0.039,0,0
250,30,30,Agglomerative,0.0394,0,0
250,30,30,Agglomerative,0.0398,0,0
250,30,30,Agglomerative,0.0402,0,0
250,30,30,Agglomerative,0.041,0,0
100,30,30,Agglomerative,0.036,0,0
100,30,30,Agglomerative,0.0366,0,0
100,30,30,Agglomerative,0.037,0,0
100,30,30,Agglomerative,0.0374,0,0
100,30,30,Agglomerative,0.0378,0,0
100,30,30,Agglomerative,0.0382,0.0590045733316762,0.0544312416555407
100,30,30,Agglomerative,0.0386,0.235497529989344,0.11128638958574
100,30,30,Agglomerative,0.039,0.00368317186990415,0.00316795976067886
100,30,30,Agglomerative,0.0394,0,0
