stride,feature_set,n_features,model,Delta,mean,mean_err
5000,30,30,KMeans,0.036,0,0
5000,30,30,KMeans,0.0366,0,0
5000,30,30,KMeans,0.037,0,0
5000,30,30,KMeans,0.0374,0,0
5000,30,30,KMeans,0.0378,0.0714285714285716,0.0714285714285714
5000,30,30,KMeans,0.0382,0.818181818181817,0.121967344227261
5000,30,30,KMeans,0.0386,1,0
5000,30,30,KMeans,0.039,1,0
5000,30,30,KMeans,0.0394,1,0
5000,30,30,KMeans,0.0398,1,0
5000,30,30,KMeans,0.0402,1,0
5000,30,30,KMeans,0.041,1,0
1000,30,30,KMeans,0.036,0,0
1000,30,30,KMeans,0.0366,0,0
1000,30,30,KMeans,0.037,0,0
1000,30,30,KMeans,0.0374,0,0
1000,30,30,KMeans,0.0378,0.0510204081632653,0.0510204081632653
1000,30,30,KMeans,0.0382,0.795918367346939,0.0770391268905179
1000,30,30,KMeans,0.0386,1,0
1000,30,30,KMeans,0.039,1,0
1000,30,30,KMeans,0.0394,1,0
1000,30,30,KMeans,0.0398,1,0
1000,30,30,KMeans,0.0402,1,0
1000,30,30,KMeans,0.041,1,0
500,30,30,KMeans,0.036,0,0
500,30,30,KMeans,0.0366,0,0
500,30,30,KMeans,0.037,0,0
500,30,30,KMeans,0.0374,0,0
500,30,30,KMeans,0.0378,0.056122448979592,0.0278240163079547
500,30,30,KMeans,0.0382,0.755,0.095
500,30,30,KMeans,0.0386,1,0
500,30,30,KMeans,0.039,1,0
500,30,30,KMeans,0.0394,1,0
500,30,30,KMeans,0.0398,1,0
500,30,30,KMeans,0.0402,1,0
500,30,30,KMeans,0.041,1,0
250,30,30,KMeans,0.036,0,0
250,30,30,KMeans,0.0366,0,0
250,30,30,KMeans,0.037,0,0
250,30,30,KMeans,0.0374,0,0
250,30,30,KMeans,0.0378,0.0555555555555558,0.0258467836221797
250,30,30,KMeans,0.0382,0.755,0.1
250,30,30,KMeans,0.0386,0.99656357388314,0.00343642611683848
250,30,30,KMeans,0.039,1,0
250,30,30,KMeans,0.0394,1,0
250,30,30,KMeans,0.0398,1,0
250,30,30,KMeans,0.0402,1,0
250,30,30,KMeans,0.041,1,0
100,30,30,KMeans,0.036,0,0
100,30,30,KMeans,0.0366,0,0
100,30,30,KMeans,0.037,0,0
100,30,30,KMeans,0.0374,0,0
100,30,30,KMeans,0.0378,0.0567951318458418,0.0269693935610035
100,30,30,KMeans,0.0382,0.747,0.097
100,30,30,KMeans,0.0386,0.99770904925542,0.00229095074455895
100,30,30,KMeans,0.039,1,0
100,30,30,KMeans,0.0394,1,0
100,30,30,KMeans,0.0398,1,0
100,30,30,KMeans,0.0402,1,0
100,30,30,KMeans,0.041,1,0
50,30,30,KMeans,0.036,0,0
50,30,30,KMeans,0.0366,0,0
50,30,30,KMeans,0.037,0,0
50,30,30,KMeans,0.0374,0,0
50,30,30,KMeans,0.0378,0.0532454361054768,0.0245864774931044
50,30,30,KMeans,0.0382,0.7475,0.0959735206537025
50,30,30,KMeans,0.0386,0.997311827957009,0.00220815637541362
50,30,30,KMeans,0.039,1,0
50,30,30,KMeans,0.0394,1,0
50,30,30,KMeans,0.0398,1,0
50,30,30,KMeans,0.0402,1,0
50,30,30,KMeans,0.041,1,0
10,30,30,KMeans,0.036,0,0
10,30,30,KMeans,0.0366,0,0
10,30,30,KMeans,0.037,0,0
10,30,30,KMeans,0.0374,0,0
10,30,30,KMeans,0.0378,0.0533333333333333,0.0242170098513981
10,30,30,KMeans,0.0382,0.7567,0.0908320611531706
10,30,30,KMeans,0.0386,0.997685672207016,0.00191224656710438
10,30,30,KMeans,0.039,1,0
10,30,30,KMeans,0.0394,1,0
10,30,30,KMeans,0.0398,1,0
10,30,30,KMeans,0.0402,1,0
10,30,30,KMeans,0.041,1,0
1,30,30,KMeans,0.036,0,0
1,30,30,KMeans,0.0366,0,0
1,30,30,KMeans,0.037,0,0
1,30,30,KMeans,0.0374,0,0
1,30,30,KMeans,0.0378,0.0543353300659527,0.0242824954997971
1,30,30,KMeans,0.0382,0.75684,0.0911650605586739
1,30,30,KMeans,0.0386,0.997489792517288,0.00194166031772707
1,30,30,KMeans,0.039,1,0
1,30,30,KMeans,0.0394,1,0
1,30,30,KMeans,0.0398,1,0
1,30,30,KMeans,0.0402,1,0
1,30,30,KMeans,0.041,1,0
5000,30,30,Agglomerative,0.036,0,0
5000,30,30,Agglomerative,0.0366,0,0
5000,30,30,Agglomerative,0.037,0,0
5000,30,30,Agglomerative,0.0374,0,0
5000,30,30,Agglomerative,0.0378,0,0
5000,30,30,Agglomerative,0.0382,0.142857142857143,0.142857142857143
5000,30,30,Agglomerative,0.0386,0.1,0.1
5000,30,30,Agglomerative,0.039,1,0
5000,30,30,Agglomerative,0.0394,1,0
5000,30,30,Agglomerative,0.0398,1,0
5000,30,30,Agglomerative,0.0402,1,0
5000,30,30,Agglomerative,0.041,1,0
1000,30,30,Agglomerative,0.036,0,0
1000,30,30,Agglomerative,0.0366,0,0
1000,30,30,Agglomerative,0.037,0,0
1000,30,30,Agglomerative,0.0374,0,0
1000,30,30,Agglomerative,0.0378,0.0408163265306122,0.0408163265306122
1000,30,30,Agglomerative,0.0382,0.724489795918367,0.092776746237999
1000,30,30,Agglomerative,0.0386,1,0
1000,30,30,Agglomerative,0.039,1,0
1000,30,30,Agglomerative,0.0394,1,0
1000,30,30,Agglomerative,0.0398,1,0
1000,30,30,Agglomerative,0.0402,1,0
1000,30,30,Agglomerative,0.041,1,0
500,30,30,Agglomerative,0.036,0,0
500,30,30,Agglomerative,0.0366,0,0
500,30,30,Agglomerative,0.037,0,0
500,30,30,Agglomerative,0.0374,0.205,0.175
500,30,30,Agglomerative,0.0378,0.777777777777778,0.0808080808080808
500,30,30,Agglomerative,0.0382,1,0
500,30,30,Agglomerative,0.0386,1,0
500,30,30,Agglomerative,0.039,1,0
500,30,30,Agglomerative,0.0394,1,0
500,30,30,Agglomerative,0.0398,1,0
500,30,30,Agglomerative,0.0402,1,0
500,30,30,Agglomerative,0.041,1,0
250,30,30,Agglomerative,0.036,0,0
250,30,30,Agglomerative,0.0366,0,0
250,30,30,Agglomerative,0.037,0,0
250,30,30,Agglomerative,0.0374,0,0
250,30,30,Agglomerative,0.0378,0.0328282828282828,0.0215757670336301
250,30,30,Agglomerative,0.0382,0.69,0.13
250,30,30,Agglomerative,0.0386,0.990769230769238,0.0068370726287043
250,30,30,Agglomerative,0.039,1,0
250,30,30,Agglomerative,0.0394,1,0
250,30,30,Agglomerative,0.0398,1,0
250,30,30,Agglomerative,0.0402,1,0
250,30,30,Agglomerative,0.041,1,0
100,30,30,Agglomerative,0.036,0,0
100,30,30,Agglomerative,0.0366,0,0
100,30,30,Agglomerative,0.037,0,0
100,30,30,Agglomerative,0.0374,0,0
100,30,30,Agglomerative,0.0378,0,0
100,30,30,Agglomerative,0.0382,0.059,0.059
100,30,30,Agglomerative,0.0386,0.267708333333333,0.213541666666667
100,30,30,Agglomerative,0.039,0.996313364055299,0.00318161523459418
100,30,30,Agglomerative,0.0394,1,0
100,30,30,Agglomerative,0.0398,1,0
100,30,30,Agglomerative,0.0402,1,0
100,30,30,Agglomerative,0.041,1,0
