stride,feature_set,n_features,model,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
5000,30,30,KMeans,0.0380295652173913,0.0000537973863659998,0.0382,12,0.161,0.037,0.062,0.0093,0.0079,0.00038,0.278
1000,30,30,KMeans,0.038041095890411,3.58185562133166E-05,0.0382,12,0.162,0.399,0.851,0.0078,0.0075,0.00024,1.428
500,30,30,KMeans,0.0380540516863776,4.0344375667884E-05,0.0382,12,0.163,0.419,0.914,0.008,0.0075,0.00023,1.512
250,30,30,KMeans,0.0380541699761716,4.17277382363791E-05,0.0382,12,0.161,0.442,0.961,0.0081,0.0076,0.00024,1.581
100,30,30,KMeans,0.0380568540957061,4.16911077286264E-05,0.0382,12,0.183,0.662,1.015,0.0081,0.0086,0.00028,1.877
50,30,30,KMeans,0.0380574010094444,4.0633060890204E-05,0.0382,12,0.192,0.512,1.13,0.0078,0.0074,0.00022,1.849
10,30,30,KMeans,0.0380540163973271,3.78296563385593E-05,0.0382,12,0.245,0.837,1.881,0.0087,0.0081,0.00024,2.979
1,30,30,KMeans,0.0380537575557901,3.79854477504597E-05,0.0382,12,0.789,4.006,9.213,0.0087,0.0081,0.00023,14.025
5000,30,30,Agglomerative,0.0387777777777778,2.46913580246912E-05,0.0382,12,0.065,0.032,0.062,0.0088,0.0082,0.00023,0.176
1000,30,30,Agglomerative,0.0380686567164179,4.42989931752795E-05,0.0382,12,0.087,0.383,0.813,0.0078,0.0074,0.00022,1.298
500,30,30,Agglomerative,0.0376060135790495,8.83330107638424E-05,0.0378,12,0.164,0.418,0.986,0.0081,0.0075,0.00022,1.583
250,30,30,Agglomerative,0.0380843529050108,6.00467905113621E-05,0.0382,12,0.504,0.457,1.031,0.0086,0.0081,0.0003,2.009
100,30,30,Agglomerative,0.0387275267981263,8.0414106935002E-05,0.0386,12,3.225,0.523,0.983,0.0078,0.0075,0.00022,4.747
50,30,30,Agglomerative,0.0387340320591862,7.28649548022635E-05,0.0386,12,13.982,0.528,1.047,0.0081,0.0074,0.00022,15.573
