transition,model,n_features,stride,runtime_model_UNS,runtime_model_STD,runtime_total_UNS,runtime_total_STD
BCb,GaussianMixture,12,500,0.212,0.156,1.813,1.742
BCb,KMeans,12,1,0.601,0.591,13.031,14.157
BCb,BayesianGMM,12,1000,4.052,0.26,5.528,1.607
AB,Birch,12,50,4.516,0.299,6.559,1.512
BCb,Spectral,12,50,267.802,37.689,269.791,39.666
BCb,GaussianMixture,20,500,0.425,0.22,1.909,1.614
BCb,KMeans,20,1,0.67,0.639,12.8,13.398
AC,KMeans,20,1,1.115,0.78,20.769,18.426
BCb,BayesianGMM,20,1000,2.524,0.254,4.029,1.54
AB,Agglomerative,20,50,2.879,4.697,4.364,6.778
AB,Birch,20,50,3.971,2.306,5.424,3.638
AB,MeanShift,20,100,17.857,10.757,18.965,12.019
AC,Agglomerative,20,50,23.503,20.402,26.613,23.6
BCb,Spectral,20,50,83.787,36.231,85.745,37.947
BCb,GaussianMixture,30,500,0.5,0.611,2.065,2.985
BCb,KMeans,30,1,0.789,1.107,14.025,21.97
AC,KMeans,30,1,1.641,0.982,29.848,19.259
AB,Agglomerative,30,50,2.878,3.677,4.484,5.353
AB,Birch,30,50,4.839,2.832,6.512,4.184
AC,Agglomerative,30,50,21.688,21.92,24.967,25.008
BCb,Birch,30,50,23.166,2.252,24.868,4.143
BCb,Spectral,30,50,206.827,48.284,208.705,51.163
