stride,feature_set,n_features,model,standardized,Delta,chi,chi_err
1,30,30,KMeans,True,-0.128,0,0
1,30,30,KMeans,True,-0.126,0,0
1,30,30,KMeans,True,-0.124,0,0
1,30,30,KMeans,True,-0.122,0.0892946095197275,0.0101397079883195
1,30,30,KMeans,True,-0.12,0.132288721076676,0.0145998543427969
1,30,30,KMeans,True,-0.118,0,0
1,30,30,KMeans,True,-0.116,0,0
1,30,30,KMeans,True,-0.114,0,0
1,30,30,KMeans,True,-0.112,0,0
1,30,30,KMeans,True,-0.11,0,0
1,30,30,KMeans,True,-0.108,0,0
1,30,30,GaussianMixture,True,-0.128,0,0
1,30,30,GaussianMixture,True,-0.126,0,0
1,30,30,GaussianMixture,True,-0.124,0,0
1,30,30,GaussianMixture,True,-0.122,0,0
1,30,30,GaussianMixture,True,-0.12,0,0
1,30,30,GaussianMixture,True,-0.118,0,0
1,30,30,GaussianMixture,True,-0.116,0,0
1,30,30,GaussianMixture,True,-0.114,0,0
1,30,30,GaussianMixture,True,-0.112,0,0
1,30,30,GaussianMixture,True,-0.11,0,0
1,30,30,GaussianMixture,True,-0.108,0,0
1,30,30,MeanShift,True,-0.128,0,0
1,30,30,MeanShift,True,-0.126,0,0
1,30,30,MeanShift,True,-0.124,0,0
1,30,30,MeanShift,True,-0.122,0.0684131684935871,0.00825233649345974
1,30,30,MeanShift,True,-0.12,0.106829432206979,0.0137228277457845
1,30,30,MeanShift,True,-0.118,0,0
1,30,30,MeanShift,True,-0.116,0,0
1,30,30,MeanShift,True,-0.114,0,0
1,30,30,MeanShift,True,-0.112,0,0
1,30,30,MeanShift,True,-0.11,0,0
1,30,30,MeanShift,True,-0.108,0,0
1,30,30,Birch,True,-0.128,0,0
1,30,30,Birch,True,-0.126,0,0
1,30,30,Birch,True,-0.124,0,0
1,30,30,Birch,True,-0.122,0,0
1,30,30,Birch,True,-0.12,0,0
1,30,30,Birch,True,-0.118,0,0
1,30,30,Birch,True,-0.116,0,0
1,30,30,Birch,True,-0.114,0,0
1,30,30,Birch,True,-0.112,0,0
1,30,30,Birch,True,-0.11,0,0
1,30,30,Birch,True,-0.108,0,0
1,30,30,BayesianGMM,True,-0.128,0,0
1,30,30,BayesianGMM,True,-0.126,0,0
1,30,30,BayesianGMM,True,-0.124,0,0
1,30,30,BayesianGMM,True,-0.122,0,0
1,30,30,BayesianGMM,True,-0.12,0,0
1,30,30,BayesianGMM,True,-0.118,0,0
1,30,30,BayesianGMM,True,-0.116,0,0
1,30,30,BayesianGMM,True,-0.114,0,0
1,30,30,BayesianGMM,True,-0.112,0,0
1,30,30,BayesianGMM,True,-0.11,0,0
1,30,30,BayesianGMM,True,-0.108,0,0
1,20,20,KMeans,True,-0.128,0,0
1,20,20,KMeans,True,-0.126,0,0
1,20,20,KMeans,True,-0.124,0,0
1,20,20,KMeans,True,-0.122,0,0
1,20,20,KMeans,True,-0.12,0,0
1,20,20,KMeans,True,-0.118,0,0
1,20,20,KMeans,True,-0.116,0,0
1,20,20,KMeans,True,-0.114,0.00016005121685905,0.000160027734204534
1,20,20,KMeans,True,-0.112,6.66666668148296E-05,6.66622219259062E-05
1,20,20,KMeans,True,-0.11,3.34224598930452E-05,3.34224598930481E-05
1,20,20,KMeans,True,-0.108,0,0
1,20,20,GaussianMixture,True,-0.128,0,0
1,20,20,GaussianMixture,True,-0.126,0,0
1,20,20,GaussianMixture,True,-0.124,0,0
1,20,20,GaussianMixture,True,-0.122,0,0
1,20,20,GaussianMixture,True,-0.12,0,0
1,20,20,GaussianMixture,True,-0.118,0,0
1,20,20,GaussianMixture,True,-0.116,0,0
1,20,20,GaussianMixture,True,-0.114,0,0
1,20,20,GaussianMixture,True,-0.112,0,0
1,20,20,GaussianMixture,True,-0.11,0,0
1,20,20,GaussianMixture,True,-0.108,0,0
1,20,20,MeanShift,True,-0.128,0,0
1,20,20,MeanShift,True,-0.126,0,0
1,20,20,MeanShift,True,-0.124,0,0
1,20,20,MeanShift,True,-0.122,0,0
1,20,20,MeanShift,True,-0.12,0,0
1,20,20,MeanShift,True,-0.118,0,0
1,20,20,MeanShift,True,-0.116,0,0
1,20,20,MeanShift,True,-0.114,6.0103377858599E-05,6.01009435877354E-05
1,20,20,MeanShift,True,-0.112,3.34224598930464E-05,3.34224598930481E-05
1,20,20,MeanShift,True,-0.11,0,0
1,20,20,MeanShift,True,-0.108,0,0
1,20,20,Birch,True,-0.128,0,0
1,20,20,Birch,True,-0.126,0,0
1,20,20,Birch,True,-0.124,0,0
1,20,20,Birch,True,-0.122,0.0613867261729138,0.00744955722227861
1,20,20,Birch,True,-0.12,0.11071594633819,0.0129374112394152
1,20,20,Birch,True,-0.118,0,0
1,20,20,Birch,True,-0.116,0,0
1,20,20,Birch,True,-0.114,0,0
1,20,20,Birch,True,-0.112,0,0
1,20,20,Birch,True,-0.11,0,0
1,20,20,Birch,True,-0.108,0,0
1,20,20,BayesianGMM,True,-0.128,0,0
1,20,20,BayesianGMM,True,-0.126,0,0
1,20,20,BayesianGMM,True,-0.124,0,0
1,20,20,BayesianGMM,True,-0.122,0,0
1,20,20,BayesianGMM,True,-0.12,0,0
1,20,20,BayesianGMM,True,-0.118,0,0
1,20,20,BayesianGMM,True,-0.116,0,0
1,20,20,BayesianGMM,True,-0.114,0,0
1,20,20,BayesianGMM,True,-0.112,0,0
1,20,20,BayesianGMM,True,-0.11,0,0
1,20,20,BayesianGMM,True,-0.108,0,0
1,12,12,KMeans,True,-0.128,0,0
1,12,12,KMeans,True,-0.126,0,0
1,12,12,KMeans,True,-0.124,0,0
1,12,12,KMeans,True,-0.122,0,0
1,12,12,KMeans,True,-0.12,0,0
1,12,12,KMeans,True,-0.118,0,0
1,12,12,KMeans,True,-0.116,0,0
1,12,12,KMeans,True,-0.114,0,0
1,12,12,KMeans,True,-0.112,0,0
1,12,12,KMeans,True,-0.11,0,0
1,12,12,KMeans,True,-0.108,0,0
1,12,12,GaussianMixture,True,-0.128,0,0
1,12,12,GaussianMixture,True,-0.126,0,0
1,12,12,GaussianMixture,True,-0.124,0,0
1,12,12,GaussianMixture,True,-0.122,0,0
1,12,12,GaussianMixture,True,-0.12,0,0
1,12,12,GaussianMixture,True,-0.118,0,0
1,12,12,GaussianMixture,True,-0.116,0,0
1,12,12,GaussianMixture,True,-0.114,0,0
1,12,12,GaussianMixture,True,-0.112,0,0
1,12,12,GaussianMixture,True,-0.11,0,0
1,12,12,GaussianMixture,True,-0.108,0,0
1,12,12,MeanShift,True,-0.128,0,0
1,12,12,MeanShift,True,-0.126,0,0
1,12,12,MeanShift,True,-0.124,0,0
1,12,12,MeanShift,True,-0.122,0,0
1,12,12,MeanShift,True,-0.12,0,0
1,12,12,MeanShift,True,-0.118,0,0
1,12,12,MeanShift,True,-0.116,0,0
1,12,12,MeanShift,True,-0.114,0,0
1,12,12,MeanShift,True,-0.112,0,0
1,12,12,MeanShift,True,-0.11,0,0
1,12,12,MeanShift,True,-0.108,0,0
1,12,12,Birch,True,-0.128,0,0
1,12,12,Birch,True,-0.126,0,0
1,12,12,Birch,True,-0.124,0,0
1,12,12,Birch,True,-0.122,0,0
1,12,12,Birch,True,-0.12,0,0
1,12,12,Birch,True,-0.118,0,0
1,12,12,Birch,True,-0.116,0,0
1,12,12,Birch,True,-0.114,0.280247875019171,0.0138559139015521
1,12,12,Birch,True,-0.112,0.284142803977482,0.0575517944854441
1,12,12,Birch,True,-0.11,0.287343733144245,0.0151655164565567
1,12,12,Birch,True,-0.108,0.268098681787817,0.075809682324172
1,12,12,BayesianGMM,True,-0.128,0,0
1,12,12,BayesianGMM,True,-0.126,0,0
1,12,12,BayesianGMM,True,-0.124,0,0
1,12,12,BayesianGMM,True,-0.122,0,0
1,12,12,BayesianGMM,True,-0.12,0,0
1,12,12,BayesianGMM,True,-0.118,0,0
1,12,12,BayesianGMM,True,-0.116,0,0
1,12,12,BayesianGMM,True,-0.114,0,0
1,12,12,BayesianGMM,True,-0.112,0,0
1,12,12,BayesianGMM,True,-0.11,0,0
1,12,12,BayesianGMM,True,-0.108,0,0
