stride,feature_set,n_features,model,standardized,Delta,mean,mean_err
1,30,30,KMeans,True,-0.128,1,0
1,30,30,KMeans,True,-0.126,0,0
1,30,30,KMeans,True,-0.124,0,0
1,30,30,KMeans,True,-0.122,0.90108,0.01264
1,30,30,KMeans,True,-0.12,0.843725,0.0208706083204747
1,30,30,KMeans,True,-0.118,0,0
1,30,30,KMeans,True,-0.116,0,0
1,30,30,KMeans,True,-0.114,0,0
1,30,30,KMeans,True,-0.112,0,0
1,30,30,KMeans,True,-0.11,0,0
1,30,30,KMeans,True,-0.108,0,0
1,30,30,GaussianMixture,True,-0.128,1,0
1,30,30,GaussianMixture,True,-0.126,0,0
1,30,30,GaussianMixture,True,-0.124,0,0
1,30,30,GaussianMixture,True,-0.122,0,0
1,30,30,GaussianMixture,True,-0.12,0,0
1,30,30,GaussianMixture,True,-0.118,0,0
1,30,30,GaussianMixture,True,-0.116,0,0
1,30,30,GaussianMixture,True,-0.114,0,0
1,30,30,GaussianMixture,True,-0.112,0,0
1,30,30,GaussianMixture,True,-0.11,0,0
1,30,30,GaussianMixture,True,-0.108,0,0
1,30,30,MeanShift,True,-0.128,1,0
1,30,30,MeanShift,True,-0.126,0,0
1,30,30,MeanShift,True,-0.124,0,0
1,30,30,MeanShift,True,-0.122,0.92624,0.00967999999999997
1,30,30,MeanShift,True,-0.12,0.8788,0.0178566980896992
1,30,30,MeanShift,True,-0.118,0,0
1,30,30,MeanShift,True,-0.116,0,0
1,30,30,MeanShift,True,-0.114,0,0
1,30,30,MeanShift,True,-0.112,0,0
1,30,30,MeanShift,True,-0.11,0,0
1,30,30,MeanShift,True,-0.108,0,0
1,30,30,Birch,True,-0.128,1,0
1,30,30,Birch,True,-0.126,0,0
1,30,30,Birch,True,-0.124,0,0
1,30,30,Birch,True,-0.122,0,0
1,30,30,Birch,True,-0.12,0,0
1,30,30,Birch,True,-0.118,0,0
1,30,30,Birch,True,-0.116,0,0
1,30,30,Birch,True,-0.114,0,0
1,30,30,Birch,True,-0.112,0,0
1,30,30,Birch,True,-0.11,0,0
1,30,30,Birch,True,-0.108,0,0
1,30,30,BayesianGMM,True,-0.128,1,0
1,30,30,BayesianGMM,True,-0.126,0,0
1,30,30,BayesianGMM,True,-0.124,0,0
1,30,30,BayesianGMM,True,-0.122,0,0
1,30,30,BayesianGMM,True,-0.12,0,0
1,30,30,BayesianGMM,True,-0.118,0,0
1,30,30,BayesianGMM,True,-0.116,0,0
1,30,30,BayesianGMM,True,-0.114,0,0
1,30,30,BayesianGMM,True,-0.112,0,0
1,30,30,BayesianGMM,True,-0.11,0,0
1,30,30,BayesianGMM,True,-0.108,0,0
1,20,20,KMeans,True,-0.128,1,0
1,20,20,KMeans,True,-0.126,0,0
1,20,20,KMeans,True,-0.124,0,0
1,20,20,KMeans,True,-0.122,1,0
1,20,20,KMeans,True,-0.12,1,0
1,20,20,KMeans,True,-0.118,0,0
1,20,20,KMeans,True,-0.116,0,0
1,20,20,KMeans,True,-0.114,0.000160051216389245,0.000160051216389245
1,20,20,KMeans,True,-0.112,6.66666666666667E-05,6.66666666666667E-05
1,20,20,KMeans,True,-0.11,3.34224598930476E-05,3.34224598930481E-05
1,20,20,KMeans,True,-0.108,0,0
1,20,20,GaussianMixture,True,-0.128,1,0
1,20,20,GaussianMixture,True,-0.126,0,0
1,20,20,GaussianMixture,True,-0.124,0,0
1,20,20,GaussianMixture,True,-0.122,0,0
1,20,20,GaussianMixture,True,-0.12,0,0
1,20,20,GaussianMixture,True,-0.118,0,0
1,20,20,GaussianMixture,True,-0.116,0,0
1,20,20,GaussianMixture,True,-0.114,0,0
1,20,20,GaussianMixture,True,-0.112,0,0
1,20,20,GaussianMixture,True,-0.11,0,0
1,20,20,GaussianMixture,True,-0.108,0,0
1,20,20,MeanShift,True,-0.128,1,0
1,20,20,MeanShift,True,-0.126,0,0
1,20,20,MeanShift,True,-0.124,0,0
1,20,20,MeanShift,True,-0.122,1,0
1,20,20,MeanShift,True,-0.12,1,0
1,20,20,MeanShift,True,-0.118,0,0
1,20,20,MeanShift,True,-0.116,0,0
1,20,20,MeanShift,True,-0.114,6.01033778098317E-05,6.01033778098329E-05
1,20,20,MeanShift,True,-0.112,3.34224598930476E-05,3.34224598930481E-05
1,20,20,MeanShift,True,-0.11,0,0
1,20,20,MeanShift,True,-0.108,0,0
1,20,20,Birch,True,-0.128,1,0
1,20,20,Birch,True,-0.126,0,0
1,20,20,Birch,True,-0.124,0,0
1,20,20,Birch,True,-0.122,0.93438,0.00852693770744617
1,20,20,Birch,True,-0.12,0.8736,0.017114224103554
1,20,20,Birch,True,-0.118,0,0
1,20,20,Birch,True,-0.116,0,0
1,20,20,Birch,True,-0.114,0,0
1,20,20,Birch,True,-0.112,0,0
1,20,20,Birch,True,-0.11,0,0
1,20,20,Birch,True,-0.108,0,0
1,20,20,BayesianGMM,True,-0.128,1,0
1,20,20,BayesianGMM,True,-0.126,0,0
1,20,20,BayesianGMM,True,-0.124,0,0
1,20,20,BayesianGMM,True,-0.122,0,0
1,20,20,BayesianGMM,True,-0.12,0,0
1,20,20,BayesianGMM,True,-0.118,0,0
1,20,20,BayesianGMM,True,-0.116,0,0
1,20,20,BayesianGMM,True,-0.114,0,0
1,20,20,BayesianGMM,True,-0.112,0,0
1,20,20,BayesianGMM,True,-0.11,0,0
1,20,20,BayesianGMM,True,-0.108,0,0
1,12,12,KMeans,True,-0.128,1,0
1,12,12,KMeans,True,-0.126,0,0
1,12,12,KMeans,True,-0.124,0,0
1,12,12,KMeans,True,-0.122,1,0
1,12,12,KMeans,True,-0.12,1,0
1,12,12,KMeans,True,-0.118,0,0
1,12,12,KMeans,True,-0.116,0,0
1,12,12,KMeans,True,-0.114,0,0
1,12,12,KMeans,True,-0.112,0,0
1,12,12,KMeans,True,-0.11,0,0
1,12,12,KMeans,True,-0.108,0,0
1,12,12,GaussianMixture,True,-0.128,1,0
1,12,12,GaussianMixture,True,-0.126,0,0
1,12,12,GaussianMixture,True,-0.124,0,0
1,12,12,GaussianMixture,True,-0.122,0,0
1,12,12,GaussianMixture,True,-0.12,0,0
1,12,12,GaussianMixture,True,-0.118,0,0
1,12,12,GaussianMixture,True,-0.116,0,0
1,12,12,GaussianMixture,True,-0.114,0,0
1,12,12,GaussianMixture,True,-0.112,0,0
1,12,12,GaussianMixture,True,-0.11,0,0
1,12,12,GaussianMixture,True,-0.108,0,0
1,12,12,MeanShift,True,-0.128,1,0
1,12,12,MeanShift,True,-0.126,0,0
1,12,12,MeanShift,True,-0.124,0,0
1,12,12,MeanShift,True,-0.122,1,0
1,12,12,MeanShift,True,-0.12,1,0
1,12,12,MeanShift,True,-0.118,0,0
1,12,12,MeanShift,True,-0.116,0,0
1,12,12,MeanShift,True,-0.114,0,0
1,12,12,MeanShift,True,-0.112,0,0
1,12,12,MeanShift,True,-0.11,0,0
1,12,12,MeanShift,True,-0.108,0,0
1,12,12,Birch,True,-0.128,1,0
1,12,12,Birch,True,-0.126,0,0
1,12,12,Birch,True,-0.124,0,0
1,12,12,Birch,True,-0.122,1,0
1,12,12,Birch,True,-0.12,1,0
1,12,12,Birch,True,-0.118,0,0
1,12,12,Birch,True,-0.116,0,0
1,12,12,Birch,True,-0.114,0.4957500849983,0.17396847124331
1,12,12,Birch,True,-0.112,0.3901,0.214984890941976
1,12,12,Birch,True,-0.11,0.477033333333333,0.194600379695873
1,12,12,Birch,True,-0.108,0.356433333333333,0.244633333333333
1,12,12,BayesianGMM,True,-0.128,1,0
1,12,12,BayesianGMM,True,-0.126,0,0
1,12,12,BayesianGMM,True,-0.124,0,0
1,12,12,BayesianGMM,True,-0.122,0,0
1,12,12,BayesianGMM,True,-0.12,0,0
1,12,12,BayesianGMM,True,-0.118,0,0
1,12,12,BayesianGMM,True,-0.116,0,0
1,12,12,BayesianGMM,True,-0.114,0,0
1,12,12,BayesianGMM,True,-0.112,0,0
1,12,12,BayesianGMM,True,-0.11,0,0
1,12,12,BayesianGMM,True,-0.108,0,0
