stride,feature_set,n_features,model,standardized,fit_scope,Delta_B_train,Delta_A_train,N_train,N_full,endpoint_accuracy,P_B_at_Delta_B,P_B_at_Delta_A,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_scaler_fit,runtime_scaler_transform_train,runtime_scaler_transform_full,runtime_fit,runtime_predict_train,runtime_predict_full,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
1,30,30,KMeans,True,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.12,11,0.0314,0.012,0.0437,0.093,0.011,0.043,0.233,1.755,2.781,0.0083,0.0073,0.00014,4.784
1,30,30,GaussianMixture,True,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0.0314,0.012,0.0437,0.608,0.058,0.352,1.105,1.718,2.234,0.0072,0.0071,0.00013,5.072
1,30,30,MeanShift,True,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.12,11,0.0045,0.0011,0.0047,26.368,0.001,0.011,26.39,0.672,0.982,0.0079,0.0079,0.00015,28.06
1,30,30,Birch,True,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0.0322,0.0118,0.0436,95.982,5.812,341.711,443.593,1.906,2.462,0.008,0.0078,0.00018,447.977
1,30,30,BayesianGMM,True,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0.0314,0.012,0.0437,0.588,0.06,0.361,1.096,1.882,2.453,0.0077,0.0076,0.00014,5.447
1,20,20,KMeans,True,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.114,11,0.0219,0.0069,0.0292,0.109,0.018,0.026,0.21,1.849,3.628,0.0073,0.0074,0.00016,5.702
1,20,20,GaussianMixture,True,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0.0219,0.0069,0.0292,0.55,0.041,0.285,0.934,1.831,2.375,0.0075,0.0074,0.00014,5.156
1,20,20,MeanShift,True,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.114,11,0.0025,0.0007,0.0027,19.303,0.001,0.007,19.317,0.648,1.092,0.0079,0.0076,0.00015,21.072
1,20,20,Birch,True,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.12,11,0.0241,0.0078,0.031,45.531,3.841,261.589,311.024,1.71,2.765,0.0073,0.0071,0.00014,315.513
1,20,20,BayesianGMM,True,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0.0219,0.0069,0.0292,0.527,0.051,0.296,0.931,1.893,2.451,0.0077,0.0074,0.00013,5.291
1,12,12,KMeans,True,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0.0176,0.0051,0.0184,0.118,0.006,0.017,0.182,1.811,2.898,0.0076,0.0072,0.00014,4.906
1,12,12,GaussianMixture,True,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0.0176,0.0051,0.0184,0.45,0.033,0.238,0.762,1.79,2.283,0.0077,0.0071,0.00013,4.849
1,12,12,MeanShift,True,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0.0019,0.0005,0.0015,17.633,0.001,0.004,17.641,0.61,0.973,0.0074,0.0074,0.00014,19.24
1,12,12,Birch,True,endpoints,-0.128,-0.108,130001,570004,0.91774678656318,1,0.356421452618246,-0.127,0,-0.114,11,0.0158,0.0044,0.0177,2.28,0.14,4.976,7.434,1.806,3.854,0.0073,0.0082,0.00013,13.109
1,12,12,BayesianGMM,True,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0.0176,0.0051,0.0184,0.445,0.034,0.238,0.759,1.846,2.381,0.0076,0.0074,0.00014,5.001
