stride,feature_set,n_features,model,standardized,Delta,chi,chi_err
1,30,30,KMeans,False,-0.128,0,0
1,30,30,KMeans,False,-0.126,0,0
1,30,30,KMeans,False,-0.124,0,0
1,30,30,KMeans,False,-0.122,0,0
1,30,30,KMeans,False,-0.12,0,0
1,30,30,KMeans,False,-0.118,0,0
1,30,30,KMeans,False,-0.116,0,0
1,30,30,KMeans,False,-0.114,0,0
1,30,30,KMeans,False,-0.112,0.0109329730940405,0.0108071787870139
1,30,30,KMeans,False,-0.11,0,0
1,30,30,KMeans,False,-0.108,0,0
1,30,30,GaussianMixture,False,-0.128,0,0
1,30,30,GaussianMixture,False,-0.126,0,0
1,30,30,GaussianMixture,False,-0.124,0,0
1,30,30,GaussianMixture,False,-0.122,0,0
1,30,30,GaussianMixture,False,-0.12,0,0
1,30,30,GaussianMixture,False,-0.118,0,0
1,30,30,GaussianMixture,False,-0.116,0,0
1,30,30,GaussianMixture,False,-0.114,0,0
1,30,30,GaussianMixture,False,-0.112,0,0
1,30,30,GaussianMixture,False,-0.11,0,0
1,30,30,GaussianMixture,False,-0.108,0,0
1,30,30,MeanShift,False,-0.128,0,0
1,30,30,MeanShift,False,-0.126,0,0
1,30,30,MeanShift,False,-0.124,0,0
1,30,30,MeanShift,False,-0.122,0,0
1,30,30,MeanShift,False,-0.12,0,0
1,30,30,MeanShift,False,-0.118,0,0
1,30,30,MeanShift,False,-0.116,0,0
1,30,30,MeanShift,False,-0.114,0,0
1,30,30,MeanShift,False,-0.112,0.0112996278252906,0.0111652412801304
1,30,30,MeanShift,False,-0.11,0,0
1,30,30,MeanShift,False,-0.108,0,0
1,30,30,Birch,False,-0.128,0,0
1,30,30,Birch,False,-0.126,0,0
1,30,30,Birch,False,-0.124,0,0
1,30,30,Birch,False,-0.122,0,0
1,30,30,Birch,False,-0.12,0,0
1,30,30,Birch,False,-0.118,0,0
1,30,30,Birch,False,-0.116,0,0
1,30,30,Birch,False,-0.114,0,0
1,30,30,Birch,False,-0.112,0,0
1,30,30,Birch,False,-0.11,0,0
1,30,30,Birch,False,-0.108,0,0
1,30,30,BayesianGMM,False,-0.128,0,0
1,30,30,BayesianGMM,False,-0.126,0,0
1,30,30,BayesianGMM,False,-0.124,0,0
1,30,30,BayesianGMM,False,-0.122,0,0
1,30,30,BayesianGMM,False,-0.12,0,0
1,30,30,BayesianGMM,False,-0.118,0,0
1,30,30,BayesianGMM,False,-0.116,0,0
1,30,30,BayesianGMM,False,-0.114,0,0
1,30,30,BayesianGMM,False,-0.112,0,0
1,30,30,BayesianGMM,False,-0.11,0,0
1,30,30,BayesianGMM,False,-0.108,0,0
1,20,20,KMeans,False,-0.128,0,0
1,20,20,KMeans,False,-0.126,0,0
1,20,20,KMeans,False,-0.124,0,0
1,20,20,KMeans,False,-0.122,0,0
1,20,20,KMeans,False,-0.12,0,0
1,20,20,KMeans,False,-0.118,0,0
1,20,20,KMeans,False,-0.116,0,0
1,20,20,KMeans,False,-0.114,0,0
1,20,20,KMeans,False,-0.112,0.00876637714795603,0.00868556131928474
1,20,20,KMeans,False,-0.11,0,0
1,20,20,KMeans,False,-0.108,0,0
1,20,20,GaussianMixture,False,-0.128,0,0
1,20,20,GaussianMixture,False,-0.126,0,0
1,20,20,GaussianMixture,False,-0.124,0,0
1,20,20,GaussianMixture,False,-0.122,0,0
1,20,20,GaussianMixture,False,-0.12,0,0
1,20,20,GaussianMixture,False,-0.118,0,0
