stride,feature_set,n_features,model,standardized,Delta,mean,mean_err
1,30,30,KMeans,False,-0.128,1,0
1,30,30,KMeans,False,-0.126,0,0
1,30,30,KMeans,False,-0.124,0,0
1,30,30,KMeans,False,-0.122,0,0
1,30,30,KMeans,False,-0.12,0,0
1,30,30,KMeans,False,-0.118,0,0
1,30,30,KMeans,False,-0.116,0,0
1,30,30,KMeans,False,-0.114,0,0
1,30,30,KMeans,False,-0.112,0.0109329689010366,0.0109329689010366
1,30,30,KMeans,False,-0.11,0,0
1,30,30,KMeans,False,-0.108,0,0
1,30,30,GaussianMixture,False,-0.128,1,0
1,30,30,GaussianMixture,False,-0.126,0,0
1,30,30,GaussianMixture,False,-0.124,0,0
1,30,30,GaussianMixture,False,-0.122,0,0
1,30,30,GaussianMixture,False,-0.12,0,0
1,30,30,GaussianMixture,False,-0.118,0,0
1,30,30,GaussianMixture,False,-0.116,0,0
1,30,30,GaussianMixture,False,-0.114,0,0
1,30,30,GaussianMixture,False,-0.112,0,0
1,30,30,GaussianMixture,False,-0.11,0,0
1,30,30,GaussianMixture,False,-0.108,0,0
1,30,30,MeanShift,False,-0.128,1,0
1,30,30,MeanShift,False,-0.126,0,0
1,30,30,MeanShift,False,-0.124,0,0
1,30,30,MeanShift,False,-0.122,0,0
1,30,30,MeanShift,False,-0.12,0,0
1,30,30,MeanShift,False,-0.118,0,0
1,30,30,MeanShift,False,-0.116,0,0
1,30,30,MeanShift,False,-0.114,0,0
1,30,30,MeanShift,False,-0.112,0.0112996233458885,0.0112996233458885
1,30,30,MeanShift,False,-0.11,0,0
1,30,30,MeanShift,False,-0.108,0,0
1,30,30,Birch,False,-0.128,1,0
1,30,30,Birch,False,-0.126,0,0
1,30,30,Birch,False,-0.124,0,0
1,30,30,Birch,False,-0.122,0,0
1,30,30,Birch,False,-0.12,0,0
1,30,30,Birch,False,-0.118,0,0
1,30,30,Birch,False,-0.116,0,0
1,30,30,Birch,False,-0.114,0,0
1,30,30,Birch,False,-0.112,0,0
1,30,30,Birch,False,-0.11,0,0
1,30,30,Birch,False,-0.108,0,0
1,30,30,BayesianGMM,False,-0.128,1,0
1,30,30,BayesianGMM,False,-0.126,0,0
1,30,30,BayesianGMM,False,-0.124,0,0
1,30,30,BayesianGMM,False,-0.122,0,0
1,30,30,BayesianGMM,False,-0.12,0,0
1,30,30,BayesianGMM,False,-0.118,0,0
1,30,30,BayesianGMM,False,-0.116,0,0
1,30,30,BayesianGMM,False,-0.114,0,0
1,30,30,BayesianGMM,False,-0.112,0,0
1,30,30,BayesianGMM,False,-0.11,0,0
1,30,30,BayesianGMM,False,-0.108,0,0
1,20,20,KMeans,False,-0.128,1,0
1,20,20,KMeans,False,-0.126,0,0
1,20,20,KMeans,False,-0.124,0,0
1,20,20,KMeans,False,-0.122,1,0
1,20,20,KMeans,False,-0.12,1,0
1,20,20,KMeans,False,-0.118,0,0
1,20,20,KMeans,False,-0.116,0,0
1,20,20,KMeans,False,-0.114,0,0
1,20,20,KMeans,False,-0.112,0.00876637445418486,0.00876637445418486
1,20,20,KMeans,False,-0.11,0,0
1,20,20,KMeans,False,-0.108,0,0
1,20,20,GaussianMixture,False,-0.128,1,0
1,20,20,GaussianMixture,False,-0.126,0,0
1,20,20,GaussianMixture,False,-0.124,0,0
1,20,20,GaussianMixture,False,-0.122,0,0
1,20,20,GaussianMixture,False,-0.12,0,0
1,20,20,GaussianMixture,False,-0.118,0,0
1,20,20,GaussianMixture,False,-0.116,0,0
1,20,20,GaussianMixture,False,-0.114,0,0
1,20,20,GaussianMixture,False,-0.112,0,0
1,20,20,GaussianMixture,False,-0.11,0,0
1,20,20,GaussianMixture,False,-0.108,0,0
1,20,20,MeanShift,False,-0.128,1,0
1,20,20,MeanShift,False,-0.126,0,0
1,20,20,MeanShift,False,-0.124,0,0
1,20,20,MeanShift,False,-0.122,1,0
1,20,20,MeanShift,False,-0.12,1,0
1,20,20,MeanShift,False,-0.118,0,0
1,20,20,MeanShift,False,-0.116,0,0
1,20,20,MeanShift,False,-0.114,0,0
1,20,20,MeanShift,False,-0.112,0.00943301889936999,0.00943301889937002
1,20,20,MeanShift,False,-0.11,0,0
1,20,20,MeanShift,False,-0.108,0,0
1,20,20,Birch,False,-0.128,1,0
1,20,20,Birch,False,-0.126,0,0
1,20,20,Birch,False,-0.124,0,0
1,20,20,Birch,False,-0.122,1,0
1,20,20,Birch,False,-0.12,1,0
1,20,20,Birch,False,-0.118,0,0
1,20,20,Birch,False,-0.116,0,0
