stride,feature_set,n_features,model,standardized,fit_scope,Delta_B_train,Delta_A_train,N_train,N_full,endpoint_accuracy,P_B_at_Delta_B,P_B_at_Delta_A,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_scaler_fit,runtime_scaler_transform_train,runtime_scaler_transform_full,runtime_fit,runtime_predict_train,runtime_predict_full,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
1,30,30,KMeans,False,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.112,11,0,0,0,0.183,0.013,0.051,0.246,2.986,4.228,0.0131,0.0126,0.00033,7.486
1,30,30,GaussianMixture,False,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0,0,0,0.755,0.074,0.498,1.327,2.945,3.846,0.0124,0.0121,0.00023,8.143
1,30,30,MeanShift,False,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.112,11,0,0,0,61.876,0.002,0.011,61.889,0.735,0.855,0.0082,0.0078,0.00022,63.495
1,30,30,Birch,False,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0,0,0,42.65,3.929,223.164,269.744,1.829,2.339,0.0083,0.0075,0.00014,273.928
1,30,30,BayesianGMM,False,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0,0,0,0.676,0.063,0.417,1.156,1.847,2.392,0.0078,0.0075,0.00014,5.41
1,20,20,KMeans,False,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.112,11,0,0,0,0.097,0.015,0.029,0.141,1.837,3.219,0.008,0.0077,0.00014,5.213
1,20,20,GaussianMixture,False,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0,0,0,0.513,0.046,0.336,0.895,1.826,2.376,0.0078,0.0074,0.00014,5.112
1,20,20,MeanShift,False,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.112,11,0,0,0,41.495,0.001,0.007,41.504,0.641,1.004,0.0076,0.0073,0.00015,43.163
1,20,20,Birch,False,endpoints,-0.128,-0.108,130001,570004,0.898423858278013,1,0.440151994933502,-0.127,0,-0.112,11,0,0,0,23.843,2.752,136.914,163.509,1.757,3.725,0.0075,0.0073,0.00014,169.006
1,20,20,BayesianGMM,False,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0,0,0,0.591,0.047,0.336,0.974,1.823,2.37,0.0078,0.0076,0.00014,5.182
1,12,12,KMeans,False,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.112,11,0,0,0,0.12,0.007,0.018,0.144,1.806,3.128,0.008,0.0075,0.00014,5.094
1,12,12,GaussianMixture,False,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0,0,0,0.462,0.028,0.266,0.756,1.813,2.355,0.0076,0.0074,0.00014,4.939
1,12,12,MeanShift,False,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.112,11,0,0,0,13.033,0.001,0.003,13.037,0.652,1.054,0.0078,0.0078,0.00014,14.759
1,12,12,Birch,False,endpoints,-0.128,-0.108,130001,570004,0.888277782478596,1,0.484117196093464,-0.127,0,-0.112,11,0,0,0,27.483,2.604,200.579,230.666,1.803,3.862,0.0075,0.0074,0.00013,236.345
1,12,12,BayesianGMM,False,endpoints,-0.128,-0.108,130001,570004,1,1,0,-0.127,0,-0.128,11,0,0,0,0.533,0.03,0.258,0.821,1.73,2.242,0.0073,0.0075,0.00013,4.808
