stride,feature_set,n_features,model,K0,chi,chi_err
1,30,30,KMeans,4.67,0.0,0.0
1,30,30,KMeans,4.7,0.0,0.0
1,30,30,KMeans,4.72,0.00018086453246518884,0.00018086453246518366
1,30,30,KMeans,4.73,0.001723157817479784,0.0007120733474025375
1,30,30,KMeans,4.74,0.009150107373789698,0.001722723627660994
1,30,30,KMeans,4.75,0.053789471954400134,0.008549585913325424
1,30,30,KMeans,4.76,0.14982732976138208,0.007640553148834617
1,30,30,KMeans,4.77,0.24641426539732503,0.0032258837425263526
1,30,30,KMeans,4.78,0.20837652018075115,0.005425413916597837
1,30,30,KMeans,4.79,0.09501871335941019,0.006397655569850618
1,30,30,KMeans,4.81,0.00569853630409566,0.0013254469620389237
1,30,30,KMeans,4.82,0.0004135637219241098,0.0002362308714453042
1,30,30,KMeans,4.83,0.0,0.0
1,30,30,KMeans,4.84,0.0,0.0
1,30,30,KMeans,4.85,0.0,0.0
1,30,30,KMeans,4.86,0.0,0.0
1,30,30,KMeans,4.87,0.0,0.0
1,30,30,KMeans,4.88,0.0,0.0
1,30,30,KMeans,4.9,0.0,0.0
1,30,30,KMeans,4.93,0.0,0.0
1,30,30,GaussianMixture,4.67,0.0,0.0
1,30,30,GaussianMixture,4.7,0.0,0.0
1,30,30,GaussianMixture,4.72,0.0,0.0
1,30,30,GaussianMixture,4.73,0.0,0.0
1,30,30,GaussianMixture,4.74,1.0198132671936176e-17,7.958829142933057e-18
1,30,30,GaussianMixture,4.75,0.00044929909711840567,0.0002569715452609678
1,30,30,GaussianMixture,4.76,0.002181292250726899,0.0008370711087714836
1,30,30,GaussianMixture,4.77,0.018557883562799304,0.002071972894723152
1,30,30,GaussianMixture,4.78,0.07078706870424395,0.00543187859293044
1,30,30,GaussianMixture,4.79,0.16952632399703713,0.007840290235505247
1,30,30,GaussianMixture,4.81,0.18463214617104035,0.01034987197549038
1,30,30,GaussianMixture,4.82,0.08071853016376666,0.007176388067321036
1,30,30,GaussianMixture,4.83,0.021107144656723323,0.0026646224656173847
1,30,30,GaussianMixture,4.84,0.004108863023869767,0.001789578811764058
1,30,30,GaussianMixture,4.85,8.852173880471233e-05,8.708938567393995e-05
