stride,feature_set,n_features,model,K0_crit,K0_crit_err,K0_close,endpoint_accuracy,passed_endpoint_test,P_A_at_4.67,P_A_at_4.93,N_K0,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_k0_crit,runtime_total
1,30,30,KMeans,4.772394849601661,0.0007863010546363211,4.77,1.0,True,0.0,1.0,20,0.148,1.305,3.478,0.0159,0.0144,0.00025,4.961
1,30,30,GaussianMixture,4.800653511233846,0.0007379268102723302,4.81,1.0,True,3.691048421120232e-140,1.0,20,0.589,1.59,3.445,0.0151,0.0153,0.00018,5.654
1,30,30,MeanShift,4.7672792865021005,0.0005690232979463414,4.77,1.0,True,0.0,1.0,20,104.414,1.246,3.176,0.0141,0.0135,0.00016,108.864
1,30,30,Birch,4.7706471246163895,0.0006005764624482251,4.77,1.0,True,0.0,1.0,20,28.9,1.197,3.127,0.0136,0.0133,0.00016,33.252
1,30,30,BayesianGMM,4.7997471756645185,0.0006930656094418337,4.79,1.0,True,6.302566642256011e-133,1.0,20,0.491,1.206,2.943,0.0138,0.0137,0.0002,4.667
1,20,20,KMeans,4.772394490794192,0.0007955150822823522,4.77,1.0,True,0.0,1.0,20,0.099,1.185,3.022,0.0141,0.0136,0.00015,4.334
1,20,20,GaussianMixture,4.800605449357007,0.0007278367166935151,4.81,1.0,True,1.2392393106019468e-139,1.0,20,0.327,1.204,2.925,0.0139,0.0136,0.00015,4.484
1,20,20,MeanShift,4.767786075148536,0.0006773558991868583,4.77,1.0,True,0.0,1.0,20,86.997,1.234,3.091,0.0136,0.0133,0.00015,91.349
1,20,20,Birch,4.771462953551224,0.0006304850186950359,4.77,1.0,True,0.0,1.0,20,23.58,1.197,3.143,0.0137,0.0134,0.00015,27.948
1,20,20,BayesianGMM,4.799706735095996,0.0006804575880287416,4.79,1.0,True,2.8783214969349864e-132,1.0,20,0.344,1.207,2.947,0.0139,0.0136,0.00015,4.525
1,12,12,KMeans,4.834162408293862,0.00241040717369811,4.83,0.9876954489280533,True,0.0,0.9750978686385385,20,0.116,1.178,3.11,0.0137,0.0136,0.00015,4.431
1,12,12,GaussianMixture,4.800439950788901,0.0007620689533205912,4.81,1.0,True,8.70341378139242e-141,1.0,20,0.412,1.192,2.92,0.0137,0.0136,0.00015,4.551
1,12,12,Birch,4.7749673320019905,0.0007058305841549066,4.77,1.0,True,0.0,1.0,20,15.097,1.207,3.24,0.0138,0.0133,0.00014,19.572
1,12,12,BayesianGMM,4.799471765948222,0.0007255718856749334,4.79,1.0,True,2.5755433082997137e-133,1.0,20,0.403,1.218,2.98,0.0145,0.0139,0.00015,4.63
