stride,feature_set,n_features,model,K0,chi,chi_err
1,30,30,KMeans,4.67,0.0,0.0
1,30,30,KMeans,4.7,0.0,0.0
1,30,30,KMeans,4.72,0.0007230614963796728,0.00035564173066327686
1,30,30,KMeans,4.73,0.003907489943711039,0.0011316608149485351
1,30,30,KMeans,4.74,0.030434076418742226,0.0034627397707676978
1,30,30,KMeans,4.75,0.11453009664462944,0.007166817248623498
1,30,30,KMeans,4.76,0.2258392771652313,0.004866965168605178
1,30,30,KMeans,4.77,0.23426045005299928,0.004283397655217109
1,30,30,KMeans,4.78,0.13394518413567125,0.007268712664551409
1,30,30,KMeans,4.79,0.04039402094983169,0.003685740856768064
1,30,30,KMeans,4.81,0.0008935554482728733,0.00035894229582707226
1,30,30,KMeans,4.82,0.0001378929950358443,0.00013789299503585222
1,30,30,KMeans,4.83,0.0,0.0
1,30,30,KMeans,4.84,0.0,0.0
1,30,30,KMeans,4.85,0.0,0.0
1,30,30,KMeans,4.86,0.0,0.0
1,30,30,KMeans,4.87,0.0,0.0
1,30,30,KMeans,4.88,0.0,0.0
1,30,30,KMeans,4.9,0.0,0.0
1,30,30,KMeans,4.93,0.0,0.0
1,30,30,GaussianMixture,4.67,0.0,0.0
1,30,30,GaussianMixture,4.7,0.0,0.0
1,30,30,GaussianMixture,4.72,0.0,0.0
1,30,30,GaussianMixture,4.73,0.0,0.0
1,30,30,GaussianMixture,4.74,1.6131845856863212e-17,1.4316828471098688e-17
1,30,30,GaussianMixture,4.75,0.00045392274740795773,0.0002594525852565701
1,30,30,GaussianMixture,4.76,0.0021954115236627473,0.000833320972203919
1,30,30,GaussianMixture,4.77,0.018575951739284974,0.002083512004554072
1,30,30,GaussianMixture,4.78,0.07079329508012853,0.005429138384211584
1,30,30,GaussianMixture,4.79,0.16946271423602713,0.007899245777188178
1,30,30,GaussianMixture,4.81,0.18473931587417974,0.010389846450338122
1,30,30,GaussianMixture,4.82,0.08065384085553323,0.007180698437883354
1,30,30,GaussianMixture,4.83,0.021059573067510745,0.0026769469524758746
1,30,30,GaussianMixture,4.84,0.004098397037726113,0.0017743079938777944
1,30,30,GaussianMixture,4.85,8.596178372958428e-05,8.499276433949055e-05
