stride,feature_set,n_features,model,K0,mean,mean_err
1,30,30,KMeans,4.67,0.0,0.0
1,30,30,KMeans,4.7,0.0,0.0
1,30,30,KMeans,4.72,0.0007234581298607343,0.0003560321881900801
1,30,30,KMeans,4.73,0.0039215686274509925,0.0011401319925435098
1,30,30,KMeans,4.74,0.03140683179536992,0.003692187248979659
1,30,30,KMeans,4.75,0.13180827886710225,0.009758365446376472
1,30,30,KMeans,4.76,0.34380610412926393,0.015354638667202842
1,30,30,KMeans,4.77,0.6266724212343547,0.017501243067451287
1,30,30,KMeans,4.78,0.8408333333333333,0.01060796564781319
1,30,30,KMeans,4.79,0.9578451178451207,0.004021365834483354
1,30,30,KMeans,4.81,0.9991057741441022,0.0003594861237379723
1,30,30,KMeans,4.82,0.9998621070049749,0.00013789299503590513
1,30,30,KMeans,4.83,1.0,0.0
1,30,30,KMeans,4.84,1.0,0.0
1,30,30,KMeans,4.85,1.0,0.0
1,30,30,KMeans,4.86,1.0,0.0
1,30,30,KMeans,4.87,1.0,0.0
1,30,30,KMeans,4.88,1.0,0.0
1,30,30,KMeans,4.9,1.0,0.0
1,30,30,KMeans,4.93,1.0,0.0
1,30,30,GaussianMixture,4.67,3.7438026408098617e-140,3.2873653993737945e-140
1,30,30,GaussianMixture,4.7,1.15594380176717e-82,9.650497795339364e-83
1,30,30,GaussianMixture,4.72,4.661721958399411e-37,4.661718019742179e-37
1,30,30,GaussianMixture,4.73,1.8971531749002651e-16,1.8971531748980743e-16
1,30,30,GaussianMixture,4.74,6.606457368072375e-11,5.125483497577274e-11
1,30,30,GaussianMixture,4.75,0.00046843939344987274,0.0002648851822816238
1,30,30,GaussianMixture,4.76,0.0025473303383649385,0.000935700398835475
1,30,30,GaussianMixture,4.77,0.01990706192525778,0.002259727005233595
1,30,30,GaussianMixture,4.78,0.08156202562568979,0.006494813534888156
1,30,30,GaussianMixture,4.79,0.23344132801868928,0.014060493917749495
1,30,30,GaussianMixture,4.81,0.7339112754963686,0.022486333502243716
1,30,30,GaussianMixture,4.82,0.9038849915824191,0.008948417367305578
1,30,30,GaussianMixture,4.83,0.9764159756923209,0.002844225428541602
1,30,30,GaussianMixture,4.84,0.9953456749766421,0.0018721921109748907
