stride,feature_set,n_features,model,K0_crit,K0_crit_err,K0_close,endpoint_accuracy,passed_endpoint_test,P_A_at_4.67,P_A_at_4.93,N_K0,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_k0_crit,runtime_total
1,30,30,KMeans,4.765521827323566,0.0005847269734867534,4.77,1.0,True,0.0,1.0,20,0.102,1.121,3.02,0.0136,0.0134,0.00015,4.27
1,30,30,GaussianMixture,4.800652334803508,0.0007412328042458758,4.81,1.0,True,3.709207757140137e-140,1.0,20,0.469,1.13,2.742,0.0129,0.0123,0.00014,4.367
1,30,30,MeanShift,4.762389489683015,0.0005916015147174338,4.76,1.0,True,0.0,1.0,20,359.442,1.166,2.869,0.013,0.0124,0.00014,363.503
1,30,30,Birch,4.7697755454181765,0.0005528509657859595,4.77,1.0,True,0.0,1.0,20,33.458,1.125,3.0,0.0131,0.0129,0.00014,37.609
1,30,30,BayesianGMM,4.799747890149681,0.0006886127677319276,4.79,1.0,True,5.355341602331797e-133,1.0,20,0.481,1.133,2.786,0.0132,0.0129,0.00015,4.426
1,20,20,KMeans,4.877716544486244,0.0036732297121353026,4.88,0.80796303261512,True,0.00042485395645246946,0.6117877337973032,20,0.121,1.104,3.122,0.013,0.013,0.00033,4.373
1,20,20,GaussianMixture,4.800611193129771,0.0007276573613456175,4.81,1.0,True,1.3460976699259101e-139,1.0,20,0.45,1.139,2.719,0.0129,0.0126,0.00014,4.333
1,20,20,Birch,4.773304544074316,0.0007927041001098004,4.77,1.0,True,0.0,1.0,20,33.639,1.203,3.173,0.0141,0.0136,0.00016,38.044
1,20,20,BayesianGMM,4.7997154612414255,0.0006815322597422151,4.79,1.0,True,3.18813679006694e-132,1.0,20,0.497,1.211,2.92,0.0136,0.0132,0.00015,4.654
1,12,12,KMeans,4.768175798920656,0.0005902077084187706,4.77,1.0,True,0.0,1.0,20,0.067,1.226,3.106,0.0139,0.0133,0.00015,4.428
1,12,12,GaussianMixture,4.800447414339835,0.0007588783030069089,4.81,1.0,True,7.447472712287419e-141,1.0,20,0.287,1.204,2.905,0.0137,0.0132,0.00015,4.423
1,12,12,MeanShift,4.7635887215491906,0.0005796841753058642,4.76,1.0,True,0.0,1.0,20,121.169,1.194,3.026,0.0134,0.013,0.00015,125.415
1,12,12,Birch,4.770069241384467,0.0005767702148235372,4.77,1.0,True,0.0,1.0,20,31.378,1.169,2.966,0.0136,0.0135,0.00016,35.539
1,12,12,BayesianGMM,4.799478854774266,0.0007275992112452355,4.79,1.0,True,1.8347322262188024e-133,1.0,20,0.271,1.192,2.882,0.0136,0.0133,0.00015,4.371
