stride,feature_set,n_features,model,standardized,Delta,chi,chi_err
1,30,30,KMeans,True,0.036,0.0,0.0
1,30,30,KMeans,True,0.0366,0.0,0.0
1,30,30,KMeans,True,0.037,0.0,0.0
1,30,30,KMeans,True,0.0374,1.0009008107296073e-05,1.0009008107296564e-05
1,30,30,KMeans,True,0.0378,0.07048272048170826,0.025785363881150356
1,30,30,KMeans,True,0.0382,0.17120490487557477,0.04615897085378864
1,30,30,KMeans,True,0.0386,0.0016238023920352803,0.0012534871951518927
1,30,30,KMeans,True,0.039,0.0,0.0
1,30,30,KMeans,True,0.0394,0.0,0.0
1,30,30,KMeans,True,0.0398,0.0,0.0
1,30,30,KMeans,True,0.0402,0.0,0.0
1,30,30,KMeans,True,0.041,0.0,0.0
1,30,30,GaussianMixture,True,0.036,0.0,0.0
1,30,30,GaussianMixture,True,0.0366,0.0,0.0
1,30,30,GaussianMixture,True,0.037,0.0013288136166051683,0.001325273157788995
1,30,30,GaussianMixture,True,0.0374,0.18571880458802748,0.08504425338286581
1,30,30,GaussianMixture,True,0.0378,0.18333819779668004,0.04444326529069212
1,30,30,GaussianMixture,True,0.0382,0.004682169168670313,0.004659971645250856
1,30,30,GaussianMixture,True,0.0386,0.0,0.0
1,30,30,GaussianMixture,True,0.039,0.0,0.0
1,30,30,GaussianMixture,True,0.0394,0.0,0.0
1,30,30,GaussianMixture,True,0.0398,0.0,0.0
1,30,30,GaussianMixture,True,0.0402,0.0,0.0
1,30,30,GaussianMixture,True,0.041,0.0,0.0
1,30,30,MeanShift,True,0.036,0.0,0.0
1,30,30,MeanShift,True,0.0366,0.0,0.0
1,30,30,MeanShift,True,0.037,0.0,0.0
1,30,30,MeanShift,True,0.0374,2.0000200005000214e-05,1.999989999149972e-05
1,30,30,MeanShift,True,0.0378,0.07151170081980887,0.025993896156392145
1,30,30,MeanShift,True,0.0382,0.16981989153148905,0.046196535697884525
1,30,30,MeanShift,True,0.0386,0.0015406060224352073,0.0011993068683684598
1,30,30,MeanShift,True,0.039,0.0,0.0
1,30,30,MeanShift,True,0.0394,0.0,0.0
1,30,30,MeanShift,True,0.0398,0.0,0.0
1,30,30,MeanShift,True,0.0402,0.0,0.0
1,30,30,MeanShift,True,0.041,0.0,0.0
1,30,30,Birch,True,0.036,0.0,0.0
1,30,30,Birch,True,0.0366,0.0,0.0
1,30,30,Birch,True,0.037,0.0,0.0
1,30,30,Birch,True,0.0374,0.0,0.0
1,30,30,Birch,True,0.0378,0.04920704503992311,0.021265822181679144
1,30,30,Birch,True,0.0382,0.196927284482495,0.04565075441508834
1,30,30,Birch,True,0.0386,0.0031207583331809676,0.002394856186412392
1,30,30,Birch,True,0.039,0.0,0.0
1,30,30,Birch,True,0.0394,0.0,0.0
1,30,30,Birch,True,0.0398,0.0,0.0
1,30,30,Birch,True,0.0402,0.0,0.0
1,30,30,Birch,True,0.041,0.0,0.0
1,30,30,BayesianGMM,True,0.036,0.0,0.0
1,30,30,BayesianGMM,True,0.0366,0.0,0.0
1,30,30,BayesianGMM,True,0.037,0.0,0.0
1,30,30,BayesianGMM,True,0.0374,0.028160763099616695,0.026535445013815568
1,30,30,BayesianGMM,True,0.0378,0.2516734528112375,0.00831630636899199
1,30,30,BayesianGMM,True,0.0382,0.023690624805758596,0.014699666856838193
1,30,30,BayesianGMM,True,0.0386,0.0,0.0
1,30,30,BayesianGMM,True,0.039,0.0,0.0
1,30,30,BayesianGMM,True,0.0394,0.0,0.0
1,30,30,BayesianGMM,True,0.0398,0.0,0.0
1,30,30,BayesianGMM,True,0.0402,0.0,0.0
1,30,30,BayesianGMM,True,0.041,0.0,0.0
1,20,20,KMeans,True,0.036,0.0,0.0
1,20,20,KMeans,True,0.0366,0.0,0.0
1,20,20,KMeans,True,0.037,0.0,0.0
1,20,20,KMeans,True,0.0374,0.0020598368811984686,0.002011717834356687
1,20,20,KMeans,True,0.0378,0.1533641181380325,0.031494848654894
1,20,20,KMeans,True,0.0382,0.10115547772630262,0.03817891433876671
1,20,20,KMeans,True,0.0386,0.00015635448204492575,0.00012860605596926855
1,20,20,KMeans,True,0.039,0.0,0.0
1,20,20,KMeans,True,0.0394,0.0,0.0
1,20,20,KMeans,True,0.0398,0.0,0.0
1,20,20,KMeans,True,0.0402,0.0,0.0
1,20,20,KMeans,True,0.041,0.0,0.0
1,20,20,GaussianMixture,True,0.036,0.0,0.0
1,20,20,GaussianMixture,True,0.0366,0.0,0.0
1,20,20,GaussianMixture,True,0.037,0.0,0.0
1,20,20,GaussianMixture,True,0.0374,0.11542797953196057,0.07756360896127355
1,20,20,GaussianMixture,True,0.0378,0.2312764328005366,0.02291417613698285
1,20,20,GaussianMixture,True,0.0382,0.008064298891740453,0.007669863084402592
1,20,20,GaussianMixture,True,0.0386,0.0,0.0
1,20,20,GaussianMixture,True,0.039,0.0,0.0
1,20,20,GaussianMixture,True,0.0394,0.0,0.0
1,20,20,GaussianMixture,True,0.0398,0.0,0.0
1,20,20,GaussianMixture,True,0.0402,0.0,0.0
1,20,20,GaussianMixture,True,0.041,0.0,0.0
1,20,20,MeanShift,True,0.036,0.0,0.0
1,20,20,MeanShift,True,0.0366,0.0,0.0
1,20,20,MeanShift,True,0.037,0.0,0.0
1,20,20,MeanShift,True,0.0374,0.0021698280903067442,0.0021207982159643195
1,20,20,MeanShift,True,0.0378,0.1562636705677931,0.03151469268409997
1,20,20,MeanShift,True,0.0382,0.09907298878875251,0.037895129584676564
1,20,20,MeanShift,True,0.0386,0.00013550748119785995,0.0001085075517117185
1,20,20,MeanShift,True,0.039,0.0,0.0
1,20,20,MeanShift,True,0.0394,0.0,0.0
1,20,20,MeanShift,True,0.0398,0.0,0.0
1,20,20,MeanShift,True,0.0402,0.0,0.0
1,20,20,MeanShift,True,0.041,0.0,0.0
1,20,20,Birch,True,0.036,0.0,0.0
1,20,20,Birch,True,0.0366,0.0,0.0
1,20,20,Birch,True,0.037,0.0,0.0
1,20,20,Birch,True,0.0374,0.00013000130024701302,0.00012997789919397734
1,20,20,Birch,True,0.0378,0.0899418063637945,0.029502488474631872
1,20,20,Birch,True,0.0382,0.14844563951589446,0.04495453408101065
1,20,20,Birch,True,0.0386,0.0006664465462799203,0.00052850534787377
1,20,20,Birch,True,0.039,0.0,0.0
1,20,20,Birch,True,0.0394,0.0,0.0
1,20,20,Birch,True,0.0398,0.0,0.0
1,20,20,Birch,True,0.0402,0.0,0.0
1,20,20,Birch,True,0.041,0.0,0.0
1,20,20,BayesianGMM,True,0.036,0.0,0.0
1,20,20,BayesianGMM,True,0.0366,0.0,0.0
1,20,20,BayesianGMM,True,0.037,0.0,0.0
1,20,20,BayesianGMM,True,0.0374,0.025680780162207175,0.02433272953500907
1,20,20,BayesianGMM,True,0.0378,0.25031846681603437,0.009879136822558013
1,20,20,BayesianGMM,True,0.0382,0.02546786815479375,0.015577331355618692
1,20,20,BayesianGMM,True,0.0386,0.0,0.0
1,20,20,BayesianGMM,True,0.039,0.0,0.0
1,20,20,BayesianGMM,True,0.0394,0.0,0.0
1,20,20,BayesianGMM,True,0.0398,0.0,0.0
1,20,20,BayesianGMM,True,0.0402,0.0,0.0
1,20,20,BayesianGMM,True,0.041,0.0,0.0
1,12,12,KMeans,True,0.036,0.0,0.0
1,12,12,KMeans,True,0.0366,0.0,0.0
1,12,12,KMeans,True,0.037,6.056323814874597e-05,6.0559841867290026e-05
1,12,12,KMeans,True,0.0374,0.004887156420397182,0.00454520070401408
1,12,12,KMeans,True,0.0378,0.14942713164054897,0.028349390896907536
1,12,12,KMeans,True,0.0382,0.1176453350451198,0.03959972649629961
1,12,12,KMeans,True,0.0386,0.0008329550472311903,0.0005616075815753044
1,12,12,KMeans,True,0.039,0.0,0.0
1,12,12,KMeans,True,0.0394,0.0,0.0
1,12,12,KMeans,True,0.0398,0.0,0.0
1,12,12,KMeans,True,0.0402,0.0,0.0
1,12,12,KMeans,True,0.041,0.0,0.0
1,12,12,GaussianMixture,True,0.036,0.0,0.0
1,12,12,GaussianMixture,True,0.0366,0.0,0.0
1,12,12,GaussianMixture,True,0.037,0.0,0.0
1,12,12,GaussianMixture,True,0.0374,0.10390868361515596,0.07352340004621971
1,12,12,GaussianMixture,True,0.0378,0.2378053386682279,0.019424004778277514
1,12,12,GaussianMixture,True,0.0382,0.008689303511434633,0.00794577776195527
1,12,12,GaussianMixture,True,0.0386,0.0,0.0
1,12,12,GaussianMixture,True,0.039,0.0,0.0
1,12,12,GaussianMixture,True,0.0394,0.0,0.0
1,12,12,GaussianMixture,True,0.0398,0.0,0.0
1,12,12,GaussianMixture,True,0.0402,0.0,0.0
1,12,12,GaussianMixture,True,0.041,0.0,0.0
1,12,12,MeanShift,True,0.036,0.0,0.0
1,12,12,MeanShift,True,0.0366,0.0,0.0
1,12,12,MeanShift,True,0.037,6.056323814874597e-05,6.0559841867290026e-05
1,12,12,MeanShift,True,0.0374,0.005296314087027352,0.004887733754675092
1,12,12,MeanShift,True,0.0378,0.1534795875387478,0.028367188348652265
