stride,feature_set,n_features,model,standardized,Delta,mean,mean_err
1,30,30,KMeans,True,0.036,0.0,0.0
1,30,30,KMeans,True,0.0366,0.0,0.0
1,30,30,KMeans,True,0.037,0.0,0.0
1,30,30,KMeans,True,0.0374,1.0009008107296568e-05,1.0009008107296566e-05
1,30,30,KMeans,True,0.0378,0.07525060002823639,0.029912601214894897
1,30,30,KMeans,True,0.0382,0.7921000000000004,0.0807912610785762
1,30,30,KMeans,True,0.0386,0.9983751354053899,0.0012561709018945007
1,30,30,KMeans,True,0.039,1.0,0.0
1,30,30,KMeans,True,0.0394,1.0,0.0
1,30,30,KMeans,True,0.0398,1.0,0.0
1,30,30,KMeans,True,0.0402,1.0,0.0
1,30,30,KMeans,True,0.041,1.0,0.0
1,30,30,GaussianMixture,True,0.036,0.0,0.0
1,30,30,GaussianMixture,True,0.0366,0.0,0.0
1,30,30,GaussianMixture,True,0.037,0.0013355102395334324,0.0013355102395334324
1,30,30,GaussianMixture,True,0.0374,0.20792131531222482,0.14574784437667862
1,30,30,GaussianMixture,True,0.0378,0.770507776059123,0.08217234000499357
1,30,30,GaussianMixture,True,0.0382,0.9953087532722422,0.00469124672773715
1,30,30,GaussianMixture,True,0.0386,1.0,0.0
1,30,30,GaussianMixture,True,0.039,1.0,0.0
1,30,30,GaussianMixture,True,0.0394,1.0,0.0
1,30,30,GaussianMixture,True,0.0398,1.0,0.0
1,30,30,GaussianMixture,True,0.0402,1.0,0.0
1,30,30,GaussianMixture,True,0.041,1.0,0.0
1,30,30,MeanShift,True,0.036,0.0,0.0
1,30,30,MeanShift,True,0.0366,0.0,0.0
1,30,30,MeanShift,True,0.037,0.0,0.0
1,30,30,MeanShift,True,0.0374,2.000020000200002e-05,2.0000200002000023e-05
1,30,30,MeanShift,True,0.0378,0.07644057199330365,0.030237065304760214
1,30,30,MeanShift,True,0.0382,0.7942900000000004,0.08016489235735723
1,30,30,MeanShift,True,0.0386,0.9984584617948481,0.0012017244859606395
1,30,30,MeanShift,True,0.039,1.0,0.0
1,30,30,MeanShift,True,0.0394,1.0,0.0
1,30,30,MeanShift,True,0.0398,1.0,0.0
1,30,30,MeanShift,True,0.0402,1.0,0.0
1,30,30,MeanShift,True,0.041,1.0,0.0
1,30,30,Birch,True,0.036,0.0,0.0
1,30,30,Birch,True,0.0366,0.0,0.0
1,30,30,Birch,True,0.037,0.0,0.0
1,30,30,Birch,True,0.0374,0.0,0.0
1,30,30,Birch,True,0.0378,0.05128980859603465,0.023406731186349474
1,30,30,Birch,True,0.0382,0.74807,0.09430499650955225
1,30,30,Birch,True,0.0386,0.9968752603949694,0.002404716823548935
1,30,30,Birch,True,0.039,1.0,0.0
1,30,30,Birch,True,0.0394,1.0,0.0
1,30,30,Birch,True,0.0398,1.0,0.0
1,30,30,Birch,True,0.0402,1.0,0.0
1,30,30,Birch,True,0.041,1.0,0.0
1,30,30,BayesianGMM,True,0.036,0.0,0.0
1,30,30,BayesianGMM,True,0.0366,0.0,0.0
1,30,30,BayesianGMM,True,0.037,4.1865824435364026e-173,0.0
1,30,30,BayesianGMM,True,0.0374,0.028291807758422962,0.028252637009472125
1,30,30,BayesianGMM,True,0.0378,0.4449683742452114,0.07258592183860085
1,30,30,BayesianGMM,True,0.0382,0.9758718229059608,0.015338520929362531
1,30,30,BayesianGMM,True,0.0386,1.0,0.0
1,30,30,BayesianGMM,True,0.039,1.0,0.0
1,30,30,BayesianGMM,True,0.0394,1.0,0.0
1,30,30,BayesianGMM,True,0.0398,1.0,0.0
1,30,30,BayesianGMM,True,0.0402,1.0,0.0
1,30,30,BayesianGMM,True,0.041,1.0,0.0
1,20,20,KMeans,True,0.036,0.0,0.0
1,20,20,KMeans,True,0.0366,0.0,0.0
1,20,20,KMeans,True,0.037,0.0,0.0
1,20,20,KMeans,True,0.0374,0.00206,0.00202
1,20,20,KMeans,True,0.0378,0.1853230067969585,0.04884365600026135
1,20,20,KMeans,True,0.0382,0.8887500000000008,0.04777043182914357
1,20,20,KMeans,True,0.0386,0.9998436376145137,0.0001286297745154595
1,20,20,KMeans,True,0.039,1.0,0.0
1,20,20,KMeans,True,0.0394,1.0,0.0
1,20,20,KMeans,True,0.0398,1.0,0.0
1,20,20,KMeans,True,0.0402,1.0,0.0
1,20,20,KMeans,True,0.041,1.0,0.0
1,20,20,GaussianMixture,True,0.036,0.0,0.0
1,20,20,GaussianMixture,True,0.0366,0.0,0.0
1,20,20,GaussianMixture,True,0.037,8.782652002376672e-54,8.782652002377219e-54
1,20,20,GaussianMixture,True,0.0374,0.11950196973979668,0.10208762221493778
1,20,20,GaussianMixture,True,0.0378,0.6526603933048989,0.07089918616175299
1,20,20,GaussianMixture,True,0.0382,0.9919240693225881,0.007743317338512749
1,20,20,GaussianMixture,True,0.0386,1.0,0.0
1,20,20,GaussianMixture,True,0.039,1.0,0.0
1,20,20,GaussianMixture,True,0.0394,1.0,0.0
1,20,20,GaussianMixture,True,0.0398,1.0,0.0
1,20,20,GaussianMixture,True,0.0402,1.0,0.0
1,20,20,GaussianMixture,True,0.041,1.0,0.0
1,20,20,MeanShift,True,0.036,0.0,0.0
1,20,20,MeanShift,True,0.0366,0.0,0.0
1,20,20,MeanShift,True,0.037,0.0,0.0
1,20,20,MeanShift,True,0.0374,0.00217,0.00213
1,20,20,MeanShift,True,0.0378,0.18985095096912077,0.049558823367234925
1,20,20,MeanShift,True,0.0382,0.89134,0.04711644117048131
1,20,20,MeanShift,True,0.0386,0.9998644859325647,0.00010852533598405768
1,20,20,MeanShift,True,0.039,1.0,0.0
1,20,20,MeanShift,True,0.0394,1.0,0.0
1,20,20,MeanShift,True,0.0398,1.0,0.0
1,20,20,MeanShift,True,0.0402,1.0,0.0
1,20,20,MeanShift,True,0.041,1.0,0.0
1,20,20,Birch,True,0.036,0.0,0.0
1,20,20,Birch,True,0.0366,0.0,0.0
1,20,20,Birch,True,0.037,0.0,0.0
1,20,20,Birch,True,0.0374,0.00013000130001300012,0.00013000130001300012
1,20,20,Birch,True,0.0378,0.09830378572437046,0.036078262680077224
1,20,20,Birch,True,0.0382,0.82622,0.06975000406212647
1,20,20,Birch,True,0.0386,0.9993333888842619,0.0005289593006898526
1,20,20,Birch,True,0.039,1.0,0.0
1,20,20,Birch,True,0.0394,1.0,0.0
1,20,20,Birch,True,0.0398,1.0,0.0
1,20,20,Birch,True,0.0402,1.0,0.0
1,20,20,Birch,True,0.041,1.0,0.0
1,20,20,BayesianGMM,True,0.036,0.0,0.0
1,20,20,BayesianGMM,True,0.0366,0.0,0.0
1,20,20,BayesianGMM,True,0.037,3.310290748200383e-174,0.0
1,20,20,BayesianGMM,True,0.0374,0.025793284724584253,0.025773284630464258
1,20,20,BayesianGMM,True,0.0378,0.4340664682995863,0.07216525028349431
1,20,20,BayesianGMM,True,0.0382,0.9740131899978082,0.016311769540156746
1,20,20,BayesianGMM,True,0.0386,1.0,0.0
1,20,20,BayesianGMM,True,0.039,1.0,0.0
1,20,20,BayesianGMM,True,0.0394,1.0,0.0
1,20,20,BayesianGMM,True,0.0398,1.0,0.0
1,20,20,BayesianGMM,True,0.0402,1.0,0.0
1,20,20,BayesianGMM,True,0.041,1.0,0.0
1,12,12,KMeans,True,0.036,0.0,0.0
1,12,12,KMeans,True,0.0366,0.0,0.0
1,12,12,KMeans,True,0.037,6.0563238114464584e-05,6.056323811446453e-05
1,12,12,KMeans,True,0.0374,0.00489,0.00459
1,12,12,KMeans,True,0.0378,0.17991771041326315,0.04335647231403146
1,12,12,KMeans,True,0.0382,0.86781,0.05412478267854753
1,12,12,KMeans,True,0.0386,0.9991666666666688,0.0005622765963120316
1,12,12,KMeans,True,0.039,1.0,0.0
1,12,12,KMeans,True,0.0394,1.0,0.0
1,12,12,KMeans,True,0.0398,1.0,0.0
1,12,12,KMeans,True,0.0402,1.0,0.0
1,12,12,KMeans,True,0.041,1.0,0.0
1,12,12,GaussianMixture,True,0.036,0.0,0.0
1,12,12,GaussianMixture,True,0.0366,0.0,0.0
1,12,12,GaussianMixture,True,0.037,6.370455305805386e-21,6.370455305805528e-21
1,12,12,GaussianMixture,True,0.0374,0.10688758062096884,0.09378974951883876
1,12,12,GaussianMixture,True,0.0378,0.6289021202134489,0.07112835427387038
1,12,12,GaussianMixture,True,0.0382,0.9912784341605433,0.008030813134513287
1,12,12,GaussianMixture,True,0.0386,1.0,0.0
1,12,12,GaussianMixture,True,0.039,1.0,0.0
1,12,12,GaussianMixture,True,0.0394,1.0,0.0
1,12,12,GaussianMixture,True,0.0398,1.0,0.0
1,12,12,GaussianMixture,True,0.0402,1.0,0.0
1,12,12,GaussianMixture,True,0.041,1.0,0.0
1,12,12,MeanShift,True,0.036,0.0,0.0
1,12,12,MeanShift,True,0.0366,0.0,0.0
1,12,12,MeanShift,True,0.037,6.0563238114464584e-05,6.056323811446453e-05
1,12,12,MeanShift,True,0.0374,0.0053,0.004940000000000001
1,12,12,MeanShift,True,0.0378,0.18619027450031214,0.04422793784748089
1,12,12,MeanShift,True,0.0382,0.87286,0.05246357593607208
