stride,feature_set,n_features,model,standardized,fit_scope,Delta_CB_train,Delta_B_train,N_train,N_full,endpoint_accuracy,P_B_at_Delta_B,P_B_at_Delta_CB,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_scaler_fit,runtime_scaler_transform_train,runtime_scaler_transform_full,runtime_fit,runtime_predict_train,runtime_predict_full,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
1,30,30,KMeans,True,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03803700900076836,3.3512953797029855e-05,0.0382,12,0.0638,0.0238,0.1069,0.153,0.014,0.088,0.45,4.082,9.754,0.0085,0.008,0.00015,14.302
1,30,30,GaussianMixture,True,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03760766847769497,8.015925139620793e-05,0.0378,12,0.0638,0.0238,0.1069,1.096,0.127,0.782,2.2,4.193,10.496,0.0084,0.0082,0.00016,16.905
1,30,30,MeanShift,True,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.038036015750089996,3.3264050568921736e-05,0.0382,12,0.0638,0.0238,0.1069,121.128,0.009,0.144,121.476,4.397,10.312,0.009,0.0086,0.00016,136.202
1,30,30,Birch,True,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03805759067030872,3.9647258208080875e-05,0.0382,12,0.0638,0.0238,0.1069,24.931,4.946,242.085,272.156,4.626,9.474,0.0089,0.0085,0.00016,286.273
1,30,30,BayesianGMM,True,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03784146262443283,5.021768330764997e-05,0.0378,12,0.0638,0.0238,0.1069,1.256,0.138,0.868,2.456,4.092,9.805,0.0088,0.0086,0.00015,16.371
1,20,20,KMeans,True,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.0379789393902956,2.750167467015316e-05,0.0378,12,0.0488,0.016,0.0706,0.112,0.015,0.06,0.323,3.956,9.956,0.009,0.0084,0.00016,14.252
1,20,20,GaussianMixture,True,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03768546714330492,5.98917202286782e-05,0.0378,12,0.0488,0.016,0.0706,0.872,0.099,0.731,1.837,4.403,10.847,0.0088,0.0086,0.00016,17.105
1,20,20,MeanShift,True,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.037976851826530635,2.764346730872268e-05,0.0378,12,0.0488,0.016,0.0706,95.423,0.007,0.108,95.673,4.006,9.716,0.0087,0.0085,0.00016,109.413
1,20,20,Birch,True,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.0380207376103995,3.003632062853793e-05,0.0382,12,0.0488,0.016,0.0706,11.378,2.272,109.647,123.433,4.005,10.167,0.0088,0.0096,0.00021,137.623
1,20,20,BayesianGMM,True,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.037848844472279077,4.8408417481138596e-05,0.0378,12,0.0488,0.016,0.0706,0.976,0.087,0.68,1.878,4.067,9.97,0.0084,0.0082,0.00015,15.931
1,12,12,KMeans,True,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.037986123493129444,2.812478749744548e-05,0.0378,12,0.0307,0.0095,0.0432,0.097,0.015,0.04,0.235,4.157,10.233,0.0088,0.0083,0.00016,14.642
1,12,12,GaussianMixture,True,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03770122718013634,5.879083682974976e-05,0.0378,12,0.0307,0.0095,0.0432,0.665,0.059,0.593,1.401,4.103,10.044,0.0085,0.0083,0.00015,15.565
1,12,12,MeanShift,True,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.03798280096753724,2.7956173160108256e-05,0.0378,12,0.0307,0.0095,0.0432,63.601,0.005,0.089,63.777,4.209,10.695,0.0093,0.009,0.00021,78.7
1,12,12,Birch,True,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.038049201012722154,3.734848133764884e-05,0.0382,12,0.0307,0.0095,0.0432,6.932,0.924,44.436,52.376,4.301,10.149,0.0087,0.0085,0.00015,66.843
1,12,12,BayesianGMM,True,endpoints,0.036,0.041,240779,1334615,1.0,1.0,0.0,0.037864767710052705,4.529232987146493e-05,0.0378,12,0.0307,0.0095,0.0432,0.694,0.052,0.52,1.35,4.025,9.469,0.0082,0.0081,0.00015,14.86
