stride,feature_set,n_features,model,standardized,Delta,chi,chi_err
1,30,30,KMeans,False,0.036,0.0,0.0
1,30,30,KMeans,False,0.0366,0.0,0.0
1,30,30,KMeans,False,0.037,0.0,0.0
1,30,30,KMeans,False,0.0374,0.0019300193557800615,0.0019244607056435818
1,30,30,KMeans,False,0.0378,0.17079176939530338,0.03266680683778367
1,30,30,KMeans,False,0.0382,0.08553102770792624,0.03652130453489016
1,30,30,KMeans,False,0.0386,0.0,0.0
1,30,30,KMeans,False,0.039,0.0,0.0
1,30,30,KMeans,False,0.0394,0.0,0.0
1,30,30,KMeans,False,0.0398,0.0,0.0
1,30,30,KMeans,False,0.0402,0.0,0.0
1,30,30,KMeans,False,0.041,0.0,0.0
1,30,30,GaussianMixture,False,0.036,0.0,0.0
1,30,30,GaussianMixture,False,0.0366,0.0,0.0
1,30,30,GaussianMixture,False,0.037,0.0030637673011672797,0.0030449625825153103
1,30,30,GaussianMixture,False,0.0374,0.21534630564735854,0.0807409807554389
1,30,30,GaussianMixture,False,0.0378,0.16133863500117718,0.05068242284377769
1,30,30,GaussianMixture,False,0.0382,0.0032751185279094415,0.0032642486955017868
1,30,30,GaussianMixture,False,0.0386,0.0,0.0
1,30,30,GaussianMixture,False,0.039,0.0,0.0
1,30,30,GaussianMixture,False,0.0394,0.0,0.0
1,30,30,GaussianMixture,False,0.0398,0.0,0.0
1,30,30,GaussianMixture,False,0.0402,0.0,0.0
1,30,30,GaussianMixture,False,0.041,0.0,0.0
1,30,30,MeanShift,False,0.036,0.0,0.0
1,30,30,MeanShift,False,0.0366,0.0,0.0
1,30,30,MeanShift,False,0.037,0.0,0.0
1,30,30,MeanShift,False,0.0374,0.002250000100803023,0.0022399197983959686
1,30,30,MeanShift,False,0.0378,0.17571567958405465,0.03233310987363188
1,30,30,MeanShift,False,0.0382,0.08254747319832977,0.03583611905047594
1,30,30,MeanShift,False,0.0386,0.0,0.0
1,30,30,MeanShift,False,0.039,0.0,0.0
1,30,30,MeanShift,False,0.0394,0.0,0.0
1,30,30,MeanShift,False,0.0398,0.0,0.0
1,30,30,MeanShift,False,0.0402,0.0,0.0
1,30,30,MeanShift,False,0.041,0.0,0.0
1,30,30,Birch,False,0.036,0.0,0.0
1,30,30,Birch,False,0.0366,0.0,0.0
1,30,30,Birch,False,0.037,0.0,0.0
1,30,30,Birch,False,0.0374,0.00026000260100105443,0.0002599050966134051
1,30,30,Birch,False,0.0378,0.1120088029700611,0.0325152468950649
1,30,30,Birch,False,0.0382,0.12785035312606757,0.04229597321098755
1,30,30,Birch,False,0.0386,0.00026058948641763857,0.00023107099314135772
1,30,30,Birch,False,0.039,0.0,0.0
1,30,30,Birch,False,0.0394,0.0,0.0
1,30,30,Birch,False,0.0398,0.0,0.0
1,30,30,Birch,False,0.0402,0.0,0.0
1,30,30,Birch,False,0.041,0.0,0.0
1,30,30,BayesianGMM,False,0.036,0.0,0.0
