stride,feature_set,n_features,model,standardized,Delta,mean,mean_err
1,30,30,KMeans,False,0.036,0.0,0.0
1,30,30,KMeans,False,0.0366,0.0,0.0
1,30,30,KMeans,False,0.037,0.0,0.0
1,30,30,KMeans,False,0.0374,0.001930019300193002,0.001930019300193002
1,30,30,KMeans,False,0.0378,0.21315988504008432,0.05539844586762371
1,30,30,KMeans,False,0.0382,0.9078899999999992,0.04364926165305821
1,30,30,KMeans,False,0.0386,1.0,0.0
1,30,30,KMeans,False,0.039,1.0,0.0
1,30,30,KMeans,False,0.0394,1.0,0.0
1,30,30,KMeans,False,0.0398,1.0,0.0
1,30,30,KMeans,False,0.0402,1.0,0.0
1,30,30,KMeans,False,0.041,1.0,0.0
1,30,30,GaussianMixture,False,0.036,0.0,0.0
1,30,30,GaussianMixture,False,0.0366,0.0,0.0
1,30,30,GaussianMixture,False,0.037,0.0030713185134992977,0.0030713185134992977
1,30,30,GaussianMixture,False,0.0374,0.25277085764713786,0.1634120885554476
1,30,30,GaussianMixture,False,0.0378,0.8085116175594392,0.08214777601367595
1,30,30,GaussianMixture,False,0.0382,0.9967156802477593,0.0032843197522098378
1,30,30,GaussianMixture,False,0.0386,1.0,0.0
1,30,30,GaussianMixture,False,0.039,1.0,0.0
1,30,30,GaussianMixture,False,0.0394,1.0,0.0
1,30,30,GaussianMixture,False,0.0398,1.0,0.0
1,30,30,GaussianMixture,False,0.0402,1.0,0.0
1,30,30,GaussianMixture,False,0.041,1.0,0.0
1,30,30,MeanShift,False,0.036,0.0,0.0
1,30,30,MeanShift,False,0.0366,0.0,0.0
1,30,30,MeanShift,False,0.037,0.0,0.0
1,30,30,MeanShift,False,0.0374,0.00225,0.00225
1,30,30,MeanShift,False,0.0378,0.22166086824988576,0.056465187661958155
1,30,30,MeanShift,False,0.0382,0.91141,0.042492830823899805
1,30,30,MeanShift,False,0.0386,1.0,0.0
1,30,30,MeanShift,False,0.039,1.0,0.0
1,30,30,MeanShift,False,0.0394,1.0,0.0
1,30,30,MeanShift,False,0.0398,1.0,0.0
1,30,30,MeanShift,False,0.0402,1.0,0.0
1,30,30,MeanShift,False,0.041,1.0,0.0
1,30,30,Birch,False,0.036,0.0,0.0
1,30,30,Birch,False,0.0366,0.0,0.0
1,30,30,Birch,False,0.037,0.0,0.0
1,30,30,Birch,False,0.0374,0.00026000260002600025,0.00026000260002600025
1,30,30,Birch,False,0.0378,0.1260966902644158,0.04257309784267541
1,30,30,Birch,False,0.0382,0.8546200000000004,0.060047060433185785
1,30,30,Birch,False,0.0386,0.9997393960242149,0.0002311374949667954
1,30,30,Birch,False,0.039,1.0,0.0
1,30,30,Birch,False,0.0394,1.0,0.0
1,30,30,Birch,False,0.0398,1.0,0.0
1,30,30,Birch,False,0.0402,1.0,0.0
1,30,30,Birch,False,0.041,1.0,0.0
1,30,30,BayesianGMM,False,0.036,0.0,0.0
